unique_id,ds,GRU
Alfaiataria,2025-01-01,7545.4023
Alfaiataria,2025-01-02,14484.734
Alfaiataria,2025-01-03,49140.61
Alfaiataria,2025-01-04,63414.996
Alfaiataria,2025-01-05,30426.107
Alfaiataria,2025-01-06,15333.31
Alfaiataria,2025-01-07,23856.758
Alfaiataria,2025-01-08,52616.03
Alfaiataria,2025-01-09,64709.965
Alfaiataria,2025-01-10,63853.168
Alfaiataria,2025-01-11,111907.02
Alfaiataria,2025-01-12,72526.04
Alfaiataria,2025-01-13,68882.66
Alfaiataria,2025-01-14,49496.3
Alfaiataria,2025-01-15,66166.61
Alfaiataria,2025-01-16,46923.977
Alfaiataria,2025-01-17,99000.71
Alfaiataria,2025-01-18,115323.21
Alfaiataria,2025-01-19,86078.03
Alfaiataria,2025-01-20,60303.305
Alfaiataria,2025-01-21,63211.05
Alfaiataria,2025-01-22,73109.33
Alfaiataria,2025-01-23,65269.67
Alfaiataria,2025-01-24,81447.63
Alfaiataria,2025-01-25,116773.96
Alfaiataria,2025-01-26,111575.016
Alfaiataria,2025-01-27,78607.22
Alfaiataria,2025-01-28,58366.688
Alfaiataria,2025-01-29,82972.94
Alfaiataria,2025-01-30,59506.1
Alfaiataria,2025-01-31,116982.96
Alfaiataria,2025-02-01,85972.516
Alfaiataria,2025-02-02,97698.336
Alfaiataria,2025-02-03,67216.75
Alfaiataria,2025-02-04,52779.89
Alfaiataria,2025-02-05,59343.594
Alfaiataria,2025-02-06,50974.867
Alfaiataria,2025-02-07,81034.9
Alfaiataria,2025-02-08,124079.875
Alfaiataria,2025-02-09,75876.36
Alfaiataria,2025-02-10,80014.15
Alfaiataria,2025-02-11,51899.96
Alfaiataria,2025-02-12,62882.55
Alfaiataria,2025-02-13,98834.26
Alfaiataria,2025-02-14,110160.23
Alfaiataria,2025-02-15,139248.31
Alfaiataria,2025-02-16,127366.266
Alfaiataria,2025-02-17,103285.18
Alfaiataria,2025-02-18,79982.42
Alfaiataria,2025-02-19,71113.78
Alfaiataria,2025-02-20,28611.756
Alfaiataria,2025-02-21,40970.23
Alfaiataria,2025-02-22,70064.53
Alfaiataria,2025-02-23,41393.977
Alfaiataria,2025-02-24,36224.586
Alfaiataria,2025-02-25,40771.48
Alfaiataria,2025-02-26,24900.97
Alfaiataria,2025-02-27,22646.486
Alfaiataria,2025-02-28,26742.012
Alfaiataria,2025-03-01,24769.188
Alfaiataria,2025-03-02,20838.71
Alfaiataria,2025-03-03,26918.875
Alfaiataria,2025-03-04,8694.34
Alfaiataria,2025-03-05,22311.482
Alfaiataria,2025-03-06,6982.252
Alfaiataria,2025-03-07,38986.277
Alfaiataria,2025-03-08,37089.09
Alfaiataria,2025-03-09,20498.332
Alfaiataria,2025-03-10,21378.09
Alfaiataria,2025-03-11,17882.55
Alfaiataria,2025-03-12,15811.784
Alfaiataria,2025-03-13,19587.059
Alfaiataria,2025-03-14,16541.367
Alfaiataria,2025-03-15,43422.973
Alfaiataria,2025-03-16,19999.738
Alfaiataria,2025-03-17,6268.703
Alfaiataria,2025-03-18,10681.598
Alfaiataria,2025-03-19,20625.777
Alfaiataria,2025-03-20,26804.775
Alfaiataria,2025-03-21,25640.963
Alfaiataria,2025-03-22,55272.406
Alfaiataria,2025-03-23,6123.3496
Alfaiataria,2025-03-24,17301.602
Alfaiataria,2025-03-25,14321.221
Alfaiataria,2025-03-26,3316.5254
Alfaiataria,2025-03-27,9915.113
Alfaiataria,2025-03-28,24405.176
Alfaiataria,2025-03-29,26672.09
Alfaiataria,2025-03-30,18309.156
Alfaiataria,2025-03-31,15341.04
Alfaiataria,2025-04-01,14108.928
Alfaiataria,2025-04-02,21020.754
Alfaiataria,2025-04-03,11139.326
Alfaiataria,2025-04-04,20333.746
Alfaiataria,2025-04-05,33273.1
Alfaiataria,2025-04-06,10008.729
Alfaiataria,2025-04-07,18167.928
Alfaiataria,2025-04-08,16548.566
Alfaiataria,2025-04-09,20217.584
Alfaiataria,2025-04-10,18864.373
Alfaiataria,2025-04-11,9715.568
Alfaiataria,2025-04-12,36507.023
Alfaiataria,2025-04-13,23858.48
Alfaiataria,2025-04-14,21014.22
Alfaiataria,2025-04-15,21082.553
Alfaiataria,2025-04-16,22828.734
Alfaiataria,2025-04-17,20288.01
