unique_id,ds,GRU
Jeans e Sarja,2025-01-01,16206.437
Jeans e Sarja,2025-01-02,69455.15
Jeans e Sarja,2025-01-03,127929.77
Jeans e Sarja,2025-01-04,87673.25
Jeans e Sarja,2025-01-05,85980.97
Jeans e Sarja,2025-01-06,108505.64
Jeans e Sarja,2025-01-07,102768.57
Jeans e Sarja,2025-01-08,68194.92
Jeans e Sarja,2025-01-09,60307.332
Jeans e Sarja,2025-01-10,91873.555
Jeans e Sarja,2025-01-11,70482.47
Jeans e Sarja,2025-01-12,37964.68
Jeans e Sarja,2025-01-13,42035.383
Jeans e Sarja,2025-01-14,53186.727
Jeans e Sarja,2025-01-15,37507.1
Jeans e Sarja,2025-01-16,69966.305
Jeans e Sarja,2025-01-17,84320.04
Jeans e Sarja,2025-01-18,90244.05
Jeans e Sarja,2025-01-19,56357.605
Jeans e Sarja,2025-01-20,51538.242
Jeans e Sarja,2025-01-21,48438.926
Jeans e Sarja,2025-01-22,40108.81
Jeans e Sarja,2025-01-23,60984.035
Jeans e Sarja,2025-01-24,67999.59
Jeans e Sarja,2025-01-25,106465.88
Jeans e Sarja,2025-01-26,34685.117
Jeans e Sarja,2025-01-27,66552.08
Jeans e Sarja,2025-01-28,56682.63
Jeans e Sarja,2025-01-29,64275.844
Jeans e Sarja,2025-01-30,59692.332
Jeans e Sarja,2025-01-31,87426.125
Jeans e Sarja,2025-02-01,91064.49
Jeans e Sarja,2025-02-02,52056.836
Jeans e Sarja,2025-02-03,45641.47
Jeans e Sarja,2025-02-04,42861.797
Jeans e Sarja,2025-02-05,38944.027
Jeans e Sarja,2025-02-06,61334.684
Jeans e Sarja,2025-02-07,76567.82
Jeans e Sarja,2025-02-08,76610.83
Jeans e Sarja,2025-02-09,37260.707
Jeans e Sarja,2025-02-10,40840.41
Jeans e Sarja,2025-02-11,45337.984
Jeans e Sarja,2025-02-12,48219.797
Jeans e Sarja,2025-02-13,59769.582
Jeans e Sarja,2025-02-14,49488.59
Jeans e Sarja,2025-02-15,74186.81
Jeans e Sarja,2025-02-16,22985.016
Jeans e Sarja,2025-02-17,38948.844
Jeans e Sarja,2025-02-18,53356.34
Jeans e Sarja,2025-02-19,54363.91
Jeans e Sarja,2025-02-20,55420.25
Jeans e Sarja,2025-02-21,48449.484
Jeans e Sarja,2025-02-22,76136.76
Jeans e Sarja,2025-02-23,35609.836
Jeans e Sarja,2025-02-24,47858.035
Jeans e Sarja,2025-02-25,47361.22
Jeans e Sarja,2025-02-26,27370.787
Jeans e Sarja,2025-02-27,51700.125
Jeans e Sarja,2025-02-28,49369.227
Jeans e Sarja,2025-03-01,44329.527
Jeans e Sarja,2025-03-02,16827.613
Jeans e Sarja,2025-03-03,25213.387
Jeans e Sarja,2025-03-04,17030.0
Jeans e Sarja,2025-03-05,23474.254
Jeans e Sarja,2025-03-06,30983.822
Jeans e Sarja,2025-03-07,38295.676
Jeans e Sarja,2025-03-08,55735.86
Jeans e Sarja,2025-03-09,23385.719
Jeans e Sarja,2025-03-10,35130.87
Jeans e Sarja,2025-03-11,34194.19
Jeans e Sarja,2025-03-12,40365.203
Jeans e Sarja,2025-03-13,42046.64
Jeans e Sarja,2025-03-14,52594.434
Jeans e Sarja,2025-03-15,83669.9
Jeans e Sarja,2025-03-16,54208.824
Jeans e Sarja,2025-03-17,41193.348
Jeans e Sarja,2025-03-18,55935.09
Jeans e Sarja,2025-03-19,33044.05
Jeans e Sarja,2025-03-20,49163.36
Jeans e Sarja,2025-03-21,49227.836
Jeans e Sarja,2025-03-22,71979.07
Jeans e Sarja,2025-03-23,23618.309
Jeans e Sarja,2025-03-24,33983.027
Jeans e Sarja,2025-03-25,34528.13
Jeans e Sarja,2025-03-26,30133.88
Jeans e Sarja,2025-03-27,46591.613
Jeans e Sarja,2025-03-28,52263.168
Jeans e Sarja,2025-03-29,77668.85
Jeans e Sarja,2025-03-30,28372.715
Jeans e Sarja,2025-03-31,42688.32
Jeans e Sarja,2025-04-01,39041.824
Jeans e Sarja,2025-04-02,37036.305
Jeans e Sarja,2025-04-03,44855.68
Jeans e Sarja,2025-04-04,51766.477
Jeans e Sarja,2025-04-05,78516.65
Jeans e Sarja,2025-04-06,27998.365
Jeans e Sarja,2025-04-07,43007.86
Jeans e Sarja,2025-04-08,33188.637
Jeans e Sarja,2025-04-09,41484.27
Jeans e Sarja,2025-04-10,55020.03
Jeans e Sarja,2025-04-11,53189.97
Jeans e Sarja,2025-04-12,76421.2
Jeans e Sarja,2025-04-13,28927.496
Jeans e Sarja,2025-04-14,26850.322
Jeans e Sarja,2025-04-15,52439.613
Jeans e Sarja,2025-04-16,39390.758
Jeans e Sarja,2025-04-17,54438.273
Jeans e Sarja,2025-04-18,27803.37
Jeans e Sarja,2025-04-19,49196.86
Jeans e Sarja,2025-04-20,22847.182
Jeans e Sarja,2025-04-21,38849.7
Jeans e Sarja,2025-04-22,23097.105
Jeans e Sarja,2025-04-23,27709.137
Jeans e Sarja,2025-04-24,43301.65
Jeans e Sarja,2025-04-25,38187.33
Jeans e Sarja,2025-04-26,72027.49
Jeans e Sarja,2025-04-27,42044.645
Jeans e Sarja,2025-04-28,53741.008
Jeans e Sarja,2025-04-29,52971.004
Jeans e Sarja,2025-04-30,49246.938
Jeans e Sarja,2025-05-01,25662.39
Jeans e Sarja,2025-05-02,23681.33
Jeans e Sarja,2025-05-03,52364.164
Jeans e Sarja,2025-05-04,44492.543
Jeans e Sarja,2025-05-05,36534.695
Jeans e Sarja,2025-05-06,40215.977
Jeans e Sarja,2025-05-07,56168.355
Jeans e Sarja,2025-05-08,47804.73
Jeans e Sarja,2025-05-09,58682.496
Jeans e Sarja,2025-05-10,77267.695
Jeans e Sarja,2025-05-11,18697.168
Jeans e Sarja,2025-05-12,43250.633
Jeans e Sarja,2025-05-13,55945.97
Jeans e Sarja,2025-05-14,20197.785
Jeans e Sarja,2025-05-15,51633.656
Jeans e Sarja,2025-05-16,43667.402
Jeans e Sarja,2025-05-17,90080.71
Jeans e Sarja,2025-05-18,25832.887
Jeans e Sarja,2025-05-19,39850.453
Jeans e Sarja,2025-05-20,50267.707
Jeans e Sarja,2025-05-21,32163.562
Jeans e Sarja,2025-05-22,49978.03
Jeans e Sarja,2025-05-23,60132.9
Jeans e Sarja,2025-05-24,44296.47
Jeans e Sarja,2025-05-25,40745.348
Jeans e Sarja,2025-05-26,29981.219
Jeans e Sarja,2025-05-27,58726.883
Jeans e Sarja,2025-05-28,53871.344
Jeans e Sarja,2025-05-29,61575.438
Jeans e Sarja,2025-05-30,48339.875
Jeans e Sarja,2025-05-31,75935.12
Jeans e Sarja,2025-06-01,15580.378
Jeans e Sarja,2025-06-02,35137.64
Jeans e Sarja,2025-06-03,44844.51
Jeans e Sarja,2025-06-04,47420.37
