unique_id,ds,GRU
Malha,2025-01-01,-26680.125
Malha,2025-01-02,31635.412
Malha,2025-01-03,27647.48
Malha,2025-01-04,17901.83
Malha,2025-01-05,-8924.082
Malha,2025-01-06,12422.223
Malha,2025-01-07,43305.043
Malha,2025-01-08,38522.023
Malha,2025-01-09,96115.89
Malha,2025-01-10,34952.688
Malha,2025-01-11,64046.766
Malha,2025-01-12,46341.52
Malha,2025-01-13,37528.184
Malha,2025-01-14,53459.7
Malha,2025-01-15,22549.418
Malha,2025-01-16,69386.22
Malha,2025-01-17,74871.8
Malha,2025-01-18,76523.82
Malha,2025-01-19,41390.83
Malha,2025-01-20,45407.38
Malha,2025-01-21,53286.11
Malha,2025-01-22,52161.42
Malha,2025-01-23,113428.14
Malha,2025-01-24,135915.75
Malha,2025-01-25,119267.19
Malha,2025-01-26,48662.81
Malha,2025-01-27,80621.66
Malha,2025-01-28,92303.47
Malha,2025-01-29,53371.637
Malha,2025-01-30,63476.254
Malha,2025-01-31,74517.42
Malha,2025-02-01,68231.99
Malha,2025-02-02,15566.672
Malha,2025-02-03,34728.1
Malha,2025-02-04,50063.21
Malha,2025-02-05,29518.242
Malha,2025-02-06,69942.32
Malha,2025-02-07,61514.465
Malha,2025-02-08,85710.37
Malha,2025-02-09,22121.215
Malha,2025-02-10,46693.875
Malha,2025-02-11,57422.547
Malha,2025-02-12,49717.15
Malha,2025-02-13,55252.04
Malha,2025-02-14,72683.72
Malha,2025-02-15,82819.984
Malha,2025-02-16,42224.79
Malha,2025-02-17,47423.688
Malha,2025-02-18,36579.844
Malha,2025-02-19,40908.97
Malha,2025-02-20,33436.977
Malha,2025-02-21,53914.523
Malha,2025-02-22,61280.11
Malha,2025-02-23,39349.97
Malha,2025-02-24,33255.688
Malha,2025-02-25,28392.883
Malha,2025-02-26,28953.986
Malha,2025-02-27,51504.105
Malha,2025-02-28,63791.867
Malha,2025-03-01,39232.36
Malha,2025-03-02,19459.855
Malha,2025-03-03,27557.564
Malha,2025-03-04,14642.055
Malha,2025-03-05,25016.18
Malha,2025-03-06,27802.955
Malha,2025-03-07,32859.95
Malha,2025-03-08,41714.418
Malha,2025-03-09,30540.854
Malha,2025-03-10,30160.443
Malha,2025-03-11,31231.734
Malha,2025-03-12,32694.457
Malha,2025-03-13,15832.434
Malha,2025-03-14,27027.932
Malha,2025-03-15,58241.293
Malha,2025-03-16,34579.55
Malha,2025-03-17,26685.666
Malha,2025-03-18,26845.432
Malha,2025-03-19,24141.445
Malha,2025-03-20,32919.734
Malha,2025-03-21,39209.305
Malha,2025-03-22,48595.098
Malha,2025-03-23,26765.256
Malha,2025-03-24,35745.25
Malha,2025-03-25,29375.996
Malha,2025-03-26,26427.6
Malha,2025-03-27,33177.332
Malha,2025-03-28,30694.873
Malha,2025-03-29,45090.355
Malha,2025-03-30,30357.53
Malha,2025-03-31,21602.822
Malha,2025-04-01,16169.145
Malha,2025-04-02,24605.9
Malha,2025-04-03,31249.162
Malha,2025-04-04,30468.088
Malha,2025-04-05,46606.605
Malha,2025-04-06,29595.955
Malha,2025-04-07,39722.67
Malha,2025-04-08,29135.402
Malha,2025-04-09,39149.535
Malha,2025-04-10,31266.736
Malha,2025-04-11,37103.094
Malha,2025-04-12,42145.82
Malha,2025-04-13,29237.803
Malha,2025-04-14,48138.258
Malha,2025-04-15,29576.729
Malha,2025-04-16,39006.453
Malha,2025-04-17,30702.582
Malha,2025-04-18,20171.85
Malha,2025-04-19,39950.457
Malha,2025-04-20,23367.445
Malha,2025-04-21,43279.62
Malha,2025-04-22,43759.11
Malha,2025-04-23,29575.543
Malha,2025-04-24,56719.88
Malha,2025-04-25,48501.32
Malha,2025-04-26,47871.41
Malha,2025-04-27,25318.428
Malha,2025-04-28,29221.56
Malha,2025-04-29,35922.47
Malha,2025-04-30,43898.926
Malha,2025-05-01,26092.047
Malha,2025-05-02,33144.617
Malha,2025-05-03,42171.547
Malha,2025-05-04,39591.69
Malha,2025-05-05,39443.625
Malha,2025-05-06,42375.42
Malha,2025-05-07,48185.734
Malha,2025-05-08,48647.95
Malha,2025-05-09,62015.652
Malha,2025-05-10,60338.215
Malha,2025-05-11,26676.473
Malha,2025-05-12,19756.777
Malha,2025-05-13,26641.549
Malha,2025-05-14,20476.676
Malha,2025-05-15,29412.281
Malha,2025-05-16,25745.773
Malha,2025-05-17,57845.977
Malha,2025-05-18,27831.232
Malha,2025-05-19,21107.396
Malha,2025-05-20,25432.695
Malha,2025-05-21,24156.898
Malha,2025-05-22,38315.832
Malha,2025-05-23,32905.33
Malha,2025-05-24,35837.668
Malha,2025-05-25,28367.686
Malha,2025-05-26,22893.752
Malha,2025-05-27,26778.416
Malha,2025-05-28,26416.43
Malha,2025-05-29,35586.74
Malha,2025-05-30,35180.125
Malha,2025-05-31,47578.586
Malha,2025-06-01,40709.13
Malha,2025-06-02,41916.477
Malha,2025-06-03,29740.19
Malha,2025-06-04,39768.723
Malha,2025-06-05,41807.816
Malha,2025-06-06,39260.094
Malha,2025-06-07,57931.0
Malha,2025-06-08,46569.027
Malha,2025-06-09,39047.258
Malha,2025-06-10,44938.97
Malha,2025-06-11,64018.25
Malha,2025-06-12,180360.47
Malha,2025-06-13,208402.1
Malha,2025-06-14,280124.47
Malha,2025-06-15,156092.31
Malha,2025-06-16,112367.57
Malha,2025-06-17,145573.97
Malha,2025-06-18,98658.37
Malha,2025-06-19,144063.22
Malha,2025-06-20,131681.34
Malha,2025-06-21,110750.06
Malha,2025-06-22,60976.9
Malha,2025-06-23,66555.84
Malha,2025-06-24,74652.125
Malha,2025-06-25,92152.625
Malha,2025-06-26,119992.39
Malha,2025-06-27,139382.8
Malha,2025-06-28,181130.05
Malha,2025-06-29,125486.09
Malha,2025-06-30,123078.375
Malha,2025-07-01,78803.03
Malha,2025-07-02,74409.41
Malha,2025-07-03,71762.9
Malha,2025-07-04,85935.68
Malha,2025-07-05,102761.66
Malha,2025-07-06,49012.508
Malha,2025-07-07,69851.28
Malha,2025-07-08,64152.78
