unique_id,ds,GRU
Outros,2025-01-01,-3844.25
Outros,2025-01-02,56697.754
Outros,2025-01-03,74830.375
Outros,2025-01-04,92358.18
Outros,2025-01-05,-9976.648
Outros,2025-01-06,78938.02
Outros,2025-01-07,68435.18
Outros,2025-01-08,34441.08
Outros,2025-01-09,53937.477
Outros,2025-01-10,-10502.039
Outros,2025-01-11,84452.664
Outros,2025-01-12,73500.59
Outros,2025-01-13,44311.13
Outros,2025-01-14,55370.7
Outros,2025-01-15,29615.664
Outros,2025-01-16,47017.31
Outros,2025-01-17,74277.94
Outros,2025-01-18,108314.84
Outros,2025-01-19,39710.86
Outros,2025-01-20,54742.594
Outros,2025-01-21,72722.3
Outros,2025-01-22,85251.625
Outros,2025-01-23,78201.875
Outros,2025-01-24,135479.28
Outros,2025-01-25,230463.34
Outros,2025-01-26,129730.33
Outros,2025-01-27,104480.71
Outros,2025-01-28,97212.86
Outros,2025-01-29,97299.12
Outros,2025-01-30,81960.125
Outros,2025-01-31,82822.61
Outros,2025-02-01,115255.2
Outros,2025-02-02,63576.113
Outros,2025-02-03,52435.07
Outros,2025-02-04,61475.71
Outros,2025-02-05,32244.227
Outros,2025-02-06,48151.312
Outros,2025-02-07,100412.14
Outros,2025-02-08,176971.28
Outros,2025-02-09,79753.94
Outros,2025-02-10,103844.63
Outros,2025-02-11,103093.55
Outros,2025-02-12,63609.926
Outros,2025-02-13,131402.89
Outros,2025-02-14,111884.266
Outros,2025-02-15,152938.73
Outros,2025-02-16,74759.86
Outros,2025-02-17,104393.02
Outros,2025-02-18,66578.18
Outros,2025-02-19,70436.78
Outros,2025-02-20,45243.44
Outros,2025-02-21,57896.227
Outros,2025-02-22,90765.164
Outros,2025-02-23,55419.03
Outros,2025-02-24,66424.93
Outros,2025-02-25,61867.723
Outros,2025-02-26,39109.184
Outros,2025-02-27,37629.117
Outros,2025-02-28,71550.14
Outros,2025-03-01,16883.21
Outros,2025-03-02,11970.359
Outros,2025-03-03,22883.71
Outros,2025-03-04,17682.031
Outros,2025-03-05,17440.664
Outros,2025-03-06,1215.1328
Outros,2025-03-07,14659.453
Outros,2025-03-08,25642.36
Outros,2025-03-09,25367.102
Outros,2025-03-10,19568.594
Outros,2025-03-11,52823.06
Outros,2025-03-12,46820.688
Outros,2025-03-13,47350.438
Outros,2025-03-14,39088.07
Outros,2025-03-15,72379.0
Outros,2025-03-16,29307.32
Outros,2025-03-17,65146.086
Outros,2025-03-18,72330.88
Outros,2025-03-19,35783.133
Outros,2025-03-20,52869.098
Outros,2025-03-21,40824.652
Outros,2025-03-22,55953.4
Outros,2025-03-23,57049.43
Outros,2025-03-24,66376.84
Outros,2025-03-25,65293.97
Outros,2025-03-26,81970.45
Outros,2025-03-27,52976.64
Outros,2025-03-28,34331.008
Outros,2025-03-29,42957.965
Outros,2025-03-30,30316.125
Outros,2025-03-31,73887.14
Outros,2025-04-01,61822.297
Outros,2025-04-02,34262.844
Outros,2025-04-03,55789.266
Outros,2025-04-04,44877.87
Outros,2025-04-05,50315.406
Outros,2025-04-06,18594.414
Outros,2025-04-07,47070.402
Outros,2025-04-08,57851.1
Outros,2025-04-09,65205.727
Outros,2025-04-10,58680.73
Outros,2025-04-11,58540.773
Outros,2025-04-12,58694.492
Outros,2025-04-13,53170.23
Outros,2025-04-14,52638.098
Outros,2025-04-15,57273.254
Outros,2025-04-16,83261.16
Outros,2025-04-17,73141.875
Outros,2025-04-18,16910.156
Outros,2025-04-19,55469.38
Outros,2025-04-20,-7875.0156
Outros,2025-04-21,71426.84
Outros,2025-04-22,96932.09
Outros,2025-04-23,48820.266
Outros,2025-04-24,68403.03
Outros,2025-04-25,62374.66
Outros,2025-04-26,91074.1
Outros,2025-04-27,70078.8
Outros,2025-04-28,81588.86
Outros,2025-04-29,90980.016
Outros,2025-04-30,62537.145
Outros,2025-05-01,25542.594
Outros,2025-05-02,45952.723
Outros,2025-05-03,76250.21
Outros,2025-05-04,43986.082
Outros,2025-05-05,58421.457
Outros,2025-05-06,68174.83
Outros,2025-05-07,91673.85
Outros,2025-05-08,102405.74
Outros,2025-05-09,107033.9
Outros,2025-05-10,177183.16
Outros,2025-05-11,53270.215
Outros,2025-05-12,80466.91
Outros,2025-05-13,73576.26
Outros,2025-05-14,54781.44
Outros,2025-05-15,82843.586
Outros,2025-05-16,81403.74
Outros,2025-05-17,140790.72
Outros,2025-05-18,91286.56
Outros,2025-05-19,58955.76
Outros,2025-05-20,85717.555
Outros,2025-05-21,82895.766
Outros,2025-05-22,93785.83
Outros,2025-05-23,104377.266
Outros,2025-05-24,123892.45
Outros,2025-05-25,75482.88
Outros,2025-05-26,93304.14
Outros,2025-05-27,65706.45
Outros,2025-05-28,98423.46
Outros,2025-05-29,52623.45
Outros,2025-05-30,106873.75
Outros,2025-05-31,105439.91
Outros,2025-06-01,25671.61
Outros,2025-06-02,71079.96
Outros,2025-06-03,81846.77
Outros,2025-06-04,52700.934
Outros,2025-06-05,79520.41
Outros,2025-06-06,100625.27
Outros,2025-06-07,117379.445
Outros,2025-06-08,54889.914
Outros,2025-06-09,26091.023
Outros,2025-06-10,92682.37
Outros,2025-06-11,108694.5
Outros,2025-06-12,770452.0
Outros,2025-06-13,715620.5
Outros,2025-06-14,1004615.75
Outros,2025-06-15,474227.88
Outros,2025-06-16,271430.56
Outros,2025-06-17,262883.7
Outros,2025-06-18,174206.75
Outros,2025-06-19,292605.94
Outros,2025-06-20,323473.44
Outros,2025-06-21,213269.53
Outros,2025-06-22,116158.48
Outros,2025-06-23,116790.8
Outros,2025-06-24,98677.4
Outros,2025-06-25,120292.98
Outros,2025-06-26,298883.94
Outros,2025-06-27,337025.5
Outros,2025-06-28,491405.4
Outros,2025-06-29,249119.5
Outros,2025-06-30,231843.44
Outros,2025-07-01,93919.17
Outros,2025-07-02,116951.05
Outros,2025-07-03,106339.87
Outros,2025-07-04,122883.414
Outros,2025-07-05,202212.78
Outros,2025-07-06,115090.81
Outros,2025-07-07,121748.375
Outros,2025-07-08,93710.59
Outros,2025-07-09,95117.08
Outros,2025-07-10,93269.67
Outros,2025-07-11,68575.69
Outros,2025-07-12,80379.94
Outros,2025-07-13,49410.76
Outros,2025-07-14,64475.48
Outros,2025-07-15,81001.66
Outros,2025-07-16,61334.13
Outros,2025-07-17,46235.25
Outros,2025-07-18,49756.336
Outros,2025-07-19,51866.152
Outros,2025-07-20,26663.977
Outros,2025-07-21,85201.61
Outros,2025-07-22,61437.844
Outros,2025-07-23,68042.7
Outros,2025-07-24,33290.4
Outros,2025-07-25,70130.64
Outros,2025-07-26,37515.367
Outros,2025-07-27,58546.24
Outros,2025-07-28,56443.918
Outros,2025-07-29,69632.78
Outros,2025-07-30,76914.84
Outros,2025-07-31,62549.746
Outros,2025-08-01,55468.305
Outros,2025-08-02,69078.59
Outros,2025-08-03,80678.914
Outros,2025-08-04,86772.35
Outros,2025-08-05,79454.72
Outros,2025-08-06,101998.875
Outros,2025-08-07,107023.22
Outros,2025-08-08,96377.24
Outros,2025-08-09,123611.55
Outros,2025-08-10,40584.523
Outros,2025-08-11,50428.043
Outros,2025-08-12,62311.98
Outros,2025-08-13,69912.8
Outros,2025-08-14,68057.3
Outros,2025-08-15,92873.58
Outros,2025-08-16,59361.652
Outros,2025-08-17,29812.594
Outros,2025-08-18,57863.55
Outros,2025-08-19,71733.64
Outros,2025-08-20,47957.445
Outros,2025-08-21,61229.695
Outros,2025-08-22,70855.664
Outros,2025-08-23,69711.64
Outros,2025-08-24,47471.863
Outros,2025-08-25,57779.504
Outros,2025-08-26,64429.082
Outros,2025-08-27,64613.395
Outros,2025-08-28,100071.734
Outros,2025-08-29,81901.59
Outros,2025-08-30,51270.37
Outros,2025-08-31,77452.48
Outros,2025-09-01,66543.78
Outros,2025-09-02,54597.25
Outros,2025-09-03,29889.172
Outros,2025-09-04,68115.61
Outros,2025-09-05,58156.305
Outros,2025-09-06,104764.54
Outros,2025-09-07,32214.54
Outros,2025-09-08,70714.8
Outros,2025-09-09,67269.63
Outros,2025-09-10,93217.77
Outros,2025-09-11,87631.49
Outros,2025-09-12,75269.61
Outros,2025-09-13,93033.445
Outros,2025-09-14,45340.867
Outros,2025-09-15,69738.41
Outros,2025-09-16,61758.277
Outros,2025-09-17,71401.46
Outros,2025-09-18,60013.613
Outros,2025-09-19,73728.77
Outros,2025-09-20,58265.16
Outros,2025-09-21,67185.57
Outros,2025-09-22,61845.46
Outros,2025-09-23,61426.15
