unique_id,ds,GRU
Tecido Plano,2025-01-01,40714.742
Tecido Plano,2025-01-02,132785.69
Tecido Plano,2025-01-03,354927.4
Tecido Plano,2025-01-04,309273.06
Tecido Plano,2025-01-05,197795.23
Tecido Plano,2025-01-06,238925.77
Tecido Plano,2025-01-07,180753.38
Tecido Plano,2025-01-08,159057.45
Tecido Plano,2025-01-09,164958.7
Tecido Plano,2025-01-10,236431.42
Tecido Plano,2025-01-11,165641.64
Tecido Plano,2025-01-12,73035.91
Tecido Plano,2025-01-13,56389.355
Tecido Plano,2025-01-14,96314.875
Tecido Plano,2025-01-15,37555.85
Tecido Plano,2025-01-16,95734.51
Tecido Plano,2025-01-17,114550.42
Tecido Plano,2025-01-18,104528.11
Tecido Plano,2025-01-19,71576.305
Tecido Plano,2025-01-20,53976.18
Tecido Plano,2025-01-21,34342.53
Tecido Plano,2025-01-22,55527.85
Tecido Plano,2025-01-23,115008.72
Tecido Plano,2025-01-24,148202.86
Tecido Plano,2025-01-25,176573.17
Tecido Plano,2025-01-26,76624.445
Tecido Plano,2025-01-27,117183.08
Tecido Plano,2025-01-28,92818.18
Tecido Plano,2025-01-29,82814.33
Tecido Plano,2025-01-30,95290.23
Tecido Plano,2025-01-31,154680.55
Tecido Plano,2025-02-01,171077.28
Tecido Plano,2025-02-02,82506.47
Tecido Plano,2025-02-03,67119.86
Tecido Plano,2025-02-04,83355.99
Tecido Plano,2025-02-05,56215.867
Tecido Plano,2025-02-06,94989.97
Tecido Plano,2025-02-07,120078.55
Tecido Plano,2025-02-08,140382.1
Tecido Plano,2025-02-09,78619.805
Tecido Plano,2025-02-10,70351.49
Tecido Plano,2025-02-11,85864.57
Tecido Plano,2025-02-12,122881.516
Tecido Plano,2025-02-13,116965.22
Tecido Plano,2025-02-14,135472.05
Tecido Plano,2025-02-15,171128.25
Tecido Plano,2025-02-16,72962.375
Tecido Plano,2025-02-17,115359.47
Tecido Plano,2025-02-18,112205.75
Tecido Plano,2025-02-19,109005.33
Tecido Plano,2025-02-20,129642.53
Tecido Plano,2025-02-21,107309.2
Tecido Plano,2025-02-22,180715.1
Tecido Plano,2025-02-23,74497.11
Tecido Plano,2025-02-24,99462.89
Tecido Plano,2025-02-25,99992.14
Tecido Plano,2025-02-26,83253.17
Tecido Plano,2025-02-27,98304.734
Tecido Plano,2025-02-28,109284.3
Tecido Plano,2025-03-01,93016.2
Tecido Plano,2025-03-02,31547.482
Tecido Plano,2025-03-03,51133.766
Tecido Plano,2025-03-04,45954.71
Tecido Plano,2025-03-05,53277.79
Tecido Plano,2025-03-06,61869.234
Tecido Plano,2025-03-07,81531.61
Tecido Plano,2025-03-08,132773.72
Tecido Plano,2025-03-09,79634.125
