unique_id,ds,GRU
Moda,2025-01-01,12532.352
Moda,2025-01-02,36492.246
Moda,2025-01-03,62780.207
Moda,2025-01-04,105168.766
Moda,2025-01-05,68342.24
Moda,2025-01-06,54427.3
Moda,2025-01-07,61024.656
Moda,2025-01-08,146159.88
Moda,2025-01-09,176278.75
Moda,2025-01-10,169815.27
Moda,2025-01-11,180045.25
Moda,2025-01-12,90823.29
Moda,2025-01-13,77994.766
Moda,2025-01-14,167021.9
Moda,2025-01-15,74671.57
Moda,2025-01-16,102115.31
Moda,2025-01-17,117777.805
Moda,2025-01-18,148524.06
Moda,2025-01-19,73119.75
Moda,2025-01-20,73914.64
Moda,2025-01-21,104424.31
Moda,2025-01-22,60412.332
Moda,2025-01-23,77472.984
Moda,2025-01-24,70024.31
Moda,2025-01-25,126619.305
Moda,2025-01-26,27673.523
Moda,2025-01-27,35170.83
Moda,2025-01-28,98899.17
Moda,2025-01-29,44235.78
Moda,2025-01-30,68273.45
Moda,2025-01-31,133795.33
Moda,2025-02-01,168097.9
Moda,2025-02-02,62515.4
Moda,2025-02-03,44627.51
Moda,2025-02-04,54188.387
Moda,2025-02-05,52486.156
Moda,2025-02-06,47496.03
Moda,2025-02-07,110753.67
Moda,2025-02-08,308898.7
Moda,2025-02-09,236672.17
Moda,2025-02-10,198466.72
Moda,2025-02-11,120694.6
Moda,2025-02-12,185523.95
Moda,2025-02-13,185075.16
Moda,2025-02-14,214004.53
Moda,2025-02-15,292542.62
Moda,2025-02-16,132575.83
Moda,2025-02-17,123899.9
Moda,2025-02-18,114721.71
Moda,2025-02-19,97545.13
Moda,2025-02-20,75814.12
Moda,2025-02-21,157789.55
Moda,2025-02-22,197430.52
Moda,2025-02-23,65647.54
Moda,2025-02-24,82728.16
Moda,2025-02-25,98370.375
Moda,2025-02-26,104901.58
Moda,2025-02-27,76967.375
Moda,2025-02-28,114142.12
Moda,2025-03-01,108812.16
Moda,2025-03-02,47303.977
Moda,2025-03-03,76042.6
Moda,2025-03-04,29081.695
Moda,2025-03-05,68494.06
Moda,2025-03-06,48450.47
Moda,2025-03-07,85484.89
Moda,2025-03-08,144405.31
Moda,2025-03-09,59561.53
Moda,2025-03-10,51146.19
Moda,2025-03-11,49980.773
Moda,2025-03-12,89995.09
Moda,2025-03-13,78108.72
Moda,2025-03-14,102676.18
Moda,2025-03-15,234691.47
Moda,2025-03-16,140128.36
Moda,2025-03-17,63195.65
Moda,2025-03-18,76440.766
Moda,2025-03-19,34093.78
Moda,2025-03-20,83579.305
Moda,2025-03-21,111182.516
Moda,2025-03-22,248786.7
Moda,2025-03-23,76806.195
Moda,2025-03-24,57575.348
Moda,2025-03-25,100453.69
Moda,2025-03-26,66671.945
Moda,2025-03-27,61196.926
Moda,2025-03-28,107463.06
Moda,2025-03-29,253047.34
Moda,2025-03-30,170612.73
Moda,2025-03-31,64612.492
Moda,2025-04-01,112713.17
Moda,2025-04-02,104202.164
Moda,2025-04-03,110172.1
Moda,2025-04-04,186943.7
Moda,2025-04-05,302463.7
Moda,2025-04-06,152118.62
Moda,2025-04-07,92177.445
Moda,2025-04-08,82060.375
Moda,2025-04-09,52481.93
Moda,2025-04-10,88808.305
Moda,2025-04-11,194534.34
Moda,2025-04-12,274628.38
Moda,2025-04-13,95510.91
Moda,2025-04-14,139535.14
Moda,2025-04-15,61586.477
Moda,2025-04-16,121086.28
Moda,2025-04-17,81404.664
Moda,2025-04-18,68650.016
Moda,2025-04-19,221115.19
Moda,2025-04-20,59021.85
Moda,2025-04-21,98806.65
Moda,2025-04-22,27981.383
Moda,2025-04-23,80442.586
Moda,2025-04-24,76360.12
Moda,2025-04-25,143407.58
Moda,2025-04-26,232925.47
Moda,2025-04-27,40772.875
Moda,2025-04-28,81151.01
Moda,2025-04-29,72048.555
Moda,2025-04-30,118163.02
Moda,2025-05-01,107886.05
Moda,2025-05-02,169474.16
Moda,2025-05-03,219587.06
Moda,2025-05-04,102779.016
Moda,2025-05-05,100828.76
Moda,2025-05-06,95219.45
Moda,2025-05-07,107763.695
Moda,2025-05-08,131532.36
Moda,2025-05-09,227415.47
Moda,2025-05-10,279414.94
Moda,2025-05-11,130041.31
Moda,2025-05-12,62555.043
Moda,2025-05-13,178288.34
Moda,2025-05-14,142200.31
Moda,2025-05-15,134819.34
Moda,2025-05-16,216435.75
Moda,2025-05-17,285743.3
Moda,2025-05-18,147260.11
Moda,2025-05-19,101801.945
Moda,2025-05-20,153206.78
Moda,2025-05-21,155289.47
Moda,2025-05-22,149661.55
Moda,2025-05-23,233786.55
Moda,2025-05-24,303454.7
Moda,2025-05-25,199010.69
Moda,2025-05-26,131856.47
Moda,2025-05-27,177747.16
Moda,2025-05-28,148694.56
Moda,2025-05-29,169591.62
Moda,2025-05-30,226398.47
Moda,2025-05-31,304213.7
Moda,2025-06-01,135661.94
Moda,2025-06-02,164740.72
Moda,2025-06-03,179901.84
Moda,2025-06-04,132606.25
Moda,2025-06-05,130840.92
Moda,2025-06-06,226117.31
Moda,2025-06-07,374969.7
Moda,2025-06-08,191208.81
Moda,2025-06-09,158858.36
Moda,2025-06-10,218406.72
Moda,2025-06-11,300223.62
Moda,2025-06-12,289111.72
Moda,2025-06-13,284264.88
Moda,2025-06-14,294213.22
Moda,2025-06-15,163147.73
Moda,2025-06-16,153532.4
Moda,2025-06-17,233784.83
Moda,2025-06-18,202427.53
Moda,2025-06-19,214152.69
Moda,2025-06-20,220373.44
Moda,2025-06-21,268285.88
Moda,2025-06-22,117841.11
Moda,2025-06-23,120063.984
Moda,2025-06-24,132242.53
Moda,2025-06-25,189058.44
Moda,2025-06-26,196178.5
Moda,2025-06-27,200968.25
Moda,2025-06-28,307623.56
Moda,2025-06-29,170590.69
Moda,2025-06-30,167382.47
Moda,2025-07-01,181938.38
Moda,2025-07-02,167139.25
Moda,2025-07-03,225694.27
Moda,2025-07-04,272787.2
Moda,2025-07-05,295598.34
Moda,2025-07-06,172736.89
Moda,2025-07-07,149755.5
Moda,2025-07-08,166649.4
Moda,2025-07-09,154864.16
Moda,2025-07-10,165874.22
Moda,2025-07-11,214341.16
Moda,2025-07-12,246790.08
Moda,2025-07-13,117200.92
Moda,2025-07-14,121096.44
Moda,2025-07-15,121564.125
Moda,2025-07-16,126885.84
Moda,2025-07-17,129031.875
Moda,2025-07-18,148487.44
Moda,2025-07-19,212533.72
Moda,2025-07-20,108014.0
Moda,2025-07-21,68687.75
Moda,2025-07-22,90230.984
Moda,2025-07-23,125651.53
Moda,2025-07-24,165720.69
Moda,2025-07-25,121463.64
Moda,2025-07-26,214402.0
Moda,2025-07-27,114616.086
Moda,2025-07-28,123875.92
Moda,2025-07-29,161394.78
Moda,2025-07-30,116905.41
Moda,2025-07-31,202213.22
Moda,2025-08-01,112854.125
