unique_id,ds,GRU
Outros,2025-01-01,-13827.594
Outros,2025-01-02,38604.266
Outros,2025-01-03,34250.844
Outros,2025-01-04,18016.648
Outros,2025-01-05,13124.994
Outros,2025-01-06,10988.98
Outros,2025-01-07,20170.732
Outros,2025-01-08,24225.895
Outros,2025-01-09,50250.37
Outros,2025-01-10,55775.926
Outros,2025-01-11,57534.027
Outros,2025-01-12,48865.793
Outros,2025-01-13,46968.37
Outros,2025-01-14,55032.242
Outros,2025-01-15,48110.594
Outros,2025-01-16,62547.64
Outros,2025-01-17,36299.5
Outros,2025-01-18,80132.02
Outros,2025-01-19,19884.494
Outros,2025-01-20,24479.008
Outros,2025-01-21,35380.79
Outros,2025-01-22,54331.21
Outros,2025-01-23,23558.916
Outros,2025-01-24,34906.8
Outros,2025-01-25,36327.42
Outros,2025-01-26,47895.89
Outros,2025-01-27,39648.74
Outros,2025-01-28,26346.24
Outros,2025-01-29,16315.498
Outros,2025-01-30,43234.81
Outros,2025-01-31,14840.254
Outros,2025-02-01,39128.94
Outros,2025-02-02,32967.18
Outros,2025-02-03,23309.193
Outros,2025-02-04,10427.605
Outros,2025-02-05,13530.158
Outros,2025-02-06,9851.738
Outros,2025-02-07,29172.469
Outros,2025-02-08,65768.516
Outros,2025-02-09,35339.746
Outros,2025-02-10,22630.982
Outros,2025-02-11,29602.496
Outros,2025-02-12,36364.094
Outros,2025-02-13,14351.053
Outros,2025-02-14,47484.37
Outros,2025-02-15,59532.004
Outros,2025-02-16,23436.906
Outros,2025-02-17,20235.004
Outros,2025-02-18,27089.977
Outros,2025-02-19,15115.453
Outros,2025-02-20,28546.467
Outros,2025-02-21,20080.389
Outros,2025-02-22,34973.26
Outros,2025-02-23,11477.363
Outros,2025-02-24,18116.467
Outros,2025-02-25,23425.424
Outros,2025-02-26,39366.875
Outros,2025-02-27,27128.836
Outros,2025-02-28,44906.133
Outros,2025-03-01,37771.055
Outros,2025-03-02,28380.285
Outros,2025-03-03,20613.748
Outros,2025-03-04,16266.789
Outros,2025-03-05,24652.273
