unique_id,ds,GRU
Jeans e Sarja,2025-01-01,14844.414
Jeans e Sarja,2025-01-02,64046.305
Jeans e Sarja,2025-01-03,61261.35
Jeans e Sarja,2025-01-04,96328.22
Jeans e Sarja,2025-01-05,55149.727
Jeans e Sarja,2025-01-06,36896.242
Jeans e Sarja,2025-01-07,66312.75
Jeans e Sarja,2025-01-08,115061.28
Jeans e Sarja,2025-01-09,140794.78
Jeans e Sarja,2025-01-10,131916.61
Jeans e Sarja,2025-01-11,195405.72
Jeans e Sarja,2025-01-12,106499.87
Jeans e Sarja,2025-01-13,99815.516
Jeans e Sarja,2025-01-14,160881.38
Jeans e Sarja,2025-01-15,110177.28
Jeans e Sarja,2025-01-16,125290.16
Jeans e Sarja,2025-01-17,119392.266
Jeans e Sarja,2025-01-18,170863.03
Jeans e Sarja,2025-01-19,46213.08
Jeans e Sarja,2025-01-20,73480.625
Jeans e Sarja,2025-01-21,86523.67
Jeans e Sarja,2025-01-22,148202.95
Jeans e Sarja,2025-01-23,98956.28
Jeans e Sarja,2025-01-24,100976.14
Jeans e Sarja,2025-01-25,106285.31
Jeans e Sarja,2025-01-26,70857.914
Jeans e Sarja,2025-01-27,73206.625
Jeans e Sarja,2025-01-28,41106.312
Jeans e Sarja,2025-01-29,67106.27
Jeans e Sarja,2025-01-30,95050.04
Jeans e Sarja,2025-01-31,35524.9
Jeans e Sarja,2025-02-01,118125.33
Jeans e Sarja,2025-02-02,76073.95
Jeans e Sarja,2025-02-03,49287.832
Jeans e Sarja,2025-02-04,39041.348
Jeans e Sarja,2025-02-05,49169.316
Jeans e Sarja,2025-02-06,54253.26
Jeans e Sarja,2025-02-07,67670.586
Jeans e Sarja,2025-02-08,129127.78
Jeans e Sarja,2025-02-09,118395.52
Jeans e Sarja,2025-02-10,39060.836
Jeans e Sarja,2025-02-11,71995.016
Jeans e Sarja,2025-02-12,59344.344
Jeans e Sarja,2025-02-13,65997.86
Jeans e Sarja,2025-02-14,63497.26
Jeans e Sarja,2025-02-15,136655.12
Jeans e Sarja,2025-02-16,72367.84
Jeans e Sarja,2025-02-17,37680.438
Jeans e Sarja,2025-02-18,53458.047
Jeans e Sarja,2025-02-19,53205.586
Jeans e Sarja,2025-02-20,46114.57
Jeans e Sarja,2025-02-21,36138.594
Jeans e Sarja,2025-02-22,81624.68
Jeans e Sarja,2025-02-23,70813.82
Jeans e Sarja,2025-02-24,45926.543
Jeans e Sarja,2025-02-25,64132.844
Jeans e Sarja,2025-02-26,51677.18
Jeans e Sarja,2025-02-27,66774.95
Jeans e Sarja,2025-02-28,59319.27
Jeans e Sarja,2025-03-01,48352.434
Jeans e Sarja,2025-03-02,46475.266
Jeans e Sarja,2025-03-03,41706.05
Jeans e Sarja,2025-03-04,27314.902
Jeans e Sarja,2025-03-05,39984.332
Jeans e Sarja,2025-03-06,56163.094
Jeans e Sarja,2025-03-07,54171.02
Jeans e Sarja,2025-03-08,64651.18
Jeans e Sarja,2025-03-09,57643.188
Jeans e Sarja,2025-03-10,42254.777
Jeans e Sarja,2025-03-11,49219.78
Jeans e Sarja,2025-03-12,42377.67
Jeans e Sarja,2025-03-13,63141.465
Jeans e Sarja,2025-03-14,55528.203
Jeans e Sarja,2025-03-15,70641.06
Jeans e Sarja,2025-03-16,76902.984
Jeans e Sarja,2025-03-17,26030.188
Jeans e Sarja,2025-03-18,46738.914
Jeans e Sarja,2025-03-19,37924.992
Jeans e Sarja,2025-03-20,58550.1
Jeans e Sarja,2025-03-21,75117.266
Jeans e Sarja,2025-03-22,109710.69
Jeans e Sarja,2025-03-23,53364.62
Jeans e Sarja,2025-03-24,26194.277
Jeans e Sarja,2025-03-25,27776.508
Jeans e Sarja,2025-03-26,48641.086
Jeans e Sarja,2025-03-27,52663.965
Jeans e Sarja,2025-03-28,80841.516
Jeans e Sarja,2025-03-29,73606.54
Jeans e Sarja,2025-03-30,58185.094
Jeans e Sarja,2025-03-31,34581.523
Jeans e Sarja,2025-04-01,57809.688
Jeans e Sarja,2025-04-02,48285.516
Jeans e Sarja,2025-04-03,57893.125
Jeans e Sarja,2025-04-04,83439.65
Jeans e Sarja,2025-04-05,90924.586
Jeans e Sarja,2025-04-06,40058.32
Jeans e Sarja,2025-04-07,32140.773
Jeans e Sarja,2025-04-08,19429.742
Jeans e Sarja,2025-04-09,38334.254
Jeans e Sarja,2025-04-10,51604.21
Jeans e Sarja,2025-04-11,72072.305
Jeans e Sarja,2025-04-12,80719.48
Jeans e Sarja,2025-04-13,44955.47
Jeans e Sarja,2025-04-14,31891.73
Jeans e Sarja,2025-04-15,48257.258
Jeans e Sarja,2025-04-16,51706.477
Jeans e Sarja,2025-04-17,53954.72
Jeans e Sarja,2025-04-18,34967.75
Jeans e Sarja,2025-04-19,92365.51
Jeans e Sarja,2025-04-20,39187.934
Jeans e Sarja,2025-04-21,48358.633
Jeans e Sarja,2025-04-22,35810.6
Jeans e Sarja,2025-04-23,47471.066
Jeans e Sarja,2025-04-24,39569.52
Jeans e Sarja,2025-04-25,65402.67
Jeans e Sarja,2025-04-26,70601.516
Jeans e Sarja,2025-04-27,56522.28
Jeans e Sarja,2025-04-28,29757.41
Jeans e Sarja,2025-04-29,50656.656
Jeans e Sarja,2025-04-30,84171.54
Jeans e Sarja,2025-05-01,17731.324
Jeans e Sarja,2025-05-02,87483.64
Jeans e Sarja,2025-05-03,80254.51
Jeans e Sarja,2025-05-04,43960.07
Jeans e Sarja,2025-05-05,47374.87
Jeans e Sarja,2025-05-06,61248.434
