unique_id,ds,GRU
Malha e Moletom,2025-01-01,21757.457
Malha e Moletom,2025-01-02,63886.0
Malha e Moletom,2025-01-03,86826.91
Malha e Moletom,2025-01-04,131211.45
Malha e Moletom,2025-01-05,85789.33
Malha e Moletom,2025-01-06,87338.19
Malha e Moletom,2025-01-07,63841.88
Malha e Moletom,2025-01-08,123717.86
Malha e Moletom,2025-01-09,158553.66
Malha e Moletom,2025-01-10,160911.14
Malha e Moletom,2025-01-11,193614.64
Malha e Moletom,2025-01-12,100480.41
Malha e Moletom,2025-01-13,92543.7
Malha e Moletom,2025-01-14,96544.18
Malha e Moletom,2025-01-15,118315.664
Malha e Moletom,2025-01-16,95512.04
Malha e Moletom,2025-01-17,116752.94
Malha e Moletom,2025-01-18,146000.98
Malha e Moletom,2025-01-19,53765.688
Malha e Moletom,2025-01-20,74811.28
Malha e Moletom,2025-01-21,86778.41
Malha e Moletom,2025-01-22,101382.4
Malha e Moletom,2025-01-23,103197.86
Malha e Moletom,2025-01-24,76402.12
Malha e Moletom,2025-01-25,151421.14
Malha e Moletom,2025-01-26,67327.875
Malha e Moletom,2025-01-27,55274.457
Malha e Moletom,2025-01-28,54079.61
Malha e Moletom,2025-01-29,47420.656
Malha e Moletom,2025-01-30,29325.61
Malha e Moletom,2025-01-31,75444.8
Malha e Moletom,2025-02-01,110692.29
Malha e Moletom,2025-02-02,72213.07
Malha e Moletom,2025-02-03,38787.344
Malha e Moletom,2025-02-04,65190.992
Malha e Moletom,2025-02-05,69715.016
Malha e Moletom,2025-02-06,80431.61
Malha e Moletom,2025-02-07,136944.08
Malha e Moletom,2025-02-08,161532.9
Malha e Moletom,2025-02-09,88629.83
Malha e Moletom,2025-02-10,59274.453
Malha e Moletom,2025-02-11,53053.35
Malha e Moletom,2025-02-12,72373.35
Malha e Moletom,2025-02-13,76034.48
Malha e Moletom,2025-02-14,105692.84
Malha e Moletom,2025-02-15,89042.086
Malha e Moletom,2025-02-16,63853.758
Malha e Moletom,2025-02-17,50168.32
Malha e Moletom,2025-02-18,49853.066
Malha e Moletom,2025-02-19,71164.49
Malha e Moletom,2025-02-20,65009.45
Malha e Moletom,2025-02-21,70520.76
Malha e Moletom,2025-02-22,131148.33
Malha e Moletom,2025-02-23,56955.875
Malha e Moletom,2025-02-24,64200.555
Malha e Moletom,2025-02-25,77238.68
Malha e Moletom,2025-02-26,60597.363
Malha e Moletom,2025-02-27,84215.72
Malha e Moletom,2025-02-28,116646.41
Malha e Moletom,2025-03-01,83104.79
Malha e Moletom,2025-03-02,43818.504
Malha e Moletom,2025-03-03,48704.797
Malha e Moletom,2025-03-04,30313.715
Malha e Moletom,2025-03-05,45341.758
Malha e Moletom,2025-03-06,41239.05
Malha e Moletom,2025-03-07,84413.86
Malha e Moletom,2025-03-08,113955.01
Malha e Moletom,2025-03-09,91068.27
Malha e Moletom,2025-03-10,44316.89
Malha e Moletom,2025-03-11,60245.836
Malha e Moletom,2025-03-12,56234.406
Malha e Moletom,2025-03-13,85089.94
Malha e Moletom,2025-03-14,97870.13
Malha e Moletom,2025-03-15,146350.28
Malha e Moletom,2025-03-16,79192.95
Malha e Moletom,2025-03-17,48024.414
Malha e Moletom,2025-03-18,45497.023
Malha e Moletom,2025-03-19,45370.09
Malha e Moletom,2025-03-20,86925.234
Malha e Moletom,2025-03-21,92061.92
Malha e Moletom,2025-03-22,143540.55
Malha e Moletom,2025-03-23,69809.98
Malha e Moletom,2025-03-24,58952.516
Malha e Moletom,2025-03-25,35106.773
Malha e Moletom,2025-03-26,57056.047
Malha e Moletom,2025-03-27,77511.41
Malha e Moletom,2025-03-28,92056.74
Malha e Moletom,2025-03-29,148167.47
Malha e Moletom,2025-03-30,55971.312
Malha e Moletom,2025-03-31,55954.68
Malha e Moletom,2025-04-01,55899.86
Malha e Moletom,2025-04-02,46235.562
Malha e Moletom,2025-04-03,66829.984
Malha e Moletom,2025-04-04,106535.47
Malha e Moletom,2025-04-05,144034.27
Malha e Moletom,2025-04-06,63111.492
Malha e Moletom,2025-04-07,49955.47
Malha e Moletom,2025-04-08,47357.0
Malha e Moletom,2025-04-09,60807.004
Malha e Moletom,2025-04-10,90170.93
Malha e Moletom,2025-04-11,84264.914
Malha e Moletom,2025-04-12,141214.25
Malha e Moletom,2025-04-13,61477.66
Malha e Moletom,2025-04-14,63763.04
Malha e Moletom,2025-04-15,44548.402
Malha e Moletom,2025-04-16,63889.21
Malha e Moletom,2025-04-17,74494.66
Malha e Moletom,2025-04-18,53451.168
Malha e Moletom,2025-04-19,127593.83
Malha e Moletom,2025-04-20,42519.09
Malha e Moletom,2025-04-21,41656.04
Malha e Moletom,2025-04-22,41207.832
Malha e Moletom,2025-04-23,37219.004
Malha e Moletom,2025-04-24,44473.33
Malha e Moletom,2025-04-25,74837.375
Malha e Moletom,2025-04-26,117539.41
Malha e Moletom,2025-04-27,60693.375
Malha e Moletom,2025-04-28,37541.73
Malha e Moletom,2025-04-29,50219.37
Malha e Moletom,2025-04-30,81358.8
Malha e Moletom,2025-05-01,38437.246
Malha e Moletom,2025-05-02,100139.68
Malha e Moletom,2025-05-03,121729.516
Malha e Moletom,2025-05-04,56493.03
Malha e Moletom,2025-05-05,61073.844
Malha e Moletom,2025-05-06,42844.49
Malha e Moletom,2025-05-07,46744.594
Malha e Moletom,2025-05-08,81510.516
Malha e Moletom,2025-05-09,90914.59
Malha e Moletom,2025-05-10,155304.92
Malha e Moletom,2025-05-11,56755.64
Malha e Moletom,2025-05-12,41696.25
Malha e Moletom,2025-05-13,47856.78
Malha e Moletom,2025-05-14,66248.53
Malha e Moletom,2025-05-15,71695.05
Malha e Moletom,2025-05-16,83463.48
Malha e Moletom,2025-05-17,124588.86
Malha e Moletom,2025-05-18,80840.71
Malha e Moletom,2025-05-19,42808.54
Malha e Moletom,2025-05-20,48383.17
Malha e Moletom,2025-05-21,52477.848
Malha e Moletom,2025-05-22,65466.195
Malha e Moletom,2025-05-23,96477.18
Malha e Moletom,2025-05-24,123804.414
Malha e Moletom,2025-05-25,67521.05
Malha e Moletom,2025-05-26,52113.46
Malha e Moletom,2025-05-27,63838.13
Malha e Moletom,2025-05-28,69292.945
Malha e Moletom,2025-05-29,74597.055
Malha e Moletom,2025-05-30,117280.56
Malha e Moletom,2025-05-31,151053.64
Malha e Moletom,2025-06-01,99379.03
Malha e Moletom,2025-06-02,77850.92
Malha e Moletom,2025-06-03,61252.625
Malha e Moletom,2025-06-04,70336.96
Malha e Moletom,2025-06-05,83460.445
Malha e Moletom,2025-06-06,138195.23
Malha e Moletom,2025-06-07,181798.66
Malha e Moletom,2025-06-08,103209.79
Malha e Moletom,2025-06-09,103295.984
Malha e Moletom,2025-06-10,106011.57
Malha e Moletom,2025-06-11,165428.03
Malha e Moletom,2025-06-12,151900.6
Malha e Moletom,2025-06-13,163814.72
Malha e Moletom,2025-06-14,176124.38
Malha e Moletom,2025-06-15,81096.02
Malha e Moletom,2025-06-16,71138.5
Malha e Moletom,2025-06-17,108488.52
Malha e Moletom,2025-06-18,133431.75
Malha e Moletom,2025-06-19,109288.61
