mes_ano,Jeans e Sarja,Malha e Moletom,Moda,Outros,Total
2025-01,1536777.8,2528146.0,4228238.5,903184.94,9196347.0
2025-02,1466775.9,2095997.5,3063353.8,841392.1,7467519.0
2025-03,1723218.9,1751648.1,2226549.2,1022909.44,6724325.5
2025-04,1785191.2,1813434.8,2174237.5,1038422.0,6811285.5
2025-05,2105669.5,2135378.2,2581978.5,1214388.6,8037415.0
2025-06,2730643.2,3448665.2,4633007.0,1512127.5,12324444.0
2025-07,2062845.6,2675306.5,3674715.5,1156144.0,9569012.0
2025-08,1653816.6,1931273.1,2487434.2,859096.94,6931621.0
2025-09,1858931.0,2046419.2,2578176.8,1059625.9,7543153.0
2025-10,1962155.2,2229330.8,2906946.0,1112771.0,8211203.0
2025-11,2532314.0,3087590.0,4083320.2,1386120.2,11089344.0
2025-12,3669016.8,5044541.5,7149640.5,2070273.2,17933472.0
