unique_id,ds,GRU
Acessorio,2025-01-01,-4297.297
Acessorio,2025-01-02,65032.184
Acessorio,2025-01-03,128499.29
Acessorio,2025-01-04,66225.86
Acessorio,2025-01-05,41701.297
Acessorio,2025-01-06,62890.207
Acessorio,2025-01-07,121369.39
Acessorio,2025-01-08,453618.88
Acessorio,2025-01-09,274322.84
Acessorio,2025-01-10,158354.16
Acessorio,2025-01-11,159693.22
Acessorio,2025-01-12,21084.32
Acessorio,2025-01-13,90963.61
Acessorio,2025-01-14,143890.48
Acessorio,2025-01-15,203396.0
Acessorio,2025-01-16,54468.08
Acessorio,2025-01-17,89990.375
Acessorio,2025-01-18,95901.5
Acessorio,2025-01-19,35665.832
Acessorio,2025-01-20,67313.22
Acessorio,2025-01-21,58167.867
Acessorio,2025-01-22,43251.812
Acessorio,2025-01-23,109047.67
Acessorio,2025-01-24,138801.53
Acessorio,2025-01-25,110713.445
Acessorio,2025-01-26,56672.61
Acessorio,2025-01-27,61798.684
Acessorio,2025-01-28,116127.32
Acessorio,2025-01-29,115620.53
Acessorio,2025-01-30,55853.547
Acessorio,2025-01-31,121718.55
Acessorio,2025-02-01,92152.84
Acessorio,2025-02-02,69369.39
Acessorio,2025-02-03,10029.176
Acessorio,2025-02-04,49018.5
Acessorio,2025-02-05,54105.188
Acessorio,2025-02-06,65611.05
Acessorio,2025-02-07,108518.625
Acessorio,2025-02-08,85295.31
Acessorio,2025-02-09,32733.379
Acessorio,2025-02-10,50694.785
Acessorio,2025-02-11,69441.59
Acessorio,2025-02-12,75054.836
Acessorio,2025-02-13,87821.77
Acessorio,2025-02-14,103361.38
Acessorio,2025-02-15,122669.375
Acessorio,2025-02-16,36028.55
Acessorio,2025-02-17,47816.4
Acessorio,2025-02-18,66339.07
Acessorio,2025-02-19,61593.11
Acessorio,2025-02-20,75388.46
Acessorio,2025-02-21,76219.0
Acessorio,2025-02-22,152642.66
Acessorio,2025-02-23,32021.45
Acessorio,2025-02-24,57862.332
Acessorio,2025-02-25,76523.69
Acessorio,2025-02-26,68200.03
Acessorio,2025-02-27,63839.152
Acessorio,2025-02-28,103750.73
Acessorio,2025-03-01,68769.28
Acessorio,2025-03-02,11745.953
Acessorio,2025-03-03,31505.207
Acessorio,2025-03-04,7945.578
Acessorio,2025-03-05,51068.28
Acessorio,2025-03-06,40736.03
Acessorio,2025-03-07,103760.33
Acessorio,2025-03-08,151533.72
Acessorio,2025-03-09,21559.77
Acessorio,2025-03-10,52014.96
Acessorio,2025-03-11,62773.438
Acessorio,2025-03-12,71106.64
Acessorio,2025-03-13,70571.14
Acessorio,2025-03-14,136210.88
Acessorio,2025-03-15,129742.9
Acessorio,2025-03-16,13691.305
Acessorio,2025-03-17,66125.125
Acessorio,2025-03-18,88782.88
Acessorio,2025-03-19,61347.324
Acessorio,2025-03-20,110831.625
Acessorio,2025-03-21,74565.52
Acessorio,2025-03-22,96704.734
Acessorio,2025-03-23,42012.016
Acessorio,2025-03-24,51246.45
Acessorio,2025-03-25,63664.26
Acessorio,2025-03-26,70044.414
Acessorio,2025-03-27,107563.02
Acessorio,2025-03-28,175176.95
Acessorio,2025-03-29,187572.25
Acessorio,2025-03-30,93251.42
Acessorio,2025-03-31,58656.79
Acessorio,2025-04-01,52489.594
Acessorio,2025-04-02,72980.9
Acessorio,2025-04-03,88035.24
Acessorio,2025-04-04,86840.42
Acessorio,2025-04-05,128768.96
Acessorio,2025-04-06,36602.586
Acessorio,2025-04-07,44734.17
Acessorio,2025-04-08,77048.35
Acessorio,2025-04-09,67784.63
Acessorio,2025-04-10,119618.18
Acessorio,2025-04-11,125579.95
Acessorio,2025-04-12,174609.61
Acessorio,2025-04-13,47982.246
Acessorio,2025-04-14,84314.46
Acessorio,2025-04-15,111026.06
Acessorio,2025-04-16,96274.984
Acessorio,2025-04-17,94675.55
Acessorio,2025-04-18,31352.188
Acessorio,2025-04-19,120891.2
Acessorio,2025-04-20,28570.336
Acessorio,2025-04-21,35519.75
Acessorio,2025-04-22,72691.16
Acessorio,2025-04-23,102968.61
Acessorio,2025-04-24,123026.016
Acessorio,2025-04-25,178362.1
Acessorio,2025-04-26,117661.33
Acessorio,2025-04-27,62570.535
Acessorio,2025-04-28,84666.33
Acessorio,2025-04-29,100061.234
Acessorio,2025-04-30,123521.05
Acessorio,2025-05-01,31703.5
Acessorio,2025-05-02,104594.66
