unique_id,ds,GRU
Alfaiataria,2025-01-01,42969.445
Alfaiataria,2025-01-02,118400.53
Alfaiataria,2025-01-03,214992.03
Alfaiataria,2025-01-04,177012.61
Alfaiataria,2025-01-05,95933.625
Alfaiataria,2025-01-06,174935.53
Alfaiataria,2025-01-07,576188.75
Alfaiataria,2025-01-08,883396.2
Alfaiataria,2025-01-09,520217.22
Alfaiataria,2025-01-10,322048.44
Alfaiataria,2025-01-11,571875.6
Alfaiataria,2025-01-12,177387.75
Alfaiataria,2025-01-13,284257.06
Alfaiataria,2025-01-14,421124.9
Alfaiataria,2025-01-15,535918.06
Alfaiataria,2025-01-16,188776.58
Alfaiataria,2025-01-17,358766.75
Alfaiataria,2025-01-18,296419.56
Alfaiataria,2025-01-19,222730.7
Alfaiataria,2025-01-20,260671.88
Alfaiataria,2025-01-21,253067.88
Alfaiataria,2025-01-22,156343.88
Alfaiataria,2025-01-23,330171.7
Alfaiataria,2025-01-24,308519.06
Alfaiataria,2025-01-25,379274.22
Alfaiataria,2025-01-26,141286.19
Alfaiataria,2025-01-27,223659.72
Alfaiataria,2025-01-28,379722.53
Alfaiataria,2025-01-29,366050.25
Alfaiataria,2025-01-30,262120.84
Alfaiataria,2025-01-31,401939.97
Alfaiataria,2025-02-01,364427.72
Alfaiataria,2025-02-02,210498.94
Alfaiataria,2025-02-03,248745.69
Alfaiataria,2025-02-04,245753.28
Alfaiataria,2025-02-05,294786.84
Alfaiataria,2025-02-06,442357.56
Alfaiataria,2025-02-07,358634.22
Alfaiataria,2025-02-08,359932.62
Alfaiataria,2025-02-09,252845.31
Alfaiataria,2025-02-10,240528.9
Alfaiataria,2025-02-11,297563.94
Alfaiataria,2025-02-12,276382.1
Alfaiataria,2025-02-13,319489.28
Alfaiataria,2025-02-14,351327.66
Alfaiataria,2025-02-15,373258.66
Alfaiataria,2025-02-16,159379.6
Alfaiataria,2025-02-17,111500.13
Alfaiataria,2025-02-18,255161.5
Alfaiataria,2025-02-19,276494.0
Alfaiataria,2025-02-20,245322.56
Alfaiataria,2025-02-21,291570.16
Alfaiataria,2025-02-22,350356.12
Alfaiataria,2025-02-23,134105.14
Alfaiataria,2025-02-24,217166.9
Alfaiataria,2025-02-25,251585.06
Alfaiataria,2025-02-26,219370.86
Alfaiataria,2025-02-27,309498.97
Alfaiataria,2025-02-28,277403.78
Alfaiataria,2025-03-01,190872.53
Alfaiataria,2025-03-02,79835.03
Alfaiataria,2025-03-03,85940.65
