unique_id,ds,GRU
Casual/Ville/Tricot/Moda,2025-01-01,1349.5
Casual/Ville/Tricot/Moda,2025-01-02,300260.72
Casual/Ville/Tricot/Moda,2025-01-03,430755.22
Casual/Ville/Tricot/Moda,2025-01-04,276774.1
Casual/Ville/Tricot/Moda,2025-01-05,372922.84
Casual/Ville/Tricot/Moda,2025-01-06,378091.56
Casual/Ville/Tricot/Moda,2025-01-07,833454.0
Casual/Ville/Tricot/Moda,2025-01-08,1252830.4
Casual/Ville/Tricot/Moda,2025-01-09,729632.75
Casual/Ville/Tricot/Moda,2025-01-10,633785.8
Casual/Ville/Tricot/Moda,2025-01-11,767738.56
Casual/Ville/Tricot/Moda,2025-01-12,296397.78
Casual/Ville/Tricot/Moda,2025-01-13,561506.0
Casual/Ville/Tricot/Moda,2025-01-14,649075.1
Casual/Ville/Tricot/Moda,2025-01-15,688132.6
Casual/Ville/Tricot/Moda,2025-01-16,434036.44
Casual/Ville/Tricot/Moda,2025-01-17,523432.38
Casual/Ville/Tricot/Moda,2025-01-18,478047.62
Casual/Ville/Tricot/Moda,2025-01-19,311676.94
Casual/Ville/Tricot/Moda,2025-01-20,346919.12
Casual/Ville/Tricot/Moda,2025-01-21,361817.5
Casual/Ville/Tricot/Moda,2025-01-22,384760.25
Casual/Ville/Tricot/Moda,2025-01-23,724227.6
Casual/Ville/Tricot/Moda,2025-01-24,641583.06
Casual/Ville/Tricot/Moda,2025-01-25,718115.8
Casual/Ville/Tricot/Moda,2025-01-26,173219.38
Casual/Ville/Tricot/Moda,2025-01-27,465038.12
Casual/Ville/Tricot/Moda,2025-01-28,721251.7
Casual/Ville/Tricot/Moda,2025-01-29,602123.75
Casual/Ville/Tricot/Moda,2025-01-30,585091.75
Casual/Ville/Tricot/Moda,2025-01-31,828468.7
Casual/Ville/Tricot/Moda,2025-02-01,681298.94
Casual/Ville/Tricot/Moda,2025-02-02,296119.56
Casual/Ville/Tricot/Moda,2025-02-03,353992.78
Casual/Ville/Tricot/Moda,2025-02-04,405843.9
Casual/Ville/Tricot/Moda,2025-02-05,634185.1
Casual/Ville/Tricot/Moda,2025-02-06,762815.5
Casual/Ville/Tricot/Moda,2025-02-07,672012.9
Casual/Ville/Tricot/Moda,2025-02-08,805146.5
Casual/Ville/Tricot/Moda,2025-02-09,371772.7
Casual/Ville/Tricot/Moda,2025-02-10,487763.25
Casual/Ville/Tricot/Moda,2025-02-11,467719.38
Casual/Ville/Tricot/Moda,2025-02-12,415993.72
Casual/Ville/Tricot/Moda,2025-02-13,568667.3
Casual/Ville/Tricot/Moda,2025-02-14,743091.75
Casual/Ville/Tricot/Moda,2025-02-15,770483.9
Casual/Ville/Tricot/Moda,2025-02-16,270622.2
Casual/Ville/Tricot/Moda,2025-02-17,370410.5
Casual/Ville/Tricot/Moda,2025-02-18,463927.34
Casual/Ville/Tricot/Moda,2025-02-19,539375.06
Casual/Ville/Tricot/Moda,2025-02-20,475706.8
Casual/Ville/Tricot/Moda,2025-02-21,577179.1
Casual/Ville/Tricot/Moda,2025-02-22,695844.6
Casual/Ville/Tricot/Moda,2025-02-23,199170.94
Casual/Ville/Tricot/Moda,2025-02-24,297612.5
Casual/Ville/Tricot/Moda,2025-02-25,418402.62
Casual/Ville/Tricot/Moda,2025-02-26,302529.62
Casual/Ville/Tricot/Moda,2025-02-27,427036.84
Casual/Ville/Tricot/Moda,2025-02-28,625144.8
Casual/Ville/Tricot/Moda,2025-03-01,308403.75
Casual/Ville/Tricot/Moda,2025-03-02,110761.75
Casual/Ville/Tricot/Moda,2025-03-03,241189.81
Casual/Ville/Tricot/Moda,2025-03-04,127994.09
Casual/Ville/Tricot/Moda,2025-03-05,311137.6
Casual/Ville/Tricot/Moda,2025-03-06,193131.4
Casual/Ville/Tricot/Moda,2025-03-07,555041.4
Casual/Ville/Tricot/Moda,2025-03-08,682991.4
Casual/Ville/Tricot/Moda,2025-03-09,257935.23
Casual/Ville/Tricot/Moda,2025-03-10,414594.47
