unique_id,ds,GRU
Couro,2025-01-01,9098.225
Couro,2025-01-02,68609.29
Couro,2025-01-03,69126.75
Couro,2025-01-04,41726.934
Couro,2025-01-05,36112.22
Couro,2025-01-06,115486.24
Couro,2025-01-07,106485.92
Couro,2025-01-08,88415.71
Couro,2025-01-09,128682.54
Couro,2025-01-10,87981.67
Couro,2025-01-11,122775.34
Couro,2025-01-12,13687.944
Couro,2025-01-13,93755.81
Couro,2025-01-14,124261.78
Couro,2025-01-15,44773.195
Couro,2025-01-16,29247.895
Couro,2025-01-17,56097.887
Couro,2025-01-18,77100.78
Couro,2025-01-19,10448.828
Couro,2025-01-20,15355.815
Couro,2025-01-21,31358.305
Couro,2025-01-22,37449.062
Couro,2025-01-23,105078.195
Couro,2025-01-24,17189.693
Couro,2025-01-25,50493.617
Couro,2025-01-26,9163.236
Couro,2025-01-27,35742.492
Couro,2025-01-28,56566.508
Couro,2025-01-29,55251.223
Couro,2025-01-30,38742.914
Couro,2025-01-31,47540.48
Couro,2025-02-01,48364.695
Couro,2025-02-02,-1519.8965
Couro,2025-02-03,2287.4238
Couro,2025-02-04,17788.047
Couro,2025-02-05,24433.95
Couro,2025-02-06,36203.08
Couro,2025-02-07,69141.195
Couro,2025-02-08,67147.93
Couro,2025-02-09,9880.409
Couro,2025-02-10,29211.361
Couro,2025-02-11,59748.266
Couro,2025-02-12,19884.764
Couro,2025-02-13,102435.945
Couro,2025-02-14,59370.188
Couro,2025-02-15,110143.18
Couro,2025-02-16,24010.574
Couro,2025-02-17,51350.703
Couro,2025-02-18,41524.87
Couro,2025-02-19,72242.81
Couro,2025-02-20,58346.984
Couro,2025-02-21,73636.28
Couro,2025-02-22,109492.516
Couro,2025-02-23,57458.375
Couro,2025-02-24,42776.547
Couro,2025-02-25,101517.33
Couro,2025-02-26,45405.9
Couro,2025-02-27,63953.41
Couro,2025-02-28,67269.03
Couro,2025-03-01,64787.19
Couro,2025-03-02,36710.83
Couro,2025-03-03,39769.47
Couro,2025-03-04,61832.855
Couro,2025-03-05,36266.63
Couro,2025-03-06,62418.914
Couro,2025-03-07,92651.3
Couro,2025-03-08,81205.14
Couro,2025-03-09,30781.404
Couro,2025-03-10,81642.13
Couro,2025-03-11,92814.78
Couro,2025-03-12,106538.52
Couro,2025-03-13,78745.83
Couro,2025-03-14,85442.39
Couro,2025-03-15,181882.72
Couro,2025-03-16,41643.508
Couro,2025-03-17,63664.582
Couro,2025-03-18,52964.684
Couro,2025-03-19,110100.04
Couro,2025-03-20,50790.914
Couro,2025-03-21,77629.45
Couro,2025-03-22,105695.24
Couro,2025-03-23,73387.89
Couro,2025-03-24,67816.92
Couro,2025-03-25,115135.23
Couro,2025-03-26,106209.29
Couro,2025-03-27,60959.05
Couro,2025-03-28,173443.78
Couro,2025-03-29,171975.83
Couro,2025-03-30,90032.79
Couro,2025-03-31,120584.38
Couro,2025-04-01,72299.61
Couro,2025-04-02,84688.96
Couro,2025-04-03,116433.12
Couro,2025-04-04,91909.21
Couro,2025-04-05,108433.63
Couro,2025-04-06,33019.91
Couro,2025-04-07,70458.0
Couro,2025-04-08,149747.58
Couro,2025-04-09,141659.03
Couro,2025-04-10,92937.77
Couro,2025-04-11,174110.14
Couro,2025-04-12,159853.81
Couro,2025-04-13,68200.33
Couro,2025-04-14,136936.69
Couro,2025-04-15,175540.67
Couro,2025-04-16,56201.33
Couro,2025-04-17,98336.48
Couro,2025-04-18,32761.475
Couro,2025-04-19,172664.84
Couro,2025-04-20,24956.299
Couro,2025-04-21,69640.875
Couro,2025-04-22,137655.22
Couro,2025-04-23,62255.234
Couro,2025-04-24,82733.32
Couro,2025-04-25,80404.0
Couro,2025-04-26,144858.11
Couro,2025-04-27,30509.84
Couro,2025-04-28,124492.31
Couro,2025-04-29,141873.8
Couro,2025-04-30,93347.29
Couro,2025-05-01,22852.592
Couro,2025-05-02,33776.15
Couro,2025-05-03,74709.09
Couro,2025-05-04,31667.322
Couro,2025-05-05,35735.6
Couro,2025-05-06,107937.22
Couro,2025-05-07,64038.08
Couro,2025-05-08,95166.16
Couro,2025-05-09,167487.77
Couro,2025-05-10,183035.36
Couro,2025-05-11,23184.834
Couro,2025-05-12,109226.88
Couro,2025-05-13,81729.89
Couro,2025-05-14,22957.121
Couro,2025-05-15,70145.84
Couro,2025-05-16,47118.523
Couro,2025-05-17,105969.72
Couro,2025-05-18,38243.64
Couro,2025-05-19,82138.12
Couro,2025-05-20,126142.95
Couro,2025-05-21,84832.63
Couro,2025-05-22,82179.54
Couro,2025-05-23,124802.96
Couro,2025-05-24,170334.77
Couro,2025-05-25,39454.35
Couro,2025-05-26,80548.23
Couro,2025-05-27,69639.66
Couro,2025-05-28,86042.77
Couro,2025-05-29,67297.11
Couro,2025-05-30,75943.67
Couro,2025-05-31,149131.05
Couro,2025-06-01,20999.988
Couro,2025-06-02,30335.152
Couro,2025-06-03,58798.03
Couro,2025-06-04,73475.34
