unique_id,ds,GRU
Jeans/Sarja,2025-01-01,-9394.297
Jeans/Sarja,2025-01-02,125452.1
Jeans/Sarja,2025-01-03,141589.78
Jeans/Sarja,2025-01-04,191275.86
Jeans/Sarja,2025-01-05,87953.31
Jeans/Sarja,2025-01-06,166234.28
Jeans/Sarja,2025-01-07,422278.72
Jeans/Sarja,2025-01-08,689191.2
Jeans/Sarja,2025-01-09,413247.66
Jeans/Sarja,2025-01-10,247777.1
Jeans/Sarja,2025-01-11,414017.78
Jeans/Sarja,2025-01-12,126033.22
Jeans/Sarja,2025-01-13,167081.11
Jeans/Sarja,2025-01-14,246666.94
Jeans/Sarja,2025-01-15,369555.8
Jeans/Sarja,2025-01-16,177476.22
Jeans/Sarja,2025-01-17,345886.47
Jeans/Sarja,2025-01-18,300161.2
Jeans/Sarja,2025-01-19,160491.75
Jeans/Sarja,2025-01-20,225514.02
Jeans/Sarja,2025-01-21,154594.22
Jeans/Sarja,2025-01-22,133229.28
Jeans/Sarja,2025-01-23,190576.69
Jeans/Sarja,2025-01-24,226695.77
Jeans/Sarja,2025-01-25,200065.53
Jeans/Sarja,2025-01-26,108736.04
Jeans/Sarja,2025-01-27,145599.12
Jeans/Sarja,2025-01-28,197554.84
Jeans/Sarja,2025-01-29,187423.78
Jeans/Sarja,2025-01-30,123556.79
Jeans/Sarja,2025-01-31,214766.94
Jeans/Sarja,2025-02-01,172859.16
Jeans/Sarja,2025-02-02,71307.195
Jeans/Sarja,2025-02-03,113834.24
Jeans/Sarja,2025-02-04,84748.875
Jeans/Sarja,2025-02-05,123293.1
Jeans/Sarja,2025-02-06,200481.88
Jeans/Sarja,2025-02-07,191724.66
Jeans/Sarja,2025-02-08,216789.06
Jeans/Sarja,2025-02-09,137043.16
Jeans/Sarja,2025-02-10,145497.39
Jeans/Sarja,2025-02-11,184987.38
Jeans/Sarja,2025-02-12,109095.25
Jeans/Sarja,2025-02-13,113145.8
Jeans/Sarja,2025-02-14,100879.75
Jeans/Sarja,2025-02-15,117124.15
Jeans/Sarja,2025-02-16,70238.06
Jeans/Sarja,2025-02-17,62418.67
Jeans/Sarja,2025-02-18,108029.91
Jeans/Sarja,2025-02-19,79087.445
Jeans/Sarja,2025-02-20,84111.41
Jeans/Sarja,2025-02-21,113344.53
Jeans/Sarja,2025-02-22,172433.19
Jeans/Sarja,2025-02-23,58355.395
Jeans/Sarja,2025-02-24,102309.96
Jeans/Sarja,2025-02-25,117551.625
Jeans/Sarja,2025-02-26,138641.8
Jeans/Sarja,2025-02-27,118159.516
Jeans/Sarja,2025-02-28,161619.84
Jeans/Sarja,2025-03-01,103115.95
Jeans/Sarja,2025-03-02,26289.656
Jeans/Sarja,2025-03-03,53965.03
Jeans/Sarja,2025-03-04,43589.742
Jeans/Sarja,2025-03-05,89427.09
Jeans/Sarja,2025-03-06,55771.777
Jeans/Sarja,2025-03-07,128685.9
Jeans/Sarja,2025-03-08,201069.36
