unique_id,ds,GRU
Acessorio,2025-01-01,-5334.6562
Acessorio,2025-01-02,5853.1055
Acessorio,2025-01-03,77420.06
Acessorio,2025-01-04,34328.547
Acessorio,2025-01-05,37679.008
Acessorio,2025-01-06,63332.85
Acessorio,2025-01-07,85494.18
Acessorio,2025-01-08,376812.0
Acessorio,2025-01-09,161319.9
Acessorio,2025-01-10,35382.375
Acessorio,2025-01-11,151113.17
Acessorio,2025-01-12,-9425.523
Acessorio,2025-01-13,61919.09
Acessorio,2025-01-14,119590.945
Acessorio,2025-01-15,137590.16
Acessorio,2025-01-16,73485.99
Acessorio,2025-01-17,59461.395
Acessorio,2025-01-18,61762.242
Acessorio,2025-01-19,46306.516
Acessorio,2025-01-20,53083.69
Acessorio,2025-01-21,36008.86
Acessorio,2025-01-22,49312.414
Acessorio,2025-01-23,65975.03
Acessorio,2025-01-24,60388.945
Acessorio,2025-01-25,109228.53
Acessorio,2025-01-26,-19620.594
Acessorio,2025-01-27,83228.4
Acessorio,2025-01-28,86905.02
Acessorio,2025-01-29,131065.92
Acessorio,2025-01-30,60867.207
Acessorio,2025-01-31,70392.91
Acessorio,2025-02-01,125977.61
Acessorio,2025-02-02,32273.502
Acessorio,2025-02-03,33762.977
Acessorio,2025-02-04,43298.25
Acessorio,2025-02-05,47432.613
Acessorio,2025-02-06,53753.242
Acessorio,2025-02-07,68681.39
Acessorio,2025-02-08,86704.48
Acessorio,2025-02-09,71190.086
Acessorio,2025-02-10,42575.617
Acessorio,2025-02-11,78524.01
Acessorio,2025-02-12,29341.59
Acessorio,2025-02-13,69568.03
Acessorio,2025-02-14,67974.305
Acessorio,2025-02-15,51791.473
Acessorio,2025-02-16,64593.133
Acessorio,2025-02-17,16979.215
Acessorio,2025-02-18,55699.887
Acessorio,2025-02-19,31494.215
Acessorio,2025-02-20,49178.844
Acessorio,2025-02-21,57220.5
Acessorio,2025-02-22,86338.81
Acessorio,2025-02-23,38687.36
Acessorio,2025-02-24,-6667.672
Acessorio,2025-02-25,45398.98
Acessorio,2025-02-26,48697.715
Acessorio,2025-02-27,34158.68
Acessorio,2025-02-28,94203.43
Acessorio,2025-03-01,52645.07
Acessorio,2025-03-02,20367.324
Acessorio,2025-03-03,13010.023
Acessorio,2025-03-04,9369.246
Acessorio,2025-03-05,18729.074
Acessorio,2025-03-06,31498.654
Acessorio,2025-03-07,63850.883
Acessorio,2025-03-08,100095.37
Acessorio,2025-03-09,22837.547
Acessorio,2025-03-10,34538.445
Acessorio,2025-03-11,23596.324
Acessorio,2025-03-12,52076.52
Acessorio,2025-03-13,53656.797
Acessorio,2025-03-14,71762.984
Acessorio,2025-03-15,69094.49
Acessorio,2025-03-16,46813.22
Acessorio,2025-03-17,39017.125
Acessorio,2025-03-18,47225.68
Acessorio,2025-03-19,62711.78
Acessorio,2025-03-20,61964.656
Acessorio,2025-03-21,24367.816
Acessorio,2025-03-22,50303.227
Acessorio,2025-03-23,45188.266
Acessorio,2025-03-24,-18437.094
Acessorio,2025-03-25,46537.09
Acessorio,2025-03-26,57744.33
Acessorio,2025-03-27,38960.875
Acessorio,2025-03-28,82118.484
Acessorio,2025-03-29,79506.23
Acessorio,2025-03-30,37872.9
Acessorio,2025-03-31,54964.812
Acessorio,2025-04-01,21351.148
Acessorio,2025-04-02,36195.43
Acessorio,2025-04-03,23505.71
Acessorio,2025-04-04,75043.055
Acessorio,2025-04-05,61064.105
Acessorio,2025-04-06,47486.426
Acessorio,2025-04-07,43067.92
Acessorio,2025-04-08,61600.777
Acessorio,2025-04-09,66361.99
Acessorio,2025-04-10,56382.88
Acessorio,2025-04-11,86209.305
Acessorio,2025-04-12,86249.32
Acessorio,2025-04-13,38629.83
Acessorio,2025-04-14,54936.93
Acessorio,2025-04-15,59097.57
Acessorio,2025-04-16,24872.598
Acessorio,2025-04-17,52499.99
Acessorio,2025-04-18,-11332.25
Acessorio,2025-04-19,67502.18
Acessorio,2025-04-20,15303.738
Acessorio,2025-04-21,54075.676
Acessorio,2025-04-22,57113.113
Acessorio,2025-04-23,52273.727
Acessorio,2025-04-24,60907.957
Acessorio,2025-04-25,83945.27
Acessorio,2025-04-26,69479.23
Acessorio,2025-04-27,50770.54
Acessorio,2025-04-28,51188.207
Acessorio,2025-04-29,71886.46
Acessorio,2025-04-30,84352.78
Acessorio,2025-05-01,31868.43
Acessorio,2025-05-02,60714.387
Acessorio,2025-05-03,80973.83
Acessorio,2025-05-04,58408.945
Acessorio,2025-05-05,47893.61
Acessorio,2025-05-06,77221.914
Acessorio,2025-05-07,74200.86
Acessorio,2025-05-08,96333.72
Acessorio,2025-05-09,110069.734
Acessorio,2025-05-10,155088.78
Acessorio,2025-05-11,57979.81
Acessorio,2025-05-12,57329.73
Acessorio,2025-05-13,35629.71
Acessorio,2025-05-14,57406.984
Acessorio,2025-05-15,39433.26
Acessorio,2025-05-16,51914.73
Acessorio,2025-05-17,82678.32
Acessorio,2025-05-18,46841.44
Acessorio,2025-05-19,44121.734
Acessorio,2025-05-20,70092.37
Acessorio,2025-05-21,66303.59
Acessorio,2025-05-22,94118.33
Acessorio,2025-05-23,126925.125
Acessorio,2025-05-24,129364.48
Acessorio,2025-05-25,31467.154
Acessorio,2025-05-26,24415.848
Acessorio,2025-05-27,96007.44
Acessorio,2025-05-28,121770.734
Acessorio,2025-05-29,108399.875
Acessorio,2025-05-30,132131.4
Acessorio,2025-05-31,223907.9
Acessorio,2025-06-01,27712.398
Acessorio,2025-06-02,50521.355
Acessorio,2025-06-03,48354.43
Acessorio,2025-06-04,95397.375
Acessorio,2025-06-05,204606.06
Acessorio,2025-06-06,72205.375
Acessorio,2025-06-07,216916.62
Acessorio,2025-06-08,47745.344
Acessorio,2025-06-09,102106.74
Acessorio,2025-06-10,87395.3
Acessorio,2025-06-11,203108.62
Acessorio,2025-06-12,111421.67
Acessorio,2025-06-13,91169.41
Acessorio,2025-06-14,77531.3
Acessorio,2025-06-15,67303.09
Acessorio,2025-06-16,44610.445
Acessorio,2025-06-17,41674.9
Acessorio,2025-06-18,60555.297
Acessorio,2025-06-19,79830.23
Acessorio,2025-06-20,119218.05
Acessorio,2025-06-21,68187.445
Acessorio,2025-06-22,46716.47
Acessorio,2025-06-23,41635.22
Acessorio,2025-06-24,126921.19
Acessorio,2025-06-25,137133.66
Acessorio,2025-06-26,79243.73
Acessorio,2025-06-27,96531.62
Acessorio,2025-06-28,131323.19
Acessorio,2025-06-29,84548.79
Acessorio,2025-06-30,39671.047
Acessorio,2025-07-01,76670.78
Acessorio,2025-07-02,81204.516
Acessorio,2025-07-03,137339.28
Acessorio,2025-07-04,96181.36
Acessorio,2025-07-05,97900.42
Acessorio,2025-07-06,71949.19
Acessorio,2025-07-07,85815.37
Acessorio,2025-07-08,77094.266
Acessorio,2025-07-09,64575.43
Acessorio,2025-07-10,69178.18
Acessorio,2025-07-11,110122.28
Acessorio,2025-07-12,76215.125
Acessorio,2025-07-13,7198.3555
Acessorio,2025-07-14,50071.188
Acessorio,2025-07-15,80178.78
Acessorio,2025-07-16,67067.516
Acessorio,2025-07-17,49477.504
Acessorio,2025-07-18,88185.37
Acessorio,2025-07-19,79996.98
Acessorio,2025-07-20,60343.59
Acessorio,2025-07-21,9096.723
Acessorio,2025-07-22,68601.68
Acessorio,2025-07-23,50482.81
Acessorio,2025-07-24,50904.902
Acessorio,2025-07-25,97233.31
Acessorio,2025-07-26,47297.99
Acessorio,2025-07-27,17006.477
Acessorio,2025-07-28,32882.76
Acessorio,2025-07-29,85527.5
Acessorio,2025-07-30,51519.207
Acessorio,2025-07-31,78448.91
Acessorio,2025-08-01,92451.03
Acessorio,2025-08-02,81393.75
Acessorio,2025-08-03,28269.625
Acessorio,2025-08-04,25661.969
Acessorio,2025-08-05,53075.598
Acessorio,2025-08-06,18215.777
Acessorio,2025-08-07,96798.56
Acessorio,2025-08-08,43649.754
Acessorio,2025-08-09,49375.33
Acessorio,2025-08-10,24876.008
Acessorio,2025-08-11,27784.797
Acessorio,2025-08-12,53691.94
Acessorio,2025-08-13,59132.03
Acessorio,2025-08-14,61984.105
Acessorio,2025-08-15,62852.12
Acessorio,2025-08-16,50668.934
Acessorio,2025-08-17,49915.855
Acessorio,2025-08-18,45700.926
Acessorio,2025-08-19,69242.09
Acessorio,2025-08-20,19366.61
Acessorio,2025-08-21,13935.77
Acessorio,2025-08-22,64300.59
Acessorio,2025-08-23,73300.61
Acessorio,2025-08-24,47717.727
Acessorio,2025-08-25,44275.15
Acessorio,2025-08-26,69807.13
Acessorio,2025-08-27,40402.39
Acessorio,2025-08-28,42542.566
Acessorio,2025-08-29,54641.055
Acessorio,2025-08-30,88015.67
Acessorio,2025-08-31,51638.3
Acessorio,2025-09-01,37940.273
Acessorio,2025-09-02,49464.68
Acessorio,2025-09-03,52634.86
Acessorio,2025-09-04,57978.223
Acessorio,2025-09-05,89350.33
Acessorio,2025-09-06,72362.2
Acessorio,2025-09-07,7635.449
Acessorio,2025-09-08,46217.348
Acessorio,2025-09-09,42699.715
Acessorio,2025-09-10,45700.637
Acessorio,2025-09-11,77173.64
Acessorio,2025-09-12,53365.758
Acessorio,2025-09-13,47898.688
Acessorio,2025-09-14,50337.08
Acessorio,2025-09-15,30602.46
Acessorio,2025-09-16,47907.05
Acessorio,2025-09-17,54155.53
Acessorio,2025-09-18,59664.176
Acessorio,2025-09-19,61389.53
Acessorio,2025-09-20,61041.348
Acessorio,2025-09-21,59911.99
Acessorio,2025-09-22,89149.45
Acessorio,2025-09-23,60041.582
Acessorio,2025-09-24,57752.754
Acessorio,2025-09-25,78738.94
Acessorio,2025-09-26,84156.13
Acessorio,2025-09-27,32621.393
Acessorio,2025-09-28,48781.5
Acessorio,2025-09-29,46393.414
Acessorio,2025-09-30,67303.45
Acessorio,2025-10-01,44109.965
Acessorio,2025-10-02,59156.785
