unique_id,ds,GRU
Outros,2025-01-01,23602.797
Outros,2025-01-02,119369.29
Outros,2025-01-03,52128.297
Outros,2025-01-04,87754.7
Outros,2025-01-05,80978.3
Outros,2025-01-06,103145.2
Outros,2025-01-07,225416.56
Outros,2025-01-08,1416692.9
Outros,2025-01-09,691064.0
Outros,2025-01-10,137714.36
Outros,2025-01-11,910958.0
Outros,2025-01-12,76874.58
Outros,2025-01-13,152969.0
Outros,2025-01-14,258879.44
Outros,2025-01-15,158990.53
Outros,2025-01-16,-4986.3906
Outros,2025-01-17,289779.12
Outros,2025-01-18,167965.72
Outros,2025-01-19,29364.89
Outros,2025-01-20,104142.58
Outros,2025-01-21,71210.78
Outros,2025-01-22,266133.6
Outros,2025-01-23,252652.9
Outros,2025-01-24,334893.3
Outros,2025-01-25,239471.62
Outros,2025-01-26,106163.22
Outros,2025-01-27,10927.797
Outros,2025-01-28,129122.74
Outros,2025-01-29,189244.77
Outros,2025-01-30,137365.97
Outros,2025-01-31,261133.12
Outros,2025-02-01,162211.4
Outros,2025-02-02,122120.45
Outros,2025-02-03,33451.28
Outros,2025-02-04,180306.56
Outros,2025-02-05,99133.25
Outros,2025-02-06,197967.16
Outros,2025-02-07,306010.3
Outros,2025-02-08,374960.53
Outros,2025-02-09,142087.77
Outros,2025-02-10,267353.16
Outros,2025-02-11,191900.14
Outros,2025-02-12,193813.83
Outros,2025-02-13,175329.06
Outros,2025-02-14,207902.3
Outros,2025-02-15,95712.58
Outros,2025-02-16,135072.69
Outros,2025-02-17,154555.38
Outros,2025-02-18,110824.33
Outros,2025-02-19,152495.84
Outros,2025-02-20,141947.19
Outros,2025-02-21,129799.055
Outros,2025-02-22,148643.1
Outros,2025-02-23,121330.46
Outros,2025-02-24,57645.984
Outros,2025-02-25,85019.16
Outros,2025-02-26,135345.5
Outros,2025-02-27,165700.0
Outros,2025-02-28,269070.3
Outros,2025-03-01,99558.34
Outros,2025-03-02,54373.562
Outros,2025-03-03,58648.78
Outros,2025-03-04,30087.719
Outros,2025-03-05,87885.22
Outros,2025-03-06,111659.42
Outros,2025-03-07,83500.95
Outros,2025-03-08,170302.16
Outros,2025-03-09,115330.44
Outros,2025-03-10,186617.89
Outros,2025-03-11,73847.08
Outros,2025-03-12,133163.22
Outros,2025-03-13,49582.562
Outros,2025-03-14,179809.03
Outros,2025-03-15,289641.38
Outros,2025-03-16,148455.48
Outros,2025-03-17,176321.69
Outros,2025-03-18,173342.06
Outros,2025-03-19,117100.56
Outros,2025-03-20,209809.72
Outros,2025-03-21,187137.22
Outros,2025-03-22,258860.27
Outros,2025-03-23,132988.58
Outros,2025-03-24,155028.16
Outros,2025-03-25,83787.266
Outros,2025-03-26,149966.17
Outros,2025-03-27,204658.73
Outros,2025-03-28,201635.78
Outros,2025-03-29,257387.38
Outros,2025-03-30,176461.2
Outros,2025-03-31,197693.69
Outros,2025-04-01,158618.9
Outros,2025-04-02,212952.23
Outros,2025-04-03,191112.9
