unique_id,ds,GRU
Seda,2025-01-01,3049.7734
Seda,2025-01-02,132960.61
Seda,2025-01-03,197206.62
Seda,2025-01-04,176874.34
Seda,2025-01-05,105450.75
Seda,2025-01-06,166961.4
Seda,2025-01-07,166339.89
Seda,2025-01-08,957192.06
Seda,2025-01-09,509386.34
Seda,2025-01-10,299207.38
Seda,2025-01-11,487548.22
Seda,2025-01-12,93001.8
Seda,2025-01-13,220299.5
Seda,2025-01-14,251773.88
Seda,2025-01-15,305021.75
Seda,2025-01-16,134380.12
Seda,2025-01-17,186492.0
Seda,2025-01-18,224839.39
Seda,2025-01-19,51764.945
Seda,2025-01-20,119944.64
Seda,2025-01-21,132301.98
Seda,2025-01-22,140707.55
Seda,2025-01-23,214363.42
Seda,2025-01-24,137221.14
Seda,2025-01-25,163598.06
Seda,2025-01-26,63141.2
Seda,2025-01-27,160671.5
Seda,2025-01-28,233775.0
Seda,2025-01-29,180324.97
Seda,2025-01-30,112793.47
Seda,2025-01-31,181726.66
Seda,2025-02-01,173046.39
Seda,2025-02-02,88021.21
Seda,2025-02-03,75480.766
Seda,2025-02-04,113038.01
Seda,2025-02-05,142616.47
Seda,2025-02-06,253645.66
Seda,2025-02-07,203167.42
Seda,2025-02-08,253076.62
Seda,2025-02-09,86807.375
Seda,2025-02-10,124924.65
Seda,2025-02-11,121887.62
Seda,2025-02-12,112978.17
Seda,2025-02-13,120254.31
Seda,2025-02-14,109062.8
Seda,2025-02-15,136327.4
Seda,2025-02-16,88613.484
Seda,2025-02-17,78114.51
Seda,2025-02-18,108519.36
Seda,2025-02-19,98802.28
Seda,2025-02-20,109768.34
Seda,2025-02-21,94843.234
Seda,2025-02-22,118182.055
Seda,2025-02-23,56892.21
Seda,2025-02-24,79090.98
Seda,2025-02-25,100554.38
Seda,2025-02-26,87461.9
Seda,2025-02-27,116379.13
Seda,2025-02-28,117671.5
Seda,2025-03-01,76842.87
Seda,2025-03-02,28622.719
Seda,2025-03-03,45931.086
Seda,2025-03-04,9978.258
Seda,2025-03-05,52748.32
Seda,2025-03-06,75940.055
Seda,2025-03-07,67590.83
Seda,2025-03-08,142762.78
Seda,2025-03-09,58673.355
Seda,2025-03-10,53422.883
Seda,2025-03-11,104153.055
Seda,2025-03-12,98988.055
Seda,2025-03-13,96393.86
Seda,2025-03-14,125415.945
Seda,2025-03-15,162844.47
Seda,2025-03-16,86126.72
Seda,2025-03-17,89634.266
Seda,2025-03-18,118908.516
Seda,2025-03-19,56387.758
Seda,2025-03-20,82196.266
Seda,2025-03-21,105275.414
Seda,2025-03-22,119935.586
Seda,2025-03-23,60799.56
Seda,2025-03-24,77925.016
Seda,2025-03-25,100101.6
Seda,2025-03-26,103699.21
Seda,2025-03-27,90175.75
Seda,2025-03-28,243194.44
Seda,2025-03-29,239670.39
Seda,2025-03-30,67566.22
