unique_id,ds,GRU
Acessorio,2025-01-01,3687.539
Acessorio,2025-01-02,12154.94
Acessorio,2025-01-03,12943.4795
Acessorio,2025-01-04,13027.759
Acessorio,2025-01-05,10928.074
Acessorio,2025-01-06,11551.854
Acessorio,2025-01-07,13175.947
Acessorio,2025-01-08,15975.574
Acessorio,2025-01-09,16517.545
Acessorio,2025-01-10,22406.463
Acessorio,2025-01-11,29971.01
Acessorio,2025-01-12,20699.191
Acessorio,2025-01-13,17784.99
Acessorio,2025-01-14,19270.592
Acessorio,2025-01-15,21706.922
Acessorio,2025-01-16,36540.812
Acessorio,2025-01-17,35960.688
Acessorio,2025-01-18,26548.062
Acessorio,2025-01-19,13908.738
Acessorio,2025-01-20,16043.78
Acessorio,2025-01-21,15779.154
Acessorio,2025-01-22,15766.412
Acessorio,2025-01-23,16341.965
Acessorio,2025-01-24,16474.7
Acessorio,2025-01-25,15924.414
Acessorio,2025-01-26,14279.293
Acessorio,2025-01-27,17229.24
Acessorio,2025-01-28,30831.615
Acessorio,2025-01-29,43252.74
Acessorio,2025-01-30,55982.35
Acessorio,2025-01-31,50301.348
Acessorio,2025-02-01,35613.49
Acessorio,2025-02-02,22890.549
Acessorio,2025-02-03,32939.758
Acessorio,2025-02-04,43241.27
Acessorio,2025-02-05,45715.914
Acessorio,2025-02-06,54948.637
Acessorio,2025-02-07,68289.25
Acessorio,2025-02-08,60472.527
Acessorio,2025-02-09,44524.047
Acessorio,2025-02-10,51779.67
Acessorio,2025-02-11,37416.934
Acessorio,2025-02-12,30689.912
Acessorio,2025-02-13,28934.0
Acessorio,2025-02-14,34675.035
Acessorio,2025-02-15,23344.7
Acessorio,2025-02-16,10700.696
Acessorio,2025-02-17,11598.556
Acessorio,2025-02-18,12474.793
Acessorio,2025-02-19,15015.18
Acessorio,2025-02-20,16962.83
Acessorio,2025-02-21,15478.855
Acessorio,2025-02-22,14091.686
Acessorio,2025-02-23,10418.805
Acessorio,2025-02-24,12318.517
Acessorio,2025-02-25,14662.92
Acessorio,2025-02-26,16471.492
Acessorio,2025-02-27,20996.246
Acessorio,2025-02-28,32654.281
Acessorio,2025-03-01,17998.514
Acessorio,2025-03-02,7921.661
Acessorio,2025-03-03,7176.535
Acessorio,2025-03-04,9143.528
Acessorio,2025-03-05,10563.475
Acessorio,2025-03-06,12303.425
Acessorio,2025-03-07,16820.041
Acessorio,2025-03-08,14868.302
Acessorio,2025-03-09,9823.678
Acessorio,2025-03-10,11343.012
Acessorio,2025-03-11,11938.678
Acessorio,2025-03-12,13105.352
Acessorio,2025-03-13,13866.121
Acessorio,2025-03-14,19348.002
Acessorio,2025-03-15,17618.055
Acessorio,2025-03-16,12801.936
Acessorio,2025-03-17,12831.2295
Acessorio,2025-03-18,15447.896
Acessorio,2025-03-19,18827.164
Acessorio,2025-03-20,20062.45
Acessorio,2025-03-21,17664.28
Acessorio,2025-03-22,14210.233
Acessorio,2025-03-23,9128.587
Acessorio,2025-03-24,14735.157
Acessorio,2025-03-25,16221.712
Acessorio,2025-03-26,18476.66
Acessorio,2025-03-27,20048.734
Acessorio,2025-03-28,19512.77
Acessorio,2025-03-29,21924.889
Acessorio,2025-03-30,12208.118
Acessorio,2025-03-31,15551.889
Acessorio,2025-04-01,15497.481
Acessorio,2025-04-02,16728.043
Acessorio,2025-04-03,16951.78
Acessorio,2025-04-04,18375.31
Acessorio,2025-04-05,14713.185
Acessorio,2025-04-06,9180.243
Acessorio,2025-04-07,11569.193
Acessorio,2025-04-08,13168.398
Acessorio,2025-04-09,13981.25
Acessorio,2025-04-10,19745.69
Acessorio,2025-04-11,21358.035
Acessorio,2025-04-12,16598.58
Acessorio,2025-04-13,9117.428
Acessorio,2025-04-14,12432.122
Acessorio,2025-04-15,14156.342
Acessorio,2025-04-16,16546.934
Acessorio,2025-04-17,21747.838
Acessorio,2025-04-18,11636.07
Acessorio,2025-04-19,18598.5
Acessorio,2025-04-20,9405.205
Acessorio,2025-04-21,15635.185
Acessorio,2025-04-22,15508.281
Acessorio,2025-04-23,16043.431
Acessorio,2025-04-24,17395.236
Acessorio,2025-04-25,23208.244
Acessorio,2025-04-26,19986.209
Acessorio,2025-04-27,12432.865
Acessorio,2025-04-28,14950.073
Acessorio,2025-04-29,18792.824
Acessorio,2025-04-30,21791.87
Acessorio,2025-05-01,12422.271
Acessorio,2025-05-02,19653.71
Acessorio,2025-05-03,13956.663
Acessorio,2025-05-04,10869.102
Acessorio,2025-05-05,17173.545
Acessorio,2025-05-06,17837.63
Acessorio,2025-05-07,21581.16
Acessorio,2025-05-08,21430.105
Acessorio,2025-05-09,19540.373
Acessorio,2025-05-10,17765.871
Acessorio,2025-05-11,14272.516
Acessorio,2025-05-12,18710.807
Acessorio,2025-05-13,18531.613
Acessorio,2025-05-14,19725.777
Acessorio,2025-05-15,23613.93
Acessorio,2025-05-16,21747.152
Acessorio,2025-05-17,16200.405
Acessorio,2025-05-18,12004.202
Acessorio,2025-05-19,18492.475
Acessorio,2025-05-20,18324.441
Acessorio,2025-05-21,19980.408
Acessorio,2025-05-22,21973.834
Acessorio,2025-05-23,20166.863
Acessorio,2025-05-24,16649.463
Acessorio,2025-05-25,12274.597
Acessorio,2025-05-26,20743.871
Acessorio,2025-05-27,22573.727
