mes_ano,Acessorio,Agrup_01,Agrup_02,Alfa/Couro/Ville,Aroma,Casual,Outros,Seda/Festa/Resort/Plano,Total
2025-01,662967.2,5475289.0,5403235.5,627697.1,3132853.0,12673.721,1779013.4,102860.35,17196590.0
2025-02,819320.56,3018203.5,2994935.8,2549215.0,2922307.8,15340.88,1698711.0,31622.23,14049657.0
2025-03,453492.1,2734807.2,2714364.8,3261164.5,2669750.8,14408.736,1403386.9,25842.598,13277218.0
2025-04,477251.84,1681616.2,1672529.1,2931086.0,4523739.5,18291.729,1500109.5,15303.166,12819927.0
2025-05,583110.25,959503.25,954462.06,2611167.8,5896426.5,26528.467,1709756.0,10158.014,12751112.0
2025-06,649939.06,855546.3,848802.1,1742117.5,5847073.0,11682.4375,1507669.6,9814.989,11472645.0
2025-07,513854.16,302582.88,301692.56,1925452.2,6510487.0,13459.071,1472384.4,7984.089,11047896.0
2025-08,520268.12,262064.75,257773.34,1958697.9,3372732.5,23044.74,1642493.2,9790.857,8046865.0
2025-09,499705.88,178314.89,175736.02,2961209.0,3516245.5,22126.24,1633150.2,6288.3022,8992775.0
2025-10,508685.66,392268.47,386363.9,2893995.5,2903293.2,15608.614,1587850.4,15671.311,8703737.0
2025-11,549259.3,308096.84,302797.72,2907286.5,2271222.8,20804.613,1566619.0,12131.586,7938218.0
2025-12,573792.75,304022.8,298790.62,3058408.8,2309046.0,18507.883,1680451.8,14153.439,8257174.5
