mes_ano,Alfaiataria,Jeans e Sarja,Malha,Outros,Tecido Plano,Total
2025-01,1107327.6,3779747.0,755929.25,1784154.5,1300009.8,8727168.0
2025-02,999557.8,3294176.8,999582.75,1615055.5,1168695.5,8077068.0
2025-03,1158277.8,3735105.5,1725609.4,1922866.9,1410616.1,9952475.0
2025-04,1154801.6,3400250.0,1872751.6,1589606.0,1621314.4,9638723.0
2025-05,1242215.2,3570129.2,1824274.4,1654629.4,1646150.5,9937399.0
2025-06,4507836.5,13180901.0,6923833.5,2579551.2,7828324.0,35020450.0
2025-07,1812382.2,5046868.0,3176149.5,1575212.4,2739701.5,14350314.0
2025-08,2409053.8,5699078.5,3160515.0,2159141.2,2411643.8,15839432.0
2025-09,1825594.8,4392441.5,2793814.2,1312142.6,1782862.0,12106855.0
2025-10,2054612.0,5284563.0,2700279.2,1459365.8,1871463.1,13370283.0
2025-11,3225614.0,9007659.0,4518662.0,3939531.5,4710002.5,25401468.0
2025-12,3485769.2,13832211.0,3949194.8,4382916.5,2131559.8,27781650.0
