mes_ano,Jeans e Sarja,Malha e Moletom,Moda,Outros,Total
2025-01,2017219.5,4052717.5,4492858.5,1006123.0,11568919.0
2025-02,1799643.9,3238049.8,5028802.0,1048343.44,11114839.0
2025-03,1683136.8,3049547.2,5240504.5,1116958.0,11090146.0
2025-04,1763870.6,2604548.0,4717158.5,1092190.0,10177767.0
2025-05,1566815.8,2213324.5,5165853.5,1243588.9,10189583.0
2025-06,2470580.8,2876136.8,6874227.5,1732565.0,13953510.0
2025-07,1804187.1,2219792.2,3946547.0,1165014.0,9135540.0
2025-08,1847636.4,2512095.0,3772996.8,1646505.4,9779233.0
2025-09,2010515.1,2508691.8,3786471.5,1495420.0,9801098.0
2025-10,2088448.8,2816769.2,4061092.0,1581205.9,10547516.0
2025-11,2059251.5,3233741.5,4405013.0,1344716.5,11042722.0
2025-12,2169863.8,4423455.0,4747200.5,1835744.6,13176265.0
