unique_id,ds,GRU
Acessorio,2025-01-01,3317.0156
Acessorio,2025-01-02,33488.92
Acessorio,2025-01-03,74906.28
Acessorio,2025-01-04,78551.92
Acessorio,2025-01-05,44961.72
Acessorio,2025-01-06,68995.9
Acessorio,2025-01-07,107636.8
Acessorio,2025-01-08,125771.83
Acessorio,2025-01-09,112301.39
Acessorio,2025-01-10,108894.43
Acessorio,2025-01-11,106331.49
Acessorio,2025-01-12,60899.684
Acessorio,2025-01-13,85798.17
Acessorio,2025-01-14,96763.48
Acessorio,2025-01-15,96539.14
Acessorio,2025-01-16,88599.91
Acessorio,2025-01-17,89688.48
Acessorio,2025-01-18,91244.94
Acessorio,2025-01-19,52092.125
Acessorio,2025-01-20,75735.086
Acessorio,2025-01-21,76094.22
Acessorio,2025-01-22,77462.45
Acessorio,2025-01-23,76800.91
Acessorio,2025-01-24,86996.16
Acessorio,2025-01-25,92927.33
Acessorio,2025-01-26,46805.055
Acessorio,2025-01-27,69077.89
Acessorio,2025-01-28,77578.5
Acessorio,2025-01-29,80909.14
Acessorio,2025-01-30,78932.94
Acessorio,2025-01-31,86419.76
Acessorio,2025-02-01,83476.58
Acessorio,2025-02-02,41298.215
Acessorio,2025-02-03,61020.918
Acessorio,2025-02-04,68668.64
Acessorio,2025-02-05,72722.19
Acessorio,2025-02-06,71962.72
Acessorio,2025-02-07,79078.28
Acessorio,2025-02-08,94503.31
Acessorio,2025-02-09,56224.25
Acessorio,2025-02-10,73706.336
Acessorio,2025-02-11,89738.7
Acessorio,2025-02-12,89148.5
Acessorio,2025-02-13,97762.484
Acessorio,2025-02-14,106857.89
Acessorio,2025-02-15,111013.125
Acessorio,2025-02-16,70041.984
Acessorio,2025-02-17,77151.18
Acessorio,2025-02-18,83868.266
Acessorio,2025-02-19,79241.0
Acessorio,2025-02-20,83004.4
Acessorio,2025-02-21,103423.875
Acessorio,2025-02-22,105266.125
Acessorio,2025-02-23,48079.65
Acessorio,2025-02-24,61050.402
Acessorio,2025-02-25,67096.56
Acessorio,2025-02-26,67104.27
Acessorio,2025-02-27,65767.73
Acessorio,2025-02-28,78785.88
Acessorio,2025-03-01,44458.152
Acessorio,2025-03-02,18788.762
Acessorio,2025-03-03,28839.324
Acessorio,2025-03-04,28028.8
Acessorio,2025-03-05,31365.322
Acessorio,2025-03-06,33349.59
