mes_ano,Alfaiataria,Jeans e Sarja,Malha,Outros,Tecido Plano,Total
2025-01,420322.22,895213.9,879781.6,1515830.5,3081630.5,6792779.0
2025-02,348709.47,742644.4,757462.1,1328739.9,2656233.5,5833789.5
2025-03,227239.19,484326.38,647549.7,1263648.8,2286967.8,4909732.0
2025-04,276956.0,589948.06,695400.2,1297457.6,2448569.5,5308331.5
2025-05,326690.94,695643.25,767460.0,1393673.8,2697640.5,5881108.5
2025-06,465399.22,990859.25,922167.2,1543588.2,3224658.2,7146672.0
2025-07,482949.25,1028174.75,955313.4,1597690.2,3340358.5,7404486.0
2025-08,410164.03,873369.4,867846.3,1502655.1,3041105.5,6695140.5
2025-09,382222.47,813737.7,822161.94,1435002.0,2882568.2,6335692.0
2025-10,435688.03,927625.94,898477.44,1535992.9,3145831.0,6943615.5
2025-11,429987.78,915322.9,879760.5,1497425.6,3079786.2,6802283.0
2025-12,531735.1,1131774.8,1014272.7,1661510.9,3542415.8,7881709.0
