mes_ano,Acessorio,Alfaiataria,Casual/Ville/Tricot/Moda,Couro,Fluidos/Plano,Jeans/Sarja,Outros,Seda,Total
2025-01,2452523.0,10187933.0,15464399.0,4733104.5,4935416.5,15268437.0,5917149.5,5891825.5,64850784.0
2025-02,2187063.5,8291455.5,14178072.0,3625140.0,4128566.2,11167679.0,4981350.0,5484765.5,54044092.0
2025-03,1457606.6,7669929.0,13811532.0,3759579.8,3085039.8,10033696.0,4801131.0,4508619.5,49127136.0
2025-04,1777757.8,6582605.5,12479222.0,2196880.5,4359752.5,9497913.0,3935202.5,4826331.5,45655664.0
2025-05,1337987.6,5705748.0,10380865.0,1767445.5,3018516.0,6961170.5,3547231.5,3988958.8,36707924.0
2025-06,1697775.9,7433001.0,11463894.0,2177340.0,3280797.8,9311055.0,4073807.0,5985264.0,45422936.0
2025-07,1603835.0,5917018.0,9532128.0,1539822.4,3061632.0,8760350.0,3535318.5,4694776.0,38644880.0
2025-08,1716126.0,6526493.5,9776862.0,1958666.8,3127985.0,8849654.0,3491034.5,4222933.5,39669750.0
2025-09,1813683.8,6015903.0,10282616.0,2067367.4,3021552.0,9732421.0,3557667.8,4016373.0,40507584.0
2025-10,1945112.8,4888433.5,10741164.0,1906874.4,3087287.5,12777867.0,3739733.5,3933825.8,43020296.0
2025-11,2222398.5,5574937.5,14428999.0,2293538.2,3307595.5,13612741.0,3644177.5,4699108.0,49783496.0
2025-12,1886520.9,6037692.5,14123633.0,2026445.5,4376579.5,13493917.0,3988228.2,5967319.0,51900336.0
