unique_id,ds,GRU
John John Fem,2025-01-01,71330.53
John John Fem,2025-01-02,195055.45
John John Fem,2025-01-03,214976.55
John John Fem,2025-01-04,227440.83
John John Fem,2025-01-05,191653.67
John John Fem,2025-01-06,213371.1
John John Fem,2025-01-07,223396.4
John John Fem,2025-01-08,233747.78
John John Fem,2025-01-09,247446.62
John John Fem,2025-01-10,276579.3
John John Fem,2025-01-11,307673.22
John John Fem,2025-01-12,187169.05
John John Fem,2025-01-13,187728.62
John John Fem,2025-01-14,192592.06
John John Fem,2025-01-15,198706.42
John John Fem,2025-01-16,209513.33
John John Fem,2025-01-17,228923.19
John John Fem,2025-01-18,253988.47
John John Fem,2025-01-19,179338.2
John John Fem,2025-01-20,178896.34
John John Fem,2025-01-21,189896.31
John John Fem,2025-01-22,202983.22
John John Fem,2025-01-23,216119.2
John John Fem,2025-01-24,246911.69
John John Fem,2025-01-25,308924.12
John John Fem,2025-01-26,206397.31
John John Fem,2025-01-27,197981.02
John John Fem,2025-01-28,211840.48
John John Fem,2025-01-29,221173.3
John John Fem,2025-01-30,236765.11
John John Fem,2025-01-31,267606.5
John John Fem,2025-02-01,341666.78
John John Fem,2025-02-02,233596.03
John John Fem,2025-02-03,220882.17
John John Fem,2025-02-04,225694.03
John John Fem,2025-02-05,239379.61
John John Fem,2025-02-06,248357.72
John John Fem,2025-02-07,295589.38
John John Fem,2025-02-08,358899.5
John John Fem,2025-02-09,217141.06
John John Fem,2025-02-10,206222.97
John John Fem,2025-02-11,207493.05
John John Fem,2025-02-12,196589.56
John John Fem,2025-02-13,190300.17
John John Fem,2025-02-14,213196.38
John John Fem,2025-02-15,244416.55
John John Fem,2025-02-16,167793.73
John John Fem,2025-02-17,172018.75
John John Fem,2025-02-18,172182.22
John John Fem,2025-02-19,179459.81
John John Fem,2025-02-20,193441.6
John John Fem,2025-02-21,219094.66
John John Fem,2025-02-22,274061.28
John John Fem,2025-02-23,173172.97
John John Fem,2025-02-24,164582.75
John John Fem,2025-02-25,167843.19
John John Fem,2025-02-26,180847.53
John John Fem,2025-02-27,195832.61
John John Fem,2025-02-28,230505.47
John John Fem,2025-03-01,242213.23
John John Fem,2025-03-02,135854.78
John John Fem,2025-03-03,144586.2
John John Fem,2025-03-04,141705.72
John John Fem,2025-03-05,154053.9
John John Fem,2025-03-06,180474.73
John John Fem,2025-03-07,222978.12
John John Fem,2025-03-08,289235.53
John John Fem,2025-03-09,163806.0
John John Fem,2025-03-10,144104.3
John John Fem,2025-03-11,153137.8
John John Fem,2025-03-12,163640.48
John John Fem,2025-03-13,175952.28
John John Fem,2025-03-14,201805.22
John John Fem,2025-03-15,257807.9
John John Fem,2025-03-16,151223.55
John John Fem,2025-03-17,131413.4
John John Fem,2025-03-18,144443.53
John John Fem,2025-03-19,147566.72
John John Fem,2025-03-20,149753.14
John John Fem,2025-03-21,167311.94
John John Fem,2025-03-22,232118.3
John John Fem,2025-03-23,151455.88
John John Fem,2025-03-24,127078.63
John John Fem,2025-03-25,132097.98
John John Fem,2025-03-26,138817.1
John John Fem,2025-03-27,149937.42
John John Fem,2025-03-28,194562.28
John John Fem,2025-03-29,304666.88
John John Fem,2025-03-30,157558.31
John John Fem,2025-03-31,135616.36
John John Fem,2025-04-01,141650.19
John John Fem,2025-04-02,155079.9
John John Fem,2025-04-03,168383.89
John John Fem,2025-04-04,211338.02
John John Fem,2025-04-05,297933.5
John John Fem,2025-04-06,198528.02
John John Fem,2025-04-07,150257.78
John John Fem,2025-04-08,159842.0
John John Fem,2025-04-09,169724.47
John John Fem,2025-04-10,189721.47
John John Fem,2025-04-11,244493.22
John John Fem,2025-04-12,322784.62
John John Fem,2025-04-13,159177.62
John John Fem,2025-04-14,140641.9
John John Fem,2025-04-15,150799.58
John John Fem,2025-04-16,159129.75
John John Fem,2025-04-17,169408.1
John John Fem,2025-04-18,143966.28
John John Fem,2025-04-19,264962.78
John John Fem,2025-04-20,104192.98
John John Fem,2025-04-21,125132.695
John John Fem,2025-04-22,132912.3
John John Fem,2025-04-23,143930.75
John John Fem,2025-04-24,154814.5
John John Fem,2025-04-25,187528.72
John John Fem,2025-04-26,266220.88
John John Fem,2025-04-27,167146.84
John John Fem,2025-04-28,134923.69
John John Fem,2025-04-29,144409.12
John John Fem,2025-04-30,156848.11
John John Fem,2025-05-01,162379.9
John John Fem,2025-05-02,223683.98
John John Fem,2025-05-03,251125.75
John John Fem,2025-05-04,94082.125
John John Fem,2025-05-05,111660.57
John John Fem,2025-05-06,108008.836
John John Fem,2025-05-07,125473.11
John John Fem,2025-05-08,145367.19
John John Fem,2025-05-09,179985.17
John John Fem,2025-05-10,254216.06
John John Fem,2025-05-11,119377.76
John John Fem,2025-05-12,114735.15
John John Fem,2025-05-13,121261.6
John John Fem,2025-05-14,140161.44
John John Fem,2025-05-15,160219.73
John John Fem,2025-05-16,214677.78
John John Fem,2025-05-17,301174.38
John John Fem,2025-05-18,162404.72
John John Fem,2025-05-19,128057.45
John John Fem,2025-05-20,141182.64
John John Fem,2025-05-21,152085.84
John John Fem,2025-05-22,170503.72
John John Fem,2025-05-23,228266.36
John John Fem,2025-05-24,307075.88
John John Fem,2025-05-25,149025.44
John John Fem,2025-05-26,155183.89
John John Fem,2025-05-27,179488.34
John John Fem,2025-05-28,213786.42
John John Fem,2025-05-29,251839.95
John John Fem,2025-05-30,309934.5
John John Fem,2025-05-31,360282.47
John John Fem,2025-06-01,150228.86
John John Fem,2025-06-02,145543.03
John John Fem,2025-06-03,159813.33
John John Fem,2025-06-04,186576.16
John John Fem,2025-06-05,179068.97
John John Fem,2025-06-06,205327.02
John John Fem,2025-06-07,269079.12
John John Fem,2025-06-08,209484.72
John John Fem,2025-06-09,181238.64
John John Fem,2025-06-10,217583.97
John John Fem,2025-06-11,243515.2
John John Fem,2025-06-12,279657.22
John John Fem,2025-06-13,312042.56
John John Fem,2025-06-14,259170.33
John John Fem,2025-06-15,168826.38
John John Fem,2025-06-16,178735.16
John John Fem,2025-06-17,190400.16
John John Fem,2025-06-18,199966.84
John John Fem,2025-06-19,197157.06
John John Fem,2025-06-20,193747.67
John John Fem,2025-06-21,183348.83
John John Fem,2025-06-22,134839.31
John John Fem,2025-06-23,147352.38
John John Fem,2025-06-24,158283.61
John John Fem,2025-06-25,172402.47
John John Fem,2025-06-26,176213.56
John John Fem,2025-06-27,184586.92
John John Fem,2025-06-28,193152.78
John John Fem,2025-06-29,137941.38
John John Fem,2025-06-30,141052.4
John John Fem,2025-07-01,154277.5
John John Fem,2025-07-02,172799.94
John John Fem,2025-07-03,179056.72
John John Fem,2025-07-04,192988.88
John John Fem,2025-07-05,211972.48
John John Fem,2025-07-06,148336.92
John John Fem,2025-07-07,146333.56
John John Fem,2025-07-08,156185.9
John John Fem,2025-07-09,171090.75
John John Fem,2025-07-10,177781.16
John John Fem,2025-07-11,187379.7
John John Fem,2025-07-12,206803.06
John John Fem,2025-07-13,144244.28
John John Fem,2025-07-14,142719.34
John John Fem,2025-07-15,147914.72
John John Fem,2025-07-16,156460.75
John John Fem,2025-07-17,161915.14
John John Fem,2025-07-18,165664.6
John John Fem,2025-07-19,192604.56
John John Fem,2025-07-20,137262.36
John John Fem,2025-07-21,121222.84
John John Fem,2025-07-22,129827.96
John John Fem,2025-07-23,137275.44
John John Fem,2025-07-24,137049.98
John John Fem,2025-07-25,138819.84
John John Fem,2025-07-26,190309.11
John John Fem,2025-07-27,133022.53
John John Fem,2025-07-28,114209.61
John John Fem,2025-07-29,124075.54
John John Fem,2025-07-30,134453.1
John John Fem,2025-07-31,136018.4
John John Fem,2025-08-01,166537.81
John John Fem,2025-08-02,231671.95
John John Fem,2025-08-03,107888.94
John John Fem,2025-08-04,110611.31
John John Fem,2025-08-05,118434.695
John John Fem,2025-08-06,128942.48
John John Fem,2025-08-07,149856.64
John John Fem,2025-08-08,196988.25
John John Fem,2025-08-09,241469.7
John John Fem,2025-08-10,104051.32
John John Fem,2025-08-11,107323.34
John John Fem,2025-08-12,121537.13
John John Fem,2025-08-13,134266.6
John John Fem,2025-08-14,150677.08
John John Fem,2025-08-15,192034.36
John John Fem,2025-08-16,258845.42
John John Fem,2025-08-17,144090.12
John John Fem,2025-08-18,127102.14
John John Fem,2025-08-19,132469.72
John John Fem,2025-08-20,143155.5
John John Fem,2025-08-21,158768.14
John John Fem,2025-08-22,195247.12
John John Fem,2025-08-23,239899.2
John John Fem,2025-08-24,140996.81
John John Fem,2025-08-25,122328.9
John John Fem,2025-08-26,133282.72
John John Fem,2025-08-27,144155.6
John John Fem,2025-08-28,153900.83
John John Fem,2025-08-29,188661.31
John John Fem,2025-08-30,252808.55
John John Fem,2025-08-31,136803.14
John John Fem,2025-09-01,119705.79
John John Fem,2025-09-02,126537.96
John John Fem,2025-09-03,137884.23
John John Fem,2025-09-04,148027.02
John John Fem,2025-09-05,192502.8
John John Fem,2025-09-06,242974.48
John John Fem,2025-09-07,146271.03
John John Fem,2025-09-08,112064.27
John John Fem,2025-09-09,126857.85
John John Fem,2025-09-10,136151.22
John John Fem,2025-09-11,149427.81
John John Fem,2025-09-12,192754.23
John John Fem,2025-09-13,258694.03
John John Fem,2025-09-14,153529.42
John John Fem,2025-09-15,130720.64
John John Fem,2025-09-16,139323.12
John John Fem,2025-09-17,150328.64
John John Fem,2025-09-18,159832.12
John John Fem,2025-09-19,208075.02
John John Fem,2025-09-20,278850.28
John John Fem,2025-09-21,159129.72
John John Fem,2025-09-22,123934.11
John John Fem,2025-09-23,128693.555
John John Fem,2025-09-24,143522.33
John John Fem,2025-09-25,146654.52
John John Fem,2025-09-26,183777.47
John John Fem,2025-09-27,240717.8
John John Fem,2025-09-28,143364.25
John John Fem,2025-09-29,119145.766
John John Fem,2025-09-30,128903.47
John John Fem,2025-10-01,143687.56
John John Fem,2025-10-02,152155.12
John John Fem,2025-10-03,185546.69
John John Fem,2025-10-04,240336.4
John John Fem,2025-10-05,137326.97
John John Fem,2025-10-06,131658.66
John John Fem,2025-10-07,144786.72
John John Fem,2025-10-08,153165.98
John John Fem,2025-10-09,161517.52
John John Fem,2025-10-10,192665.97
John John Fem,2025-10-11,270473.38
John John Fem,2025-10-12,193680.72
John John Fem,2025-10-13,155639.47
John John Fem,2025-10-14,157896.81
John John Fem,2025-10-15,162144.72
John John Fem,2025-10-16,182163.48
John John Fem,2025-10-17,238501.42
John John Fem,2025-10-18,338444.97
John John Fem,2025-10-19,185034.84
John John Fem,2025-10-20,137533.61
John John Fem,2025-10-21,142284.4
John John Fem,2025-10-22,154142.25
John John Fem,2025-10-23,171036.17
John John Fem,2025-10-24,209526.44
John John Fem,2025-10-25,259497.62
John John Fem,2025-10-26,153686.4
John John Fem,2025-10-27,126861.055
John John Fem,2025-10-28,134843.23
John John Fem,2025-10-29,147099.05
John John Fem,2025-10-30,147816.19
John John Fem,2025-10-31,176038.33
John John Fem,2025-11-01,227404.55
John John Fem,2025-11-02,151835.58
John John Fem,2025-11-03,123106.836
John John Fem,2025-11-04,124410.18
John John Fem,2025-11-05,126578.836
John John Fem,2025-11-06,135135.03
John John Fem,2025-11-07,169157.9
John John Fem,2025-11-08,202645.81
John John Fem,2025-11-09,120007.54
John John Fem,2025-11-10,111742.04
John John Fem,2025-11-11,121663.19
John John Fem,2025-11-12,133381.73
John John Fem,2025-11-13,141882.6
John John Fem,2025-11-14,153275.47
John John Fem,2025-11-15,206234.83
John John Fem,2025-11-16,142176.4
John John Fem,2025-11-17,130114.93
John John Fem,2025-11-18,139218.08
John John Fem,2025-11-19,152321.34
John John Fem,2025-11-20,164420.95
John John Fem,2025-11-21,210605.47
John John Fem,2025-11-22,309852.8
John John Fem,2025-11-23,178989.72
John John Fem,2025-11-24,157923.6
John John Fem,2025-11-25,170543.05
John John Fem,2025-11-26,181868.39
John John Fem,2025-11-27,209646.69
John John Fem,2025-11-28,347465.06
John John Fem,2025-11-29,347504.8
John John Fem,2025-11-30,201664.34
John John Fem,2025-12-01,193592.88
John John Fem,2025-12-02,206183.33
John John Fem,2025-12-03,223242.47
John John Fem,2025-12-04,234403.42
John John Fem,2025-12-05,254655.64
John John Fem,2025-12-06,316674.44
John John Fem,2025-12-07,210410.1
John John Fem,2025-12-08,190957.98
John John Fem,2025-12-09,194547.1
John John Fem,2025-12-10,212131.45
John John Fem,2025-12-11,226823.73
John John Fem,2025-12-12,240121.73
John John Fem,2025-12-13,267446.3
John John Fem,2025-12-14,197214.92
John John Fem,2025-12-15,224960.02
John John Fem,2025-12-16,238746.92
John John Fem,2025-12-17,268266.53
John John Fem,2025-12-18,245813.05
John John Fem,2025-12-19,320010.25
John John Fem,2025-12-20,340804.06
John John Fem,2025-12-21,305548.7
John John Fem,2025-12-22,381750.34
John John Fem,2025-12-23,477504.4
John John Fem,2025-12-24,346213.03
John John Fem,2025-12-25,56106.67
John John Fem,2025-12-26,264605.44
John John Fem,2025-12-27,224009.22
John John Fem,2025-12-28,150386.03
John John Fem,2025-12-29,225316.78
John John Fem,2025-12-30,219705.95
John John Fem,2025-12-31,199803.25
John John Masc,2025-01-01,49397.46
John John Masc,2025-01-02,143989.6
John John Masc,2025-01-03,157484.06
John John Masc,2025-01-04,161853.75
John John Masc,2025-01-05,129555.41
John John Masc,2025-01-06,148544.55
John John Masc,2025-01-07,160014.4
John John Masc,2025-01-08,172359.08
John John Masc,2025-01-09,185960.62
John John Masc,2025-01-10,206557.98
John John Masc,2025-01-11,236989.75
John John Masc,2025-01-12,141336.94
John John Masc,2025-01-13,139053.6
John John Masc,2025-01-14,145376.06
John John Masc,2025-01-15,151773.33
John John Masc,2025-01-16,159005.39
John John Masc,2025-01-17,174130.89
John John Masc,2025-01-18,198791.5
John John Masc,2025-01-19,120369.14
John John Masc,2025-01-20,123516.31
John John Masc,2025-01-21,133449.42
John John Masc,2025-01-22,145633.6
John John Masc,2025-01-23,157700.53
John John Masc,2025-01-24,178743.28
John John Masc,2025-01-25,226661.53
John John Masc,2025-01-26,147033.44
John John Masc,2025-01-27,139227.42
John John Masc,2025-01-28,148219.47
John John Masc,2025-01-29,159798.42
John John Masc,2025-01-30,167918.08
John John Masc,2025-01-31,191437.73
John John Masc,2025-02-01,241689.08
John John Masc,2025-02-02,165845.56
John John Masc,2025-02-03,151178.67
John John Masc,2025-02-04,152744.52
John John Masc,2025-02-05,159329.33
John John Masc,2025-02-06,165193.4
John John Masc,2025-02-07,188225.97
John John Masc,2025-02-08,236690.72
John John Masc,2025-02-09,141558.27
John John Masc,2025-02-10,136508.48
John John Masc,2025-02-11,138204.97
John John Masc,2025-02-12,137865.22
John John Masc,2025-02-13,138146.73
John John Masc,2025-02-14,162673.34
John John Masc,2025-02-15,186873.0
John John Masc,2025-02-16,118554.61
John John Masc,2025-02-17,119504.75
John John Masc,2025-02-18,122209.766
John John Masc,2025-02-19,127088.91
John John Masc,2025-02-20,141959.17
John John Masc,2025-02-21,160641.0
John John Masc,2025-02-22,207986.66
John John Masc,2025-02-23,124318.66
John John Masc,2025-02-24,116393.83
John John Masc,2025-02-25,122778.07
John John Masc,2025-02-26,133939.5
John John Masc,2025-02-27,144872.44
John John Masc,2025-02-28,171361.22
John John Masc,2025-03-01,182326.45
John John Masc,2025-03-02,99386.09
John John Masc,2025-03-03,104685.72
John John Masc,2025-03-04,106126.375
John John Masc,2025-03-05,119906.88
John John Masc,2025-03-06,145278.44
John John Masc,2025-03-07,179367.61
John John Masc,2025-03-08,241004.75
John John Masc,2025-03-09,129472.84
John John Masc,2025-03-10,112815.734
John John Masc,2025-03-11,120169.84
John John Masc,2025-03-12,133745.16
John John Masc,2025-03-13,147740.84
John John Masc,2025-03-14,168021.55
John John Masc,2025-03-15,222320.28
John John Masc,2025-03-16,120612.82
John John Masc,2025-03-17,101198.03
John John Masc,2025-03-18,111393.3
John John Masc,2025-03-19,113810.22
John John Masc,2025-03-20,118552.75
John John Masc,2025-03-21,136832.1
John John Masc,2025-03-22,195978.12
John John Masc,2025-03-23,127188.35
John John Masc,2025-03-24,96737.23
John John Masc,2025-03-25,102796.445
John John Masc,2025-03-26,112906.85
John John Masc,2025-03-27,124133.414
John John Masc,2025-03-28,156586.38
John John Masc,2025-03-29,249716.0
John John Masc,2025-03-30,129933.945
John John Masc,2025-03-31,103235.91
John John Masc,2025-04-01,109328.13
John John Masc,2025-04-02,124180.734
John John Masc,2025-04-03,141168.11
John John Masc,2025-04-04,182161.83
John John Masc,2025-04-05,259424.72
John John Masc,2025-04-06,163867.6
John John Masc,2025-04-07,113640.0
John John Masc,2025-04-08,124044.75
John John Masc,2025-04-09,137087.3
John John Masc,2025-04-10,154301.12
John John Masc,2025-04-11,200253.94
John John Masc,2025-04-12,276300.2
John John Masc,2025-04-13,133932.34
John John Masc,2025-04-14,110002.1
John John Masc,2025-04-15,121582.83
John John Masc,2025-04-16,130147.76
John John Masc,2025-04-17,141708.64
John John Masc,2025-04-18,111802.0
John John Masc,2025-04-19,223283.6
John John Masc,2025-04-20,74158.17
John John Masc,2025-04-21,95545.56
John John Masc,2025-04-22,103023.305
John John Masc,2025-04-23,112353.17
John John Masc,2025-04-24,122478.86
John John Masc,2025-04-25,152659.17
John John Masc,2025-04-26,220776.55
John John Masc,2025-04-27,135674.98
John John Masc,2025-04-28,102819.41
John John Masc,2025-04-29,113441.836
John John Masc,2025-04-30,126138.05
John John Masc,2025-05-01,122588.8
John John Masc,2025-05-02,170959.3
John John Masc,2025-05-03,194721.23
John John Masc,2025-05-04,75718.41
John John Masc,2025-05-05,85528.07
John John Masc,2025-05-06,82276.74
John John Masc,2025-05-07,100845.36
John John Masc,2025-05-08,116774.09
John John Masc,2025-05-09,156764.02
John John Masc,2025-05-10,220213.6
John John Masc,2025-05-11,106135.91
John John Masc,2025-05-12,96120.086
John John Masc,2025-05-13,99884.94
John John Masc,2025-05-14,116897.81
John John Masc,2025-05-15,136731.62
John John Masc,2025-05-16,184831.72
John John Masc,2025-05-17,255700.25
John John Masc,2025-05-18,126034.11
John John Masc,2025-05-19,94217.56
John John Masc,2025-05-20,105726.914
John John Masc,2025-05-21,116806.66
John John Masc,2025-05-22,131996.05
John John Masc,2025-05-23,171604.3
John John Masc,2025-05-24,251016.02
John John Masc,2025-05-25,118184.95
John John Masc,2025-05-26,109331.734
John John Masc,2025-05-27,134852.81
John John Masc,2025-05-28,166612.66
John John Masc,2025-05-29,197799.97
John John Masc,2025-05-30,251624.7
