mes_ano,John John Fem,John John Masc,Total
2025-01,5504223.0,4261282.0,9765505.0
2025-02,4357849.0,3229089.8,7586939.0
2025-03,4087311.0,2915308.8,7002620.0
2025-04,4054412.0,2734944.2,6789356.0
2025-05,5279486.5,4009375.0,9288862.0
2025-06,8521841.0,6964963.0,15486804.0
2025-07,5983986.5,4611988.5,10595975.0
2025-08,4725835.0,3597585.5,8323420.5
2025-09,5581130.5,3506749.8,9087880.0
2025-10,6053990.0,3653257.8,9707248.0
2025-11,8038851.0,5581006.5,13619858.0
2025-12,11725343.0,9224826.0,20950168.0
