unique_id,ds,GRU
Le Lis Beaute,2025-01-01,16047.124
Le Lis Beaute,2025-01-02,16976.73
Le Lis Beaute,2025-01-03,59944.805
Le Lis Beaute,2025-01-04,43931.39
Le Lis Beaute,2025-01-05,26172.717
Le Lis Beaute,2025-01-06,30441.945
Le Lis Beaute,2025-01-07,43995.336
Le Lis Beaute,2025-01-08,84049.45
Le Lis Beaute,2025-01-09,82979.734
Le Lis Beaute,2025-01-10,102746.03
Le Lis Beaute,2025-01-11,108217.82
Le Lis Beaute,2025-01-12,48127.754
Le Lis Beaute,2025-01-13,61203.176
Le Lis Beaute,2025-01-14,65562.234
Le Lis Beaute,2025-01-15,60757.977
Le Lis Beaute,2025-01-16,61012.703
Le Lis Beaute,2025-01-17,72428.66
Le Lis Beaute,2025-01-18,80604.92
Le Lis Beaute,2025-01-19,35632.59
Le Lis Beaute,2025-01-20,41370.04
Le Lis Beaute,2025-01-21,34965.836
Le Lis Beaute,2025-01-22,34720.016
Le Lis Beaute,2025-01-23,36693.355
Le Lis Beaute,2025-01-24,36433.836
Le Lis Beaute,2025-01-25,69588.086
Le Lis Beaute,2025-01-26,27154.457
Le Lis Beaute,2025-01-27,34364.46
Le Lis Beaute,2025-01-28,26294.984
Le Lis Beaute,2025-01-29,56741.062
Le Lis Beaute,2025-01-30,45914.258
Le Lis Beaute,2025-01-31,55091.105
Le Lis Beaute,2025-02-01,48468.29
Le Lis Beaute,2025-02-02,19771.582
Le Lis Beaute,2025-02-03,18683.818
Le Lis Beaute,2025-02-04,33634.094
Le Lis Beaute,2025-02-05,30863.664
Le Lis Beaute,2025-02-06,41785.195
Le Lis Beaute,2025-02-07,38860.617
Le Lis Beaute,2025-02-08,80798.09
Le Lis Beaute,2025-02-09,24967.475
Le Lis Beaute,2025-02-10,25512.41
Le Lis Beaute,2025-02-11,25660.748
Le Lis Beaute,2025-02-12,24294.676
Le Lis Beaute,2025-02-13,29426.213
Le Lis Beaute,2025-02-14,26917.75
Le Lis Beaute,2025-02-15,66216.7
Le Lis Beaute,2025-02-16,22619.232
Le Lis Beaute,2025-02-17,26407.45
Le Lis Beaute,2025-02-18,21964.955
Le Lis Beaute,2025-02-19,32581.008
Le Lis Beaute,2025-02-20,24052.2
Le Lis Beaute,2025-02-21,35036.098
Le Lis Beaute,2025-02-22,38615.703
Le Lis Beaute,2025-02-23,19688.924
Le Lis Beaute,2025-02-24,23299.564
Le Lis Beaute,2025-02-25,37350.152
Le Lis Beaute,2025-02-26,40654.06
Le Lis Beaute,2025-02-27,36833.895
Le Lis Beaute,2025-02-28,27529.54
Le Lis Beaute,2025-03-01,32352.492
Le Lis Beaute,2025-03-02,13206.135
Le Lis Beaute,2025-03-03,23840.3
Le Lis Beaute,2025-03-04,16533.398
Le Lis Beaute,2025-03-05,18057.623
Le Lis Beaute,2025-03-06,17268.541
Le Lis Beaute,2025-03-07,43657.66
Le Lis Beaute,2025-03-08,50422.164
Le Lis Beaute,2025-03-09,11320.621
Le Lis Beaute,2025-03-10,19749.188
Le Lis Beaute,2025-03-11,23992.46
Le Lis Beaute,2025-03-12,25431.945
Le Lis Beaute,2025-03-13,27340.754
Le Lis Beaute,2025-03-14,40580.777
Le Lis Beaute,2025-03-15,50198.453
Le Lis Beaute,2025-03-16,17826.373
Le Lis Beaute,2025-03-17,35110.273
Le Lis Beaute,2025-03-18,22924.066
Le Lis Beaute,2025-03-19,24905.857
Le Lis Beaute,2025-03-20,26597.637
Le Lis Beaute,2025-03-21,33056.934
Le Lis Beaute,2025-03-22,76988.125
Le Lis Beaute,2025-03-23,25467.967
Le Lis Beaute,2025-03-24,16994.334
Le Lis Beaute,2025-03-25,34025.027
Le Lis Beaute,2025-03-26,37481.99
Le Lis Beaute,2025-03-27,38724.49
Le Lis Beaute,2025-03-28,29022.97
Le Lis Beaute,2025-03-29,77352.87
Le Lis Beaute,2025-03-30,28773.473
Le Lis Beaute,2025-03-31,29557.396
Le Lis Beaute,2025-04-01,21396.836
Le Lis Beaute,2025-04-02,26887.744
Le Lis Beaute,2025-04-03,35777.766
Le Lis Beaute,2025-04-04,34408.055
Le Lis Beaute,2025-04-05,74732.41
Le Lis Beaute,2025-04-06,17413.754
Le Lis Beaute,2025-04-07,14784.117
Le Lis Beaute,2025-04-08,17144.592
Le Lis Beaute,2025-04-09,28101.945
Le Lis Beaute,2025-04-10,29931.127
Le Lis Beaute,2025-04-11,44497.17
Le Lis Beaute,2025-04-12,51419.516
Le Lis Beaute,2025-04-13,19274.0
Le Lis Beaute,2025-04-14,33161.76
Le Lis Beaute,2025-04-15,16671.268
Le Lis Beaute,2025-04-16,18127.62
Le Lis Beaute,2025-04-17,25938.988
Le Lis Beaute,2025-04-18,8646.238
Le Lis Beaute,2025-04-19,29994.87
Le Lis Beaute,2025-04-20,11577.841
Le Lis Beaute,2025-04-21,15282.106
Le Lis Beaute,2025-04-22,19703.785
Le Lis Beaute,2025-04-23,37812.42
Le Lis Beaute,2025-04-24,37904.32
Le Lis Beaute,2025-04-25,38293.95
Le Lis Beaute,2025-04-26,77976.3
Le Lis Beaute,2025-04-27,16178.607
Le Lis Beaute,2025-04-28,11754.26
Le Lis Beaute,2025-04-29,25362.797
Le Lis Beaute,2025-04-30,60232.77
Le Lis Beaute,2025-05-01,12702.439
Le Lis Beaute,2025-05-02,49315.332
Le Lis Beaute,2025-05-03,43489.508
Le Lis Beaute,2025-05-04,15185.354
Le Lis Beaute,2025-05-05,25935.803
Le Lis Beaute,2025-05-06,25464.484
Le Lis Beaute,2025-05-07,48188.54
Le Lis Beaute,2025-05-08,45894.195
Le Lis Beaute,2025-05-09,74233.94
Le Lis Beaute,2025-05-10,89066.55
Le Lis Beaute,2025-05-11,24575.59
Le Lis Beaute,2025-05-12,23018.498
Le Lis Beaute,2025-05-13,23329.082
Le Lis Beaute,2025-05-14,30704.441
Le Lis Beaute,2025-05-15,43665.87
Le Lis Beaute,2025-05-16,44112.25
Le Lis Beaute,2025-05-17,39867.93
Le Lis Beaute,2025-05-18,17175.045
Le Lis Beaute,2025-05-19,21524.855
Le Lis Beaute,2025-05-20,39087.293
Le Lis Beaute,2025-05-21,19173.652
Le Lis Beaute,2025-05-22,29262.117
Le Lis Beaute,2025-05-23,39929.17
Le Lis Beaute,2025-05-24,54171.1
Le Lis Beaute,2025-05-25,20059.379
Le Lis Beaute,2025-05-26,23617.812
Le Lis Beaute,2025-05-27,23127.506
Le Lis Beaute,2025-05-28,23360.91
Le Lis Beaute,2025-05-29,29122.91
Le Lis Beaute,2025-05-30,52608.707
Le Lis Beaute,2025-05-31,46343.75
