mes_ano,Le Lis Beaute,Le Lis Blanc Deux,Le Lis Casa,Le Lis Noir,Total
2025-01,1600164.6,87623080.0,3655245.8,11300.115,92889800.0
2025-02,922494.1,49892004.0,1987555.4,2793.0303,52804850.0
2025-03,968762.3,51582756.0,2145201.5,5323.4907,54702044.0
2025-04,900388.94,48388684.0,1932773.8,2426.2173,51224270.0
2025-05,1097314.0,58676228.0,2479168.0,8830.904,62261544.0
2025-06,1017615.3,54901344.0,2242735.5,4264.2026,58165960.0
2025-07,939451.6,50592484.0,2015903.2,2040.3176,53549880.0
2025-08,1014675.44,55274880.0,2167421.5,911.91797,58457890.0
2025-09,740679.5,38692360.0,1551161.0,-5.9178925,40984196.0
2025-10,723789.4,38055012.0,1462002.4,-2432.3604,40238372.0
2025-11,777160.5,41529828.0,1596608.5,-3990.9658,43899604.0
2025-12,2373584.5,131858860.0,5321779.5,6622.0493,139560850.0
