ds,LSTM_steps1000_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_biasTrue_dropout0.0
2024-10-01,219128.3
2024-10-02,166644.4
2024-10-03,303730.78
2024-10-04,249693.86
2024-10-05,482816.62
2024-10-06,128030.36
2024-10-07,197021.55
2024-10-08,126715.86
2024-10-09,151479.33
2024-10-10,305682.0
2024-10-11,405504.7
2024-10-12,508242.38
2024-10-13,274557.2
2024-10-14,186408.81
2024-10-15,177405.12
2024-10-16,212684.62
2024-10-17,192686.08
2024-10-18,316594.47
2024-10-19,547320.3
2024-10-20,397543.8
2024-10-21,180184.53
2024-10-22,222517.88
2024-10-23,178771.03
2024-10-24,248134.73
2024-10-25,274237.0
2024-10-26,416426.75
2024-10-27,210487.3
2024-10-28,222197.1
2024-10-29,211132.06
2024-10-30,224665.8
2024-10-31,246145.27
2024-11-01,334792.5
2024-11-02,345422.78
2024-11-03,299800.94
2024-11-04,115381.17
2024-11-05,311819.97
2024-11-06,522132.72
2024-11-07,656378.25
2024-11-08,500503.0
2024-11-09,998453.75
2024-11-10,822353.9
2024-11-11,546195.5
2024-11-12,450926.97
2024-11-13,341704.88
2024-11-14,431505.62
2024-11-15,548692.3
2024-11-16,507275.62
2024-11-17,494217.44
2024-11-18,343624.94
2024-11-19,365383.44
2024-11-20,472128.38
2024-11-21,532513.2
2024-11-22,545002.9
2024-11-23,656336.6
2024-11-24,629523.0
2024-11-25,526294.6
2024-11-26,442122.5
2024-11-27,311095.1
2024-11-28,513387.88
2024-11-29,627246.56
2024-11-30,895977.5
2024-12-01,403234.1
2024-12-02,256561.03
2024-12-03,352502.28
2024-12-04,354078.12
2024-12-05,370957.62
2024-12-06,484543.28
2024-12-07,490355.62
2024-12-08,392527.28
2024-12-09,448773.56
2024-12-10,509603.12
2024-12-11,469564.06
2024-12-12,522980.0
2024-12-13,488827.12
2024-12-14,840728.75
2024-12-15,700135.0
2024-12-16,714783.9
2024-12-17,659870.1
2024-12-18,715966.9
2024-12-19,833798.2
2024-12-20,928830.8
2024-12-21,1190599.2
2024-12-22,1211710.5
2024-12-23,1600579.8
2024-12-24,1368107.5
2024-12-25,1247530.2
2024-12-26,795149.8
2024-12-27,759764.0
2024-12-28,348590.62
2024-12-29,526081.1
2024-12-30,572791.9
2024-12-31,72579.734
2025-01-01,134864.86
2025-01-02,356507.25
2025-01-03,451362.8
2025-01-04,211103.97
2025-01-05,297594.6
2025-01-06,292523.7
2025-01-07,143652.23
2025-01-08,456696.94
2025-01-09,354732.12
2025-01-10,417593.25
2025-01-11,344471.3
2025-01-12,224195.53
2025-01-13,219699.78
2025-01-14,230748.81
2025-01-15,279018.9
2025-01-16,294096.0
2025-01-17,478470.8
2025-01-18,230030.05
2025-01-19,250314.95
2025-01-20,383721.7
2025-01-21,313738.94
2025-01-22,332410.28
2025-01-23,338516.62
2025-01-24,273297.62
2025-01-25,354257.47
2025-01-26,202606.6
2025-01-27,258925.2
2025-01-28,283166.44
2025-01-29,250841.28
2025-01-30,416447.97
2025-01-31,422999.8
2025-02-01,413003.06
2025-02-02,265900.25
2025-02-03,220023.2
2025-02-04,256938.69
2025-02-05,262754.78
2025-02-06,401730.34
2025-02-07,906417.5
2025-02-08,815660.2
2025-02-09,352887.12
2025-02-10,297556.1
2025-02-11,276216.38
2025-02-12,289580.9
2025-02-13,367826.7
2025-02-14,609207.5
2025-02-15,696098.0
2025-02-16,310216.56
2025-02-17,274384.0
2025-02-18,167516.58
2025-02-19,299053.06
2025-02-20,386952.34
2025-02-21,305722.9
2025-02-22,360915.16
2025-02-23,267351.38
2025-02-24,200079.2
2025-02-25,275310.56
2025-02-26,306196.12
2025-02-27,354207.22
2025-02-28,508364.28
2025-03-01,297500.25
2025-03-02,158886.77
2025-03-03,249546.56
2025-03-04,94853.05
2025-03-05,202729.28
2025-03-06,154816.17
2025-03-07,306049.9
2025-03-08,391388.53
2025-03-09,201303.1
2025-03-10,223028.27
2025-03-11,224267.73
2025-03-12,199111.42
2025-03-13,281280.47
2025-03-14,357221.03
2025-03-15,548095.06
2025-03-16,272845.38
2025-03-17,304553.72
2025-03-18,261083.27
2025-03-19,247518.64
2025-03-20,273031.1
2025-03-21,284480.16
2025-03-22,457949.94
2025-03-23,336666.22
2025-03-24,155894.81
2025-03-25,256417.28
