ds,GRU_steps1000_lr0.001_batch64_encoder200_decoder200_enc_layers2_dec_layers2_context10_activationtanh_biasTrue_dropout0.0_lr_decays-1_early_stop-1_val_check100_scalerrobust_seed1
2024-10-01,1204469.8
2024-10-02,1166043.8
2024-10-03,1207653.8
2024-10-04,1579725.8
2024-10-05,2093463.1
2024-10-06,649703.2
2024-10-07,1141697.6
2024-10-08,1105976.4
2024-10-09,1093016.2
2024-10-10,1209623.2
2024-10-11,1288461.0
2024-10-12,1384575.4
2024-10-13,865869.0
2024-10-14,1036130.8
2024-10-15,1418740.8
2024-10-16,1704624.5
2024-10-17,1183359.9
2024-10-18,1933632.4
2024-10-19,1987865.6
2024-10-20,935557.25
2024-10-21,1145390.9
2024-10-22,1379745.1
2024-10-23,1227555.6
2024-10-24,1469772.8
2024-10-25,1727778.5
2024-10-26,1249891.0
2024-10-27,650771.06
2024-10-28,1200767.2
2024-10-29,1032580.6
2024-10-30,1264439.9
2024-10-31,1261174.4
2024-11-01,1511207.5
2024-11-02,1244554.6
2024-11-03,1130395.9
2024-11-04,954281.1
2024-11-05,885658.6
2024-11-06,2157264.5
2024-11-07,2515670.5
2024-11-08,1958128.5
2024-11-09,2416748.5
2024-11-10,1163905.1
2024-11-11,1628917.0
2024-11-12,1433295.9
2024-11-13,1208325.6
2024-11-14,1246351.5
2024-11-15,897939.9
2024-11-16,1254724.8
2024-11-17,843365.1
2024-11-18,1382834.9
2024-11-19,1037848.8
2024-11-20,1116479.5
2024-11-21,1150284.8
2024-11-22,1634457.6
2024-11-23,1806986.1
2024-11-24,1911362.0
2024-11-25,1510295.6
2024-11-26,1788157.1
2024-11-27,1788142.4
2024-11-28,1702586.6
2024-11-29,1989702.1
2024-11-30,2296463.5
2024-12-01,999074.44
2024-12-02,979928.44
2024-12-03,1038387.44
2024-12-04,1354524.4
2024-12-05,1311473.2
2024-12-06,1119573.1
2024-12-07,1876870.8
2024-12-08,1292699.6
2024-12-09,1623523.6
2024-12-10,1227131.4
2024-12-11,1294931.8
2024-12-12,1528579.6
2024-12-13,2275895.0
2024-12-14,2122253.0
2024-12-15,1827397.2
2024-12-16,2249173.5
2024-12-17,1770702.0
2024-12-18,2158539.5
2024-12-19,2087066.0
2024-12-20,2547267.2
2024-12-21,2678751.5
2024-12-22,2587851.5
2024-12-23,3045701.0
2024-12-24,1551054.2
2024-12-25,2436350.0
2024-12-26,1680694.2
2024-12-27,1663955.4
2024-12-28,1252659.0
2024-12-29,1124435.4
2024-12-30,1208684.6
2024-12-31,-588140.4
2025-01-01,124221.0
2025-01-02,1137024.2
2025-01-03,3756614.5
2025-01-04,2035477.0
2025-01-05,1190417.8
2025-01-06,3867346.2
2025-01-07,348678.94
2025-01-08,2479709.8
2025-01-09,1137919.1
2025-01-10,3022002.5
2025-01-11,2322491.8
2025-01-12,1404832.2
2025-01-13,1922829.0
2025-01-14,1124669.0
2025-01-15,2995120.5
2025-01-16,1310125.1
2025-01-17,1882995.2
2025-01-18,1312257.5
2025-01-19,781949.5
2025-01-20,1522461.0
2025-01-21,1634295.2
2025-01-22,1368463.8
2025-01-23,870189.8
2025-01-24,2015024.4
2025-01-25,1293777.1
2025-01-26,394052.38
2025-01-27,1355267.9
2025-01-28,990029.1
2025-01-29,1860729.1
2025-01-30,2375383.2
2025-01-31,2431480.0
2025-02-01,1002432.8
2025-02-02,813983.9
2025-02-03,1404455.5
2025-02-04,2411254.5
2025-02-05,2333909.5
2025-02-06,1504088.4
2025-02-07,2003637.5
2025-02-08,1615730.9
2025-02-09,891701.6
2025-02-10,1283845.8
2025-02-11,1355603.8
2025-02-12,958229.25
2025-02-13,1308516.2
2025-02-14,1449049.0
2025-02-15,1112873.0
2025-02-16,1139460.1
2025-02-17,1101294.8
2025-02-18,1084353.9
2025-02-19,803713.44
2025-02-20,1012341.5
2025-02-21,902692.4
2025-02-22,907870.1
2025-02-23,683131.0
2025-02-24,873355.94
2025-02-25,1442939.0
2025-02-26,881180.5
2025-02-27,940139.0
2025-02-28,1632441.2
2025-03-01,1039125.7
2025-03-02,445304.94
2025-03-03,618821.06
2025-03-04,351215.56
2025-03-05,766955.5
2025-03-06,645297.9
2025-03-07,1154370.4
2025-03-08,2079355.0
2025-03-09,563055.3
2025-03-10,1031264.1
2025-03-11,1078330.8
2025-03-12,1529129.1
2025-03-13,1420976.8
2025-03-14,1456234.2
2025-03-15,1935172.5
2025-03-16,572127.75
2025-03-17,544393.75
2025-03-18,1053001.1
2025-03-19,1058091.1
2025-03-20,1206604.1
2025-03-21,1494424.6
2025-03-22,1431729.2
2025-03-23,632350.4
2025-03-24,1050413.2
2025-03-25,958594.1
2025-03-26,1546770.5
2025-03-27,1898686.4
2025-03-28,2083885.0
2025-03-29,1973751.1
2025-03-30,466408.62
2025-03-31,745817.75
2025-04-01,718606.75
2025-04-02,875269.7
2025-04-03,716183.9
2025-04-04,1423511.6
2025-04-05,1464010.1
2025-04-06,348262.3
2025-04-07,586295.6
2025-04-08,627008.5
2025-04-09,848461.75
2025-04-10,1128537.9
2025-04-11,1230989.4
2025-04-12,1254687.1
2025-04-13,523970.62
2025-04-14,879702.5
2025-04-15,894884.0
2025-04-16,1014019.5
2025-04-17,1245904.8
2025-04-18,432872.38
2025-04-19,1381938.4
2025-04-20,187417.81
2025-04-21,475512.12
2025-04-22,1077705.0
2025-04-23,1004318.56
2025-04-24,1414527.5
2025-04-25,1270617.8
2025-04-26,1350293.5
2025-04-27,799176.0
2025-04-28,601021.2
2025-04-29,1049729.9
2025-04-30,1393603.5
2025-05-01,490908.12
2025-05-02,1224160.0
2025-05-03,1249805.2
2025-05-04,417225.5
2025-05-05,720228.6
2025-05-06,1338898.5
2025-05-07,1197066.9
2025-05-08,2103099.2
2025-05-09,2618274.2
2025-05-10,2669637.5
2025-05-11,488600.7
2025-05-12,1091350.4
2025-05-13,1169943.0
2025-05-14,2166167.8
2025-05-15,1011963.2
2025-05-16,2075762.5
2025-05-17,1187454.1
2025-05-18,538401.44
2025-05-19,776291.4
2025-05-20,1153535.1
2025-05-21,1346788.1
2025-05-22,1100449.4
2025-05-23,1309868.8
2025-05-24,1437448.4
2025-05-25,789151.8
2025-05-26,984637.3
2025-05-27,1685582.8
2025-05-28,1596665.8
2025-05-29,1105521.6
2025-05-30,1208425.8
2025-05-31,1927024.2
2025-06-01,770783.4
2025-06-02,765401.9
2025-06-03,1633044.4
2025-06-04,1573355.6
2025-06-05,1191259.0
2025-06-06,2252796.8
2025-06-07,2516872.0
2025-06-08,447881.2
2025-06-09,1746635.0
2025-06-10,1451880.9
2025-06-11,3437419.8
2025-06-12,1778622.5
2025-06-13,1957546.8
2025-06-14,2109851.0
2025-06-15,649960.0
2025-06-16,1461431.8
2025-06-17,785780.0
2025-06-18,1355582.2
2025-06-19,933957.6
2025-06-20,1717677.8
2025-06-21,1917181.9
2025-06-22,580591.2
2025-06-23,1277519.1
2025-06-24,1372709.8
2025-06-25,1808264.8
2025-06-26,1163850.4
2025-06-27,1870218.2
2025-06-28,1393380.1
2025-06-29,478082.0
2025-06-30,1144096.1
2025-07-01,1447160.5
2025-07-02,1837293.2
2025-07-03,2299936.0
2025-07-04,1510790.2
2025-07-05,1914565.2
2025-07-06,740278.4
2025-07-07,1581868.0
2025-07-08,1621620.2
2025-07-09,1027330.06
2025-07-10,1045527.8
2025-07-11,1131856.5
2025-07-12,1243493.9
2025-07-13,593378.75
2025-07-14,1073397.4
2025-07-15,1122151.6
2025-07-16,877884.75
2025-07-17,1098760.2
2025-07-18,1232199.6
2025-07-19,944848.25
2025-07-20,592027.8
2025-07-21,1234423.9
2025-07-22,1155120.9
2025-07-23,1152264.9
2025-07-24,1022023.5
2025-07-25,1225015.1
2025-07-26,956626.25
2025-07-27,624275.5
2025-07-28,855592.4
2025-07-29,1282152.8
2025-07-30,1156444.0
2025-07-31,1157750.9
2025-08-01,1335977.9
2025-08-02,1184791.1
2025-08-03,253613.06
2025-08-04,961876.0
2025-08-05,728336.5
2025-08-06,1159169.0
2025-08-07,910174.0
2025-08-08,1130339.2
2025-08-09,1305372.8
2025-08-10,460499.0
2025-08-11,740537.9
2025-08-12,784879.3
2025-08-13,1127434.9
2025-08-14,973275.0
2025-08-15,1479108.9
2025-08-16,1641730.5
2025-08-17,569706.8
2025-08-18,777124.25
2025-08-19,935410.6
2025-08-20,879914.25
2025-08-21,1045098.7
2025-08-22,1394419.6
2025-08-23,1299361.1
2025-08-24,514265.8
2025-08-25,734521.2
2025-08-26,1059971.2
2025-08-27,999179.2
2025-08-28,897822.44
2025-08-29,946609.06
2025-08-30,1382495.8
2025-08-31,691537.8
2025-09-01,456513.38
2025-09-02,790617.25
2025-09-03,785680.44
2025-09-04,876115.7
2025-09-05,1188583.6
2025-09-06,852328.94
2025-09-07,397636.25
2025-09-08,602739.06
2025-09-09,662612.75
2025-09-10,624162.5
2025-09-11,572499.4
2025-09-12,1123873.4
2025-09-13,1585268.6
2025-09-14,394047.0
2025-09-15,1000516.0
2025-09-16,1118130.8
2025-09-17,510449.88
2025-09-18,815645.4
2025-09-19,1190177.6
2025-09-20,845500.1
2025-09-21,191089.06
2025-09-22,471951.12
2025-09-23,788303.9
2025-09-24,1007911.8
2025-09-25,1018821.44
2025-09-26,787293.6
2025-09-27,1114223.5
2025-09-28,819203.6
2025-09-29,1024597.5
2025-09-30,1063850.0
