ds,GRU,unique_id
2023-10-01,12859.984,Acessorio
2023-10-02,30775.352,Acessorio
2023-10-03,37587.42,Acessorio
2023-10-04,44327.277,Acessorio
2023-10-05,18356.09,Acessorio
2023-10-06,34263.895,Acessorio
2023-10-07,44495.258,Acessorio
2023-10-08,20566.488,Acessorio
2023-10-09,23687.27,Acessorio
2023-10-10,18881.133,Acessorio
2023-10-11,35970.652,Acessorio
2023-10-12,17468.762,Acessorio
2023-10-13,-2924.75,Acessorio
2023-10-14,44628.586,Acessorio
2023-10-15,26371.59,Acessorio
2023-10-16,25278.305,Acessorio
2023-10-17,23544.906,Acessorio
2023-10-18,43191.98,Acessorio
2023-10-19,41902.527,Acessorio
2023-10-20,32643.082,Acessorio
2023-10-21,59388.027,Acessorio
2023-10-22,24224.395,Acessorio
2023-10-23,16886.316,Acessorio
2023-10-24,33042.906,Acessorio
2023-10-25,26624.453,Acessorio
2023-10-26,42006.805,Acessorio
2023-10-27,26430.895,Acessorio
2023-10-28,15945.266,Acessorio
2023-10-29,-25539.71,Acessorio
2023-10-30,16888.895,Acessorio
2023-10-31,9600.07,Acessorio
2023-11-01,27698.172,Acessorio
2023-11-02,10245.289,Acessorio
2023-11-03,11924.723,Acessorio
2023-11-04,7265.742,Acessorio
2023-11-05,22780.902,Acessorio
2023-11-06,-6840.9453,Acessorio
2023-11-07,10037.191,Acessorio
2023-11-08,40825.758,Acessorio
2023-11-09,34459.33,Acessorio
2023-11-10,28991.95,Acessorio
2023-11-11,99166.07,Acessorio
2023-11-12,24975.785,Acessorio
2023-11-13,28849.93,Acessorio
2023-11-14,96408.42,Acessorio
2023-11-15,111721.5,Acessorio
2023-11-16,100992.34,Acessorio
2023-11-17,80326.54,Acessorio
2023-11-18,104811.43,Acessorio
2023-11-19,33428.617,Acessorio
2023-11-20,58574.17,Acessorio
2023-11-21,32363.05,Acessorio
2023-11-22,38373.83,Acessorio
2023-11-23,58210.246,Acessorio
2023-11-24,169884.7,Acessorio
2023-11-25,101925.85,Acessorio
2023-11-26,40431.32,Acessorio
2023-11-27,26758.387,Acessorio
2023-11-28,51104.93,Acessorio
2023-11-29,62344.76,Acessorio
2023-11-30,37064.305,Acessorio
2023-12-01,78066.94,Acessorio
2023-12-02,58617.215,Acessorio
2023-12-03,11067.605,Acessorio
2023-12-04,46113.125,Acessorio
2023-12-05,35412.547,Acessorio
2023-12-06,60231.17,Acessorio
2023-12-07,64649.957,Acessorio
2023-12-08,43427.04,Acessorio
2023-12-09,46659.33,Acessorio
2023-12-10,22465.805,Acessorio
2023-12-11,38286.473,Acessorio
2023-12-12,33425.26,Acessorio
2023-12-13,72721.445,Acessorio
2023-12-14,56378.258,Acessorio
2023-12-15,74362.02,Acessorio
