ds,GRU_steps3000_lr0.001_batch32_encoder250_decoder250_enc_layers2_dec_layers2_context10_activationtanh_biasTrue_dropout0.0_lr_decays-1_early_stop-1_val_check100_scalerrobust_seed1
2024-10-01,1236122.1
2024-10-02,1290435.4
2024-10-03,1342032.2
2024-10-04,1650183.8
2024-10-05,2065220.8
2024-10-06,918739.25
2024-10-07,1200463.2
2024-10-08,891415.9
2024-10-09,989268.25
2024-10-10,1184810.8
2024-10-11,1256381.6
2024-10-12,929499.56
2024-10-13,857277.75
2024-10-14,1045617.2
2024-10-15,1220205.2
2024-10-16,1570736.5
2024-10-17,1598269.0
2024-10-18,1422722.2
2024-10-19,1640109.8
2024-10-20,1571935.6
2024-10-21,1051123.0
2024-10-22,983008.7
2024-10-23,1323876.4
2024-10-24,1473502.6
2024-10-25,1512524.6
2024-10-26,1341414.9
2024-10-27,867802.56
2024-10-28,1361545.4
2024-10-29,1115986.0
2024-10-30,1413614.4
2024-10-31,1388575.0
2024-11-01,1209978.2
2024-11-02,1424843.5
2024-11-03,1504469.4
2024-11-04,1102238.8
2024-11-05,1037402.25
2024-11-06,1603011.9
2024-11-07,2375596.0
2024-11-08,1337616.5
2024-11-09,2410168.5
2024-11-10,1120254.0
2024-11-11,1484191.4
2024-11-12,1489598.2
2024-11-13,1555651.4
2024-11-14,1382874.1
2024-11-15,1506655.4
2024-11-16,1248477.1
2024-11-17,1219170.1
2024-11-18,1375476.4
2024-11-19,1000724.44
2024-11-20,1580033.9
2024-11-21,1598619.1
2024-11-22,1724702.2
2024-11-23,1899703.0
2024-11-24,2437365.0
2024-11-25,1942480.8
2024-11-26,1475949.1
2024-11-27,1686640.5
2024-11-28,1857406.5
2024-11-29,2151561.5
2024-11-30,2288775.5
2024-12-01,818857.6
2024-12-02,1131951.5
2024-12-03,1390967.2
2024-12-04,1475866.0
2024-12-05,1556537.8
2024-12-06,1636550.2
2024-12-07,1505788.1
2024-12-08,1399966.6
2024-12-09,1346233.2
2024-12-10,1603929.4
2024-12-11,1245476.6
2024-12-12,1738985.8
2024-12-13,2501133.8
2024-12-14,2117686.5
2024-12-15,1899619.8
2024-12-16,2271700.0
2024-12-17,1824206.4
2024-12-18,2175344.0
2024-12-19,2284967.8
2024-12-20,2675714.5
2024-12-21,3112928.5
2024-12-22,2600488.5
2024-12-23,2609482.5
2024-12-24,2149594.8
2024-12-25,2615735.5
2024-12-26,1256619.0
2024-12-27,1821462.1
2024-12-28,1130032.9
2024-12-29,1111662.6
2024-12-30,1198143.8
2024-12-31,369971.0
2025-01-01,249467.38
2025-01-02,1605378.4
2025-01-03,3725308.2
2025-01-04,1432820.2
2025-01-05,792125.0
2025-01-06,2568595.5
2025-01-07,1215256.8
2025-01-08,2479538.5
2025-01-09,2545453.5
2025-01-10,2492579.2
2025-01-11,2368276.0
2025-01-12,1144251.0
2025-01-13,1385214.4
2025-01-14,1881874.1
2025-01-15,2804319.2
2025-01-16,1939793.1
2025-01-17,1838236.5
2025-01-18,1242585.6
2025-01-19,1239641.0
2025-01-20,1153618.4
2025-01-21,1869087.8
2025-01-22,1983962.2
2025-01-23,1137648.4
2025-01-24,1559571.9
2025-01-25,1414973.9
2025-01-26,770327.7
2025-01-27,1204855.0
2025-01-28,1252547.0
2025-01-29,2116346.5
2025-01-30,1677366.5
2025-01-31,2754219.5
2025-02-01,1280640.0
2025-02-02,1008951.0
2025-02-03,1388722.4
2025-02-04,1885304.4
2025-02-05,1374498.8
2025-02-06,1602730.0
2025-02-07,1874054.2
2025-02-08,2361703.8
2025-02-09,1532845.0
2025-02-10,1257664.8
2025-02-11,1183872.8
2025-02-12,1133845.5
2025-02-13,1275432.9
2025-02-14,1535871.1
2025-02-15,1544157.6
2025-02-16,794735.6
2025-02-17,1150604.8
2025-02-18,938470.2
2025-02-19,1185723.8
2025-02-20,1295967.6
2025-02-21,964289.5
2025-02-22,1382359.2
2025-02-23,702788.5
2025-02-24,500252.75
2025-02-25,1986064.2
2025-02-26,1473095.2
2025-02-27,1100656.9
2025-02-28,2401353.2
2025-03-01,1033168.44
2025-03-02,369276.62
2025-03-03,474930.06
2025-03-04,545850.8
2025-03-05,668353.44
2025-03-06,624480.3
2025-03-07,1297801.8
2025-03-08,1753659.8
2025-03-09,737104.75
2025-03-10,1384261.2
2025-03-11,936378.75
2025-03-12,1221685.9
2025-03-13,1461160.5
2025-03-14,1814558.4
2025-03-15,1573351.1
2025-03-16,677324.7
2025-03-17,757222.6
2025-03-18,912532.6
