unique_id,ds,GRU_steps1000_lr0.001_batch64_encoder200_decoder200_enc_layers2_dec_layers2_context10_activationtanh_biasTrue_dropout0.0_lr_decays-1_early_stop-1_val_check100_scalerrobust_seed1
BB,2025-03-01,467400.2
BB,2025-03-02,218609.52
BB,2025-03-03,334375.78
BB,2025-03-04,343041.75
BB,2025-03-05,437163.38
BB,2025-03-06,475750.2
BB,2025-03-07,465697.66
BB,2025-03-08,426557.3
BB,2025-03-09,221524.1
BB,2025-03-10,328982.16
BB,2025-03-11,390888.5
BB,2025-03-12,329535.06
BB,2025-03-13,386412.62
BB,2025-03-14,371027.2
BB,2025-03-15,480631.78
BB,2025-03-16,212795.28
BB,2025-03-17,294973.5
BB,2025-03-18,442811.88
BB,2025-03-19,416670.56
BB,2025-03-20,369660.88
BB,2025-03-21,380136.66
BB,2025-03-22,372540.7
BB,2025-03-23,201763.52
BB,2025-03-24,288492.56
BB,2025-03-25,329766.4
BB,2025-03-26,394666.78
BB,2025-03-27,379030.94
BB,2025-03-28,433433.25
BB,2025-03-29,533314.1
BB,2025-03-30,243994.88
BB,2025-03-31,227974.5
BB,2025-04-01,276495.44
BB,2025-04-02,421458.28
BB,2025-04-03,342203.5
BB,2025-04-04,549456.75
BB,2025-04-05,381193.0
BB,2025-04-06,198256.56
BB,2025-04-07,294381.28
BB,2025-04-08,300458.4
BB,2025-04-09,302809.16
BB,2025-04-10,327853.62
BB,2025-04-11,428068.3
BB,2025-04-12,343851.16
BB,2025-04-13,151606.22
BB,2025-04-14,218335.42
BB,2025-04-15,283829.66
BB,2025-04-16,250885.05
BB,2025-04-17,261316.25
BB,2025-04-18,208061.97
BB,2025-04-19,347661.25
BB,2025-04-20,89942.484
BB,2025-04-21,225075.56
BB,2025-04-22,217030.36
BB,2025-04-23,241248.4
BB,2025-04-24,235190.16
BB,2025-04-25,301173.56
BB,2025-04-26,348521.06
BB,2025-04-27,130196.0
BB,2025-04-28,248833.55
BB,2025-04-29,292516.94
BB,2025-04-30,288483.06
BB,2025-05-01,149285.31
BB,2025-05-02,274619.66
BB,2025-05-03,443448.62
BB,2025-05-04,284555.94
BB,2025-05-05,236504.03
BB,2025-05-06,234998.03
BB,2025-05-07,309970.22
BB,2025-05-08,309098.88
BB,2025-05-09,417462.56
BB,2025-05-10,592122.75
BB,2025-05-11,102389.25
BB,2025-05-12,175283.69
BB,2025-05-13,273498.0
BB,2025-05-14,334827.75
BB,2025-05-15,308669.03
BB,2025-05-16,322034.56
BB,2025-05-17,368774.47
BB,2025-05-18,103586.7
BB,2025-05-19,241633.23
BB,2025-05-20,333012.8
BB,2025-05-21,404162.34
BB,2025-05-22,309845.5
BB,2025-05-23,430351.56
BB,2025-05-24,356864.94
BB,2025-05-25,163340.17
BB,2025-05-26,363159.44
BB,2025-05-27,415685.1
BB,2025-05-28,379297.2
BB,2025-05-29,382355.66
BB,2025-05-30,503464.62
BB,2025-05-31,433950.06
BB,2025-06-01,224511.4
BB,2025-06-02,381446.66
BB,2025-06-03,376257.12
BB,2025-06-04,354599.5
BB,2025-06-05,352469.47
BB,2025-06-06,371913.78
BB,2025-06-07,366936.88
BB,2025-06-08,148522.5
BB,2025-06-09,261040.38
BB,2025-06-10,372027.4
BB,2025-06-11,437860.25
BB,2025-06-12,367761.62
BB,2025-06-13,359507.0
BB,2025-06-14,334975.06
BB,2025-06-15,90602.08
BB,2025-06-16,336661.47
BB,2025-06-17,544392.9
BB,2025-06-18,577765.25
BB,2025-06-19,491587.5
BB,2025-06-20,477829.5
BB,2025-06-21,423830.12
BB,2025-06-22,320465.44
BB,2025-06-23,320725.94
BB,2025-06-24,463923.28
BB,2025-06-25,459440.97
BB,2025-06-26,585443.75
BB,2025-06-27,552768.5
BB,2025-06-28,476303.72
BB,2025-06-29,278834.88
BB,2025-06-30,313590.0
BB,2025-07-01,418228.25
BB,2025-07-02,414194.0
BB,2025-07-03,412428.75
BB,2025-07-04,443243.38
BB,2025-07-05,368574.38
BB,2025-07-06,208882.67
BB,2025-07-07,280684.25
BB,2025-07-08,276053.38
BB,2025-07-09,273104.44
BB,2025-07-10,276329.16
BB,2025-07-11,277338.25
BB,2025-07-12,308607.1
BB,2025-07-13,157209.34
BB,2025-07-14,216625.78
BB,2025-07-15,219841.95
BB,2025-07-16,246899.78
BB,2025-07-17,233015.42
BB,2025-07-18,215416.84
BB,2025-07-19,269082.3
BB,2025-07-20,166077.06
BB,2025-07-21,206612.97
BB,2025-07-22,214470.1
BB,2025-07-23,260428.52
BB,2025-07-24,252081.39
BB,2025-07-25,228906.73
BB,2025-07-26,311423.0
BB,2025-07-27,184835.11
BB,2025-07-28,251391.88
BB,2025-07-29,301039.7
BB,2025-07-30,321594.06
BB,2025-07-31,270496.6
BB,2025-08-01,236417.64
BB,2025-08-02,283564.0
BB,2025-08-03,265523.06
BB,2025-08-04,211856.53
BB,2025-08-05,169039.25
BB,2025-08-06,248879.44
BB,2025-08-07,273059.8
BB,2025-08-08,334938.7
BB,2025-08-09,251388.7
BB,2025-08-10,123710.984
BB,2025-08-11,244337.6
BB,2025-08-12,324824.97
BB,2025-08-13,333305.7
BB,2025-08-14,283659.78
BB,2025-08-15,352978.8
BB,2025-08-16,268000.03
BB,2025-08-17,154805.69
BB,2025-08-18,299622.75
BB,2025-08-19,292792.3
BB,2025-08-20,293897.84
BB,2025-08-21,296731.72
BB,2025-08-22,302779.03
BB,2025-08-23,333584.44
BB,2025-08-24,159878.4
BB,2025-08-25,269768.22
BB,2025-08-26,283595.72
BB,2025-08-27,287767.25
BB,2025-08-28,266920.62
BB,2025-08-29,284505.34
BB,2025-08-30,316101.16
BB,2025-08-31,171071.33
BB,2025-09-01,225139.16
BB,2025-09-02,295260.6
BB,2025-09-03,264693.66
BB,2025-09-04,293666.56
BB,2025-09-05,319576.6
