unique_id,ds,LSTM_steps1_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_biasTrue_dropout0.0
BB,2025-01-01,272234.16
BB,2025-01-02,274654.47
BB,2025-01-03,274514.94
BB,2025-01-04,275741.1
BB,2025-01-05,270912.28
BB,2025-01-06,276122.9
BB,2025-01-07,275658.0
BB,2025-01-08,275507.53
BB,2025-01-09,275288.3
BB,2025-01-10,274595.78
BB,2025-01-11,273763.25
BB,2025-01-12,272722.06
BB,2025-01-13,276090.84
BB,2025-01-14,275169.16
BB,2025-01-15,274461.88
BB,2025-01-16,274280.84
BB,2025-01-17,274068.5
BB,2025-01-18,273301.6
BB,2025-01-19,272391.2
BB,2025-01-20,275341.3
BB,2025-01-21,274112.1
BB,2025-01-22,273311.25
BB,2025-01-23,272748.94
BB,2025-01-24,272398.72
BB,2025-01-25,271498.75
BB,2025-01-26,270927.84
BB,2025-01-27,274154.22
BB,2025-01-28,273076.84
BB,2025-01-29,272662.38
BB,2025-01-30,272201.4
BB,2025-01-31,272316.25
BB,2025-02-01,271830.12
BB,2025-02-02,270734.7
BB,2025-02-03,273744.22
BB,2025-02-04,272397.6
BB,2025-02-05,272353.22
BB,2025-02-06,272385.66
BB,2025-02-07,272536.6
BB,2025-02-08,272356.88
BB,2025-02-09,271664.62
BB,2025-02-10,274943.25
BB,2025-02-11,274025.6
BB,2025-02-12,273098.28
BB,2025-02-13,272071.7
BB,2025-02-14,271197.53
BB,2025-02-15,270587.47
BB,2025-02-16,269839.47
BB,2025-02-17,274020.7
BB,2025-02-18,273249.53
BB,2025-02-19,272933.66
BB,2025-02-20,272498.2
BB,2025-02-21,272318.0
BB,2025-02-22,271440.44
BB,2025-02-23,270509.12
BB,2025-02-24,273825.72
BB,2025-02-25,272706.0
BB,2025-02-26,272411.7
BB,2025-02-27,272322.97
BB,2025-02-28,272366.62
BB,2025-03-01,254729.3
BB,2025-03-02,254562.69
BB,2025-03-03,257397.4
BB,2025-03-04,256775.11
BB,2025-03-05,256041.36
BB,2025-03-06,255175.14
BB,2025-03-07,271909.3
BB,2025-03-08,271130.7
BB,2025-03-09,270394.5
BB,2025-03-10,274236.28
BB,2025-03-11,273125.47
BB,2025-03-12,272649.5
BB,2025-03-13,272742.47
BB,2025-03-14,272459.0
BB,2025-03-15,271924.72
BB,2025-03-16,271606.88
BB,2025-03-17,275788.56
BB,2025-03-18,274958.94
BB,2025-03-19,274593.94
BB,2025-03-20,274651.16
BB,2025-03-21,274517.06
BB,2025-03-22,273512.97
BB,2025-03-23,272311.38
BB,2025-03-24,275728.4
BB,2025-03-25,274731.16
BB,2025-03-26,274162.8
BB,2025-03-27,274025.12
BB,2025-03-28,274135.16
BB,2025-03-29,273676.7
BB,2025-03-30,272559.84
BB,2025-03-31,276292.9
BB,2025-04-01,275468.75
BB,2025-04-02,274347.7
BB,2025-04-03,273615.72
BB,2025-04-04,272768.0
BB,2025-04-05,271471.62
BB,2025-04-06,270349.8
BB,2025-04-07,274532.2
BB,2025-04-08,273559.3
BB,2025-04-09,272637.53
BB,2025-04-10,272206.75
BB,2025-04-11,271949.6
BB,2025-04-12,271434.25
BB,2025-04-13,270895.16
BB,2025-04-14,275031.88
BB,2025-04-15,274126.3
BB,2025-04-16,273317.47
BB,2025-04-17,273526.94
BB,2025-04-18,233705.84
BB,2025-04-19,272574.6
BB,2025-04-20,231189.53
BB,2025-04-21,275659.44
BB,2025-04-22,274636.06
BB,2025-04-23,273608.34
BB,2025-04-24,273237.9
BB,2025-04-25,272733.97
BB,2025-04-26,272266.75
BB,2025-04-27,271637.5
BB,2025-04-28,275766.06
BB,2025-04-29,274864.12
BB,2025-04-30,274469.47
BB,2025-05-01,296970.5
BB,2025-05-02,274232.9
BB,2025-05-03,272616.56
BB,2025-05-04,269936.8
BB,2025-05-05,273635.9
BB,2025-05-06,272854.2
BB,2025-05-07,271964.66
BB,2025-05-08,271442.44
BB,2025-05-09,271124.66
BB,2025-05-10,270754.25
BB,2025-05-11,270497.56
BB,2025-05-12,274381.97
BB,2025-05-13,275328.0
BB,2025-05-14,274242.25
BB,2025-05-15,273835.97
BB,2025-05-16,273764.94
BB,2025-05-17,272684.88
BB,2025-05-18,271641.25
BB,2025-05-19,276287.22
BB,2025-05-20,275302.9
BB,2025-05-21,274361.22
BB,2025-05-22,273967.34
BB,2025-05-23,273770.47
BB,2025-05-24,272972.06
BB,2025-05-25,272196.16
BB,2025-05-26,276338.72
BB,2025-05-27,275360.66
BB,2025-05-28,274620.1
BB,2025-05-29,274553.56
BB,2025-05-30,274062.94
BB,2025-05-31,272848.12
BB,2025-06-01,272121.56
BB,2025-06-02,277681.16
BB,2025-06-03,277482.9
BB,2025-06-04,277399.12
BB,2025-06-05,278323.1
BB,2025-06-06,277599.75
BB,2025-06-07,277086.66
BB,2025-06-08,276553.2
BB,2025-06-09,281015.3
BB,2025-06-10,280139.97
BB,2025-06-11,279254.38
BB,2025-06-12,278526.44
BB,2025-06-13,278081.56
BB,2025-06-14,277799.62
BB,2025-06-15,277502.56
BB,2025-06-16,276013.9
BB,2025-06-17,275823.03
BB,2025-06-18,277168.88
BB,2025-06-19,275602.84
BB,2025-06-20,275904.97
BB,2025-06-21,275520.88
BB,2025-06-22,274393.4
BB,2025-06-23,278253.34
BB,2025-06-24,277834.16
BB,2025-06-25,277166.72
BB,2025-06-26,276841.4
BB,2025-06-27,276158.25
BB,2025-06-28,274981.66
BB,2025-06-29,274039.28
BB,2025-06-30,278098.28
BB,2025-07-01,278257.5
BB,2025-07-02,277785.94
BB,2025-07-03,276872.53
BB,2025-07-04,275482.3
BB,2025-07-05,273636.2
BB,2025-07-06,271893.22
BB,2025-07-07,276673.34
BB,2025-07-08,276044.28
BB,2025-07-09,275761.44
BB,2025-07-10,275167.34
BB,2025-07-11,274282.3
BB,2025-07-12,272987.34
BB,2025-07-13,271491.38
BB,2025-07-14,276462.56
BB,2025-07-15,275799.03
BB,2025-07-16,275095.3
BB,2025-07-17,274566.47
BB,2025-07-18,274085.84
BB,2025-07-19,272895.53
BB,2025-07-20,271601.1
BB,2025-07-21,276455.53
BB,2025-07-22,275799.16
BB,2025-07-23,275226.4
BB,2025-07-24,274839.88
BB,2025-07-25,274267.7
BB,2025-07-26,272701.84
BB,2025-07-27,271411.28
BB,2025-07-28,276164.8
BB,2025-07-29,275530.28
BB,2025-07-30,275441.16
BB,2025-07-31,275305.53
BB,2025-08-01,275352.47
BB,2025-08-02,273952.34
BB,2025-08-03,272276.72
BB,2025-08-04,277606.84
BB,2025-08-05,276583.94
BB,2025-08-06,275523.62
BB,2025-08-07,274661.28
BB,2025-08-08,274020.28
BB,2025-08-09,273316.0
BB,2025-08-10,272618.9
BB,2025-08-11,278426.6
BB,2025-08-12,276555.97
BB,2025-08-13,276102.97
BB,2025-08-14,275529.06
BB,2025-08-15,274652.53
BB,2025-08-16,273075.44
BB,2025-08-17,271503.3
BB,2025-08-18,276378.06
BB,2025-08-19,275443.75
BB,2025-08-20,274910.25
BB,2025-08-21,274181.72
BB,2025-08-22,273319.3
BB,2025-08-23,272162.66
BB,2025-08-24,270389.06
BB,2025-08-25,275342.2
BB,2025-08-26,274450.94
BB,2025-08-27,273515.0
BB,2025-08-28,273154.44
BB,2025-08-29,272778.53
BB,2025-08-30,272137.03
BB,2025-08-31,271169.03
BB,2025-09-01,276736.97
BB,2025-09-02,276343.3
BB,2025-09-03,275462.9
BB,2025-09-04,274359.47
BB,2025-09-05,273242.6
BB,2025-09-06,271962.94
BB,2025-09-07,258815.5
BB,2025-09-08,275599.78
BB,2025-09-09,275455.94
BB,2025-09-10,274897.4
BB,2025-09-11,274342.78
BB,2025-09-12,273998.22
BB,2025-09-13,273164.03
BB,2025-09-14,272113.34
BB,2025-09-15,277136.62
BB,2025-09-16,276482.03
BB,2025-09-17,275664.28
BB,2025-09-18,274877.62
BB,2025-09-19,274373.72
BB,2025-09-20,273371.38
BB,2025-09-21,272038.3
BB,2025-09-22,276976.8
BB,2025-09-23,276537.84
BB,2025-09-24,276296.1
BB,2025-09-25,275928.4
BB,2025-09-26,275124.28
BB,2025-09-27,273630.0
BB,2025-09-28,271953.78
BB,2025-09-29,276809.38
BB,2025-09-30,276139.12
BB,2025-10-01,276130.62
BB,2025-10-02,275840.06
BB,2025-10-03,275120.97
BB,2025-10-04,273897.3
BB,2025-10-05,272295.25
BB,2025-10-06,277157.03
BB,2025-10-07,277415.47
BB,2025-10-08,276483.47
BB,2025-10-09,275320.28
BB,2025-10-10,274243.03
BB,2025-10-11,272759.0
BB,2025-10-12,292928.16
BB,2025-10-13,276135.12
BB,2025-10-14,275465.97
BB,2025-10-15,274752.53
BB,2025-10-16,273941.66
BB,2025-10-17,272995.47
BB,2025-10-18,271817.2
BB,2025-10-19,270586.38
BB,2025-10-20,275833.06
BB,2025-10-21,275009.34
BB,2025-10-22,274210.66
BB,2025-10-23,273487.03
BB,2025-10-24,272750.97
BB,2025-10-25,272072.28
BB,2025-10-26,271163.5
BB,2025-10-27,276576.72
BB,2025-10-28,276883.84
BB,2025-10-29,276128.6
BB,2025-10-30,292607.12
BB,2025-10-31,292191.47
BB,2025-11-01,291983.78
BB,2025-11-02,241797.88
BB,2025-11-03,278060.1
BB,2025-11-04,277215.66
BB,2025-11-05,276272.94
BB,2025-11-06,275752.44
BB,2025-11-07,274946.94
BB,2025-11-08,273632.03
BB,2025-11-09,272047.9
BB,2025-11-10,277091.22
BB,2025-11-11,276215.2
BB,2025-11-12,275353.97
BB,2025-11-13,274973.9
BB,2025-11-14,274768.7
BB,2025-11-15,241850.14
BB,2025-11-16,273669.06
BB,2025-11-17,278682.94
BB,2025-11-18,278067.44
BB,2025-11-19,277796.22
BB,2025-11-20,277557.3
BB,2025-11-21,276883.16
BB,2025-11-22,275842.88
BB,2025-11-23,274097.88
BB,2025-11-24,278574.28
BB,2025-11-25,277887.7
BB,2025-11-26,277558.8
BB,2025-11-27,271837.3
BB,2025-11-28,271041.66
BB,2025-11-29,270296.8
BB,2025-11-30,273526.94
BB,2025-12-01,277705.72
BB,2025-12-02,277457.1
BB,2025-12-03,276991.62
BB,2025-12-04,276333.22
BB,2025-12-05,275474.53
