unique_id,ds,GRU_steps1000_lr0.001_batch64_encoder200_decoder200_enc_layers2_dec_layers2_context10_activationtanh_biasTrue_dropout0.0_lr_decays-1_early_stop-1_val_check100_scalerrobust_seed1
DD,2025-01-01,205091.19
DD,2025-01-02,222857.78
DD,2025-01-03,159870.02
DD,2025-01-04,255285.38
DD,2025-01-05,151612.03
DD,2025-01-06,204942.53
DD,2025-01-07,248644.72
DD,2025-01-08,268882.7
DD,2025-01-09,363624.94
DD,2025-01-10,377146.78
DD,2025-01-11,703369.5
DD,2025-01-12,271104.8
DD,2025-01-13,327703.84
DD,2025-01-14,382598.72
DD,2025-01-15,318704.5
DD,2025-01-16,488557.8
DD,2025-01-17,364421.84
DD,2025-01-18,730071.9
DD,2025-01-19,370447.97
DD,2025-01-20,358590.88
DD,2025-01-21,371511.16
DD,2025-01-22,416150.3
DD,2025-01-23,451743.06
DD,2025-01-24,572742.75
DD,2025-01-25,847794.3
DD,2025-01-26,583887.2
DD,2025-01-27,557128.6
DD,2025-01-28,533406.9
DD,2025-01-29,480508.62
DD,2025-01-30,441434.0
DD,2025-01-31,613189.75
DD,2025-02-01,526923.56
DD,2025-02-02,386726.7
DD,2025-02-03,320584.44
DD,2025-02-04,342607.34
DD,2025-02-05,327844.25
DD,2025-02-06,505289.8
DD,2025-02-07,566446.94
DD,2025-02-08,816960.0
DD,2025-02-09,450072.1
DD,2025-02-10,425329.4
DD,2025-02-11,436235.25
DD,2025-02-12,554793.25
DD,2025-02-13,725441.4
DD,2025-02-14,778675.25
DD,2025-02-15,843369.25
DD,2025-02-16,638224.44
DD,2025-02-17,534390.9
DD,2025-02-18,506021.75
DD,2025-02-19,478892.28
DD,2025-02-20,260170.94
DD,2025-02-21,436475.94
DD,2025-02-22,458025.0
DD,2025-02-23,240329.56
DD,2025-02-24,238909.81
DD,2025-02-25,244417.69
DD,2025-02-26,159803.33
DD,2025-02-27,252535.77
DD,2025-02-28,251194.47
DD,2025-03-01,165939.61
DD,2025-03-02,107610.61
DD,2025-03-03,111058.5
DD,2025-03-04,117816.22
DD,2025-03-05,169027.14
DD,2025-03-06,211915.55
DD,2025-03-07,214326.52
DD,2025-03-08,276954.4
DD,2025-03-09,202842.62
DD,2025-03-10,183245.5
DD,2025-03-11,184518.34
DD,2025-03-12,189339.53
DD,2025-03-13,249819.53
DD,2025-03-14,169769.23
DD,2025-03-15,348232.16
DD,2025-03-16,187301.75
DD,2025-03-17,152825.31
DD,2025-03-18,138610.0
DD,2025-03-19,154022.61
DD,2025-03-20,197201.77
DD,2025-03-21,214347.84
DD,2025-03-22,311232.78
DD,2025-03-23,126516.66
DD,2025-03-24,192655.53
DD,2025-03-25,118592.375
DD,2025-03-26,176256.42
DD,2025-03-27,177099.66
DD,2025-03-28,198380.45
DD,2025-03-29,342851.6
DD,2025-03-30,149298.2
DD,2025-03-31,188715.19
DD,2025-04-01,189889.73
DD,2025-04-02,212967.47
DD,2025-04-03,206328.1
DD,2025-04-04,191314.77
DD,2025-04-05,237094.31
DD,2025-04-06,179190.11
DD,2025-04-07,201329.5
DD,2025-04-08,141191.55
DD,2025-04-09,181828.02
DD,2025-04-10,220128.2
DD,2025-04-11,209035.4
DD,2025-04-12,270632.2
DD,2025-04-13,143579.66
DD,2025-04-14,183968.1
DD,2025-04-15,165092.16
DD,2025-04-16,231125.4
DD,2025-04-17,191659.27
DD,2025-04-18,106367.75
DD,2025-04-19,232133.48
DD,2025-04-20,63849.36
DD,2025-04-21,214064.55
DD,2025-04-22,205157.4
DD,2025-04-23,230250.44
DD,2025-04-24,224891.16
DD,2025-04-25,190559.02
DD,2025-04-26,205155.67
DD,2025-04-27,102231.22
DD,2025-04-28,159444.98
DD,2025-04-29,154440.42
DD,2025-04-30,261921.86
DD,2025-05-01,149197.22
DD,2025-05-02,210750.2
DD,2025-05-03,256757.31
DD,2025-05-04,211625.42
DD,2025-05-05,154387.64
DD,2025-05-06,209380.6
DD,2025-05-07,273424.53
DD,2025-05-08,291296.3
DD,2025-05-09,348280.06
DD,2025-05-10,650857.1
DD,2025-05-11,223875.1
DD,2025-05-12,192304.1
DD,2025-05-13,225316.55
DD,2025-05-14,159230.55
DD,2025-05-15,210260.39
DD,2025-05-16,204905.72
DD,2025-05-17,385946.97
DD,2025-05-18,162478.97
DD,2025-05-19,344983.3
DD,2025-05-20,266512.3
DD,2025-05-21,210575.66
DD,2025-05-22,286223.84
DD,2025-05-23,245528.22
DD,2025-05-24,266471.9
DD,2025-05-25,172211.62
DD,2025-05-26,168168.28
DD,2025-05-27,170568.3
DD,2025-05-28,212654.9
DD,2025-05-29,224066.06
DD,2025-05-30,238001.2
DD,2025-05-31,277260.25
DD,2025-06-01,233630.6
DD,2025-06-02,196107.12
DD,2025-06-03,201492.34
DD,2025-06-04,357151.5
DD,2025-06-05,388829.72
DD,2025-06-06,411238.84
DD,2025-06-07,674147.56
DD,2025-06-08,363082.03
DD,2025-06-09,473614.2
DD,2025-06-10,411977.94
DD,2025-06-11,593101.0
DD,2025-06-12,1671035.5
DD,2025-06-13,1601594.0
DD,2025-06-14,2067388.0
DD,2025-06-15,1367181.0
DD,2025-06-16,1051615.1
DD,2025-06-17,1033582.06
DD,2025-06-18,970976.5
DD,2025-06-19,1025580.75
DD,2025-06-20,1149420.2
DD,2025-06-21,1078284.0
DD,2025-06-22,560977.1
DD,2025-06-23,529810.94
DD,2025-06-24,449494.12
DD,2025-06-25,1004454.3
DD,2025-06-26,1038177.9
DD,2025-06-27,1176295.5
DD,2025-06-28,1359457.8
DD,2025-06-29,946734.0
DD,2025-06-30,872029.4
DD,2025-07-01,591095.9
DD,2025-07-02,642354.44
DD,2025-07-03,606066.2
DD,2025-07-04,707822.4
DD,2025-07-05,1028346.8
DD,2025-07-06,444276.12
DD,2025-07-07,541795.9
DD,2025-07-08,543911.4
DD,2025-07-09,632365.06
DD,2025-07-10,499287.7
DD,2025-07-11,358364.44
DD,2025-07-12,528964.4
DD,2025-07-13,270942.22
DD,2025-07-14,349753.94
DD,2025-07-15,261375.27
DD,2025-07-16,297826.47
DD,2025-07-17,284258.2
DD,2025-07-18,271686.8
DD,2025-07-19,291145.84
DD,2025-07-20,186235.4
DD,2025-07-21,205851.75
DD,2025-07-22,280397.3
DD,2025-07-23,257059.22
DD,2025-07-24,245062.84
DD,2025-07-25,256556.19
DD,2025-07-26,261034.98
DD,2025-07-27,257289.73
DD,2025-07-28,240600.92
DD,2025-07-29,219432.78
DD,2025-07-30,259857.11
DD,2025-07-31,288952.88
DD,2025-08-01,256503.7
DD,2025-08-02,324523.9
DD,2025-08-03,220225.17
DD,2025-08-04,212202.1
DD,2025-08-05,256503.25
DD,2025-08-06,268520.12
DD,2025-08-07,365681.75
DD,2025-08-08,540915.5
DD,2025-08-09,586845.06
DD,2025-08-10,192120.0
DD,2025-08-11,203854.03
DD,2025-08-12,168674.4
DD,2025-08-13,194591.77
DD,2025-08-14,186629.1
DD,2025-08-15,221939.1
DD,2025-08-16,242567.83
DD,2025-08-17,229929.52
DD,2025-08-18,185582.89
DD,2025-08-19,173190.44
DD,2025-08-20,217192.56
DD,2025-08-21,260161.55
DD,2025-08-22,253551.27
DD,2025-08-23,436857.12
DD,2025-08-24,192171.38
DD,2025-08-25,207704.9
DD,2025-08-26,276339.62
DD,2025-08-27,186434.98
DD,2025-08-28,295389.53
DD,2025-08-29,292116.47
DD,2025-08-30,322416.06
DD,2025-08-31,245775.6
DD,2025-09-01,213361.97
DD,2025-09-02,228050.28
DD,2025-09-03,160791.95
DD,2025-09-04,211338.4
DD,2025-09-05,277824.47
DD,2025-09-06,355842.34
DD,2025-09-07,209990.16
DD,2025-09-08,210501.53
DD,2025-09-09,268537.0
DD,2025-09-10,229622.1
DD,2025-09-11,342858.47
DD,2025-09-12,312392.25
DD,2025-09-13,435201.8
DD,2025-09-14,233292.72
DD,2025-09-15,267177.0
DD,2025-09-16,309295.78
DD,2025-09-17,338439.66
DD,2025-09-18,273870.03
DD,2025-09-19,310017.84
DD,2025-09-20,464366.03
DD,2025-09-21,187698.62
DD,2025-09-22,248151.56
DD,2025-09-23,256973.44
DD,2025-09-24,324948.78
DD,2025-09-25,272961.34
DD,2025-09-26,287891.0
DD,2025-09-27,384603.34
DD,2025-09-28,242450.44
DD,2025-09-29,192299.69
DD,2025-09-30,259358.0
DD,2025-10-01,288831.34
DD,2025-10-02,263712.7
DD,2025-10-03,317180.22
DD,2025-10-04,383027.0
DD,2025-10-05,191181.6
DD,2025-10-06,232478.25
DD,2025-10-07,219139.97
DD,2025-10-08,223281.16
DD,2025-10-09,241860.75
DD,2025-10-10,234716.53
DD,2025-10-11,451478.6
DD,2025-10-12,156920.52
DD,2025-10-13,251423.72
DD,2025-10-14,189167.11
DD,2025-10-15,231635.31
DD,2025-10-16,237296.28
DD,2025-10-17,257344.23
DD,2025-10-18,315140.84
DD,2025-10-19,209174.4
DD,2025-10-20,200994.62
DD,2025-10-21,217618.83
DD,2025-10-22,189958.88
DD,2025-10-23,227958.02
DD,2025-10-24,343845.1
DD,2025-10-25,322191.84
DD,2025-10-26,205336.44
DD,2025-10-27,233958.0
DD,2025-10-28,219315.44
DD,2025-10-29,168337.4
DD,2025-10-30,190558.73
DD,2025-10-31,279417.5
DD,2025-11-01,304396.53
DD,2025-11-02,226782.0
DD,2025-11-03,231181.81
DD,2025-11-04,184537.64
DD,2025-11-05,248616.58
DD,2025-11-06,236293.31
DD,2025-11-07,297139.47
DD,2025-11-08,419285.06
DD,2025-11-09,175072.47
DD,2025-11-10,184232.8
DD,2025-11-11,242659.2
DD,2025-11-12,204207.77
DD,2025-11-13,176720.39
DD,2025-11-14,331861.12
DD,2025-11-15,384005.4
DD,2025-11-16,180418.66
DD,2025-11-17,273978.53
DD,2025-11-18,226265.4
DD,2025-11-19,160643.75
DD,2025-11-20,1040266.2
DD,2025-11-21,1148829.4
DD,2025-11-22,1077605.2
DD,2025-11-23,671159.1
DD,2025-11-24,589471.7
DD,2025-11-25,521469.66
DD,2025-11-26,905728.94
DD,2025-11-27,1158322.2
