unique_id,ds,LSTM_steps1_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_biasTrue_dropout0.0
DD,2025-01-01,237852.16
DD,2025-01-02,325015.03
DD,2025-01-03,333458.75
DD,2025-01-04,379538.47
DD,2025-01-05,343421.5
DD,2025-01-06,291551.66
DD,2025-01-07,327471.72
DD,2025-01-08,317951.2
DD,2025-01-09,331656.12
DD,2025-01-10,342983.0
DD,2025-01-11,355075.75
DD,2025-01-12,365704.47
DD,2025-01-13,314562.25
DD,2025-01-14,338657.72
DD,2025-01-15,326044.03
DD,2025-01-16,342068.72
DD,2025-01-17,342578.34
DD,2025-01-18,349560.16
DD,2025-01-19,341427.47
DD,2025-01-20,346705.66
DD,2025-01-21,309381.16
DD,2025-01-22,335197.4
DD,2025-01-23,341843.62
DD,2025-01-24,342872.8
DD,2025-01-25,367724.03
DD,2025-01-26,371071.12
DD,2025-01-27,345815.6
DD,2025-01-28,317647.5
DD,2025-01-29,326914.97
DD,2025-01-30,350980.5
DD,2025-01-31,336293.47
DD,2025-02-01,355925.53
DD,2025-02-02,340650.28
DD,2025-02-03,326576.06
DD,2025-02-04,303712.84
DD,2025-02-05,317099.72
DD,2025-02-06,313010.28
DD,2025-02-07,337356.44
DD,2025-02-08,328443.38
DD,2025-02-09,322236.06
DD,2025-02-10,322958.12
DD,2025-02-11,295617.6
DD,2025-02-12,307870.6
DD,2025-02-13,294408.53
DD,2025-02-14,311984.1
DD,2025-02-15,323248.38
DD,2025-02-16,296834.28
DD,2025-02-17,291926.56
DD,2025-02-18,272185.9
DD,2025-02-19,273625.56
DD,2025-02-20,287976.5
DD,2025-02-21,290775.72
DD,2025-02-22,293255.06
DD,2025-02-23,286238.47
DD,2025-02-24,285611.25
DD,2025-02-25,290496.03
DD,2025-02-26,278578.06
DD,2025-02-27,287928.78
DD,2025-02-28,282458.88
DD,2025-03-01,254176.38
DD,2025-03-02,263793.34
DD,2025-03-03,240150.31
DD,2025-03-04,230227.25
DD,2025-03-05,260035.58
DD,2025-03-06,228721.08
DD,2025-03-07,293747.53
DD,2025-03-08,292571.66
DD,2025-03-09,277804.75
DD,2025-03-10,271909.25
DD,2025-03-11,279534.56
DD,2025-03-12,269080.8
DD,2025-03-13,286401.84
DD,2025-03-14,275888.75
DD,2025-03-15,297068.62
DD,2025-03-16,285833.06
DD,2025-03-17,267036.84
DD,2025-03-18,260224.67
DD,2025-03-19,271969.16
DD,2025-03-20,276219.47
DD,2025-03-21,298884.06
DD,2025-03-22,293781.2
DD,2025-03-23,279367.97
DD,2025-03-24,270923.6
DD,2025-03-25,264027.8
DD,2025-03-26,255662.6
DD,2025-03-27,278709.25
DD,2025-03-28,300342.16
DD,2025-03-29,283916.7
DD,2025-03-30,284289.8
DD,2025-03-31,270616.16
DD,2025-04-01,273896.9
DD,2025-04-02,263639.06
DD,2025-04-03,279190.16
DD,2025-04-04,288808.16
DD,2025-04-05,266165.75
DD,2025-04-06,272399.06
DD,2025-04-07,266174.53
DD,2025-04-08,266492.88
DD,2025-04-09,272195.16
DD,2025-04-10,290136.88
DD,2025-04-11,281654.6
DD,2025-04-12,269557.12
DD,2025-04-13,271648.9
DD,2025-04-14,275678.8
DD,2025-04-15,269862.94
DD,2025-04-16,270226.34
DD,2025-04-17,287075.44
DD,2025-04-18,255648.16
DD,2025-04-19,276097.2
DD,2025-04-20,206114.97
DD,2025-04-21,263115.97
DD,2025-04-22,262795.4
DD,2025-04-23,267894.44
DD,2025-04-24,278930.6
DD,2025-04-25,273209.03
DD,2025-04-26,291912.06
DD,2025-04-27,286967.03
DD,2025-04-28,266757.8
DD,2025-04-29,276170.38
DD,2025-04-30,265081.0
DD,2025-05-01,229040.19
DD,2025-05-02,277646.1
DD,2025-05-03,293555.72
DD,2025-05-04,316290.25
DD,2025-05-05,300659.8
DD,2025-05-06,304942.0
DD,2025-05-07,301175.62
DD,2025-05-08,304451.25
