unique_id,ds,GRU_steps1000_lr0.001_batch64_encoder200_decoder200_enc_layers2_dec_layers2_context10_activationtanh_biasTrue_dropout0.0_lr_decays-1_early_stop-1_val_check100_scalerrobust_seed1
JJ,2025-02-01,466305.78
JJ,2025-02-02,243654.84
JJ,2025-02-03,225081.92
JJ,2025-02-04,218966.22
JJ,2025-02-05,242660.02
JJ,2025-02-06,231928.86
JJ,2025-02-07,285558.25
JJ,2025-02-08,335869.5
JJ,2025-02-09,215329.17
JJ,2025-02-10,273578.38
JJ,2025-02-11,293854.5
JJ,2025-02-12,302103.06
JJ,2025-02-13,295567.8
JJ,2025-02-14,347713.9
JJ,2025-02-15,367027.75
JJ,2025-02-16,242220.66
JJ,2025-02-17,250886.53
JJ,2025-02-18,237131.4
JJ,2025-02-19,292684.22
JJ,2025-02-20,316061.94
JJ,2025-02-21,402207.2
JJ,2025-02-22,488817.66
JJ,2025-02-23,247925.19
JJ,2025-02-24,190443.11
JJ,2025-02-25,180031.61
JJ,2025-02-26,162393.97
JJ,2025-02-27,178353.7
JJ,2025-02-28,216135.58
JJ,2025-03-01,247008.38
JJ,2025-03-02,147753.48
JJ,2025-03-03,170627.1
JJ,2025-03-04,151961.62
JJ,2025-03-05,196563.61
JJ,2025-03-06,224029.88
JJ,2025-03-07,173328.5
JJ,2025-03-08,308082.06
JJ,2025-03-09,147439.22
JJ,2025-03-10,125110.5
JJ,2025-03-11,141220.83
JJ,2025-03-12,156584.11
JJ,2025-03-13,155249.7
JJ,2025-03-14,178087.75
JJ,2025-03-15,239494.0
JJ,2025-03-16,133486.72
JJ,2025-03-17,138845.05
JJ,2025-03-18,153479.42
JJ,2025-03-19,178720.89
JJ,2025-03-20,182551.14
JJ,2025-03-21,146061.5
JJ,2025-03-22,201827.2
JJ,2025-03-23,136930.08
JJ,2025-03-24,127525.234
JJ,2025-03-25,148812.8
JJ,2025-03-26,155527.14
JJ,2025-03-27,162502.31
JJ,2025-03-28,174396.73
JJ,2025-03-29,262487.03
JJ,2025-03-30,153605.86
JJ,2025-03-31,124333.22
JJ,2025-04-01,177619.34
JJ,2025-04-02,211266.8
JJ,2025-04-03,203830.45
JJ,2025-04-04,226181.22
JJ,2025-04-05,342829.8
JJ,2025-04-06,220457.3
JJ,2025-04-07,141790.75
JJ,2025-04-08,162374.73
JJ,2025-04-09,164013.39
JJ,2025-04-10,168209.0
JJ,2025-04-11,254120.95
JJ,2025-04-12,359584.94
JJ,2025-04-13,155480.31
JJ,2025-04-14,179327.78
JJ,2025-04-15,221210.98
JJ,2025-04-16,235930.28
JJ,2025-04-17,246240.0
JJ,2025-04-18,153756.4
JJ,2025-04-19,282327.1
JJ,2025-04-20,51914.906
JJ,2025-04-21,127320.92
JJ,2025-04-22,162277.12
JJ,2025-04-23,178323.92
JJ,2025-04-24,185549.45
JJ,2025-04-25,195170.8
JJ,2025-04-26,350518.84
JJ,2025-04-27,167684.89
JJ,2025-04-28,149765.62
JJ,2025-04-29,171566.1
JJ,2025-04-30,185264.6
JJ,2025-05-01,263183.2
JJ,2025-05-02,175010.55
JJ,2025-05-03,230013.81
JJ,2025-05-04,158296.11
JJ,2025-05-05,165533.45
JJ,2025-05-06,152448.72
JJ,2025-05-07,193523.39
JJ,2025-05-08,210734.05
JJ,2025-05-09,294763.94
JJ,2025-05-10,505600.06
JJ,2025-05-11,188071.42
JJ,2025-05-12,173632.5
JJ,2025-05-13,158263.16
JJ,2025-05-14,204084.14
JJ,2025-05-15,244105.88
JJ,2025-05-16,299377.25
JJ,2025-05-17,404819.38
JJ,2025-05-18,210929.52
JJ,2025-05-19,180089.19
JJ,2025-05-20,209198.77
JJ,2025-05-21,256326.84
JJ,2025-05-22,246782.58
JJ,2025-05-23,307778.34
JJ,2025-05-24,435111.2
JJ,2025-05-25,209134.72
JJ,2025-05-26,231813.28
JJ,2025-05-27,271361.9
JJ,2025-05-28,314861.06
JJ,2025-05-29,290223.0
JJ,2025-05-30,384279.12
JJ,2025-05-31,488547.47
JJ,2025-06-01,251181.78
JJ,2025-06-02,233571.39
JJ,2025-06-03,259324.47
JJ,2025-06-04,273069.1
JJ,2025-06-05,283226.53
JJ,2025-06-06,347701.9
JJ,2025-06-07,520446.5
JJ,2025-06-08,289603.3
JJ,2025-06-09,303925.34
JJ,2025-06-10,362188.94
JJ,2025-06-11,442659.34
JJ,2025-06-12,578489.06
JJ,2025-06-13,593358.75
JJ,2025-06-14,244018.9
JJ,2025-06-15,155195.03
JJ,2025-06-16,251361.67
JJ,2025-06-17,273674.28
JJ,2025-06-18,363720.44
JJ,2025-06-19,408131.53
JJ,2025-06-20,421395.06
JJ,2025-06-21,379054.8
JJ,2025-06-22,279323.2
JJ,2025-06-23,298008.44
JJ,2025-06-24,285137.06
JJ,2025-06-25,378697.22
JJ,2025-06-26,405559.72
JJ,2025-06-27,354149.5
JJ,2025-06-28,462498.66
JJ,2025-06-29,328724.97
JJ,2025-06-30,278593.66
JJ,2025-07-01,302429.2
JJ,2025-07-02,371004.7
JJ,2025-07-03,394067.16
JJ,2025-07-04,303523.62
JJ,2025-07-05,399472.06
JJ,2025-07-06,327101.16
JJ,2025-07-07,287336.66
JJ,2025-07-08,295576.78
JJ,2025-07-09,345371.84
JJ,2025-07-10,385681.1
JJ,2025-07-11,304417.4
JJ,2025-07-12,406538.62
JJ,2025-07-13,311879.44
JJ,2025-07-14,278985.3
JJ,2025-07-15,278903.88
JJ,2025-07-16,298272.62
JJ,2025-07-17,316761.78
JJ,2025-07-18,287160.2
JJ,2025-07-19,359963.4
JJ,2025-07-20,236424.31
JJ,2025-07-21,206149.97
JJ,2025-07-22,201451.03
JJ,2025-07-23,194117.19
JJ,2025-07-24,245828.62
JJ,2025-07-25,313933.38
JJ,2025-07-26,390613.03
JJ,2025-07-27,234210.9
JJ,2025-07-28,194508.47
JJ,2025-07-29,203803.98
JJ,2025-07-30,221566.58
JJ,2025-07-31,223148.84
JJ,2025-08-01,288062.3
JJ,2025-08-02,414512.75
JJ,2025-08-03,147243.8
JJ,2025-08-04,156563.55
JJ,2025-08-05,185164.97
JJ,2025-08-06,251371.62
JJ,2025-08-07,276667.97
JJ,2025-08-08,361090.25
JJ,2025-08-09,549600.56
JJ,2025-08-10,217533.11
JJ,2025-08-11,206890.25
JJ,2025-08-12,202322.75
JJ,2025-08-13,219149.84
JJ,2025-08-14,211447.52
JJ,2025-08-15,287861.7
JJ,2025-08-16,359983.9
JJ,2025-08-17,203503.17
JJ,2025-08-18,158713.1
JJ,2025-08-19,195803.4
JJ,2025-08-20,212113.73
JJ,2025-08-21,231887.95
JJ,2025-08-22,288418.6
JJ,2025-08-23,356131.6
JJ,2025-08-24,190587.9
JJ,2025-08-25,158942.19
JJ,2025-08-26,163035.97
JJ,2025-08-27,182570.66
JJ,2025-08-28,203203.25
JJ,2025-08-29,247813.03
JJ,2025-08-30,337278.8
JJ,2025-08-31,194221.47
JJ,2025-09-01,162030.81
JJ,2025-09-02,155428.28
JJ,2025-09-03,194755.44
JJ,2025-09-04,218151.23
JJ,2025-09-05,266728.56
JJ,2025-09-06,414615.94
