unique_id,ds,LSTM_steps1000_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_biasTrue_dropout0.0
JJ,2025-01-01,117008.81
JJ,2025-01-02,328046.62
JJ,2025-01-03,394416.3
JJ,2025-01-04,364183.22
JJ,2025-01-05,446315.44
JJ,2025-01-06,206409.42
JJ,2025-01-07,424413.56
JJ,2025-01-08,535933.5
JJ,2025-01-09,545356.5
JJ,2025-01-10,383293.12
JJ,2025-01-11,506002.3
JJ,2025-01-12,320507.4
JJ,2025-01-13,230597.66
JJ,2025-01-14,326401.03
JJ,2025-01-15,306537.97
JJ,2025-01-16,340676.9
JJ,2025-01-17,387151.88
JJ,2025-01-18,468115.8
JJ,2025-01-19,216174.25
JJ,2025-01-20,442543.06
JJ,2025-01-21,269569.0
JJ,2025-01-22,323469.12
JJ,2025-01-23,332873.56
JJ,2025-01-24,221127.97
JJ,2025-01-25,421510.88
JJ,2025-01-26,221869.52
JJ,2025-01-27,285741.4
JJ,2025-01-28,189384.08
JJ,2025-01-29,153396.45
JJ,2025-01-30,317431.6
JJ,2025-01-31,285752.25
JJ,2025-02-01,383450.94
JJ,2025-02-02,173446.6
JJ,2025-02-03,319704.97
JJ,2025-02-04,214496.2
JJ,2025-02-05,373314.4
JJ,2025-02-06,268159.12
JJ,2025-02-07,375092.06
JJ,2025-02-08,697533.6
JJ,2025-02-09,384648.44
JJ,2025-02-10,303846.3
JJ,2025-02-11,255938.86
JJ,2025-02-12,320215.3
JJ,2025-02-13,275053.75
JJ,2025-02-14,455541.97
JJ,2025-02-15,382729.84
JJ,2025-02-16,322370.06
JJ,2025-02-17,278961.34
JJ,2025-02-18,333865.97
JJ,2025-02-19,245043.23
JJ,2025-02-20,285290.7
JJ,2025-02-21,222751.05
JJ,2025-02-22,362340.44
JJ,2025-02-23,232060.4
JJ,2025-02-24,192156.75
JJ,2025-02-25,221904.5
JJ,2025-02-26,350574.9
JJ,2025-02-27,297417.3
JJ,2025-02-28,351891.34
JJ,2025-03-01,297642.03
JJ,2025-03-02,211842.03
JJ,2025-03-03,198811.73
JJ,2025-03-04,110951.11
JJ,2025-03-05,189586.5
JJ,2025-03-06,179288.6
JJ,2025-03-07,304323.25
JJ,2025-03-08,345909.88
JJ,2025-03-09,266718.84
JJ,2025-03-10,236139.56
JJ,2025-03-11,150642.25
JJ,2025-03-12,158044.08
JJ,2025-03-13,280197.2
JJ,2025-03-14,303675.22
JJ,2025-03-15,439819.62
JJ,2025-03-16,120167.83
JJ,2025-03-17,190253.27
JJ,2025-03-18,156994.19
JJ,2025-03-19,186409.44
JJ,2025-03-20,273935.88
JJ,2025-03-21,250436.31
JJ,2025-03-22,508759.97
JJ,2025-03-23,156455.72
JJ,2025-03-24,135044.55
JJ,2025-03-25,219620.3
JJ,2025-03-26,183374.02
JJ,2025-03-27,263263.7
JJ,2025-03-28,340921.12
JJ,2025-03-29,452616.25
JJ,2025-03-30,184822.53
JJ,2025-03-31,188333.88
JJ,2025-04-01,182933.8
JJ,2025-04-02,241988.47
JJ,2025-04-03,244935.23
JJ,2025-04-04,372250.22
JJ,2025-04-05,548785.7
JJ,2025-04-06,249634.75
JJ,2025-04-07,191619.38
JJ,2025-04-08,120283.09
JJ,2025-04-09,178494.44
JJ,2025-04-10,258514.62
JJ,2025-04-11,289306.12
JJ,2025-04-12,535049.25
JJ,2025-04-13,222836.11
JJ,2025-04-14,141547.64
JJ,2025-04-15,218595.19
JJ,2025-04-16,225435.84
JJ,2025-04-17,250941.12
JJ,2025-04-18,203460.9
JJ,2025-04-19,391567.94
JJ,2025-04-20,175927.4
JJ,2025-04-21,213983.03
JJ,2025-04-22,180837.31
JJ,2025-04-23,234423.97
JJ,2025-04-24,270619.47
JJ,2025-04-25,351416.5
JJ,2025-04-26,485767.6
JJ,2025-04-27,220547.75
JJ,2025-04-28,167088.73
JJ,2025-04-29,137259.83
JJ,2025-04-30,285827.84
JJ,2025-05-01,171906.19
JJ,2025-05-02,368393.25
JJ,2025-05-03,400810.3
JJ,2025-05-04,229319.97
JJ,2025-05-05,232796.9
JJ,2025-05-06,206027.08
JJ,2025-05-07,245350.8
JJ,2025-05-08,234281.38
JJ,2025-05-09,428089.0
JJ,2025-05-10,555270.1
JJ,2025-05-11,197329.44
JJ,2025-05-12,201410.25
JJ,2025-05-13,204205.88
JJ,2025-05-14,235508.19
JJ,2025-05-15,241249.94
JJ,2025-05-16,323141.56
JJ,2025-05-17,498951.62
JJ,2025-05-18,295341.3
JJ,2025-05-19,204829.44
JJ,2025-05-20,174507.36
JJ,2025-05-21,290752.03
JJ,2025-05-22,245090.42
JJ,2025-05-23,343925.7
JJ,2025-05-24,583802.75
JJ,2025-05-25,281043.12
JJ,2025-05-26,189457.9
JJ,2025-05-27,230646.6
JJ,2025-05-28,270379.8
JJ,2025-05-29,246247.5
JJ,2025-05-30,431882.03
JJ,2025-05-31,583305.1
JJ,2025-06-01,336692.25
JJ,2025-06-02,268245.9
JJ,2025-06-03,269800.0
JJ,2025-06-04,301364.97
JJ,2025-06-05,296539.44
JJ,2025-06-06,404083.4
JJ,2025-06-07,671622.7
JJ,2025-06-08,368534.6
JJ,2025-06-09,349228.38
JJ,2025-06-10,425681.56
JJ,2025-06-11,524563.94
JJ,2025-06-12,650642.3
JJ,2025-06-13,558377.9
JJ,2025-06-14,771271.1
JJ,2025-06-15,465542.06
JJ,2025-06-16,470052.12
JJ,2025-06-17,530562.8
JJ,2025-06-18,436424.3
JJ,2025-06-19,595765.0
JJ,2025-06-20,514590.56
JJ,2025-06-21,682852.9
JJ,2025-06-22,316219.62
JJ,2025-06-23,386157.5
JJ,2025-06-24,337755.84
JJ,2025-06-25,514519.06
JJ,2025-06-26,527702.56
JJ,2025-06-27,571930.5
JJ,2025-06-28,709601.1
JJ,2025-06-29,493134.2
JJ,2025-06-30,469641.62
JJ,2025-07-01,403231.78
JJ,2025-07-02,386061.06
JJ,2025-07-03,389750.2
JJ,2025-07-04,587785.9
JJ,2025-07-05,796149.5
JJ,2025-07-06,345709.88
JJ,2025-07-07,391359.0
JJ,2025-07-08,489305.38
JJ,2025-07-09,385076.12
JJ,2025-07-10,409181.2
JJ,2025-07-11,478885.12
JJ,2025-07-12,721914.4
JJ,2025-07-13,307763.66
JJ,2025-07-14,328745.6
JJ,2025-07-15,249714.38
JJ,2025-07-16,318935.72
JJ,2025-07-17,318102.94
JJ,2025-07-18,349209.22
JJ,2025-07-19,575944.3
JJ,2025-07-20,326026.5
JJ,2025-07-21,305281.12
JJ,2025-07-22,256456.53
JJ,2025-07-23,245346.47
JJ,2025-07-24,400901.8
JJ,2025-07-25,418929.25
JJ,2025-07-26,470854.0
JJ,2025-07-27,191859.2
JJ,2025-07-28,170845.19
JJ,2025-07-29,242386.95
JJ,2025-07-30,315526.2
JJ,2025-07-31,281327.12
JJ,2025-08-01,266949.28
JJ,2025-08-02,344738.7
JJ,2025-08-03,345571.3
JJ,2025-08-04,189536.03
JJ,2025-08-05,203353.16
JJ,2025-08-06,277810.16
JJ,2025-08-07,304836.88
JJ,2025-08-08,346974.66
JJ,2025-08-09,430926.7
JJ,2025-08-10,231699.78
JJ,2025-08-11,175084.9
JJ,2025-08-12,145845.94
JJ,2025-08-13,179414.34
JJ,2025-08-14,195180.97
JJ,2025-08-15,280237.3
JJ,2025-08-16,469112.5
JJ,2025-08-17,260952.83
JJ,2025-08-18,184049.53
JJ,2025-08-19,217901.47
JJ,2025-08-20,231500.22
JJ,2025-08-21,286937.88
JJ,2025-08-22,211095.72
JJ,2025-08-23,523748.06
JJ,2025-08-24,304883.72
JJ,2025-08-25,171492.47
JJ,2025-08-26,305299.0
JJ,2025-08-27,199064.94
JJ,2025-08-28,271878.28
JJ,2025-08-29,298407.12
JJ,2025-08-30,504641.44
JJ,2025-08-31,264739.9
JJ,2025-09-01,192565.98
JJ,2025-09-02,199564.88
JJ,2025-09-03,192490.03
JJ,2025-09-04,256459.53
JJ,2025-09-05,317456.25
JJ,2025-09-06,367023.66
JJ,2025-09-07,274930.25
JJ,2025-09-08,200946.12
JJ,2025-09-09,218025.47
JJ,2025-09-10,352140.78
JJ,2025-09-11,289584.78
JJ,2025-09-12,361471.8
JJ,2025-09-13,470763.7
JJ,2025-09-14,280256.84
JJ,2025-09-15,197899.72
JJ,2025-09-16,200073.0
JJ,2025-09-17,247732.31
JJ,2025-09-18,252665.47
JJ,2025-09-19,309521.4
JJ,2025-09-20,510841.03
JJ,2025-09-21,264584.28
JJ,2025-09-22,241198.73
JJ,2025-09-23,159596.39
JJ,2025-09-24,188195.72
JJ,2025-09-25,223546.45
JJ,2025-09-26,313846.38
JJ,2025-09-27,410396.2
JJ,2025-09-28,241808.47
JJ,2025-09-29,150520.64
JJ,2025-09-30,253538.92
JJ,2025-10-01,237316.88
