unique_id,ds,GRU_steps1000_lr0.001_batch64_encoder200_decoder200_enc_layers2_dec_layers2_context10_activationtanh_biasTrue_dropout0.0_lr_decays-1_early_stop-1_val_check100_scalerrobust_seed1
LL,2025-01-01,482027.0
LL,2025-01-02,952935.0
LL,2025-01-03,948888.25
LL,2025-01-04,802690.1
LL,2025-01-05,1044029.56
LL,2025-01-06,1905317.8
LL,2025-01-07,2509477.0
LL,2025-01-08,4044917.0
LL,2025-01-09,3253943.5
LL,2025-01-10,3000382.5
LL,2025-01-11,2006596.2
LL,2025-01-12,1092352.8
LL,2025-01-13,1883088.2
LL,2025-01-14,1901441.5
LL,2025-01-15,1891055.2
LL,2025-01-16,2162285.8
LL,2025-01-17,2460194.8
LL,2025-01-18,2557093.5
LL,2025-01-19,1358361.8
LL,2025-01-20,1642478.2
LL,2025-01-21,1885427.4
LL,2025-01-22,1870847.8
LL,2025-01-23,1814178.1
LL,2025-01-24,2093973.5
LL,2025-01-25,2297041.8
LL,2025-01-26,1308855.0
LL,2025-01-27,1711553.0
LL,2025-01-28,1760751.8
LL,2025-01-29,1749013.2
LL,2025-01-30,1561539.0
LL,2025-01-31,1704635.1
LL,2025-02-01,1779264.8
LL,2025-02-02,1178265.2
LL,2025-02-03,1546668.5
LL,2025-02-04,1408525.1
LL,2025-02-05,1378408.4
LL,2025-02-06,1384809.1
LL,2025-02-07,1755567.1
LL,2025-02-08,2164898.0
LL,2025-02-09,1282178.8
LL,2025-02-10,1455885.4
LL,2025-02-11,1293687.1
LL,2025-02-12,1422784.8
LL,2025-02-13,1364374.4
LL,2025-02-14,1648234.2
LL,2025-02-15,1967074.8
LL,2025-02-16,909334.8
LL,2025-02-17,1338759.5
LL,2025-02-18,1509068.0
LL,2025-02-19,1521011.1
LL,2025-02-20,1536646.1
LL,2025-02-21,1813941.8
LL,2025-02-22,1684777.9
LL,2025-02-23,807897.4
LL,2025-02-24,1008686.06
LL,2025-02-25,1068506.2
LL,2025-02-26,1156006.6
LL,2025-02-27,1171547.9
LL,2025-02-28,1458988.8
LL,2025-03-01,1092377.2
LL,2025-03-02,531633.06
LL,2025-03-03,636742.6
LL,2025-03-04,590501.0
LL,2025-03-05,991975.6
LL,2025-03-06,1112917.5
LL,2025-03-07,1534056.2
LL,2025-03-08,1806686.9
LL,2025-03-09,987303.9
LL,2025-03-10,1200697.5
LL,2025-03-11,1226663.6
LL,2025-03-12,1353187.8
LL,2025-03-13,1539781.0
LL,2025-03-14,1950478.9
LL,2025-03-15,2211292.2
LL,2025-03-16,1092897.1
LL,2025-03-17,1297661.9
LL,2025-03-18,1263658.6
LL,2025-03-19,1425463.1
LL,2025-03-20,1542299.4
LL,2025-03-21,1961106.8
LL,2025-03-22,2131839.0
LL,2025-03-23,1059403.0
LL,2025-03-24,1360611.8
LL,2025-03-25,1327436.1
LL,2025-03-26,1453977.0
LL,2025-03-27,1711339.1
LL,2025-03-28,2110061.0
LL,2025-03-29,2363959.8
LL,2025-03-30,1395170.9
LL,2025-03-31,1245667.9
LL,2025-04-01,1222695.9
LL,2025-04-02,1203165.5
LL,2025-04-03,1150388.4
LL,2025-04-04,1379788.1
LL,2025-04-05,1589190.6
LL,2025-04-06,895738.7
LL,2025-04-07,1017682.9
LL,2025-04-08,1111138.1
LL,2025-04-09,1194066.0
LL,2025-04-10,1448440.8
LL,2025-04-11,1640810.8
LL,2025-04-12,1704047.0
LL,2025-04-13,877408.1
LL,2025-04-14,1162716.2
LL,2025-04-15,1145953.1
LL,2025-04-16,1387910.2
LL,2025-04-17,1489755.9
LL,2025-04-18,1019645.5
LL,2025-04-19,1988796.2
LL,2025-04-20,758052.8
LL,2025-04-21,1145219.2
LL,2025-04-22,1220951.5
LL,2025-04-23,1474063.9
LL,2025-04-24,1689411.5
LL,2025-04-25,1986176.1
LL,2025-04-26,2366929.5
LL,2025-04-27,1568997.0
LL,2025-04-28,1179000.6
LL,2025-04-29,1477657.9
LL,2025-04-30,1803059.2
LL,2025-05-01,1395964.8
LL,2025-05-02,2028647.1
LL,2025-05-03,2564926.5
LL,2025-05-04,2243660.8
LL,2025-05-05,1453651.0
LL,2025-05-06,1839848.8
LL,2025-05-07,2084358.5
LL,2025-05-08,2531070.5
LL,2025-05-09,3090743.2
LL,2025-05-10,4582831.5
LL,2025-05-11,1214648.2
LL,2025-05-12,1361673.5
LL,2025-05-13,1504052.1
LL,2025-05-14,1537645.2
LL,2025-05-15,1636181.1
LL,2025-05-16,1836740.2
LL,2025-05-17,2205309.0
LL,2025-05-18,1023491.44
LL,2025-05-19,1418778.5
LL,2025-05-20,1629124.9
LL,2025-05-21,1892167.1
LL,2025-05-22,1857365.5
LL,2025-05-23,1994973.4
LL,2025-05-24,2330800.2
LL,2025-05-25,1179866.5
LL,2025-05-26,1435782.5
LL,2025-05-27,1695545.0
LL,2025-05-28,1957239.2
LL,2025-05-29,2001053.8
LL,2025-05-30,2164304.5
LL,2025-05-31,2482877.5
LL,2025-06-01,1120263.2
LL,2025-06-02,1420563.5
LL,2025-06-03,1663719.8
LL,2025-06-04,1865355.9
LL,2025-06-05,2330944.5
LL,2025-06-06,2641661.0
LL,2025-06-07,3338973.0
LL,2025-06-08,2229117.2
LL,2025-06-09,1611109.9
LL,2025-06-10,1908684.2
LL,2025-06-11,2306841.2
LL,2025-06-12,2200212.2
LL,2025-06-13,2384486.2
LL,2025-06-14,2012971.5
LL,2025-06-15,1892818.9
LL,2025-06-16,2251762.5
LL,2025-06-17,2169858.8
LL,2025-06-18,2053901.8
LL,2025-06-19,2271891.5
LL,2025-06-20,3498733.0
LL,2025-06-21,3043740.0
LL,2025-06-22,2283560.0
LL,2025-06-23,3418509.0
LL,2025-06-24,2657026.5
LL,2025-06-25,3364650.2
LL,2025-06-26,2976827.2
LL,2025-06-27,3196348.0
LL,2025-06-28,3454925.5
LL,2025-06-29,2250845.8
LL,2025-06-30,2283405.2
LL,2025-07-01,2589606.8
LL,2025-07-02,2690978.0
LL,2025-07-03,2691943.2
LL,2025-07-04,2854603.5
LL,2025-07-05,3272890.0
LL,2025-07-06,1894116.8
LL,2025-07-07,1896457.6
LL,2025-07-08,1795294.5
LL,2025-07-09,1726547.4
LL,2025-07-10,1751717.1
LL,2025-07-11,1736724.0
LL,2025-07-12,1807019.9
LL,2025-07-13,1369295.4
LL,2025-07-14,1540789.1
LL,2025-07-15,1619173.6
LL,2025-07-16,1582893.6
LL,2025-07-17,1649056.9
LL,2025-07-18,1625344.6
LL,2025-07-19,1604486.4
LL,2025-07-20,1133020.4
LL,2025-07-21,1525352.9
LL,2025-07-22,1501611.1
LL,2025-07-23,1620755.9
LL,2025-07-24,1616478.9
LL,2025-07-25,1789540.5
LL,2025-07-26,1959335.2
LL,2025-07-27,1073937.5
LL,2025-07-28,1484774.0
LL,2025-07-29,1427011.0
LL,2025-07-30,1584150.4
LL,2025-07-31,1608014.4
LL,2025-08-01,1722190.2
LL,2025-08-02,1837574.5
LL,2025-08-03,1004528.2
LL,2025-08-04,1165316.0
LL,2025-08-05,1374503.1
LL,2025-08-06,1425800.9
LL,2025-08-07,1458785.9
LL,2025-08-08,1605040.9
LL,2025-08-09,1787941.5
LL,2025-08-10,746722.8
LL,2025-08-11,1288282.1
LL,2025-08-12,1447844.1
LL,2025-08-13,1515300.9
LL,2025-08-14,1623593.5
LL,2025-08-15,1779074.0
LL,2025-08-16,1822654.0
LL,2025-08-17,1129341.4
LL,2025-08-18,1485516.2
LL,2025-08-19,1560255.8
LL,2025-08-20,1705446.4
LL,2025-08-21,1647522.4
LL,2025-08-22,1796780.8
LL,2025-08-23,1893191.9
LL,2025-08-24,959574.6
LL,2025-08-25,1428372.2
LL,2025-08-26,1576525.8
LL,2025-08-27,1803544.1
LL,2025-08-28,1803597.2
LL,2025-08-29,2030666.5
LL,2025-08-30,2319648.8
LL,2025-08-31,1095706.0
LL,2025-09-01,1434342.4
LL,2025-09-02,1413443.0
LL,2025-09-03,1491820.6
LL,2025-09-04,1438368.4
LL,2025-09-05,1636368.2
LL,2025-09-06,1934225.2
LL,2025-09-07,657785.1
LL,2025-09-08,1581744.0
LL,2025-09-09,1424457.2
LL,2025-09-10,1521958.4
LL,2025-09-11,1641580.5
LL,2025-09-12,1835877.5
LL,2025-09-13,2046329.0
LL,2025-09-14,855250.6
LL,2025-09-15,1237181.5
LL,2025-09-16,1371087.8
LL,2025-09-17,1402931.9
LL,2025-09-18,1455559.0
LL,2025-09-19,1497100.9
LL,2025-09-20,1767280.4
LL,2025-09-21,990884.6
LL,2025-09-22,1170602.8
LL,2025-09-23,1342601.4
LL,2025-09-24,1407387.5
LL,2025-09-25,1546010.8
LL,2025-09-26,1748331.8
LL,2025-09-27,2043662.4
LL,2025-09-28,923110.7
LL,2025-09-29,1322276.2
LL,2025-09-30,1338812.0
LL,2025-10-01,1382344.4
LL,2025-10-02,1516672.4
