unique_id,ds,LSTM_steps1_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_biasTrue_dropout0.0
LL,2025-01-01,936438.25
LL,2025-01-02,1129059.9
LL,2025-01-03,1153045.2
LL,2025-01-04,1241908.4
LL,2025-01-05,1167558.5
LL,2025-01-06,1104182.5
LL,2025-01-07,1194347.0
LL,2025-01-08,1211554.1
LL,2025-01-09,1297500.8
LL,2025-01-10,1325734.0
LL,2025-01-11,1368336.9
LL,2025-01-12,1393222.8
LL,2025-01-13,1222701.6
LL,2025-01-14,1322410.8
LL,2025-01-15,1287760.4
LL,2025-01-16,1347425.5
LL,2025-01-17,1356747.5
LL,2025-01-18,1344437.2
LL,2025-01-19,1286247.4
LL,2025-01-20,1307670.0
LL,2025-01-21,1211272.9
LL,2025-01-22,1317077.9
LL,2025-01-23,1342316.1
LL,2025-01-24,1354151.5
LL,2025-01-25,1421630.2
LL,2025-01-26,1392184.5
LL,2025-01-27,1252823.2
LL,2025-01-28,1238823.8
LL,2025-01-29,1270946.6
LL,2025-01-30,1346492.5
LL,2025-01-31,1296166.5
LL,2025-02-01,1301458.4
LL,2025-02-02,1204967.6
LL,2025-02-03,1166737.2
LL,2025-02-04,1089941.5
LL,2025-02-05,1160497.9
LL,2025-02-06,1177984.2
LL,2025-02-07,1250350.4
LL,2025-02-08,1177645.1
LL,2025-02-09,1170728.2
LL,2025-02-10,1154001.4
LL,2025-02-11,1083202.4
LL,2025-02-12,1173148.4
LL,2025-02-13,1149663.0
LL,2025-02-14,1190226.1
LL,2025-02-15,1176087.4
LL,2025-02-16,1117663.9
LL,2025-02-17,1082375.8
LL,2025-02-18,1058396.0
LL,2025-02-19,1085410.1
LL,2025-02-20,1156373.5
LL,2025-02-21,1165520.6
LL,2025-02-22,1149445.8
LL,2025-02-23,1130017.9
LL,2025-02-24,1142868.1
LL,2025-02-25,1163463.6
LL,2025-02-26,1128678.9
LL,2025-02-27,1163825.2
LL,2025-02-28,1141097.8
LL,2025-03-01,1021818.5
LL,2025-03-02,1045466.9
LL,2025-03-03,963078.4
LL,2025-03-04,946559.75
LL,2025-03-05,1057223.2
LL,2025-03-06,958985.75
LL,2025-03-07,1189799.5
LL,2025-03-08,1185428.1
LL,2025-03-09,1105667.5
LL,2025-03-10,1084678.1
LL,2025-03-11,1122917.5
LL,2025-03-12,1115627.6
LL,2025-03-13,1168770.5
LL,2025-03-14,1156362.2
LL,2025-03-15,1197895.4
LL,2025-03-16,1175468.4
LL,2025-03-17,1102432.6
LL,2025-03-18,1063237.8
LL,2025-03-19,1104448.4
LL,2025-03-20,1132933.0
LL,2025-03-21,1215901.9
LL,2025-03-22,1183503.2
LL,2025-03-23,1167063.2
LL,2025-03-24,1094562.5
LL,2025-03-25,1079304.2
LL,2025-03-26,1066599.0
LL,2025-03-27,1180791.8
LL,2025-03-28,1223441.2
LL,2025-03-29,1186178.5
LL,2025-03-30,1150210.1
LL,2025-03-31,1133334.8
LL,2025-04-01,1115583.0
LL,2025-04-02,1088188.2
LL,2025-04-03,1158757.2
LL,2025-04-04,1198468.1
LL,2025-04-05,1082240.1
LL,2025-04-06,1112449.6
LL,2025-04-07,1075785.1
LL,2025-04-08,1100660.6
LL,2025-04-09,1123536.0
LL,2025-04-10,1176321.6
LL,2025-04-11,1187803.8
LL,2025-04-12,1111524.4
LL,2025-04-13,1125282.1
LL,2025-04-14,1114266.8
LL,2025-04-15,1094662.9
LL,2025-04-16,1108336.6
LL,2025-04-17,1162560.8
LL,2025-04-18,1055865.1
LL,2025-04-19,1133515.2
LL,2025-04-20,853133.6
LL,2025-04-21,1070763.8
LL,2025-04-22,1096366.4
LL,2025-04-23,1112852.0
LL,2025-04-24,1138234.6
LL,2025-04-25,1173852.2
LL,2025-04-26,1178653.8
LL,2025-04-27,1194599.9
LL,2025-04-28,1097641.8
LL,2025-04-29,1133295.1
LL,2025-04-30,1124547.9
LL,2025-05-01,982931.06
LL,2025-05-02,1184688.5
LL,2025-05-03,1174496.6
LL,2025-05-04,1291847.8
LL,2025-05-05,1258369.9
LL,2025-05-06,1353731.9
LL,2025-05-07,1307924.1
LL,2025-05-08,1342678.6
LL,2025-05-09,1387110.5
LL,2025-05-10,1350860.2
LL,2025-05-11,1372804.0
LL,2025-05-12,1260150.2
LL,2025-05-13,1105777.8
LL,2025-05-14,1120106.5
LL,2025-05-15,1204206.4
LL,2025-05-16,1212029.1
LL,2025-05-17,1208023.5
LL,2025-05-18,1139767.5
LL,2025-05-19,1053014.8
LL,2025-05-20,1120924.5
LL,2025-05-21,1124807.4
LL,2025-05-22,1189257.8
LL,2025-05-23,1190101.8
LL,2025-05-24,1229543.0
LL,2025-05-25,1135185.8
LL,2025-05-26,1112572.9
LL,2025-05-27,1108234.8
LL,2025-05-28,1166017.0
LL,2025-05-29,1168944.6
LL,2025-05-30,1241622.2
LL,2025-05-31,1139147.4
LL,2025-06-01,1131194.8
LL,2025-06-02,1110535.4
LL,2025-06-03,1082174.2
LL,2025-06-04,1120901.5
LL,2025-06-05,1524417.9
LL,2025-06-06,1555854.5
LL,2025-06-07,1673040.5
LL,2025-06-08,1645783.4
LL,2025-06-09,1612005.5
LL,2025-06-10,1646131.5
LL,2025-06-11,1702801.4
LL,2025-06-12,1717330.5
LL,2025-06-13,1654501.6
LL,2025-06-14,1331934.5
LL,2025-06-15,1329592.2
LL,2025-06-16,1165972.5
LL,2025-06-17,1260103.4
LL,2025-06-18,1303383.1
LL,2025-06-19,1228463.6
LL,2025-06-20,1273130.9
LL,2025-06-21,1243958.8
LL,2025-06-22,1241528.1
LL,2025-06-23,1216440.4
LL,2025-06-24,1236337.6
LL,2025-06-25,1259247.6
LL,2025-06-26,1250432.4
LL,2025-06-27,1269622.6
LL,2025-06-28,1326466.2
LL,2025-06-29,1215688.8
LL,2025-06-30,1268068.0
LL,2025-07-01,1282292.6
LL,2025-07-02,1247028.9
LL,2025-07-03,1338142.5
LL,2025-07-04,1388545.8
LL,2025-07-05,1196215.4
LL,2025-07-06,1216455.5
LL,2025-07-07,1138139.2
LL,2025-07-08,1182472.0
LL,2025-07-09,1164342.5
LL,2025-07-10,1327728.8
LL,2025-07-11,1315708.5
LL,2025-07-12,1222738.0
LL,2025-07-13,1114390.5
LL,2025-07-14,1153228.8
LL,2025-07-15,1124045.9
LL,2025-07-16,1131669.8
LL,2025-07-17,1236350.0
LL,2025-07-18,1265330.6
LL,2025-07-19,1130955.9
LL,2025-07-20,1154983.1
LL,2025-07-21,1122700.9
LL,2025-07-22,1135774.2
LL,2025-07-23,1095006.1
LL,2025-07-24,1102008.5
LL,2025-07-25,1171913.4
LL,2025-07-26,1175583.4
LL,2025-07-27,1127654.0
LL,2025-07-28,1096427.6
LL,2025-07-29,1089025.4
LL,2025-07-30,1090858.0
LL,2025-07-31,1149799.0
LL,2025-08-01,1192439.4
LL,2025-08-02,1133634.5
LL,2025-08-03,1176782.5
LL,2025-08-04,1040384.7
LL,2025-08-05,1111065.6
LL,2025-08-06,1127512.0
LL,2025-08-07,1169566.0
