ds,LSTM_steps1000_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_biasTrue_dropout0.0
2024-10-01,270349.22
2024-10-02,269540.44
2024-10-03,347579.88
2024-10-04,338763.53
2024-10-05,677276.8
2024-10-06,293144.44
2024-10-07,334339.66
2024-10-08,231940.0
2024-10-09,289531.97
2024-10-10,319508.2
2024-10-11,391925.66
2024-10-12,491942.3
2024-10-13,565342.6
2024-10-14,375735.62
2024-10-15,279592.97
2024-10-16,373507.25
2024-10-17,381429.44
2024-10-18,412765.06
2024-10-19,716969.7
2024-10-20,321780.4
2024-10-21,352664.6
2024-10-22,287766.16
2024-10-23,295053.72
2024-10-24,310041.28
2024-10-25,314420.4
2024-10-26,413114.7
2024-10-27,198419.72
2024-10-28,358066.75
2024-10-29,236110.55
2024-10-30,206688.97
2024-10-31,304876.4
2024-11-01,394969.62
2024-11-02,255437.8
2024-11-03,325699.3
2024-11-04,355373.94
2024-11-05,204726.17
2024-11-06,262663.34
2024-11-07,289553.7
2024-11-08,270866.3
2024-11-09,266599.84
2024-11-10,232426.75
2024-11-11,579383.4
2024-11-12,185499.6
2024-11-13,246100.6
2024-11-14,305104.56
2024-11-15,239921.62
2024-11-16,297838.44
2024-11-17,174397.75
2024-11-18,418579.7
2024-11-19,264094.44
2024-11-20,304244.16
2024-11-21,877169.7
2024-11-22,1409339.2
2024-11-23,944822.1
2024-11-24,853078.56
2024-11-25,955825.8
2024-11-26,476015.88
2024-11-27,510457.44
2024-11-28,933582.56
2024-11-29,903564.06
2024-11-30,1021910.56
2024-12-01,409215.75
2024-12-02,344882.1
2024-12-03,230100.4
2024-12-04,267797.03
2024-12-05,232181.28
2024-12-06,303470.8
2024-12-07,388315.75
2024-12-08,255611.61
2024-12-09,393785.88
2024-12-10,295427.38
2024-12-11,342801.53
2024-12-12,364381.94
2024-12-13,538482.8
2024-12-14,667390.44
2024-12-15,535524.5
2024-12-16,660477.4
2024-12-17,487836.53
2024-12-18,656638.75
2024-12-19,688700.94
2024-12-20,669722.4
2024-12-21,852916.9
2024-12-22,799788.1
2024-12-23,1075093.5
2024-12-24,787311.06
2024-12-25,703868.75
2024-12-26,390387.53
2024-12-27,409641.5
2024-12-28,306838.8
2024-12-29,434975.88
2024-12-30,387006.97
2024-12-31,207349.48
2025-01-01,233660.25
2025-01-02,239054.78
2025-01-03,250762.73
2025-01-04,270328.84
2025-01-05,138811.47
2025-01-06,275597.78
2025-01-07,282611.62
2025-01-08,373719.38
2025-01-09,549069.9
2025-01-10,385044.44
2025-01-11,516479.12
2025-01-12,326771.62
2025-01-13,350693.5
2025-01-14,425122.56
2025-01-15,396089.72
2025-01-16,638314.6
2025-01-17,426428.6
2025-01-18,472719.88
2025-01-19,342682.62
2025-01-20,361668.6
2025-01-21,462597.78
2025-01-22,478184.94
2025-01-23,503402.7
2025-01-24,564428.4
2025-01-25,599502.0
2025-01-26,270078.38
2025-01-27,341624.7
2025-01-28,436449.94
2025-01-29,381724.44
