ds,GRU,unique_id
2024-10-01,49490.348,Jeans e Sarja
2024-10-02,19884.129,Jeans e Sarja
2024-10-03,58389.617,Jeans e Sarja
2024-10-04,58669.69,Jeans e Sarja
2024-10-05,100514.84,Jeans e Sarja
2024-10-06,9374.055,Jeans e Sarja
2024-10-07,25817.242,Jeans e Sarja
2024-10-08,23702.562,Jeans e Sarja
2024-10-09,48504.61,Jeans e Sarja
2024-10-10,48191.51,Jeans e Sarja
2024-10-11,94488.7,Jeans e Sarja
2024-10-12,75944.44,Jeans e Sarja
2024-10-13,59228.31,Jeans e Sarja
2024-10-14,39765.297,Jeans e Sarja
2024-10-15,57083.984,Jeans e Sarja
2024-10-16,47252.562,Jeans e Sarja
2024-10-17,56103.363,Jeans e Sarja
2024-10-18,118395.83,Jeans e Sarja
2024-10-19,95256.14,Jeans e Sarja
2024-10-20,62479.39,Jeans e Sarja
2024-10-21,64153.586,Jeans e Sarja
2024-10-22,71677.82,Jeans e Sarja
2024-10-23,49726.133,Jeans e Sarja
2024-10-24,52159.492,Jeans e Sarja
2024-10-25,124998.305,Jeans e Sarja
2024-10-26,103585.83,Jeans e Sarja
2024-10-27,65141.734,Jeans e Sarja
2024-10-28,38345.32,Jeans e Sarja
2024-10-29,42563.6,Jeans e Sarja
2024-10-30,56113.277,Jeans e Sarja
2024-10-31,98697.04,Jeans e Sarja
2024-11-01,72979.29,Jeans e Sarja
2024-11-02,153884.33,Jeans e Sarja
2024-11-03,38232.42,Jeans e Sarja
2024-11-04,24043.137,Jeans e Sarja
2024-11-05,216059.94,Jeans e Sarja
2024-11-06,234886.1,Jeans e Sarja
2024-11-07,141991.2,Jeans e Sarja
2024-11-08,155083.39,Jeans e Sarja
2024-11-09,225237.9,Jeans e Sarja
2024-11-10,162026.78,Jeans e Sarja
2024-11-11,150262.44,Jeans e Sarja
2024-11-12,125002.016,Jeans e Sarja
2024-11-13,225508.5,Jeans e Sarja
2024-11-14,132765.61,Jeans e Sarja
2024-11-15,201304.17,Jeans e Sarja
2024-11-16,78525.586,Jeans e Sarja
2024-11-17,123157.5,Jeans e Sarja
2024-11-18,48469.64,Jeans e Sarja
2024-11-19,96184.45,Jeans e Sarja
2024-11-20,80669.8,Jeans e Sarja
2024-11-21,96136.08,Jeans e Sarja
2024-11-22,147296.17,Jeans e Sarja
2024-11-23,170881.22,Jeans e Sarja
2024-11-24,77826.14,Jeans e Sarja
2024-11-25,177068.72,Jeans e Sarja
2024-11-26,32039.578,Jeans e Sarja
2024-11-27,56179.523,Jeans e Sarja
2024-11-28,148956.88,Jeans e Sarja
2024-11-29,176950.28,Jeans e Sarja
2024-11-30,218694.84,Jeans e Sarja
2024-12-01,110433.61,Jeans e Sarja
2024-12-02,85417.72,Jeans e Sarja
2024-12-03,65414.52,Jeans e Sarja
2024-12-04,102863.96,Jeans e Sarja
2024-12-05,84768.86,Jeans e Sarja
2024-12-06,94004.81,Jeans e Sarja
2024-12-07,166404.84,Jeans e Sarja
2024-12-08,91705.0,Jeans e Sarja
2024-12-09,89518.516,Jeans e Sarja
2024-12-10,171343.67,Jeans e Sarja
2024-12-11,137254.03,Jeans e Sarja
2024-12-12,143847.44,Jeans e Sarja
2024-12-13,148699.78,Jeans e Sarja
2024-12-14,202116.34,Jeans e Sarja
2024-12-15,166204.1,Jeans e Sarja
2024-12-16,133160.2,Jeans e Sarja
2024-12-17,165170.84,Jeans e Sarja
2024-12-18,151386.94,Jeans e Sarja
2024-12-19,197721.75,Jeans e Sarja
2024-12-20,254223.84,Jeans e Sarja
2024-12-21,238945.06,Jeans e Sarja
2024-12-22,193142.31,Jeans e Sarja
2024-12-23,305890.5,Jeans e Sarja
2024-12-24,358869.8,Jeans e Sarja
2024-12-25,-41968.258,Jeans e Sarja
2024-12-26,223801.31,Jeans e Sarja
2024-12-27,135382.73,Jeans e Sarja
2024-12-28,176317.16,Jeans e Sarja
2024-12-29,148293.11,Jeans e Sarja
2024-12-30,92929.7,Jeans e Sarja
2024-12-31,95562.28,Jeans e Sarja
2025-01-01,12746.691,Jeans e Sarja
2025-01-02,44891.688,Jeans e Sarja
2025-01-03,111295.44,Jeans e Sarja
2025-01-04,61619.41,Jeans e Sarja
2025-01-05,66965.875,Jeans e Sarja
2025-01-06,85712.92,Jeans e Sarja
2025-01-07,47118.555,Jeans e Sarja
2025-01-08,91007.555,Jeans e Sarja
2025-01-09,111842.664,Jeans e Sarja
2025-01-10,97202.805,Jeans e Sarja
2025-01-11,200018.34,Jeans e Sarja
2025-01-12,98367.47,Jeans e Sarja
2025-01-13,132259.33,Jeans e Sarja
2025-01-14,102266.516,Jeans e Sarja
2025-01-15,116143.78,Jeans e Sarja
2025-01-16,105529.83,Jeans e Sarja
2025-01-17,115378.81,Jeans e Sarja
2025-01-18,151477.97,Jeans e Sarja
2025-01-19,55639.33,Jeans e Sarja
2025-01-20,76479.875,Jeans e Sarja
2025-01-21,100933.58,Jeans e Sarja
2025-01-22,92718.53,Jeans e Sarja
2025-01-23,78247.39,Jeans e Sarja
2025-01-24,23269.566,Jeans e Sarja
2025-01-25,186287.23,Jeans e Sarja
2025-01-26,100621.84,Jeans e Sarja
2025-01-27,105462.53,Jeans e Sarja
2025-01-28,41047.598,Jeans e Sarja
2025-01-29,55182.555,Jeans e Sarja
2025-01-30,92670.87,Jeans e Sarja
2025-01-31,50467.164,Jeans e Sarja
2025-02-01,154026.22,Jeans e Sarja
2025-02-02,55934.305,Jeans e Sarja
2025-02-03,83740.94,Jeans e Sarja
2025-02-04,114387.36,Jeans e Sarja
2025-02-05,78609.04,Jeans e Sarja
2025-02-06,46901.367,Jeans e Sarja
2025-02-07,129427.11,Jeans e Sarja
2025-02-08,274765.72,Jeans e Sarja
2025-02-09,87211.26,Jeans e Sarja
2025-02-10,59643.125,Jeans e Sarja
2025-02-11,68912.04,Jeans e Sarja
2025-02-12,44881.312,Jeans e Sarja
2025-02-13,66374.26,Jeans e Sarja
2025-02-14,161029.66,Jeans e Sarja
2025-02-15,183052.69,Jeans e Sarja
2025-02-16,60326.547,Jeans e Sarja
2025-02-17,60246.312,Jeans e Sarja
2025-02-18,54778.53,Jeans e Sarja
2025-02-19,67087.89,Jeans e Sarja
2025-02-20,25253.465,Jeans e Sarja
2025-02-21,62695.016,Jeans e Sarja
2025-02-22,77746.52,Jeans e Sarja
2025-02-23,80433.59,Jeans e Sarja
2025-02-24,38027.652,Jeans e Sarja
2025-02-25,49968.047,Jeans e Sarja
2025-02-26,76722.65,Jeans e Sarja
2025-02-27,60269.89,Jeans e Sarja
2025-02-28,195329.62,Jeans e Sarja
2025-03-01,114896.99,Jeans e Sarja
2025-03-02,68284.266,Jeans e Sarja
2025-03-03,40834.887,Jeans e Sarja
2025-03-04,29988.367,Jeans e Sarja
2025-03-05,82719.21,Jeans e Sarja
2025-03-06,25118.176,Jeans e Sarja
2025-03-07,72108.98,Jeans e Sarja
2025-03-08,56799.26,Jeans e Sarja
2025-03-09,64375.95,Jeans e Sarja
2025-03-10,31158.758,Jeans e Sarja
2025-03-11,55051.375,Jeans e Sarja
2025-03-12,18908.34,Jeans e Sarja
2025-03-13,32666.625,Jeans e Sarja
2025-03-14,46595.953,Jeans e Sarja
2025-03-15,73668.13,Jeans e Sarja
2025-03-16,26330.836,Jeans e Sarja
2025-03-17,24029.73,Jeans e Sarja
2025-03-18,46316.062,Jeans e Sarja
2025-03-19,72824.12,Jeans e Sarja
2025-03-20,37514.348,Jeans e Sarja
2025-03-21,87035.27,Jeans e Sarja
2025-03-22,102256.11,Jeans e Sarja
2025-03-23,30528.57,Jeans e Sarja
2025-03-24,30964.305,Jeans e Sarja
2025-03-25,44770.54,Jeans e Sarja
2025-03-26,46173.375,Jeans e Sarja
2025-03-27,51725.816,Jeans e Sarja
2025-03-28,83849.26,Jeans e Sarja
2025-03-29,147969.86,Jeans e Sarja
2025-03-30,64879.523,Jeans e Sarja
2025-03-31,79846.0,Jeans e Sarja
2025-04-01,56928.875,Jeans e Sarja
2025-04-02,54447.883,Jeans e Sarja
2025-04-03,60507.52,Jeans e Sarja
2025-04-04,60544.89,Jeans e Sarja
2025-04-05,136633.14,Jeans e Sarja
2025-04-06,92097.55,Jeans e Sarja
2025-04-07,39378.453,Jeans e Sarja
2025-04-08,66024.86,Jeans e Sarja
2025-04-09,53348.96,Jeans e Sarja
2025-04-10,14769.117,Jeans e Sarja
2025-04-11,139356.88,Jeans e Sarja
2025-04-12,170379.39,Jeans e Sarja
2025-04-13,30564.562,Jeans e Sarja
2025-04-14,44096.96,Jeans e Sarja
2025-04-15,74858.62,Jeans e Sarja
2025-04-16,58417.79,Jeans e Sarja
2025-04-17,79979.15,Jeans e Sarja
2025-04-18,92868.44,Jeans e Sarja
2025-04-19,111053.05,Jeans e Sarja
2025-04-20,31305.883,Jeans e Sarja
2025-04-21,83609.48,Jeans e Sarja
2025-04-22,23811.48,Jeans e Sarja
2025-04-23,86399.29,Jeans e Sarja
2025-04-24,45818.4,Jeans e Sarja
2025-04-25,93194.93,Jeans e Sarja
2025-04-26,119273.94,Jeans e Sarja
2025-04-27,68473.38,Jeans e Sarja
2025-04-28,30957.004,Jeans e Sarja
2025-04-29,73240.734,Jeans e Sarja
2025-04-30,17708.477,Jeans e Sarja
2025-05-01,55138.438,Jeans e Sarja
2025-05-02,100798.89,Jeans e Sarja
2025-05-03,139050.58,Jeans e Sarja
2025-05-04,53702.85,Jeans e Sarja
2025-05-05,20389.3,Jeans e Sarja
2025-05-06,55715.16,Jeans e Sarja
2025-05-07,103936.52,Jeans e Sarja
2025-05-08,78152.76,Jeans e Sarja
2025-05-09,107928.84,Jeans e Sarja
2025-05-10,102799.52,Jeans e Sarja
2025-05-11,68751.71,Jeans e Sarja
2025-05-12,38762.41,Jeans e Sarja
2025-05-13,55885.203,Jeans e Sarja
2025-05-14,66751.32,Jeans e Sarja
2025-05-15,72728.08,Jeans e Sarja
2025-05-16,128543.06,Jeans e Sarja
2025-05-17,214463.53,Jeans e Sarja
2025-05-18,74773.445,Jeans e Sarja
2025-05-19,88280.68,Jeans e Sarja
2025-05-20,103741.72,Jeans e Sarja
2025-05-21,73879.266,Jeans e Sarja
2025-05-22,93703.34,Jeans e Sarja
2025-05-23,100035.39,Jeans e Sarja
2025-05-24,120350.84,Jeans e Sarja
2025-05-25,85165.01,Jeans e Sarja
2025-05-26,84738.46,Jeans e Sarja
2025-05-27,32942.92,Jeans e Sarja
2025-05-28,35415.03,Jeans e Sarja
2025-05-29,107310.38,Jeans e Sarja
2025-05-30,107299.92,Jeans e Sarja
2025-05-31,141338.84,Jeans e Sarja
2025-06-01,58624.656,Jeans e Sarja
2025-06-02,69714.23,Jeans e Sarja
2025-06-03,140504.66,Jeans e Sarja
2025-06-04,83053.555,Jeans e Sarja
2025-06-05,95307.836,Jeans e Sarja
2025-06-06,189487.5,Jeans e Sarja
2025-06-07,202720.75,Jeans e Sarja
2025-06-08,102345.06,Jeans e Sarja
2025-06-09,69887.766,Jeans e Sarja
2025-06-10,93515.17,Jeans e Sarja
2025-06-11,110968.3,Jeans e Sarja
2025-06-12,195221.31,Jeans e Sarja
2025-06-13,128458.53,Jeans e Sarja
2025-06-14,193325.48,Jeans e Sarja
2025-06-15,74806.56,Jeans e Sarja
2025-06-16,100149.63,Jeans e Sarja
2025-06-17,116881.28,Jeans e Sarja
2025-06-18,104818.36,Jeans e Sarja
2025-06-19,146296.0,Jeans e Sarja
2025-06-20,201291.47,Jeans e Sarja
2025-06-21,161400.81,Jeans e Sarja
