mes_ano,Alfaiataria,Jeans e Sarja,Malha,Outros,Tecido Plano,Total
2024-10,1484359.5,4358797.5,1764818.1,1568039.9,1998407.9,11174423.0
2024-11,1663993.5,4585320.5,2121177.0,2140776.0,2078689.9,12589957.0
2024-12,1802915.0,4917616.0,2287474.5,2547282.5,1821459.1,13376747.0
2025-01,1747353.8,4803150.0,2261009.0,2185691.0,1411082.0,12408286.0
2025-02,1569931.6,4479058.0,1973181.8,1870288.4,1401492.1,11293951.0
2025-03,873010.94,2674967.2,1229628.4,1191879.1,1873396.6,7842882.0
2025-04,752532.7,2324012.8,1108562.9,1017535.44,1468920.6,6671564.5
2025-05,1584271.5,4518921.0,2106318.8,1835735.0,1811872.2,11857118.0
2025-06,4709165.0,12174501.0,6132903.5,5322719.5,1607924.9,29947214.0
2025-07,2850523.5,7716044.0,3684832.2,3085781.0,1597667.8,18934848.0
2025-08,1916885.0,5345760.5,2484917.5,2218864.8,1710417.5,13676846.0
2025-09,1568831.2,4532457.5,1974856.2,1831029.6,1802496.0,11709671.0
