ds,GRU_steps3000_lr0.001_batch32_encoder200_decoder200_enc_layers2_dec_layers2_context10_activationtanh_biasTrue_dropout0.0_lr_decays-1_early_stop-1_val_check100_scalerrobust_seed1
2024-10-01,1358130.4
2024-10-02,1395219.8
2024-10-03,1328512.4
2024-10-04,1610911.6
2024-10-05,1633450.9
2024-10-06,486312.75
2024-10-07,1284293.9
2024-10-08,1296256.9
2024-10-09,1223705.5
2024-10-10,1415212.4
2024-10-11,1235742.5
2024-10-12,1369620.1
2024-10-13,607794.8
2024-10-14,1007367.1
2024-10-15,1289926.8
2024-10-16,1852416.5
2024-10-17,1502349.5
2024-10-18,1839418.8
2024-10-19,1920172.0
2024-10-20,1143738.2
2024-10-21,1038827.5
2024-10-22,1251602.4
2024-10-23,1243554.1
2024-10-24,1454057.9
2024-10-25,1491624.9
2024-10-26,1063798.1
2024-10-27,610762.75
2024-10-28,1165399.8
2024-10-29,988512.3
2024-10-30,1247448.4
2024-10-31,1345975.8
2024-11-01,1592371.6
2024-11-02,1264580.2
2024-11-03,1273812.6
2024-11-04,996195.4
2024-11-05,904718.1
2024-11-06,2323096.8
2024-11-07,2426064.0
2024-11-08,1463543.8
2024-11-09,2279557.2
2024-11-10,889813.7
2024-11-11,1617629.2
2024-11-12,1344544.4
2024-11-13,1374925.2
2024-11-14,1498550.6
2024-11-15,1089123.2
2024-11-16,1199755.2
2024-11-17,866900.0
2024-11-18,1571319.8
2024-11-19,1216554.0
2024-11-20,1275947.8
2024-11-21,1114291.0
2024-11-22,1967122.6
2024-11-23,1842563.0
2024-11-24,1949120.9
2024-11-25,1581325.5
2024-11-26,1798400.2
2024-11-27,1665765.6
2024-11-28,1806486.9
2024-11-29,2293990.0
2024-11-30,2639498.2
2024-12-01,1280018.4
2024-12-02,930485.25
2024-12-03,1329605.0
2024-12-04,1221436.6
2024-12-05,1275191.6
2024-12-06,1146370.5
2024-12-07,1813989.2
2024-12-08,1255269.4
2024-12-09,1536677.4
2024-12-10,1264799.9
2024-12-11,1450762.4
2024-12-12,1608513.6
2024-12-13,2079136.8
2024-12-14,2268032.5
2024-12-15,1280013.2
2024-12-16,2193983.5
2024-12-17,2185231.5
2024-12-18,2154208.0
2024-12-19,1761267.5
2024-12-20,2427115.5
2024-12-21,2395423.5
2024-12-22,2329631.0
2024-12-23,2570168.0
2024-12-24,1746995.2
2024-12-25,2379517.5
2024-12-26,1452378.6
2024-12-27,1597463.2
2024-12-28,1321312.5
2024-12-29,882568.8
2024-12-30,1230736.9
2024-12-31,-347127.75
2025-01-01,-27395.25
2025-01-02,1093268.2
2025-01-03,3919767.2
2025-01-04,1384155.8
2025-01-05,1052972.2
2025-01-06,3679764.5
2025-01-07,2126595.5
2025-01-08,2998492.2
2025-01-09,2012589.2
2025-01-10,4047527.8
2025-01-11,1996160.5
2025-01-12,1765906.0
2025-01-13,2237101.5
2025-01-14,2352688.8
2025-01-15,2861394.5
2025-01-16,1541291.2
2025-01-17,1586190.0
2025-01-18,1492350.2
2025-01-19,1404499.2
2025-01-20,1404903.0
2025-01-21,1246457.2
2025-01-22,1393092.4
2025-01-23,1320259.9
2025-01-24,2073675.0
2025-01-25,1935372.5
2025-01-26,519780.62
2025-01-27,1097835.1
2025-01-28,1788565.8
2025-01-29,1596251.1
2025-01-30,2089269.0
2025-01-31,2060023.8
2025-02-01,1721713.1
2025-02-02,670479.94
2025-02-03,1144455.0
2025-02-04,1959705.9
2025-02-05,2157078.2
2025-02-06,1557812.1
2025-02-07,2229184.5
2025-02-08,1942475.5
2025-02-09,1016081.1
2025-02-10,1101164.1
2025-02-11,1376475.8
2025-02-12,1282098.9
2025-02-13,1307449.0
2025-02-14,1406425.5
2025-02-15,1491163.9
2025-02-16,872686.9
2025-02-17,1224757.5
2025-02-18,1123832.6
2025-02-19,896421.4
2025-02-20,1272707.8
2025-02-21,1155796.9
2025-02-22,1618252.8
2025-02-23,587422.8
2025-02-24,696777.25
2025-02-25,1683314.4
2025-02-26,911577.0
2025-02-27,1152598.2
2025-02-28,2036059.2
2025-03-01,794974.75
2025-03-02,409242.38
2025-03-03,536483.1
2025-03-04,378190.62
2025-03-05,580904.56
2025-03-06,645819.8
2025-03-07,1052051.0
2025-03-08,2037404.2
2025-03-09,489952.7
2025-03-10,1280434.9
2025-03-11,1017309.1
2025-03-12,1562077.0
2025-03-13,1590856.1
2025-03-14,1643657.1
2025-03-15,2158256.8
2025-03-16,723074.1
2025-03-17,732136.5
2025-03-18,1245141.4
2025-03-19,1122189.1
2025-03-20,1074128.5
2025-03-21,1602229.0
2025-03-22,1265038.5
2025-03-23,685455.0
2025-03-24,889261.2
2025-03-25,1129058.6
2025-03-26,1545047.5
2025-03-27,2174211.5
2025-03-28,2548897.5
2025-03-29,1884190.4
2025-03-30,580740.6
2025-03-31,1088621.2
2025-04-01,771749.4
2025-04-02,941622.9
2025-04-03,724922.7
2025-04-04,1352686.8
2025-04-05,1173912.6
2025-04-06,474102.12
2025-04-07,616137.8
2025-04-08,953128.1
2025-04-09,1106009.5
2025-04-10,1320527.2
2025-04-11,1384838.0
2025-04-12,1591560.6
2025-04-13,734676.9
2025-04-14,971731.94
2025-04-15,781083.06
2025-04-16,786064.1
2025-04-17,1299114.8
2025-04-18,341037.94
2025-04-19,1267861.1
2025-04-20,188605.62
2025-04-21,645896.44
2025-04-22,1068975.9
2025-04-23,1005511.7
2025-04-24,1477524.1
2025-04-25,1301583.6
2025-04-26,1281980.4
2025-04-27,767230.2
2025-04-28,765376.5
2025-04-29,977933.75
2025-04-30,1557799.1
2025-05-01,390957.94
2025-05-02,1339030.8
2025-05-03,1296141.4
2025-05-04,441535.0
2025-05-05,757165.8
2025-05-06,1339198.5
2025-05-07,1651079.9
2025-05-08,1930918.0
2025-05-09,3029910.2
2025-05-10,2572645.0
2025-05-11,450949.3
2025-05-12,976448.8
2025-05-13,1115060.5
2025-05-14,1742202.5
2025-05-15,1131286.5
2025-05-16,2151745.8
2025-05-17,1147655.5
2025-05-18,1008319.1
2025-05-19,1094034.4
