unique_id,ds,GRU
Dudalina Fem,2025-01-01,36048.805
Dudalina Fem,2025-01-02,85179.59
Dudalina Fem,2025-01-03,138523.1
Dudalina Fem,2025-01-04,98219.555
Dudalina Fem,2025-01-05,73772.484
Dudalina Fem,2025-01-06,99997.58
Dudalina Fem,2025-01-07,94464.8
Dudalina Fem,2025-01-08,150610.02
Dudalina Fem,2025-01-09,222883.86
Dudalina Fem,2025-01-10,161664.73
Dudalina Fem,2025-01-11,253080.1
Dudalina Fem,2025-01-12,190374.1
Dudalina Fem,2025-01-13,160579.95
Dudalina Fem,2025-01-14,172037.58
Dudalina Fem,2025-01-15,164667.61
Dudalina Fem,2025-01-16,179923.88
Dudalina Fem,2025-01-17,261700.31
Dudalina Fem,2025-01-18,341343.56
Dudalina Fem,2025-01-19,177393.78
Dudalina Fem,2025-01-20,147594.62
Dudalina Fem,2025-01-21,200698.78
Dudalina Fem,2025-01-22,240753.69
Dudalina Fem,2025-01-23,250650.67
Dudalina Fem,2025-01-24,324330.0
Dudalina Fem,2025-01-25,419538.84
Dudalina Fem,2025-01-26,282076.9
Dudalina Fem,2025-01-27,281877.6
Dudalina Fem,2025-01-28,203412.28
Dudalina Fem,2025-01-29,157207.78
Dudalina Fem,2025-01-30,164653.03
Dudalina Fem,2025-01-31,286615.2
Dudalina Fem,2025-02-01,217732.78
Dudalina Fem,2025-02-02,157959.14
Dudalina Fem,2025-02-03,165395.78
Dudalina Fem,2025-02-04,163472.58
Dudalina Fem,2025-02-05,154666.28
Dudalina Fem,2025-02-06,218663.62
Dudalina Fem,2025-02-07,246653.22
Dudalina Fem,2025-02-08,329379.25
Dudalina Fem,2025-02-09,129027.445
Dudalina Fem,2025-02-10,172400.23
Dudalina Fem,2025-02-11,194531.88
Dudalina Fem,2025-02-12,235320.36
Dudalina Fem,2025-02-13,284801.7
Dudalina Fem,2025-02-14,329538.03
Dudalina Fem,2025-02-15,379300.47
Dudalina Fem,2025-02-16,226075.47
Dudalina Fem,2025-02-17,355522.38
Dudalina Fem,2025-02-18,208587.1
Dudalina Fem,2025-02-19,241087.08
Dudalina Fem,2025-02-20,108041.234
Dudalina Fem,2025-02-21,142334.14
Dudalina Fem,2025-02-22,233520.84
Dudalina Fem,2025-02-23,114257.984
Dudalina Fem,2025-02-24,146452.67
Dudalina Fem,2025-02-25,93060.016
Dudalina Fem,2025-02-26,74576.055
Dudalina Fem,2025-02-27,149513.6
Dudalina Fem,2025-02-28,146266.16
Dudalina Fem,2025-03-01,123824.555
Dudalina Fem,2025-03-02,42762.188
Dudalina Fem,2025-03-03,64154.812
Dudalina Fem,2025-03-04,44262.4
Dudalina Fem,2025-03-05,88773.11
Dudalina Fem,2025-03-06,97382.414
Dudalina Fem,2025-03-07,97998.29
Dudalina Fem,2025-03-08,99591.7
Dudalina Fem,2025-03-09,99150.78
Dudalina Fem,2025-03-10,94526.0
Dudalina Fem,2025-03-11,84439.44
Dudalina Fem,2025-03-12,97622.56
Dudalina Fem,2025-03-13,83911.42
Dudalina Fem,2025-03-14,57589.57
Dudalina Fem,2025-03-15,134976.06
Dudalina Fem,2025-03-16,116158.82
Dudalina Fem,2025-03-17,117178.945
Dudalina Fem,2025-03-18,88289.89
Dudalina Fem,2025-03-19,74738.766
Dudalina Fem,2025-03-20,82614.57
Dudalina Fem,2025-03-21,85823.91
Dudalina Fem,2025-03-22,207830.7
Dudalina Fem,2025-03-23,65747.78
Dudalina Fem,2025-03-24,93101.86
Dudalina Fem,2025-03-25,106615.41
Dudalina Fem,2025-03-26,78608.3
Dudalina Fem,2025-03-27,87357.695
Dudalina Fem,2025-03-28,94657.3
Dudalina Fem,2025-03-29,179937.25
