mes_ano,Dudalina Fem,Dudalina Masc,Total
2025-01,6242137.5,8282710.0,14524848.0
2025-02,6441678.0,7918212.5,14359890.0
2025-03,2692734.8,2927485.8,5620220.5
2025-04,2512791.5,2569715.2,5082507.0
2025-05,3710474.5,4130011.8,7840486.0
2025-06,12592524.0,15692263.0,28284788.0
2025-07,5118014.5,5476443.0,10594458.0
2025-08,3666942.5,4567419.0,8234361.5
2025-09,4050181.8,4716518.0,8766700.0
2025-10,3930273.0,4214287.5,8144560.5
2025-11,7511753.5,9105848.0,16617602.0
2025-12,6567288.0,8902710.0,15469998.0
