unique_id,ds,GRU
Dudalina Masc,2025-01-01,43314.547
Dudalina Masc,2025-01-02,141357.0
Dudalina Masc,2025-01-03,149297.17
Dudalina Masc,2025-01-04,128030.05
Dudalina Masc,2025-01-05,100035.55
Dudalina Masc,2025-01-06,124064.2
Dudalina Masc,2025-01-07,129183.94
Dudalina Masc,2025-01-08,146076.28
Dudalina Masc,2025-01-09,207485.73
Dudalina Masc,2025-01-10,169632.03
Dudalina Masc,2025-01-11,333229.12
Dudalina Masc,2025-01-12,199452.97
Dudalina Masc,2025-01-13,141797.81
Dudalina Masc,2025-01-14,192702.22
Dudalina Masc,2025-01-15,172455.42
Dudalina Masc,2025-01-16,263274.8
Dudalina Masc,2025-01-17,313988.8
Dudalina Masc,2025-01-18,407426.38
Dudalina Masc,2025-01-19,218032.6
Dudalina Masc,2025-01-20,211524.55
Dudalina Masc,2025-01-21,238364.84
Dudalina Masc,2025-01-22,272497.06
Dudalina Masc,2025-01-23,354690.2
Dudalina Masc,2025-01-24,466540.56
Dudalina Masc,2025-01-25,541328.7
Dudalina Masc,2025-01-26,423087.25
Dudalina Masc,2025-01-27,394503.97
Dudalina Masc,2025-01-28,248238.03
Dudalina Masc,2025-01-29,272073.3
Dudalina Masc,2025-01-30,237288.11
Dudalina Masc,2025-01-31,347812.38
Dudalina Masc,2025-02-01,314868.38
Dudalina Masc,2025-02-02,157459.02
Dudalina Masc,2025-02-03,155926.38
Dudalina Masc,2025-02-04,178506.88
Dudalina Masc,2025-02-05,181894.77
Dudalina Masc,2025-02-06,354124.2
Dudalina Masc,2025-02-07,364876.38
Dudalina Masc,2025-02-08,497686.44
Dudalina Masc,2025-02-09,295220.25
Dudalina Masc,2025-02-10,215501.31
Dudalina Masc,2025-02-11,251111.89
Dudalina Masc,2025-02-12,289792.44
Dudalina Masc,2025-02-13,386684.38
Dudalina Masc,2025-02-14,430653.8
Dudalina Masc,2025-02-15,445157.8
Dudalina Masc,2025-02-16,300791.72
Dudalina Masc,2025-02-17,302224.12
Dudalina Masc,2025-02-18,251854.47
Dudalina Masc,2025-02-19,292021.84
Dudalina Masc,2025-02-20,157646.4
Dudalina Masc,2025-02-21,189236.81
Dudalina Masc,2025-02-22,279434.56
Dudalina Masc,2025-02-23,149304.72
Dudalina Masc,2025-02-24,156653.03
Dudalina Masc,2025-02-25,148078.62
Dudalina Masc,2025-02-26,60347.85
Dudalina Masc,2025-02-27,133435.06
Dudalina Masc,2025-02-28,197828.36
Dudalina Masc,2025-03-01,123794.94
Dudalina Masc,2025-03-02,69530.17
Dudalina Masc,2025-03-03,57197.016
Dudalina Masc,2025-03-04,53818.17
Dudalina Masc,2025-03-05,60760.47
Dudalina Masc,2025-03-06,111582.95
Dudalina Masc,2025-03-07,100970.83
Dudalina Masc,2025-03-08,156735.53
Dudalina Masc,2025-03-09,72535.08
Dudalina Masc,2025-03-10,79890.11
Dudalina Masc,2025-03-11,93533.09
Dudalina Masc,2025-03-12,85587.72
Dudalina Masc,2025-03-13,110428.234
Dudalina Masc,2025-03-14,123049.09
Dudalina Masc,2025-03-15,179916.22
Dudalina Masc,2025-03-16,112040.0
Dudalina Masc,2025-03-17,91857.84
Dudalina Masc,2025-03-18,89376.94
Dudalina Masc,2025-03-19,92010.21
Dudalina Masc,2025-03-20,111187.305
Dudalina Masc,2025-03-21,98273.73
Dudalina Masc,2025-03-22,158836.64
Dudalina Masc,2025-03-23,87986.19
Dudalina Masc,2025-03-24,87335.19
Dudalina Masc,2025-03-25,95035.914
Dudalina Masc,2025-03-26,111711.7
Dudalina Masc,2025-03-27,90256.164
Dudalina Masc,2025-03-28,97765.07
Dudalina Masc,2025-03-29,169373.0
Dudalina Masc,2025-03-30,79948.89
Dudalina Masc,2025-03-31,98855.81
Dudalina Masc,2025-04-01,53793.234
Dudalina Masc,2025-04-02,107893.84
Dudalina Masc,2025-04-03,104733.69
Dudalina Masc,2025-04-04,96738.87
