unique_id,ds,GRU
John John Fem,2025-01-01,-3629.6406
John John Fem,2025-01-02,113091.53
John John Fem,2025-01-03,136608.23
John John Fem,2025-01-04,248196.28
John John Fem,2025-01-05,196917.06
John John Fem,2025-01-06,172373.0
John John Fem,2025-01-07,172518.9
John John Fem,2025-01-08,271235.62
John John Fem,2025-01-09,372508.5
John John Fem,2025-01-10,275539.34
John John Fem,2025-01-11,425516.78
John John Fem,2025-01-12,204437.78
John John Fem,2025-01-13,206509.73
John John Fem,2025-01-14,251708.92
John John Fem,2025-01-15,234506.2
John John Fem,2025-01-16,255119.78
John John Fem,2025-01-17,269335.3
John John Fem,2025-01-18,279157.03
John John Fem,2025-01-19,105405.54
John John Fem,2025-01-20,177125.45
John John Fem,2025-01-21,223403.25
John John Fem,2025-01-22,206801.55
John John Fem,2025-01-23,205961.4
John John Fem,2025-01-24,145569.17
John John Fem,2025-01-25,238411.98
John John Fem,2025-01-26,161491.16
John John Fem,2025-01-27,146401.78
John John Fem,2025-01-28,55261.383
John John Fem,2025-01-29,145585.44
John John Fem,2025-01-30,207261.16
John John Fem,2025-01-31,205271.48
John John Fem,2025-02-01,236171.94
John John Fem,2025-02-02,136025.38
John John Fem,2025-02-03,148428.44
John John Fem,2025-02-04,90944.41
John John Fem,2025-02-05,102301.96
John John Fem,2025-02-06,173054.12
John John Fem,2025-02-07,236817.89
John John Fem,2025-02-08,331347.8
John John Fem,2025-02-09,220776.52
John John Fem,2025-02-10,232432.36
John John Fem,2025-02-11,187430.4
John John Fem,2025-02-12,191992.14
John John Fem,2025-02-13,138635.73
John John Fem,2025-02-14,340089.88
John John Fem,2025-02-15,310776.06
John John Fem,2025-02-16,196048.58
John John Fem,2025-02-17,93123.72
John John Fem,2025-02-18,152099.53
John John Fem,2025-02-19,139008.19
John John Fem,2025-02-20,136487.78
John John Fem,2025-02-21,215325.4
John John Fem,2025-02-22,266501.38
John John Fem,2025-02-23,125507.34
John John Fem,2025-02-24,143335.28
John John Fem,2025-02-25,150853.52
John John Fem,2025-02-26,145009.36
John John Fem,2025-02-27,163908.22
John John Fem,2025-02-28,243869.66
John John Fem,2025-03-01,166744.92
John John Fem,2025-03-02,102758.4
John John Fem,2025-03-03,72620.516
John John Fem,2025-03-04,61485.492
John John Fem,2025-03-05,107946.31
John John Fem,2025-03-06,106851.25
John John Fem,2025-03-07,108642.87
John John Fem,2025-03-08,250625.56
John John Fem,2025-03-09,118317.58
John John Fem,2025-03-10,76688.26
John John Fem,2025-03-11,122982.29
John John Fem,2025-03-12,81481.57
John John Fem,2025-03-13,147625.53
John John Fem,2025-03-14,173343.98
John John Fem,2025-03-15,302935.84
John John Fem,2025-03-16,147380.98
John John Fem,2025-03-17,100763.56
John John Fem,2025-03-18,136318.78
John John Fem,2025-03-19,127325.2
John John Fem,2025-03-20,207577.81
John John Fem,2025-03-21,153975.1
John John Fem,2025-03-22,351350.0
John John Fem,2025-03-23,152314.64
John John Fem,2025-03-24,101790.28
John John Fem,2025-03-25,93005.72
John John Fem,2025-03-26,135464.31
John John Fem,2025-03-27,198493.92
John John Fem,2025-03-28,203161.88
John John Fem,2025-03-29,340327.7
John John Fem,2025-03-30,143950.34
John John Fem,2025-03-31,136653.39
John John Fem,2025-04-01,119163.58
John John Fem,2025-04-02,131836.62
John John Fem,2025-04-03,193289.0
John John Fem,2025-04-04,195228.23
John John Fem,2025-04-05,342591.3
John John Fem,2025-04-06,168329.03
John John Fem,2025-04-07,118442.41
John John Fem,2025-04-08,118610.625
John John Fem,2025-04-09,131385.67
John John Fem,2025-04-10,141319.23
John John Fem,2025-04-11,203823.81
John John Fem,2025-04-12,330287.3
John John Fem,2025-04-13,113743.14
John John Fem,2025-04-14,120660.766
John John Fem,2025-04-15,128191.66
John John Fem,2025-04-16,161441.5
John John Fem,2025-04-17,151928.61
John John Fem,2025-04-18,76926.73
