unique_id,ds,GRU
John John Fem,2025-01-01,-30476.406
John John Fem,2025-01-02,129603.66
John John Fem,2025-01-03,151632.12
John John Fem,2025-01-04,166290.66
John John Fem,2025-01-05,75682.9
John John Fem,2025-01-06,142148.92
John John Fem,2025-01-07,148283.08
John John Fem,2025-01-08,232636.5
John John Fem,2025-01-09,270080.3
John John Fem,2025-01-10,242947.8
John John Fem,2025-01-11,350938.28
John John Fem,2025-01-12,189997.45
John John Fem,2025-01-13,200778.08
John John Fem,2025-01-14,231811.16
John John Fem,2025-01-15,205212.19
John John Fem,2025-01-16,255186.86
John John Fem,2025-01-17,167793.88
John John Fem,2025-01-18,239157.36
John John Fem,2025-01-19,208054.08
John John Fem,2025-01-20,216892.48
John John Fem,2025-01-21,197546.33
John John Fem,2025-01-22,136931.42
John John Fem,2025-01-23,169412.12
John John Fem,2025-01-24,152764.6
John John Fem,2025-01-25,147517.22
John John Fem,2025-01-26,105386.46
John John Fem,2025-01-27,156348.0
John John Fem,2025-01-28,112652.05
John John Fem,2025-01-29,144088.75
John John Fem,2025-01-30,237349.23
John John Fem,2025-01-31,149575.27
John John Fem,2025-02-01,247948.9
John John Fem,2025-02-02,181026.2
John John Fem,2025-02-03,176651.38
John John Fem,2025-02-04,122393.695
John John Fem,2025-02-05,112336.875
John John Fem,2025-02-06,131613.47
John John Fem,2025-02-07,142724.69
John John Fem,2025-02-08,417747.75
John John Fem,2025-02-09,171699.94
John John Fem,2025-02-10,124285.99
John John Fem,2025-02-11,144367.88
John John Fem,2025-02-12,104030.805
John John Fem,2025-02-13,186398.2
John John Fem,2025-02-14,219148.3
John John Fem,2025-02-15,251271.44
John John Fem,2025-02-16,93189.586
John John Fem,2025-02-17,50293.42
John John Fem,2025-02-18,107129.445
John John Fem,2025-02-19,116550.266
John John Fem,2025-02-20,151922.77
John John Fem,2025-02-21,85023.1
John John Fem,2025-02-22,203111.05
John John Fem,2025-02-23,133525.05
John John Fem,2025-02-24,123744.734
John John Fem,2025-02-25,92384.16
John John Fem,2025-02-26,148962.84
John John Fem,2025-02-27,159445.02
John John Fem,2025-02-28,158922.17
John John Fem,2025-03-01,175071.11
John John Fem,2025-03-02,73761.21
John John Fem,2025-03-03,95324.766
John John Fem,2025-03-04,89491.81
John John Fem,2025-03-05,104596.305
John John Fem,2025-03-06,110727.74
John John Fem,2025-03-07,129200.0
John John Fem,2025-03-08,212812.62
John John Fem,2025-03-09,109034.586
John John Fem,2025-03-10,76809.72
John John Fem,2025-03-11,126914.516
John John Fem,2025-03-12,67129.52
John John Fem,2025-03-13,145913.02
John John Fem,2025-03-14,114273.83
John John Fem,2025-03-15,273725.16
John John Fem,2025-03-16,166804.56
John John Fem,2025-03-17,173528.22
John John Fem,2025-03-18,107957.6
John John Fem,2025-03-19,94770.4
John John Fem,2025-03-20,143282.73
John John Fem,2025-03-21,157303.42
John John Fem,2025-03-22,232061.83
John John Fem,2025-03-23,122928.31
John John Fem,2025-03-24,95726.086
John John Fem,2025-03-25,52085.64
John John Fem,2025-03-26,124033.56
John John Fem,2025-03-27,86555.016
John John Fem,2025-03-28,173985.02
John John Fem,2025-03-29,207807.06
John John Fem,2025-03-30,152201.05
John John Fem,2025-03-31,91494.586
John John Fem,2025-04-01,62703.33
John John Fem,2025-04-02,118753.38
John John Fem,2025-04-03,189888.28
John John Fem,2025-04-04,224320.9
John John Fem,2025-04-05,313035.84
John John Fem,2025-04-06,106087.89
John John Fem,2025-04-07,29179.375
John John Fem,2025-04-08,101565.64
John John Fem,2025-04-09,80922.25
John John Fem,2025-04-10,140182.25
John John Fem,2025-04-11,175653.64
John John Fem,2025-04-12,360957.8
John John Fem,2025-04-13,33822.438
John John Fem,2025-04-14,60336.08
John John Fem,2025-04-15,173393.14
John John Fem,2025-04-16,199086.72
John John Fem,2025-04-17,161969.03
John John Fem,2025-04-18,62667.17
John John Fem,2025-04-19,153448.81
John John Fem,2025-04-20,38335.312
John John Fem,2025-04-21,140163.86
John John Fem,2025-04-22,73025.45
John John Fem,2025-04-23,76503.62
John John Fem,2025-04-24,152168.88
John John Fem,2025-04-25,59231.867
John John Fem,2025-04-26,238950.77
John John Fem,2025-04-27,165963.9
John John Fem,2025-04-28,63200.14
John John Fem,2025-04-29,102598.27
John John Fem,2025-04-30,196295.95
John John Fem,2025-05-01,70603.55
John John Fem,2025-05-02,284703.3
John John Fem,2025-05-03,262951.38
John John Fem,2025-05-04,125219.72
John John Fem,2025-05-05,141679.1
John John Fem,2025-05-06,78843.13
John John Fem,2025-05-07,123294.17
John John Fem,2025-05-08,115755.3
John John Fem,2025-05-09,213207.36
John John Fem,2025-05-10,290409.38
John John Fem,2025-05-11,120137.11
John John Fem,2025-05-12,66615.27
John John Fem,2025-05-13,121318.42
John John Fem,2025-05-14,72157.31
John John Fem,2025-05-15,123769.49
John John Fem,2025-05-16,206205.98
John John Fem,2025-05-17,320053.25
John John Fem,2025-05-18,115154.78
John John Fem,2025-05-19,85657.05
John John Fem,2025-05-20,140759.12
John John Fem,2025-05-21,160699.17
John John Fem,2025-05-22,108009.125
John John Fem,2025-05-23,156133.75
John John Fem,2025-05-24,347713.84
John John Fem,2025-05-25,150379.94
John John Fem,2025-05-26,134545.36
John John Fem,2025-05-27,174119.8
John John Fem,2025-05-28,185141.7
John John Fem,2025-05-29,149668.12
John John Fem,2025-05-30,283050.97
John John Fem,2025-05-31,351530.4
John John Fem,2025-06-01,271565.75
John John Fem,2025-06-02,243467.38
John John Fem,2025-06-03,101654.84
John John Fem,2025-06-04,145996.92
John John Fem,2025-06-05,203647.64
John John Fem,2025-06-06,345894.2
John John Fem,2025-06-07,465436.3
John John Fem,2025-06-08,188791.4
John John Fem,2025-06-09,261564.34
John John Fem,2025-06-10,366088.0
John John Fem,2025-06-11,256078.5
John John Fem,2025-06-12,507946.0
John John Fem,2025-06-13,447708.56
John John Fem,2025-06-14,398256.2
John John Fem,2025-06-15,152339.98
John John Fem,2025-06-16,295368.66
John John Fem,2025-06-17,374187.75
John John Fem,2025-06-18,308048.38
John John Fem,2025-06-19,293514.6
John John Fem,2025-06-20,364612.16
John John Fem,2025-06-21,540908.44
John John Fem,2025-06-22,127595.56
John John Fem,2025-06-23,187608.97
John John Fem,2025-06-24,169971.2
John John Fem,2025-06-25,215856.58
John John Fem,2025-06-26,139154.94
John John Fem,2025-06-27,193406.98
John John Fem,2025-06-28,497400.3
John John Fem,2025-06-29,258729.44
John John Fem,2025-06-30,199040.83
John John Fem,2025-07-01,196292.72
John John Fem,2025-07-02,206790.05
John John Fem,2025-07-03,299725.4
John John Fem,2025-07-04,321861.0
John John Fem,2025-07-05,418527.94
John John Fem,2025-07-06,222253.66
John John Fem,2025-07-07,141477.92
John John Fem,2025-07-08,235032.2
John John Fem,2025-07-09,260010.22
John John Fem,2025-07-10,206478.86
John John Fem,2025-07-11,213559.14
John John Fem,2025-07-12,351345.0
John John Fem,2025-07-13,189922.28
John John Fem,2025-07-14,123051.14
John John Fem,2025-07-15,110644.336
John John Fem,2025-07-16,136300.03
John John Fem,2025-07-17,178427.02
John John Fem,2025-07-18,215173.4
John John Fem,2025-07-19,216570.97
John John Fem,2025-07-20,134165.7
John John Fem,2025-07-21,135075.89
John John Fem,2025-07-22,142194.16
John John Fem,2025-07-23,99075.81
John John Fem,2025-07-24,220296.66
John John Fem,2025-07-25,205644.95
John John Fem,2025-07-26,211892.1
John John Fem,2025-07-27,142741.23
John John Fem,2025-07-28,115124.33
John John Fem,2025-07-29,127106.78
John John Fem,2025-07-30,110274.81
John John Fem,2025-07-31,96950.7
John John Fem,2025-08-01,181431.48
John John Fem,2025-08-02,186488.62
John John Fem,2025-08-03,175113.19
John John Fem,2025-08-04,127607.91
John John Fem,2025-08-05,112018.09
John John Fem,2025-08-06,89251.48
John John Fem,2025-08-07,118104.37
John John Fem,2025-08-08,264186.97
John John Fem,2025-08-09,303301.2
John John Fem,2025-08-10,105490.57
John John Fem,2025-08-11,41929.938
John John Fem,2025-08-12,111352.95
John John Fem,2025-08-13,68402.04
John John Fem,2025-08-14,169244.67
John John Fem,2025-08-15,125709.19
John John Fem,2025-08-16,229923.52
John John Fem,2025-08-17,124775.86
John John Fem,2025-08-18,97123.266
John John Fem,2025-08-19,128890.41
John John Fem,2025-08-20,161512.66
John John Fem,2025-08-21,104005.54
John John Fem,2025-08-22,178301.83
John John Fem,2025-08-23,324239.53
John John Fem,2025-08-24,108232.74
John John Fem,2025-08-25,97634.12
John John Fem,2025-08-26,131785.55
John John Fem,2025-08-27,93497.33
John John Fem,2025-08-28,146822.1
John John Fem,2025-08-29,164049.28
John John Fem,2025-08-30,260569.9
John John Fem,2025-08-31,194838.56
John John Fem,2025-09-01,101948.81
John John Fem,2025-09-02,117929.83
John John Fem,2025-09-03,86543.29
John John Fem,2025-09-04,175232.53
John John Fem,2025-09-05,220981.38
John John Fem,2025-09-06,354616.3
John John Fem,2025-09-07,164381.8
John John Fem,2025-09-08,170222.97
John John Fem,2025-09-09,163594.22
John John Fem,2025-09-10,156067.22
John John Fem,2025-09-11,146915.62
John John Fem,2025-09-12,250773.9
John John Fem,2025-09-13,408705.34
John John Fem,2025-09-14,122041.58
John John Fem,2025-09-15,115895.625
John John Fem,2025-09-16,193672.12
John John Fem,2025-09-17,172959.0
John John Fem,2025-09-18,202313.03
John John Fem,2025-09-19,217484.78
John John Fem,2025-09-20,373863.75
John John Fem,2025-09-21,153385.98
John John Fem,2025-09-22,134874.5
John John Fem,2025-09-23,164736.7
John John Fem,2025-09-24,138070.12
John John Fem,2025-09-25,188712.83
John John Fem,2025-09-26,199893.7
John John Fem,2025-09-27,285842.12
John John Fem,2025-09-28,127887.875
John John Fem,2025-09-29,150887.77
John John Fem,2025-09-30,120695.67
John John Fem,2025-10-01,74777.266
John John Fem,2025-10-02,161799.61
John John Fem,2025-10-03,175360.47
John John Fem,2025-10-04,294892.3
John John Fem,2025-10-05,156005.95
John John Fem,2025-10-06,125689.34
John John Fem,2025-10-07,167878.62
John John Fem,2025-10-08,144029.88
John John Fem,2025-10-09,209711.9
John John Fem,2025-10-10,218598.36
John John Fem,2025-10-11,391826.6
John John Fem,2025-10-12,199992.75
John John Fem,2025-10-13,178303.69
John John Fem,2025-10-14,156840.95
John John Fem,2025-10-15,184064.47
John John Fem,2025-10-16,163147.7
John John Fem,2025-10-17,236731.44
John John Fem,2025-10-18,257525.12
John John Fem,2025-10-19,196445.73
John John Fem,2025-10-20,139233.31
John John Fem,2025-10-21,177169.2
John John Fem,2025-10-22,154691.31
John John Fem,2025-10-23,203374.92
John John Fem,2025-10-24,245693.9
John John Fem,2025-10-25,387386.8
John John Fem,2025-10-26,179468.23
John John Fem,2025-10-27,133833.5
John John Fem,2025-10-28,100901.51
John John Fem,2025-10-29,156926.72
John John Fem,2025-10-30,197276.14
John John Fem,2025-10-31,284412.4
John John Fem,2025-11-01,364640.62
John John Fem,2025-11-02,183058.69
John John Fem,2025-11-03,189970.47
John John Fem,2025-11-04,161971.0
John John Fem,2025-11-05,187488.61
John John Fem,2025-11-06,247101.62
John John Fem,2025-11-07,331524.25
John John Fem,2025-11-08,336853.7
John John Fem,2025-11-09,228771.67
John John Fem,2025-11-10,156036.34
John John Fem,2025-11-11,216392.23
John John Fem,2025-11-12,236771.02
John John Fem,2025-11-13,173227.92
John John Fem,2025-11-14,265020.12
John John Fem,2025-11-15,377481.84
John John Fem,2025-11-16,247700.77
John John Fem,2025-11-17,186581.67
John John Fem,2025-11-18,135681.27
John John Fem,2025-11-19,309400.5
John John Fem,2025-11-20,192782.31
John John Fem,2025-11-21,217649.52
John John Fem,2025-11-22,373451.84
John John Fem,2025-11-23,225160.08
John John Fem,2025-11-24,71314.22
John John Fem,2025-11-25,190775.92
John John Fem,2025-11-26,218227.83
John John Fem,2025-11-27,341670.8
John John Fem,2025-11-28,818935.25
John John Fem,2025-11-29,521325.3
John John Fem,2025-11-30,331883.4
John John Fem,2025-12-01,192473.6
John John Fem,2025-12-02,188793.92
John John Fem,2025-12-03,161059.86
John John Fem,2025-12-04,186958.83
John John Fem,2025-12-05,193702.19
John John Fem,2025-12-06,408657.16
John John Fem,2025-12-07,198316.77
John John Fem,2025-12-08,214605.97
John John Fem,2025-12-09,204954.36
John John Fem,2025-12-10,257304.86
John John Fem,2025-12-11,304410.8
John John Fem,2025-12-12,287195.2
John John Fem,2025-12-13,394284.16
John John Fem,2025-12-14,375386.56
John John Fem,2025-12-15,309676.38
John John Fem,2025-12-16,439834.75
John John Fem,2025-12-17,523093.5
John John Fem,2025-12-18,572042.44
John John Fem,2025-12-19,559727.6
John John Fem,2025-12-20,745525.94
John John Fem,2025-12-21,526588.56
John John Fem,2025-12-22,737012.3
John John Fem,2025-12-23,849757.0
John John Fem,2025-12-24,762887.9
John John Fem,2025-12-25,117411.47
John John Fem,2025-12-26,410898.16
John John Fem,2025-12-27,374862.44
John John Fem,2025-12-28,241506.14
John John Fem,2025-12-29,346022.75
John John Fem,2025-12-30,331654.44
John John Fem,2025-12-31,308737.47
John John Masc,2025-01-01,-2799.1328
John John Masc,2025-01-02,93933.91
John John Masc,2025-01-03,123007.375
John John Masc,2025-01-04,126151.09
John John Masc,2025-01-05,97999.734
John John Masc,2025-01-06,106507.46
John John Masc,2025-01-07,116251.64
John John Masc,2025-01-08,201855.84
John John Masc,2025-01-09,226386.8
John John Masc,2025-01-10,192896.25
John John Masc,2025-01-11,303936.16
John John Masc,2025-01-12,150957.69
John John Masc,2025-01-13,136432.0
John John Masc,2025-01-14,182423.0
John John Masc,2025-01-15,152826.89
John John Masc,2025-01-16,179618.38
John John Masc,2025-01-17,128907.055
John John Masc,2025-01-18,208139.2
John John Masc,2025-01-19,151648.95
John John Masc,2025-01-20,148118.33
John John Masc,2025-01-21,152006.36
John John Masc,2025-01-22,121957.414
John John Masc,2025-01-23,114306.86
John John Masc,2025-01-24,91958.51
John John Masc,2025-01-25,134889.75
John John Masc,2025-01-26,67942.28
John John Masc,2025-01-27,93561.25
John John Masc,2025-01-28,68069.42
John John Masc,2025-01-29,112968.52
John John Masc,2025-01-30,157654.92
John John Masc,2025-01-31,120768.04
John John Masc,2025-02-01,215190.38
John John Masc,2025-02-02,148743.83
John John Masc,2025-02-03,107136.71
John John Masc,2025-02-04,86753.97
John John Masc,2025-02-05,62337.805
John John Masc,2025-02-06,89879.99
John John Masc,2025-02-07,123022.65
John John Masc,2025-02-08,334678.53
John John Masc,2025-02-09,156962.73
John John Masc,2025-02-10,94910.57
