unique_id,ds,GRU
John John Masc,2025-01-01,19266.602
John John Masc,2025-01-02,129539.07
John John Masc,2025-01-03,106947.97
John John Masc,2025-01-04,184311.97
John John Masc,2025-01-05,155140.86
John John Masc,2025-01-06,113997.68
John John Masc,2025-01-07,130429.94
John John Masc,2025-01-08,163278.83
John John Masc,2025-01-09,208741.97
John John Masc,2025-01-10,157929.44
John John Masc,2025-01-11,303919.1
John John Masc,2025-01-12,164064.78
John John Masc,2025-01-13,111983.516
John John Masc,2025-01-14,154442.12
John John Masc,2025-01-15,155932.84
John John Masc,2025-01-16,120776.31
John John Masc,2025-01-17,164667.6
John John Masc,2025-01-18,234342.2
John John Masc,2025-01-19,107133.59
John John Masc,2025-01-20,106502.89
John John Masc,2025-01-21,114590.0
John John Masc,2025-01-22,152008.22
John John Masc,2025-01-23,126367.74
John John Masc,2025-01-24,95551.195
John John Masc,2025-01-25,135599.48
John John Masc,2025-01-26,100907.766
John John Masc,2025-01-27,94971.14
John John Masc,2025-01-28,69299.54
John John Masc,2025-01-29,97060.055
John John Masc,2025-01-30,88842.375
John John Masc,2025-01-31,164826.3
John John Masc,2025-02-01,214279.97
John John Masc,2025-02-02,130694.19
John John Masc,2025-02-03,99568.47
John John Masc,2025-02-04,109735.805
John John Masc,2025-02-05,100337.83
John John Masc,2025-02-06,99434.77
John John Masc,2025-02-07,162943.53
John John Masc,2025-02-08,316236.97
John John Masc,2025-02-09,149595.97
John John Masc,2025-02-10,94198.64
John John Masc,2025-02-11,137005.72
John John Masc,2025-02-12,115065.445
John John Masc,2025-02-13,150959.58
John John Masc,2025-02-14,149762.1
John John Masc,2025-02-15,208429.78
John John Masc,2025-02-16,91084.336
John John Masc,2025-02-17,88857.28
John John Masc,2025-02-18,99120.46
John John Masc,2025-02-19,95465.2
John John Masc,2025-02-20,92028.734
John John Masc,2025-02-21,107478.26
John John Masc,2025-02-22,172320.97
John John Masc,2025-02-23,88501.016
John John Masc,2025-02-24,86030.67
John John Masc,2025-02-25,74001.42
John John Masc,2025-02-26,88788.46
John John Masc,2025-02-27,114178.29
John John Masc,2025-02-28,157356.44
John John Masc,2025-03-01,130242.63
John John Masc,2025-03-02,64288.754
John John Masc,2025-03-03,70946.96
John John Masc,2025-03-04,52339.742
John John Masc,2025-03-05,62497.938
John John Masc,2025-03-06,70317.93
John John Masc,2025-03-07,107271.3
John John Masc,2025-03-08,212471.94
John John Masc,2025-03-09,79213.74
John John Masc,2025-03-10,55704.457
John John Masc,2025-03-11,69604.53
John John Masc,2025-03-12,59275.77
John John Masc,2025-03-13,93552.125
John John Masc,2025-03-14,125818.68
John John Masc,2025-03-15,205419.84
John John Masc,2025-03-16,88640.66
John John Masc,2025-03-17,70974.33
John John Masc,2025-03-18,81486.45
John John Masc,2025-03-19,47433.953
John John Masc,2025-03-20,102669.18
John John Masc,2025-03-21,127958.734
John John Masc,2025-03-22,228424.95
John John Masc,2025-03-23,94955.375
John John Masc,2025-03-24,82754.97
John John Masc,2025-03-25,69232.22
