unique_id,ds,GRU
Le Lis Beaute,2025-01-01,-852.7656
Le Lis Beaute,2025-01-02,16483.459
Le Lis Beaute,2025-01-03,19596.092
Le Lis Beaute,2025-01-04,32792.836
Le Lis Beaute,2025-01-05,17055.307
Le Lis Beaute,2025-01-06,14776.223
Le Lis Beaute,2025-01-07,42934.617
Le Lis Beaute,2025-01-08,83671.45
Le Lis Beaute,2025-01-09,79579.3
Le Lis Beaute,2025-01-10,61004.07
Le Lis Beaute,2025-01-11,83778.59
Le Lis Beaute,2025-01-12,45181.695
Le Lis Beaute,2025-01-13,46404.57
Le Lis Beaute,2025-01-14,45826.25
Le Lis Beaute,2025-01-15,53676.867
Le Lis Beaute,2025-01-16,45692.867
Le Lis Beaute,2025-01-17,51976.76
Le Lis Beaute,2025-01-18,67150.36
Le Lis Beaute,2025-01-19,23829.324
Le Lis Beaute,2025-01-20,26467.578
Le Lis Beaute,2025-01-21,36272.434
Le Lis Beaute,2025-01-22,28539.531
Le Lis Beaute,2025-01-23,27343.082
Le Lis Beaute,2025-01-24,35273.99
Le Lis Beaute,2025-01-25,42588.625
Le Lis Beaute,2025-01-26,20496.586
Le Lis Beaute,2025-01-27,26887.691
Le Lis Beaute,2025-01-28,33521.746
Le Lis Beaute,2025-01-29,35845.164
Le Lis Beaute,2025-01-30,28501.38
Le Lis Beaute,2025-01-31,51520.867
Le Lis Beaute,2025-02-01,41158.01
Le Lis Beaute,2025-02-02,13896.543
Le Lis Beaute,2025-02-03,19602.887
Le Lis Beaute,2025-02-04,22617.42
Le Lis Beaute,2025-02-05,28192.035
Le Lis Beaute,2025-02-06,30564.04
Le Lis Beaute,2025-02-07,25943.508
Le Lis Beaute,2025-02-08,38871.527
Le Lis Beaute,2025-02-09,13643.947
Le Lis Beaute,2025-02-10,16753.502
Le Lis Beaute,2025-02-11,23110.986
Le Lis Beaute,2025-02-12,17298.79
Le Lis Beaute,2025-02-13,27706.637
Le Lis Beaute,2025-02-14,37497.69
Le Lis Beaute,2025-02-15,39397.387
Le Lis Beaute,2025-02-16,19657.625
Le Lis Beaute,2025-02-17,11699.746
Le Lis Beaute,2025-02-18,18430.93
Le Lis Beaute,2025-02-19,22577.041
Le Lis Beaute,2025-02-20,28132.457
Le Lis Beaute,2025-02-21,27466.188
Le Lis Beaute,2025-02-22,38976.703
Le Lis Beaute,2025-02-23,13774.154
Le Lis Beaute,2025-02-24,20788.49
Le Lis Beaute,2025-02-25,25701.943
Le Lis Beaute,2025-02-26,28675.863
Le Lis Beaute,2025-02-27,27882.586
Le Lis Beaute,2025-02-28,25694.896
Le Lis Beaute,2025-03-01,24864.816
Le Lis Beaute,2025-03-02,4216.4824
Le Lis Beaute,2025-03-03,13369.169
Le Lis Beaute,2025-03-04,10622.77
Le Lis Beaute,2025-03-05,23486.164
Le Lis Beaute,2025-03-06,12178.178
Le Lis Beaute,2025-03-07,25014.018
Le Lis Beaute,2025-03-08,43584.48
Le Lis Beaute,2025-03-09,16862.486
Le Lis Beaute,2025-03-10,20365.594
Le Lis Beaute,2025-03-11,19846.512
Le Lis Beaute,2025-03-12,16450.54
Le Lis Beaute,2025-03-13,26798.406
Le Lis Beaute,2025-03-14,39393.03
Le Lis Beaute,2025-03-15,36159.31
Le Lis Beaute,2025-03-16,13131.406
Le Lis Beaute,2025-03-17,14990.139
Le Lis Beaute,2025-03-18,21162.19
Le Lis Beaute,2025-03-19,22431.568
