unique_id,ds,GRU
Le Lis Casa,2025-01-01,-13266.098
Le Lis Casa,2025-01-02,28450.725
Le Lis Casa,2025-01-03,10761.832
Le Lis Casa,2025-01-04,52894.145
Le Lis Casa,2025-01-05,9890.109
Le Lis Casa,2025-01-06,74628.59
Le Lis Casa,2025-01-07,96715.72
Le Lis Casa,2025-01-08,328246.12
Le Lis Casa,2025-01-09,181557.42
Le Lis Casa,2025-01-10,129731.06
Le Lis Casa,2025-01-11,173934.4
Le Lis Casa,2025-01-12,39545.918
Le Lis Casa,2025-01-13,100476.92
Le Lis Casa,2025-01-14,111515.58
Le Lis Casa,2025-01-15,109185.766
Le Lis Casa,2025-01-16,40971.93
Le Lis Casa,2025-01-17,137942.02
Le Lis Casa,2025-01-18,82708.62
Le Lis Casa,2025-01-19,24441.887
Le Lis Casa,2025-01-20,29625.143
Le Lis Casa,2025-01-21,98241.16
Le Lis Casa,2025-01-22,51995.63
Le Lis Casa,2025-01-23,43173.81
Le Lis Casa,2025-01-24,62986.695
Le Lis Casa,2025-01-25,71056.58
Le Lis Casa,2025-01-26,64255.516
Le Lis Casa,2025-01-27,88443.14
Le Lis Casa,2025-01-28,135506.12
Le Lis Casa,2025-01-29,59499.02
Le Lis Casa,2025-01-30,49905.39
Le Lis Casa,2025-01-31,95800.32
Le Lis Casa,2025-02-01,72903.78
Le Lis Casa,2025-02-02,22902.262
Le Lis Casa,2025-02-03,55167.86
Le Lis Casa,2025-02-04,47919.836
Le Lis Casa,2025-02-05,50557.67
Le Lis Casa,2025-02-06,117028.875
Le Lis Casa,2025-02-07,105955.92
Le Lis Casa,2025-02-08,128675.8
Le Lis Casa,2025-02-09,47335.754
Le Lis Casa,2025-02-10,56111.305
Le Lis Casa,2025-02-11,89811.33
Le Lis Casa,2025-02-12,41607.54
Le Lis Casa,2025-02-13,24469.973
Le Lis Casa,2025-02-14,47094.035
Le Lis Casa,2025-02-15,40938.875
Le Lis Casa,2025-02-16,38628.273
Le Lis Casa,2025-02-17,20988.352
Le Lis Casa,2025-02-18,34437.59
Le Lis Casa,2025-02-19,28739.299
Le Lis Casa,2025-02-20,44875.523
Le Lis Casa,2025-02-21,56728.97
Le Lis Casa,2025-02-22,57714.156
Le Lis Casa,2025-02-23,15301.27
Le Lis Casa,2025-02-24,41137.457
Le Lis Casa,2025-02-25,42952.66
Le Lis Casa,2025-02-26,57802.21
Le Lis Casa,2025-02-27,74275.875
Le Lis Casa,2025-02-28,82861.8
Le Lis Casa,2025-03-01,45253.195
Le Lis Casa,2025-03-02,3500.7188
Le Lis Casa,2025-03-03,11391.977
Le Lis Casa,2025-03-04,11776.336
Le Lis Casa,2025-03-05,25667.29
Le Lis Casa,2025-03-06,18155.271
Le Lis Casa,2025-03-07,47249.97
Le Lis Casa,2025-03-08,42366.22
Le Lis Casa,2025-03-09,29192.932
Le Lis Casa,2025-03-10,42672.24
Le Lis Casa,2025-03-11,50998.586
Le Lis Casa,2025-03-12,31902.984
Le Lis Casa,2025-03-13,74580.0
Le Lis Casa,2025-03-14,128587.06
Le Lis Casa,2025-03-15,163055.95
Le Lis Casa,2025-03-16,85182.484
Le Lis Casa,2025-03-17,82256.09
Le Lis Casa,2025-03-18,20006.408
Le Lis Casa,2025-03-19,83862.88
Le Lis Casa,2025-03-20,119362.11
Le Lis Casa,2025-03-21,164673.67
Le Lis Casa,2025-03-22,144585.8
Le Lis Casa,2025-03-23,53282.12
Le Lis Casa,2025-03-24,104841.09
Le Lis Casa,2025-03-25,39951.344
Le Lis Casa,2025-03-26,48640.51
Le Lis Casa,2025-03-27,117105.67
Le Lis Casa,2025-03-28,130871.67
Le Lis Casa,2025-03-29,161552.19
Le Lis Casa,2025-03-30,28092.344
Le Lis Casa,2025-03-31,58064.91
Le Lis Casa,2025-04-01,76018.414
Le Lis Casa,2025-04-02,57561.22
Le Lis Casa,2025-04-03,64894.527
