unique_id,ds,GRU
Le Lis Blanc Deux,2025-01-01,162846.44
Le Lis Blanc Deux,2025-01-02,800585.94
Le Lis Blanc Deux,2025-01-03,3034208.5
Le Lis Blanc Deux,2025-01-04,1636404.2
Le Lis Blanc Deux,2025-01-05,1103518.6
Le Lis Blanc Deux,2025-01-06,1327035.5
Le Lis Blanc Deux,2025-01-07,3099486.0
Le Lis Blanc Deux,2025-01-08,5777051.0
Le Lis Blanc Deux,2025-01-09,4030585.5
Le Lis Blanc Deux,2025-01-10,2835458.5
Le Lis Blanc Deux,2025-01-11,3774624.0
Le Lis Blanc Deux,2025-01-12,1829797.8
Le Lis Blanc Deux,2025-01-13,2113622.2
Le Lis Blanc Deux,2025-01-14,2766063.0
Le Lis Blanc Deux,2025-01-15,2812682.5
Le Lis Blanc Deux,2025-01-16,1160290.8
Le Lis Blanc Deux,2025-01-17,2230886.5
Le Lis Blanc Deux,2025-01-18,2094951.5
Le Lis Blanc Deux,2025-01-19,878616.6
Le Lis Blanc Deux,2025-01-20,1664971.8
Le Lis Blanc Deux,2025-01-21,1350234.6
Le Lis Blanc Deux,2025-01-22,1067472.4
Le Lis Blanc Deux,2025-01-23,2259001.5
Le Lis Blanc Deux,2025-01-24,2244977.5
Le Lis Blanc Deux,2025-01-25,2561131.2
Le Lis Blanc Deux,2025-01-26,865861.0
Le Lis Blanc Deux,2025-01-27,1253188.8
Le Lis Blanc Deux,2025-01-28,2089462.0
Le Lis Blanc Deux,2025-01-29,1988125.0
Le Lis Blanc Deux,2025-01-30,1514850.2
Le Lis Blanc Deux,2025-01-31,2046479.0
Le Lis Blanc Deux,2025-02-01,1931584.0
Le Lis Blanc Deux,2025-02-02,656529.1
Le Lis Blanc Deux,2025-02-03,818780.9
Le Lis Blanc Deux,2025-02-04,1546917.1
Le Lis Blanc Deux,2025-02-05,1908823.5
Le Lis Blanc Deux,2025-02-06,1777727.8
Le Lis Blanc Deux,2025-02-07,2129257.8
Le Lis Blanc Deux,2025-02-08,2437520.5
Le Lis Blanc Deux,2025-02-09,763413.5
Le Lis Blanc Deux,2025-02-10,1228009.6
Le Lis Blanc Deux,2025-02-11,1436221.9
Le Lis Blanc Deux,2025-02-12,1140910.2
Le Lis Blanc Deux,2025-02-13,1542289.6
Le Lis Blanc Deux,2025-02-14,1832478.5
Le Lis Blanc Deux,2025-02-15,1875644.9
Le Lis Blanc Deux,2025-02-16,868002.1
Le Lis Blanc Deux,2025-02-17,962591.75
Le Lis Blanc Deux,2025-02-18,1401078.1
Le Lis Blanc Deux,2025-02-19,1300141.5
Le Lis Blanc Deux,2025-02-20,1405413.1
Le Lis Blanc Deux,2025-02-21,1466337.8
Le Lis Blanc Deux,2025-02-22,2178432.0
Le Lis Blanc Deux,2025-02-23,628538.0
Le Lis Blanc Deux,2025-02-24,884901.4
Le Lis Blanc Deux,2025-02-25,1509585.9
Le Lis Blanc Deux,2025-02-26,1007217.75
Le Lis Blanc Deux,2025-02-27,1313361.8
Le Lis Blanc Deux,2025-02-28,1690133.5
Le Lis Blanc Deux,2025-03-01,1056301.8
Le Lis Blanc Deux,2025-03-02,515322.7
