mes_ano,Le Lis Beaute,Le Lis Blanc Deux,Le Lis Casa,Le Lis Noir,Total
2025-01,1597461.8,87332780.0,3646141.2,11749.036,92588140.0
2025-02,878307.7,47467100.0,1872560.2,2379.421,50220348.0
2025-03,939727.44,49962284.0,2054517.8,5182.361,52961710.0
2025-04,897414.8,48125870.0,1945716.2,2695.2476,50971700.0
2025-05,1095554.9,58189276.0,2503447.5,8959.983,61797240.0
2025-06,1007635.6,54400440.0,2208804.8,3891.2644,57620772.0
2025-07,924284.9,49483930.0,1973015.8,2089.599,52383316.0
2025-08,947036.06,50841788.0,2011975.2,514.7472,53801316.0
2025-09,727463.4,37881856.0,1525193.9,81.79117,40134590.0
2025-10,713030.6,37315936.0,1427519.4,-2701.87,39453788.0
2025-11,776884.6,41337520.0,1600302.2,-3195.975,43711510.0
2025-12,2269455.5,125145340.0,5020306.5,6580.36,132441690.0
