unique_id,ds,GRU
Bobô,2025-01-01,155039.86
Bobô,2025-01-02,349787.22
Bobô,2025-01-03,404006.66
Bobô,2025-01-04,287579.78
Bobô,2025-01-05,115775.59
Bobô,2025-01-06,230692.34
Bobô,2025-01-07,277565.75
Bobô,2025-01-08,307763.62
Bobô,2025-01-09,375547.88
Bobô,2025-01-10,455361.3
Bobô,2025-01-11,419648.72
Bobô,2025-01-12,170297.69
Bobô,2025-01-13,268429.34
Bobô,2025-01-14,369492.22
Bobô,2025-01-15,424872.5
Bobô,2025-01-16,427028.56
Bobô,2025-01-17,470450.0
Bobô,2025-01-18,456182.38
Bobô,2025-01-19,195712.39
Bobô,2025-01-20,289528.3
Bobô,2025-01-21,294652.56
Bobô,2025-01-22,298212.97
Bobô,2025-01-23,323577.56
Bobô,2025-01-24,326237.44
Bobô,2025-01-25,330163.9
Bobô,2025-01-26,163869.95
Bobô,2025-01-27,286079.38
Bobô,2025-01-28,288453.56
Bobô,2025-01-29,292796.12
Bobô,2025-01-30,333959.62
Bobô,2025-01-31,304471.1
Bobô,2025-02-01,283148.5
Bobô,2025-02-02,153309.94
Bobô,2025-02-03,283185.6
Bobô,2025-02-04,311524.34
Bobô,2025-02-05,339308.47
Bobô,2025-02-06,371095.38
Bobô,2025-02-07,427508.5
Bobô,2025-02-08,529026.5
Bobô,2025-02-09,231959.75
Bobô,2025-02-10,500384.75
Bobô,2025-02-11,451050.1
Bobô,2025-02-12,428039.9
Bobô,2025-02-13,449376.38
Bobô,2025-02-14,552633.25
Bobô,2025-02-15,549936.6
Bobô,2025-02-16,233404.3
Bobô,2025-02-17,322690.1
Bobô,2025-02-18,336868.9
Bobô,2025-02-19,339490.25
Bobô,2025-02-20,368217.03
Bobô,2025-02-21,402134.5
Bobô,2025-02-22,388025.94
Bobô,2025-02-23,169466.84
Bobô,2025-02-24,308926.22
Bobô,2025-02-25,337057.12
Bobô,2025-02-26,363036.8
Bobô,2025-02-27,381898.0
Bobô,2025-02-28,448148.75
Bobô,2025-03-01,353171.38
Bobô,2025-03-02,202088.77
Bobô,2025-03-03,256850.31
Bobô,2025-03-04,217426.61
Bobô,2025-03-05,248496.94
Bobô,2025-03-06,300443.28
Bobô,2025-03-07,405184.16
Bobô,2025-03-08,401050.47
Bobô,2025-03-09,200617.88
Bobô,2025-03-10,371572.4
Bobô,2025-03-11,393849.66
Bobô,2025-03-12,387273.47
Bobô,2025-03-13,404313.34
Bobô,2025-03-14,480088.2
Bobô,2025-03-15,477640.7
Bobô,2025-03-16,231911.66
Bobô,2025-03-17,441648.44
Bobô,2025-03-18,490528.0
Bobô,2025-03-19,471225.06
Bobô,2025-03-20,480358.28
Bobô,2025-03-21,485409.3
Bobô,2025-03-22,469878.94
Bobô,2025-03-23,198403.9
Bobô,2025-03-24,308234.3
Bobô,2025-03-25,329345.12
Bobô,2025-03-26,375165.94
Bobô,2025-03-27,442508.44
Bobô,2025-03-28,443822.62
Bobô,2025-03-29,379926.38
Bobô,2025-03-30,170930.7
Bobô,2025-03-31,221436.89
Bobô,2025-04-01,217095.8
Bobô,2025-04-02,247641.12
Bobô,2025-04-03,287985.0
Bobô,2025-04-04,373971.1
Bobô,2025-04-05,418391.94
Bobô,2025-04-06,212910.52
Bobô,2025-04-07,358580.88
Bobô,2025-04-08,405653.1
Bobô,2025-04-09,402528.62
Bobô,2025-04-10,427562.75
Bobô,2025-04-11,481364.06
Bobô,2025-04-12,440650.25
Bobô,2025-04-13,195090.27
Bobô,2025-04-14,273742.4
Bobô,2025-04-15,287180.78
Bobô,2025-04-16,307762.97
Bobô,2025-04-17,298213.75
Bobô,2025-04-18,136564.3
Bobô,2025-04-19,300612.7
Bobô,2025-04-20,94434.08
Bobô,2025-04-21,211626.17
Bobô,2025-04-22,207478.55
Bobô,2025-04-23,247725.62
Bobô,2025-04-24,275674.72
Bobô,2025-04-25,322522.2
Bobô,2025-04-26,328758.38
Bobô,2025-04-27,153671.0
Bobô,2025-04-28,269039.6
Bobô,2025-04-29,322571.06
Bobô,2025-04-30,372050.5
Bobô,2025-05-01,271894.6
Bobô,2025-05-02,423154.78
Bobô,2025-05-03,403519.9
Bobô,2025-05-04,265389.94
Bobô,2025-05-05,275260.25
Bobô,2025-05-06,331359.2
Bobô,2025-05-07,334185.28
Bobô,2025-05-08,366652.75
Bobô,2025-05-09,501766.38
Bobô,2025-05-10,587659.25
Bobô,2025-05-11,152941.52
Bobô,2025-05-12,215370.9
Bobô,2025-05-13,265977.84
Bobô,2025-05-14,275697.4
Bobô,2025-05-15,296433.12
Bobô,2025-05-16,327803.9
Bobô,2025-05-17,357902.88
Bobô,2025-05-18,108451.42
Bobô,2025-05-19,251640.72
Bobô,2025-05-20,275151.28
Bobô,2025-05-21,309573.66
Bobô,2025-05-22,333603.94
Bobô,2025-05-23,326009.06
Bobô,2025-05-24,332578.84
Bobô,2025-05-25,159132.14
Bobô,2025-05-26,296537.5
Bobô,2025-05-27,297406.47
Bobô,2025-05-28,361213.47
Bobô,2025-05-29,330231.4
Bobô,2025-05-30,329352.4
Bobô,2025-05-31,389088.44
Bobô,2025-06-01,176185.53
Bobô,2025-06-02,352827.88
Bobô,2025-06-03,365976.53
Bobô,2025-06-04,345120.94
Bobô,2025-06-05,370159.78
Bobô,2025-06-06,443734.56
Bobô,2025-06-07,455433.12
Bobô,2025-06-08,215487.48
Bobô,2025-06-09,330298.1
Bobô,2025-06-10,364097.44
Bobô,2025-06-11,378126.0
Bobô,2025-06-12,397634.7
Bobô,2025-06-13,396386.38
Bobô,2025-06-14,333455.28
Bobô,2025-06-15,181571.31
Bobô,2025-06-16,478529.9
Bobô,2025-06-17,653461.5
Bobô,2025-06-18,501161.75
Bobô,2025-06-19,441851.8
Bobô,2025-06-20,425279.47
Bobô,2025-06-21,331808.62
Bobô,2025-06-22,190281.34
Bobô,2025-06-23,364980.44
Bobô,2025-06-24,459557.97
Bobô,2025-06-25,447377.8
Bobô,2025-06-26,434225.66
Bobô,2025-06-27,487565.56
Bobô,2025-06-28,443183.38
Bobô,2025-06-29,212382.81
Bobô,2025-06-30,340475.2
Bobô,2025-07-01,339120.28
Bobô,2025-07-02,295704.3
Bobô,2025-07-03,298869.8
Bobô,2025-07-04,357356.53
Bobô,2025-07-05,402140.62
Bobô,2025-07-06,149035.4
Bobô,2025-07-07,251511.34
Bobô,2025-07-08,299276.22
Bobô,2025-07-09,286117.8
Bobô,2025-07-10,267296.44
Bobô,2025-07-11,287676.97
Bobô,2025-07-12,289875.06
Bobô,2025-07-13,126868.875
Bobô,2025-07-14,227877.58
Bobô,2025-07-15,233635.16
Bobô,2025-07-16,266985.0
Bobô,2025-07-17,281670.3
Bobô,2025-07-18,314120.56
Bobô,2025-07-19,373956.78
Bobô,2025-07-20,171782.52
Bobô,2025-07-21,274333.66
Bobô,2025-07-22,286115.53
Bobô,2025-07-23,318033.2
Bobô,2025-07-24,296249.88
Bobô,2025-07-25,292548.34
Bobô,2025-07-26,325200.0
Bobô,2025-07-27,137703.4
Bobô,2025-07-28,229152.75
Bobô,2025-07-29,264940.75
Bobô,2025-07-30,301772.44
Bobô,2025-07-31,309244.94
Bobô,2025-08-01,265175.44
Bobô,2025-08-02,253364.56
Bobô,2025-08-03,125512.89
Bobô,2025-08-04,256150.7
Bobô,2025-08-05,261476.16
Bobô,2025-08-06,266264.9
Bobô,2025-08-07,286404.56
Bobô,2025-08-08,309265.62
Bobô,2025-08-09,287555.75
Bobô,2025-08-10,117830.53
Bobô,2025-08-11,277646.88
Bobô,2025-08-12,300563.22
Bobô,2025-08-13,308519.25
Bobô,2025-08-14,302342.06
Bobô,2025-08-15,357645.72
Bobô,2025-08-16,395486.34
Bobô,2025-08-17,172855.53
Bobô,2025-08-18,273377.6
Bobô,2025-08-19,299143.62
Bobô,2025-08-20,311580.25
Bobô,2025-08-21,299115.7
Bobô,2025-08-22,334290.06
Bobô,2025-08-23,391233.75
Bobô,2025-08-24,196164.75
Bobô,2025-08-25,292715.72
Bobô,2025-08-26,328885.8
Bobô,2025-08-27,336426.88
Bobô,2025-08-28,330451.84
Bobô,2025-08-29,379957.38
Bobô,2025-08-30,387291.03
Bobô,2025-08-31,148660.98
Bobô,2025-09-01,261914.2
Bobô,2025-09-02,245612.27
Bobô,2025-09-03,257025.78
Bobô,2025-09-04,281507.4
Bobô,2025-09-05,320980.78
Bobô,2025-09-06,298300.38
Bobô,2025-09-07,143970.66
Bobô,2025-09-08,383827.16
Bobô,2025-09-09,366299.12
Bobô,2025-09-10,353323.16
Bobô,2025-09-11,364676.88
Bobô,2025-09-12,386174.3
Bobô,2025-09-13,353161.25
Bobô,2025-09-14,148868.48
Bobô,2025-09-15,213023.1
Bobô,2025-09-16,224278.73
Bobô,2025-09-17,245632.55
Bobô,2025-09-18,263195.25
Bobô,2025-09-19,317446.97
Bobô,2025-09-20,367904.78
Bobô,2025-09-21,168257.55
Bobô,2025-09-22,244770.48
Bobô,2025-09-23,291297.0
Bobô,2025-09-24,282349.3
Bobô,2025-09-25,258916.38
Bobô,2025-09-26,276702.7
Bobô,2025-09-27,309729.5
Bobô,2025-09-28,145299.05
Bobô,2025-09-29,216189.67
Bobô,2025-09-30,256438.55
Bobô,2025-10-01,247691.69
Bobô,2025-10-02,240057.75
Bobô,2025-10-03,230403.55
Bobô,2025-10-04,232610.34
Bobô,2025-10-05,118292.734
Bobô,2025-10-06,160545.33
Bobô,2025-10-07,164587.81
Bobô,2025-10-08,187963.75
Bobô,2025-10-09,206493.64
Bobô,2025-10-10,218372.0
Bobô,2025-10-11,207315.28
Bobô,2025-10-12,158376.97
Bobô,2025-10-13,254378.55
Bobô,2025-10-14,244587.39
Bobô,2025-10-15,253640.56
Bobô,2025-10-16,270457.28
Bobô,2025-10-17,310368.6
Bobô,2025-10-18,308618.78
Bobô,2025-10-19,180432.88
Bobô,2025-10-20,260052.25
Bobô,2025-10-21,273428.25
Bobô,2025-10-22,277614.6
Bobô,2025-10-23,281752.78
Bobô,2025-10-24,307162.53
Bobô,2025-10-25,326045.7
Bobô,2025-10-26,170791.23
Bobô,2025-10-27,266053.28
Bobô,2025-10-28,272660.6
Bobô,2025-10-29,284784.38
Bobô,2025-10-30,300898.97
Bobô,2025-10-31,331666.8
Bobô,2025-11-01,240604.72
Bobô,2025-11-02,153411.17
Bobô,2025-11-03,301661.1
Bobô,2025-11-04,280757.34
Bobô,2025-11-05,272248.3
Bobô,2025-11-06,272290.3
Bobô,2025-11-07,298790.8
Bobô,2025-11-08,327692.8
Bobô,2025-11-09,192072.5
Bobô,2025-11-10,252062.23
Bobô,2025-11-11,273869.56
Bobô,2025-11-12,296529.9
Bobô,2025-11-13,290692.78
Bobô,2025-11-14,310839.66
Bobô,2025-11-15,285434.84
Bobô,2025-11-16,165828.0
Bobô,2025-11-17,272186.94
Bobô,2025-11-18,276591.22
