unique_id,ds,GRU
Dudalina Fem,2025-01-01,74625.6
Dudalina Fem,2025-01-02,180232.25
Dudalina Fem,2025-01-03,522398.25
Dudalina Fem,2025-01-04,506770.56
Dudalina Fem,2025-01-05,276158.12
Dudalina Fem,2025-01-06,296603.56
Dudalina Fem,2025-01-07,318174.12
Dudalina Fem,2025-01-08,302097.88
Dudalina Fem,2025-01-09,272039.2
Dudalina Fem,2025-01-10,266778.47
Dudalina Fem,2025-01-11,336204.25
Dudalina Fem,2025-01-12,187238.78
Dudalina Fem,2025-01-13,254152.1
Dudalina Fem,2025-01-14,269184.62
Dudalina Fem,2025-01-15,239433.56
Dudalina Fem,2025-01-16,212572.75
Dudalina Fem,2025-01-17,215016.12
Dudalina Fem,2025-01-18,238210.52
Dudalina Fem,2025-01-19,135722.81
Dudalina Fem,2025-01-20,198819.22
Dudalina Fem,2025-01-21,199448.66
Dudalina Fem,2025-01-22,181363.53
Dudalina Fem,2025-01-23,184185.73
Dudalina Fem,2025-01-24,203523.31
Dudalina Fem,2025-01-25,241424.9
Dudalina Fem,2025-01-26,147105.56
Dudalina Fem,2025-01-27,203566.62
Dudalina Fem,2025-01-28,205170.12
Dudalina Fem,2025-01-29,189072.62
Dudalina Fem,2025-01-30,187245.95
Dudalina Fem,2025-01-31,199779.17
Dudalina Fem,2025-02-01,210964.73
Dudalina Fem,2025-02-02,129791.92
Dudalina Fem,2025-02-03,169580.22
Dudalina Fem,2025-02-04,158311.2
Dudalina Fem,2025-02-05,144561.22
Dudalina Fem,2025-02-06,148784.19
Dudalina Fem,2025-02-07,160313.19
Dudalina Fem,2025-02-08,181939.8
Dudalina Fem,2025-02-09,125116.19
Dudalina Fem,2025-02-10,144980.33
Dudalina Fem,2025-02-11,153484.8
Dudalina Fem,2025-02-12,151124.64
Dudalina Fem,2025-02-13,134224.7
Dudalina Fem,2025-02-14,145633.23
Dudalina Fem,2025-02-15,217022.14
Dudalina Fem,2025-02-16,178034.5
Dudalina Fem,2025-02-17,183461.12
Dudalina Fem,2025-02-18,182721.1
Dudalina Fem,2025-02-19,177752.88
Dudalina Fem,2025-02-20,180879.22
Dudalina Fem,2025-02-21,195184.75
Dudalina Fem,2025-02-22,236647.03
Dudalina Fem,2025-02-23,130695.66
Dudalina Fem,2025-02-24,132286.39
Dudalina Fem,2025-02-25,130055.01
Dudalina Fem,2025-02-26,142531.14
Dudalina Fem,2025-02-27,149557.95
Dudalina Fem,2025-02-28,160660.52
Dudalina Fem,2025-03-01,152971.94
Dudalina Fem,2025-03-02,103295.19
Dudalina Fem,2025-03-03,129585.14
Dudalina Fem,2025-03-04,125878.2
Dudalina Fem,2025-03-05,141462.39
Dudalina Fem,2025-03-06,144216.8
Dudalina Fem,2025-03-07,165922.31
Dudalina Fem,2025-03-08,224523.84
Dudalina Fem,2025-03-09,132768.56
Dudalina Fem,2025-03-10,137048.19
Dudalina Fem,2025-03-11,147858.28
Dudalina Fem,2025-03-12,161467.75
Dudalina Fem,2025-03-13,164022.28
Dudalina Fem,2025-03-14,168624.53
Dudalina Fem,2025-03-15,216184.03
Dudalina Fem,2025-03-16,127085.38
Dudalina Fem,2025-03-17,139217.53
Dudalina Fem,2025-03-18,135023.12
Dudalina Fem,2025-03-19,144521.44
Dudalina Fem,2025-03-20,151963.17
Dudalina Fem,2025-03-21,152622.4
Dudalina Fem,2025-03-22,175507.84
Dudalina Fem,2025-03-23,104549.44
Dudalina Fem,2025-03-24,116786.875
Dudalina Fem,2025-03-25,118256.42
Dudalina Fem,2025-03-26,130633.62
Dudalina Fem,2025-03-27,133614.03
Dudalina Fem,2025-03-28,140166.12
Dudalina Fem,2025-03-29,217804.44
Dudalina Fem,2025-03-30,123339.86
Dudalina Fem,2025-03-31,172286.95
Dudalina Fem,2025-04-01,142810.22
Dudalina Fem,2025-04-02,149351.9
Dudalina Fem,2025-04-03,149025.6
Dudalina Fem,2025-04-04,157316.39
Dudalina Fem,2025-04-05,205014.78
Dudalina Fem,2025-04-06,125703.63
Dudalina Fem,2025-04-07,131838.47
Dudalina Fem,2025-04-08,135647.64
Dudalina Fem,2025-04-09,143225.45
Dudalina Fem,2025-04-10,149694.27
Dudalina Fem,2025-04-11,163907.28
Dudalina Fem,2025-04-12,232997.31
Dudalina Fem,2025-04-13,137713.88
Dudalina Fem,2025-04-14,164757.6
Dudalina Fem,2025-04-15,162160.16
Dudalina Fem,2025-04-16,163405.1
Dudalina Fem,2025-04-17,175793.34
Dudalina Fem,2025-04-18,157116.34
Dudalina Fem,2025-04-19,269392.1
Dudalina Fem,2025-04-20,130228.98
Dudalina Fem,2025-04-21,187880.62
Dudalina Fem,2025-04-22,182397.44
Dudalina Fem,2025-04-23,181091.16
Dudalina Fem,2025-04-24,192230.56
Dudalina Fem,2025-04-25,210207.89
Dudalina Fem,2025-04-26,264053.1
Dudalina Fem,2025-04-27,166275.42
Dudalina Fem,2025-04-28,187720.14
Dudalina Fem,2025-04-29,207863.1
Dudalina Fem,2025-04-30,221665.66
Dudalina Fem,2025-05-01,191611.28
Dudalina Fem,2025-05-02,242520.39
Dudalina Fem,2025-05-03,206384.53
Dudalina Fem,2025-05-04,130490.28
Dudalina Fem,2025-05-05,166419.25
Dudalina Fem,2025-05-06,157670.75
Dudalina Fem,2025-05-07,145892.39
Dudalina Fem,2025-05-08,159566.7
Dudalina Fem,2025-05-09,208291.81
Dudalina Fem,2025-05-10,321741.66
Dudalina Fem,2025-05-11,109277.5
Dudalina Fem,2025-05-12,111653.41
Dudalina Fem,2025-05-13,118922.734
Dudalina Fem,2025-05-14,127313.35
Dudalina Fem,2025-05-15,139131.22
Dudalina Fem,2025-05-16,163680.42
Dudalina Fem,2025-05-17,207521.16
Dudalina Fem,2025-05-18,95844.52
Dudalina Fem,2025-05-19,125027.11
Dudalina Fem,2025-05-20,124827.8
Dudalina Fem,2025-05-21,138459.75
Dudalina Fem,2025-05-22,148765.39
Dudalina Fem,2025-05-23,155962.7
Dudalina Fem,2025-05-24,188478.53
Dudalina Fem,2025-05-25,112939.14
Dudalina Fem,2025-05-26,129370.26
Dudalina Fem,2025-05-27,129962.62
Dudalina Fem,2025-05-28,138284.16
Dudalina Fem,2025-05-29,150590.62
Dudalina Fem,2025-05-30,195502.7
Dudalina Fem,2025-05-31,233771.72
Dudalina Fem,2025-06-01,129634.555
Dudalina Fem,2025-06-02,175240.39
Dudalina Fem,2025-06-03,171837.23
Dudalina Fem,2025-06-04,164269.08
Dudalina Fem,2025-06-05,141492.25
Dudalina Fem,2025-06-06,149846.08
Dudalina Fem,2025-06-07,176852.05
Dudalina Fem,2025-06-08,140643.55
Dudalina Fem,2025-06-09,174114.86
Dudalina Fem,2025-06-10,202712.81
Dudalina Fem,2025-06-11,260121.89
Dudalina Fem,2025-06-12,324442.25
Dudalina Fem,2025-06-13,326647.94
Dudalina Fem,2025-06-14,405152.66
Dudalina Fem,2025-06-15,723846.0
Dudalina Fem,2025-06-16,777653.75
Dudalina Fem,2025-06-17,686460.1
Dudalina Fem,2025-06-18,574976.2
Dudalina Fem,2025-06-19,522258.5
Dudalina Fem,2025-06-20,455355.06
Dudalina Fem,2025-06-21,361865.12
Dudalina Fem,2025-06-22,220644.06
Dudalina Fem,2025-06-23,292661.88
Dudalina Fem,2025-06-24,264866.7
Dudalina Fem,2025-06-25,283924.2
Dudalina Fem,2025-06-26,409162.62
Dudalina Fem,2025-06-27,583623.3
Dudalina Fem,2025-06-28,498216.75
Dudalina Fem,2025-06-29,200795.69
Dudalina Fem,2025-06-30,231323.36
Dudalina Fem,2025-07-01,265560.66
Dudalina Fem,2025-07-02,279385.6
