unique_id,ds,GRU
Bobô,2025-01-01,81223.94
Bobô,2025-01-02,255078.88
Bobô,2025-01-03,292737.4
Bobô,2025-01-04,181981.88
Bobô,2025-01-05,131523.2
Bobô,2025-01-06,179611.97
Bobô,2025-01-07,283442.34
Bobô,2025-01-08,472086.0
Bobô,2025-01-09,498703.75
Bobô,2025-01-10,583676.8
Bobô,2025-01-11,409737.94
Bobô,2025-01-12,183309.7
Bobô,2025-01-13,384919.66
Bobô,2025-01-14,468313.5
Bobô,2025-01-15,412120.1
Bobô,2025-01-16,403001.9
Bobô,2025-01-17,416627.0
Bobô,2025-01-18,368813.38
Bobô,2025-01-19,173971.03
Bobô,2025-01-20,274301.66
Bobô,2025-01-21,316632.8
Bobô,2025-01-22,299779.12
Bobô,2025-01-23,343483.97
Bobô,2025-01-24,393194.34
Bobô,2025-01-25,367173.06
Bobô,2025-01-26,192386.56
Bobô,2025-01-27,297296.2
Bobô,2025-01-28,369578.28
Bobô,2025-01-29,316758.84
Bobô,2025-01-30,480279.94
Bobô,2025-01-31,266785.5
Bobô,2025-02-01,257805.42
Bobô,2025-02-02,122833.47
Bobô,2025-02-03,224361.6
Bobô,2025-02-04,277512.94
Bobô,2025-02-05,298881.88
Bobô,2025-02-06,443699.75
Bobô,2025-02-07,449838.7
Bobô,2025-02-08,373433.7
Bobô,2025-02-09,200222.06
Bobô,2025-02-10,470197.5
Bobô,2025-02-11,504439.8
Bobô,2025-02-12,363958.78
Bobô,2025-02-13,398827.0
Bobô,2025-02-14,394021.44
Bobô,2025-02-15,302245.88
Bobô,2025-02-16,185961.2
Bobô,2025-02-17,194565.34
Bobô,2025-02-18,185478.69
Bobô,2025-02-19,202218.38
Bobô,2025-02-20,333297.16
Bobô,2025-02-21,375209.38
Bobô,2025-02-22,352375.25
Bobô,2025-02-23,220633.14
Bobô,2025-02-24,380689.44
Bobô,2025-02-25,405198.88
Bobô,2025-02-26,364871.94
Bobô,2025-02-27,373566.12
Bobô,2025-02-28,471649.5
Bobô,2025-03-01,313395.25
Bobô,2025-03-02,245180.36
Bobô,2025-03-03,268719.28
Bobô,2025-03-04,229738.45
Bobô,2025-03-05,223185.62
Bobô,2025-03-06,233793.56
Bobô,2025-03-07,410332.75
Bobô,2025-03-08,343220.62
Bobô,2025-03-09,217444.34
Bobô,2025-03-10,354848.44
Bobô,2025-03-11,462731.38
Bobô,2025-03-12,380635.94
Bobô,2025-03-13,342046.44
Bobô,2025-03-14,390096.88
Bobô,2025-03-15,460526.38
Bobô,2025-03-16,168133.9
Bobô,2025-03-17,400765.5
Bobô,2025-03-18,532602.6
Bobô,2025-03-19,700776.75
Bobô,2025-03-20,571902.4
Bobô,2025-03-21,395975.84
Bobô,2025-03-22,379494.8
Bobô,2025-03-23,120020.83
Bobô,2025-03-24,242723.14
Bobô,2025-03-25,358723.3
Bobô,2025-03-26,343832.97
Bobô,2025-03-27,560405.5
Bobô,2025-03-28,456066.62
Bobô,2025-03-29,427569.94
Bobô,2025-03-30,257913.36
Bobô,2025-03-31,316338.06
Bobô,2025-04-01,287294.9
Bobô,2025-04-02,328952.44
Bobô,2025-04-03,387485.3
Bobô,2025-04-04,362991.62
Bobô,2025-04-05,359773.25
Bobô,2025-04-06,226656.34
Bobô,2025-04-07,375578.4
Bobô,2025-04-08,385097.6
Bobô,2025-04-09,345909.6
Bobô,2025-04-10,333863.3
Bobô,2025-04-11,351179.53
Bobô,2025-04-12,447928.22
Bobô,2025-04-13,244925.53
Bobô,2025-04-14,334025.44
Bobô,2025-04-15,346194.38
Bobô,2025-04-16,343037.06
Bobô,2025-04-17,332800.94
Bobô,2025-04-18,127732.55
Bobô,2025-04-19,360770.7
Bobô,2025-04-20,109620.34
Bobô,2025-04-21,280821.78
Bobô,2025-04-22,259772.55
Bobô,2025-04-23,334020.7
Bobô,2025-04-24,377677.1
Bobô,2025-04-25,406149.88
Bobô,2025-04-26,345016.53
Bobô,2025-04-27,181299.0
Bobô,2025-04-28,386977.75
Bobô,2025-04-29,415766.88
Bobô,2025-04-30,582068.5
Bobô,2025-05-01,283824.22
Bobô,2025-05-02,204463.56
Bobô,2025-05-03,392605.3
Bobô,2025-05-04,326998.06
Bobô,2025-05-05,324104.78
Bobô,2025-05-06,322715.88
Bobô,2025-05-07,387886.2
Bobô,2025-05-08,369935.88
Bobô,2025-05-09,461229.44
Bobô,2025-05-10,602540.1
Bobô,2025-05-11,168704.44
Bobô,2025-05-12,232957.2
Bobô,2025-05-13,306643.06
Bobô,2025-05-14,386780.03
Bobô,2025-05-15,382912.0
Bobô,2025-05-16,431504.84
Bobô,2025-05-17,461743.94
Bobô,2025-05-18,127187.28
Bobô,2025-05-19,352851.2
Bobô,2025-05-20,267503.66
Bobô,2025-05-21,370602.3
Bobô,2025-05-22,334469.16
Bobô,2025-05-23,427099.06
Bobô,2025-05-24,385958.03
Bobô,2025-05-25,149789.6
Bobô,2025-05-26,335393.4
Bobô,2025-05-27,365315.94
Bobô,2025-05-28,391275.25
Bobô,2025-05-29,346120.66
Bobô,2025-05-30,435474.56
Bobô,2025-05-31,451829.62
Bobô,2025-06-01,181516.83
Bobô,2025-06-02,337820.9
Bobô,2025-06-03,307698.84
Bobô,2025-06-04,181628.1
Bobô,2025-06-05,320151.44
Bobô,2025-06-06,380553.2
Bobô,2025-06-07,458604.75
Bobô,2025-06-08,192044.75
Bobô,2025-06-09,305659.1
Bobô,2025-06-10,384140.84
Bobô,2025-06-11,356233.0
Bobô,2025-06-12,383502.16
Bobô,2025-06-13,387753.25
Bobô,2025-06-14,302490.72
