unique_id,ds,GRU
Dudalina Fem,2025-01-01,98784.44
Dudalina Fem,2025-01-02,134187.03
Dudalina Fem,2025-01-03,589918.4
Dudalina Fem,2025-01-04,488975.88
Dudalina Fem,2025-01-05,298216.25
Dudalina Fem,2025-01-06,261822.0
Dudalina Fem,2025-01-07,333238.7
Dudalina Fem,2025-01-08,303171.2
Dudalina Fem,2025-01-09,296927.22
Dudalina Fem,2025-01-10,287923.94
Dudalina Fem,2025-01-11,316972.66
Dudalina Fem,2025-01-12,158642.67
Dudalina Fem,2025-01-13,256661.75
Dudalina Fem,2025-01-14,254452.33
Dudalina Fem,2025-01-15,234081.31
Dudalina Fem,2025-01-16,224447.52
Dudalina Fem,2025-01-17,250738.72
Dudalina Fem,2025-01-18,268136.38
Dudalina Fem,2025-01-19,126648.625
Dudalina Fem,2025-01-20,226125.56
Dudalina Fem,2025-01-21,200363.88
Dudalina Fem,2025-01-22,213721.64
Dudalina Fem,2025-01-23,210749.16
Dudalina Fem,2025-01-24,239953.44
Dudalina Fem,2025-01-25,286173.2
Dudalina Fem,2025-01-26,153457.67
Dudalina Fem,2025-01-27,185256.36
Dudalina Fem,2025-01-28,225570.08
Dudalina Fem,2025-01-29,212064.05
Dudalina Fem,2025-01-30,209971.77
Dudalina Fem,2025-01-31,190206.06
Dudalina Fem,2025-02-01,241975.52
Dudalina Fem,2025-02-02,155267.9
Dudalina Fem,2025-02-03,209300.75
Dudalina Fem,2025-02-04,169429.38
Dudalina Fem,2025-02-05,166079.25
Dudalina Fem,2025-02-06,181609.48
Dudalina Fem,2025-02-07,209883.69
Dudalina Fem,2025-02-08,224249.38
Dudalina Fem,2025-02-09,132609.34
Dudalina Fem,2025-02-10,175114.36
Dudalina Fem,2025-02-11,170964.28
Dudalina Fem,2025-02-12,156024.66
Dudalina Fem,2025-02-13,134543.2
Dudalina Fem,2025-02-14,172205.72
Dudalina Fem,2025-02-15,231045.4
Dudalina Fem,2025-02-16,154195.44
Dudalina Fem,2025-02-17,160601.72
Dudalina Fem,2025-02-18,160140.08
Dudalina Fem,2025-02-19,150880.19
Dudalina Fem,2025-02-20,172558.6
Dudalina Fem,2025-02-21,165636.64
Dudalina Fem,2025-02-22,186584.03
Dudalina Fem,2025-02-23,124628.14
Dudalina Fem,2025-02-24,130464.64
Dudalina Fem,2025-02-25,107174.97
Dudalina Fem,2025-02-26,124555.66
Dudalina Fem,2025-02-27,129387.086
Dudalina Fem,2025-02-28,148065.3
Dudalina Fem,2025-03-01,157430.77
Dudalina Fem,2025-03-02,91748.625
Dudalina Fem,2025-03-03,140193.16
Dudalina Fem,2025-03-04,117376.55
Dudalina Fem,2025-03-05,135322.94
Dudalina Fem,2025-03-06,159832.25
Dudalina Fem,2025-03-07,152772.77
Dudalina Fem,2025-03-08,202414.25
Dudalina Fem,2025-03-09,126060.97
Dudalina Fem,2025-03-10,132076.98
Dudalina Fem,2025-03-11,154512.6
Dudalina Fem,2025-03-12,139913.39
Dudalina Fem,2025-03-13,133056.34
Dudalina Fem,2025-03-14,146381.42
Dudalina Fem,2025-03-15,192309.48
Dudalina Fem,2025-03-16,144907.28
Dudalina Fem,2025-03-17,174744.92
Dudalina Fem,2025-03-18,124695.11
Dudalina Fem,2025-03-19,98534.17
Dudalina Fem,2025-03-20,104590.13
Dudalina Fem,2025-03-21,128991.8
Dudalina Fem,2025-03-22,144338.97
Dudalina Fem,2025-03-23,124410.48
Dudalina Fem,2025-03-24,163719.84
Dudalina Fem,2025-03-25,151180.98
Dudalina Fem,2025-03-26,115174.984
Dudalina Fem,2025-03-27,115696.62
Dudalina Fem,2025-03-28,147080.11
Dudalina Fem,2025-03-29,263514.78
Dudalina Fem,2025-03-30,93847.97
Dudalina Fem,2025-03-31,169668.14
Dudalina Fem,2025-04-01,142596.64
Dudalina Fem,2025-04-02,144637.53
Dudalina Fem,2025-04-03,165662.84
Dudalina Fem,2025-04-04,174006.48
Dudalina Fem,2025-04-05,210691.06
Dudalina Fem,2025-04-06,120377.81
Dudalina Fem,2025-04-07,165314.73
Dudalina Fem,2025-04-08,159681.81
Dudalina Fem,2025-04-09,179287.52
Dudalina Fem,2025-04-10,179368.81
Dudalina Fem,2025-04-11,211275.38
Dudalina Fem,2025-04-12,288078.38
Dudalina Fem,2025-04-13,178578.4
Dudalina Fem,2025-04-14,226563.19
Dudalina Fem,2025-04-15,183890.92
Dudalina Fem,2025-04-16,208084.22
Dudalina Fem,2025-04-17,222839.47
Dudalina Fem,2025-04-18,154765.78
Dudalina Fem,2025-04-19,317705.44
Dudalina Fem,2025-04-20,111861.95
Dudalina Fem,2025-04-21,225917.42
Dudalina Fem,2025-04-22,189285.53
Dudalina Fem,2025-04-23,217372.56
Dudalina Fem,2025-04-24,239148.84
Dudalina Fem,2025-04-25,251150.12
Dudalina Fem,2025-04-26,312986.1
Dudalina Fem,2025-04-27,183495.95
Dudalina Fem,2025-04-28,212064.97
Dudalina Fem,2025-04-29,206343.53
Dudalina Fem,2025-04-30,270042.34
Dudalina Fem,2025-05-01,129659.54
Dudalina Fem,2025-05-02,199507.31
Dudalina Fem,2025-05-03,199054.38
Dudalina Fem,2025-05-04,252718.72
Dudalina Fem,2025-05-05,239201.38
Dudalina Fem,2025-05-06,189033.94
Dudalina Fem,2025-05-07,197826.5
Dudalina Fem,2025-05-08,245604.5
Dudalina Fem,2025-05-09,337552.44
Dudalina Fem,2025-05-10,503021.94
Dudalina Fem,2025-05-11,86609.51
Dudalina Fem,2025-05-12,120475.33
Dudalina Fem,2025-05-13,152413.86
Dudalina Fem,2025-05-14,141698.23
Dudalina Fem,2025-05-15,171276.66
Dudalina Fem,2025-05-16,182180.78
Dudalina Fem,2025-05-17,199265.73
Dudalina Fem,2025-05-18,189939.36
Dudalina Fem,2025-05-19,157516.75
Dudalina Fem,2025-05-20,162622.17
Dudalina Fem,2025-05-21,155725.06
Dudalina Fem,2025-05-22,184544.97
Dudalina Fem,2025-05-23,184871.75
Dudalina Fem,2025-05-24,204979.73
Dudalina Fem,2025-05-25,145463.22
Dudalina Fem,2025-05-26,152807.42
Dudalina Fem,2025-05-27,144718.4
Dudalina Fem,2025-05-28,169133.12
Dudalina Fem,2025-05-29,200958.03
Dudalina Fem,2025-05-30,284043.56
Dudalina Fem,2025-05-31,283880.47
Dudalina Fem,2025-06-01,144927.84
Dudalina Fem,2025-06-02,160760.73
Dudalina Fem,2025-06-03,170498.97
Dudalina Fem,2025-06-04,166698.08
Dudalina Fem,2025-06-05,165725.44
Dudalina Fem,2025-06-06,157668.7
Dudalina Fem,2025-06-07,166534.75
Dudalina Fem,2025-06-08,167257.42
Dudalina Fem,2025-06-09,210084.69
Dudalina Fem,2025-06-10,222223.34
Dudalina Fem,2025-06-11,282603.44
Dudalina Fem,2025-06-12,273239.06
Dudalina Fem,2025-06-13,255766.53
Dudalina Fem,2025-06-14,484008.94
Dudalina Fem,2025-06-15,865118.44
Dudalina Fem,2025-06-16,853070.0
Dudalina Fem,2025-06-17,797468.0
Dudalina Fem,2025-06-18,735294.4
Dudalina Fem,2025-06-19,718594.3
Dudalina Fem,2025-06-20,695763.06
Dudalina Fem,2025-06-21,546837.0
Dudalina Fem,2025-06-22,349945.44
Dudalina Fem,2025-06-23,369893.62
Dudalina Fem,2025-06-24,371941.28
Dudalina Fem,2025-06-25,384657.38
Dudalina Fem,2025-06-26,336482.44
Dudalina Fem,2025-06-27,444186.88
Dudalina Fem,2025-06-28,525813.56
Dudalina Fem,2025-06-29,312447.88
Dudalina Fem,2025-06-30,312978.56
Dudalina Fem,2025-07-01,382770.6
Dudalina Fem,2025-07-02,427242.38
Dudalina Fem,2025-07-03,286914.3
Dudalina Fem,2025-07-04,312248.25
Dudalina Fem,2025-07-05,364072.12
Dudalina Fem,2025-07-06,316130.44
Dudalina Fem,2025-07-07,271530.38
Dudalina Fem,2025-07-08,374753.56
Dudalina Fem,2025-07-09,235480.84
Dudalina Fem,2025-07-10,192693.4
Dudalina Fem,2025-07-11,225905.94
Dudalina Fem,2025-07-12,243566.4
Dudalina Fem,2025-07-13,154252.66
Dudalina Fem,2025-07-14,182174.08
Dudalina Fem,2025-07-15,157189.6
Dudalina Fem,2025-07-16,146359.33
Dudalina Fem,2025-07-17,148571.36
Dudalina Fem,2025-07-18,153490.66
Dudalina Fem,2025-07-19,154665.31
Dudalina Fem,2025-07-20,95183.414
Dudalina Fem,2025-07-21,124425.72
Dudalina Fem,2025-07-22,126326.04
