unique_id,ds,GRU
Dudalina Masc,2025-01-01,88826.37
Dudalina Masc,2025-01-02,155538.22
Dudalina Masc,2025-01-03,499444.88
Dudalina Masc,2025-01-04,507564.7
Dudalina Masc,2025-01-05,444123.38
Dudalina Masc,2025-01-06,346128.56
Dudalina Masc,2025-01-07,334631.34
Dudalina Masc,2025-01-08,340590.28
Dudalina Masc,2025-01-09,332895.88
Dudalina Masc,2025-01-10,296262.8
Dudalina Masc,2025-01-11,310757.16
Dudalina Masc,2025-01-12,183058.56
Dudalina Masc,2025-01-13,270359.8
Dudalina Masc,2025-01-14,240060.27
Dudalina Masc,2025-01-15,232874.44
Dudalina Masc,2025-01-16,241362.25
Dudalina Masc,2025-01-17,259455.14
Dudalina Masc,2025-01-18,298164.62
Dudalina Masc,2025-01-19,178134.25
Dudalina Masc,2025-01-20,211391.81
Dudalina Masc,2025-01-21,191680.36
Dudalina Masc,2025-01-22,196485.98
Dudalina Masc,2025-01-23,213626.72
Dudalina Masc,2025-01-24,273676.44
Dudalina Masc,2025-01-25,308698.88
Dudalina Masc,2025-01-26,185152.12
Dudalina Masc,2025-01-27,205256.27
Dudalina Masc,2025-01-28,225765.44
Dudalina Masc,2025-01-29,210541.25
Dudalina Masc,2025-01-30,195192.44
Dudalina Masc,2025-01-31,219236.08
Dudalina Masc,2025-02-01,247078.5
Dudalina Masc,2025-02-02,150173.69
Dudalina Masc,2025-02-03,155187.08
Dudalina Masc,2025-02-04,139974.92
Dudalina Masc,2025-02-05,140924.66
Dudalina Masc,2025-02-06,152064.11
Dudalina Masc,2025-02-07,161730.38
Dudalina Masc,2025-02-08,188695.45
Dudalina Masc,2025-02-09,107750.61
Dudalina Masc,2025-02-10,115402.17
Dudalina Masc,2025-02-11,159468.19
Dudalina Masc,2025-02-12,139582.64
Dudalina Masc,2025-02-13,138338.38
Dudalina Masc,2025-02-14,150501.75
Dudalina Masc,2025-02-15,168617.61
Dudalina Masc,2025-02-16,114082.43
Dudalina Masc,2025-02-17,150875.75
