unique_id,ds,GRU
John John Fem,2025-01-01,61773.67
John John Fem,2025-01-02,174147.34
John John Fem,2025-01-03,202448.86
John John Fem,2025-01-04,196287.97
John John Fem,2025-01-05,168432.42
John John Fem,2025-01-06,218911.19
John John Fem,2025-01-07,215980.61
John John Fem,2025-01-08,245036.92
John John Fem,2025-01-09,277234.28
John John Fem,2025-01-10,318197.97
John John Fem,2025-01-11,400554.28
John John Fem,2025-01-12,176031.19
John John Fem,2025-01-13,239288.97
John John Fem,2025-01-14,241305.33
John John Fem,2025-01-15,231300.77
John John Fem,2025-01-16,226429.48
John John Fem,2025-01-17,249961.47
John John Fem,2025-01-18,265650.53
John John Fem,2025-01-19,177267.28
John John Fem,2025-01-20,186854.78
John John Fem,2025-01-21,208268.98
John John Fem,2025-01-22,215018.05
John John Fem,2025-01-23,251292.92
John John Fem,2025-01-24,295399.16
John John Fem,2025-01-25,324299.12
John John Fem,2025-01-26,190770.53
John John Fem,2025-01-27,203896.78
John John Fem,2025-01-28,216810.61
John John Fem,2025-01-29,218045.12
John John Fem,2025-01-30,246108.42
John John Fem,2025-01-31,295563.12
John John Fem,2025-02-01,347183.12
John John Fem,2025-02-02,194555.23
John John Fem,2025-02-03,203803.16
John John Fem,2025-02-04,210955.16
John John Fem,2025-02-05,207056.25
John John Fem,2025-02-06,226296.81
John John Fem,2025-02-07,268016.38
John John Fem,2025-02-08,334985.5
John John Fem,2025-02-09,198620.89
John John Fem,2025-02-10,230182.14
John John Fem,2025-02-11,203499.89
John John Fem,2025-02-12,152070.08
John John Fem,2025-02-13,133369.98
John John Fem,2025-02-14,190226.72
John John Fem,2025-02-15,196104.66
John John Fem,2025-02-16,97086.945
John John Fem,2025-02-17,104082.516
John John Fem,2025-02-18,93486.61
John John Fem,2025-02-19,107554.88
John John Fem,2025-02-20,96344.11
John John Fem,2025-02-21,120183.4
John John Fem,2025-02-22,135533.97
John John Fem,2025-02-23,91308.6
John John Fem,2025-02-24,97695.91
John John Fem,2025-02-25,98873.086
John John Fem,2025-02-26,91414.89
John John Fem,2025-02-27,94726.055
John John Fem,2025-02-28,113944.71
John John Fem,2025-03-01,90396.06
John John Fem,2025-03-02,45474.22
John John Fem,2025-03-03,57706.0
John John Fem,2025-03-04,63164.92
John John Fem,2025-03-05,76007.09
John John Fem,2025-03-06,90971.1
John John Fem,2025-03-07,112093.195
John John Fem,2025-03-08,118702.836
John John Fem,2025-03-09,61121.92
John John Fem,2025-03-10,53780.297
John John Fem,2025-03-11,56350.22
