unique_id,ds,GRU
John John Masc,2025-01-01,58505.11
John John Masc,2025-01-02,151945.11
John John Masc,2025-01-03,155143.84
John John Masc,2025-01-04,171090.53
John John Masc,2025-01-05,136979.47
John John Masc,2025-01-06,125208.91
John John Masc,2025-01-07,131960.14
John John Masc,2025-01-08,144018.17
John John Masc,2025-01-09,158034.36
John John Masc,2025-01-10,176828.0
John John Masc,2025-01-11,237895.33
John John Masc,2025-01-12,160021.94
John John Masc,2025-01-13,144844.75
John John Masc,2025-01-14,140484.16
John John Masc,2025-01-15,150214.84
John John Masc,2025-01-16,168010.84
John John Masc,2025-01-17,181833.98
John John Masc,2025-01-18,216654.02
John John Masc,2025-01-19,143584.9
John John Masc,2025-01-20,133440.5
John John Masc,2025-01-21,151204.58
John John Masc,2025-01-22,162240.44
John John Masc,2025-01-23,158651.66
John John Masc,2025-01-24,182113.14
John John Masc,2025-01-25,262491.38
John John Masc,2025-01-26,161253.88
John John Masc,2025-01-27,137477.02
John John Masc,2025-01-28,157798.97
John John Masc,2025-01-29,157300.23
John John Masc,2025-01-30,149823.55
John John Masc,2025-01-31,221493.1
John John Masc,2025-02-01,299741.25
John John Masc,2025-02-02,176733.84
John John Masc,2025-02-03,125189.3
John John Masc,2025-02-04,118379.88
John John Masc,2025-02-05,113037.9
John John Masc,2025-02-06,133927.31
John John Masc,2025-02-07,215596.9
John John Masc,2025-02-08,279784.5
John John Masc,2025-02-09,188846.9
John John Masc,2025-02-10,179101.4
John John Masc,2025-02-11,156212.27
John John Masc,2025-02-12,122774.85
John John Masc,2025-02-13,118757.58
John John Masc,2025-02-14,157140.98
John John Masc,2025-02-15,253555.22
John John Masc,2025-02-16,85406.63
John John Masc,2025-02-17,62989.234
John John Masc,2025-02-18,59365.508
John John Masc,2025-02-19,77992.18
John John Masc,2025-02-20,101312.33
John John Masc,2025-02-21,101903.516
John John Masc,2025-02-22,155651.78
John John Masc,2025-02-23,71805.42
John John Masc,2025-02-24,59780.78
John John Masc,2025-02-25,58536.875
John John Masc,2025-02-26,70922.67
John John Masc,2025-02-27,74284.805
John John Masc,2025-02-28,102390.484
John John Masc,2025-03-01,106365.84
John John Masc,2025-03-02,31818.281
John John Masc,2025-03-03,66349.23
John John Masc,2025-03-04,55360.57
John John Masc,2025-03-05,67421.13
John John Masc,2025-03-06,83929.875
John John Masc,2025-03-07,113464.86
John John Masc,2025-03-08,172160.28
John John Masc,2025-03-09,74345.34
John John Masc,2025-03-10,62919.203
John John Masc,2025-03-11,70496.555
John John Masc,2025-03-12,90874.58
John John Masc,2025-03-13,96459.53
John John Masc,2025-03-14,124655.71
John John Masc,2025-03-15,149803.58
John John Masc,2025-03-16,76791.16
John John Masc,2025-03-17,58148.21
John John Masc,2025-03-18,69981.05
John John Masc,2025-03-19,81162.414
John John Masc,2025-03-20,89843.47
John John Masc,2025-03-21,113605.06
John John Masc,2025-03-22,179510.06
John John Masc,2025-03-23,95159.91
John John Masc,2025-03-24,75175.66
John John Masc,2025-03-25,80413.305
John John Masc,2025-03-26,99428.625
John John Masc,2025-03-27,99986.19
John John Masc,2025-03-28,124304.445
John John Masc,2025-03-29,200218.36
John John Masc,2025-03-30,85197.836
John John Masc,2025-03-31,63918.336
John John Masc,2025-04-01,69765.375
John John Masc,2025-04-02,84887.09
John John Masc,2025-04-03,96892.76
John John Masc,2025-04-04,135309.66
John John Masc,2025-04-05,212965.64
John John Masc,2025-04-06,128220.19
John John Masc,2025-04-07,83850.19
John John Masc,2025-04-08,86845.484
John John Masc,2025-04-09,98518.86
John John Masc,2025-04-10,121385.63
John John Masc,2025-04-11,166336.33
John John Masc,2025-04-12,222273.6
John John Masc,2025-04-13,105757.91
John John Masc,2025-04-14,97618.36
John John Masc,2025-04-15,107660.03
John John Masc,2025-04-16,120050.27
John John Masc,2025-04-17,138020.28
John John Masc,2025-04-18,64632.242
John John Masc,2025-04-19,166883.6
John John Masc,2025-04-20,31610.469
John John Masc,2025-04-21,75589.96
John John Masc,2025-04-22,66950.71
John John Masc,2025-04-23,82580.85
John John Masc,2025-04-24,88332.484
John John Masc,2025-04-25,109451.08
John John Masc,2025-04-26,190801.94
John John Masc,2025-04-27,106968.875
John John Masc,2025-04-28,74061.11
John John Masc,2025-04-29,80376.484
John John Masc,2025-04-30,101088.78
John John Masc,2025-05-01,55181.617
John John Masc,2025-05-02,97281.78
John John Masc,2025-05-03,126720.9
John John Masc,2025-05-04,52662.08
John John Masc,2025-05-05,56539.758
John John Masc,2025-05-06,60505.477
John John Masc,2025-05-07,76705.12
John John Masc,2025-05-08,83603.96
John John Masc,2025-05-09,131872.38
John John Masc,2025-05-10,190422.77
John John Masc,2025-05-11,62097.29
John John Masc,2025-05-12,64031.305
John John Masc,2025-05-13,76587.58
John John Masc,2025-05-14,94644.71
John John Masc,2025-05-15,109256.94
John John Masc,2025-05-16,161829.4
John John Masc,2025-05-17,209756.4
John John Masc,2025-05-18,78748.81
John John Masc,2025-05-19,74566.164
John John Masc,2025-05-20,74496.61
John John Masc,2025-05-21,82856.39
John John Masc,2025-05-22,91693.49
John John Masc,2025-05-23,138147.88
John John Masc,2025-05-24,212736.88
John John Masc,2025-05-25,79506.195
John John Masc,2025-05-26,95301.16
John John Masc,2025-05-27,102072.56
John John Masc,2025-05-28,131545.0
John John Masc,2025-05-29,144223.64
John John Masc,2025-05-30,167186.36
John John Masc,2025-05-31,164815.25
John John Masc,2025-06-01,80615.67
John John Masc,2025-06-02,76932.14
John John Masc,2025-06-03,91932.57
John John Masc,2025-06-04,110879.79
John John Masc,2025-06-05,85795.06
John John Masc,2025-06-06,99164.63
John John Masc,2025-06-07,189596.1
John John Masc,2025-06-08,86545.16
John John Masc,2025-06-09,100244.234
John John Masc,2025-06-10,164951.11
John John Masc,2025-06-11,181486.22
John John Masc,2025-06-12,190992.31
John John Masc,2025-06-13,252490.31
John John Masc,2025-06-14,100633.164
John John Masc,2025-06-15,80845.984
John John Masc,2025-06-16,99288.17
John John Masc,2025-06-17,105058.81
John John Masc,2025-06-18,112911.94
John John Masc,2025-06-19,124168.74
John John Masc,2025-06-20,150628.5
John John Masc,2025-06-21,150665.94
John John Masc,2025-06-22,86409.25
John John Masc,2025-06-23,99812.98
John John Masc,2025-06-24,95168.14
John John Masc,2025-06-25,101217.72
John John Masc,2025-06-26,109671.5
John John Masc,2025-06-27,125075.64
John John Masc,2025-06-28,155904.2
John John Masc,2025-06-29,82747.45
John John Masc,2025-06-30,83791.34
John John Masc,2025-07-01,77166.88
John John Masc,2025-07-02,93141.85
John John Masc,2025-07-03,108000.625
John John Masc,2025-07-04,132558.34
John John Masc,2025-07-05,176385.42
John John Masc,2025-07-06,78458.89
John John Masc,2025-07-07,86148.49
John John Masc,2025-07-08,84258.24
John John Masc,2025-07-09,94541.84
John John Masc,2025-07-10,121110.38
John John Masc,2025-07-11,149615.44
John John Masc,2025-07-12,174734.5
John John Masc,2025-07-13,120518.85
John John Masc,2025-07-14,129547.16
John John Masc,2025-07-15,120959.42
John John Masc,2025-07-16,124633.96
John John Masc,2025-07-17,145388.67
John John Masc,2025-07-18,170906.0
John John Masc,2025-07-19,183004.16
John John Masc,2025-07-20,109333.445
John John Masc,2025-07-21,124949.945
John John Masc,2025-07-22,117712.875
John John Masc,2025-07-23,106904.72
John John Masc,2025-07-24,120574.97
John John Masc,2025-07-25,138844.0
John John Masc,2025-07-26,142149.78
John John Masc,2025-07-27,78765.74
John John Masc,2025-07-28,100047.266
John John Masc,2025-07-29,99986.44
John John Masc,2025-07-30,101088.445
John John Masc,2025-07-31,109992.375
John John Masc,2025-08-01,135741.64
John John Masc,2025-08-02,205629.83
John John Masc,2025-08-03,136604.44
John John Masc,2025-08-04,98554.67
John John Masc,2025-08-05,109007.84
John John Masc,2025-08-06,128781.08
John John Masc,2025-08-07,149853.17
John John Masc,2025-08-08,213802.0
John John Masc,2025-08-09,343426.1
John John Masc,2025-08-10,117640.375
John John Masc,2025-08-11,94140.69
John John Masc,2025-08-12,98438.766
John John Masc,2025-08-13,104715.82
John John Masc,2025-08-14,108648.64
John John Masc,2025-08-15,150518.28
John John Masc,2025-08-16,229244.94
John John Masc,2025-08-17,104942.945
John John Masc,2025-08-18,67792.28
John John Masc,2025-08-19,83961.07
John John Masc,2025-08-20,99308.484
John John Masc,2025-08-21,119924.086
John John Masc,2025-08-22,164858.06
John John Masc,2025-08-23,210009.66
John John Masc,2025-08-24,104907.67
John John Masc,2025-08-25,72776.91
John John Masc,2025-08-26,84091.36
John John Masc,2025-08-27,97206.16
John John Masc,2025-08-28,109921.016
John John Masc,2025-08-29,135616.31
John John Masc,2025-08-30,184937.67
John John Masc,2025-08-31,109319.39
John John Masc,2025-09-01,68435.875
John John Masc,2025-09-02,77800.09
John John Masc,2025-09-03,98069.0
John John Masc,2025-09-04,113408.25
John John Masc,2025-09-05,140528.17
John John Masc,2025-09-06,186226.16
John John Masc,2025-09-07,85080.97
John John Masc,2025-09-08,97365.08
John John Masc,2025-09-09,129782.555
John John Masc,2025-09-10,149157.56
John John Masc,2025-09-11,157693.4
John John Masc,2025-09-12,169574.12
John John Masc,2025-09-13,192893.22
John John Masc,2025-09-14,112544.94
John John Masc,2025-09-15,91837.17
John John Masc,2025-09-16,97587.92
John John Masc,2025-09-17,103571.59
John John Masc,2025-09-18,116986.89
John John Masc,2025-09-19,140842.45
John John Masc,2025-09-20,188855.84
John John Masc,2025-09-21,123200.45
John John Masc,2025-09-22,76667.37
John John Masc,2025-09-23,82365.766
John John Masc,2025-09-24,88309.734
John John Masc,2025-09-25,99515.59
John John Masc,2025-09-26,122819.14
John John Masc,2025-09-27,163853.55
John John Masc,2025-09-28,95686.7
John John Masc,2025-09-29,67643.27
John John Masc,2025-09-30,79991.61
John John Masc,2025-10-01,83188.53
John John Masc,2025-10-02,96573.59
John John Masc,2025-10-03,117518.34
John John Masc,2025-10-04,152417.27
John John Masc,2025-10-05,92095.17
John John Masc,2025-10-06,44290.36
John John Masc,2025-10-07,66163.3
John John Masc,2025-10-08,82738.125
John John Masc,2025-10-09,100997.97
John John Masc,2025-10-10,136330.47
John John Masc,2025-10-11,255148.34
John John Masc,2025-10-12,137113.14
John John Masc,2025-10-13,66824.04
John John Masc,2025-10-14,81827.195
John John Masc,2025-10-15,90806.72
John John Masc,2025-10-16,115270.0
John John Masc,2025-10-17,142606.88
John John Masc,2025-10-18,208648.02
John John Masc,2025-10-19,126815.84
John John Masc,2025-10-20,82801.234
John John Masc,2025-10-21,97257.98
John John Masc,2025-10-22,106312.055
John John Masc,2025-10-23,118300.44
John John Masc,2025-10-24,143549.61
John John Masc,2025-10-25,184513.19
John John Masc,2025-10-26,108228.28
John John Masc,2025-10-27,61300.562
John John Masc,2025-10-28,85198.35
John John Masc,2025-10-29,100067.95
John John Masc,2025-10-30,109259.34
John John Masc,2025-10-31,132297.92
John John Masc,2025-11-01,212248.9
John John Masc,2025-11-02,158343.89
John John Masc,2025-11-03,85974.64
John John Masc,2025-11-04,106231.75
John John Masc,2025-11-05,119044.65
John John Masc,2025-11-06,134660.02
John John Masc,2025-11-07,148386.17
John John Masc,2025-11-08,217371.11
John John Masc,2025-11-09,148088.28
John John Masc,2025-11-10,98027.05
John John Masc,2025-11-11,96837.22
John John Masc,2025-11-12,104088.95
John John Masc,2025-11-13,119659.24
John John Masc,2025-11-14,166844.22
John John Masc,2025-11-15,199169.17
John John Masc,2025-11-16,84628.54
John John Masc,2025-11-17,70588.82
John John Masc,2025-11-18,82406.234
John John Masc,2025-11-19,116602.39
John John Masc,2025-11-20,139100.45
John John Masc,2025-11-21,163346.77
John John Masc,2025-11-22,354131.75
John John Masc,2025-11-23,168587.36
John John Masc,2025-11-24,115662.7
John John Masc,2025-11-25,128208.34
John John Masc,2025-11-26,152551.75
John John Masc,2025-11-27,173277.77
John John Masc,2025-11-28,310376.88
John John Masc,2025-11-29,364646.75
John John Masc,2025-11-30,211527.25
John John Masc,2025-12-01,179888.17
John John Masc,2025-12-02,178451.1
John John Masc,2025-12-03,177750.44
John John Masc,2025-12-04,160135.39
John John Masc,2025-12-05,267305.47
John John Masc,2025-12-06,274448.38
John John Masc,2025-12-07,160384.97
John John Masc,2025-12-08,155256.16
John John Masc,2025-12-09,164547.98
John John Masc,2025-12-10,186447.69
John John Masc,2025-12-11,198057.03
John John Masc,2025-12-12,208585.44
John John Masc,2025-12-13,253916.47
John John Masc,2025-12-14,242596.9
John John Masc,2025-12-15,244159.5
John John Masc,2025-12-16,279864.8
John John Masc,2025-12-17,313992.78
John John Masc,2025-12-18,321244.94
John John Masc,2025-12-19,390250.94
John John Masc,2025-12-20,532689.6
John John Masc,2025-12-21,418909.78
John John Masc,2025-12-22,538927.6
John John Masc,2025-12-23,542270.6
John John Masc,2025-12-24,416031.72
John John Masc,2025-12-25,149757.88
John John Masc,2025-12-26,211361.83
John John Masc,2025-12-27,175640.7
John John Masc,2025-12-28,123676.79
John John Masc,2025-12-29,232473.47
John John Masc,2025-12-30,230118.75
John John Masc,2025-12-31,205473.06
