unique_id,ds,GRU
Le Lis Beaute,2025-02-01,37145.27
Le Lis Beaute,2025-02-02,19414.496
Le Lis Beaute,2025-02-03,22639.969
Le Lis Beaute,2025-02-04,27841.77
Le Lis Beaute,2025-02-05,30569.117
Le Lis Beaute,2025-02-06,28723.697
Le Lis Beaute,2025-02-07,32771.973
Le Lis Beaute,2025-02-08,31632.738
Le Lis Beaute,2025-02-09,13728.492
Le Lis Beaute,2025-02-10,21190.473
Le Lis Beaute,2025-02-11,22768.895
Le Lis Beaute,2025-02-12,22969.406
Le Lis Beaute,2025-02-13,22302.812
Le Lis Beaute,2025-02-14,24348.475
Le Lis Beaute,2025-02-15,22529.32
Le Lis Beaute,2025-02-16,11250.428
Le Lis Beaute,2025-02-17,13289.07
Le Lis Beaute,2025-02-18,13391.447
Le Lis Beaute,2025-02-19,15474.403
Le Lis Beaute,2025-02-20,19714.871
Le Lis Beaute,2025-02-21,22579.586
Le Lis Beaute,2025-02-22,21882.123
Le Lis Beaute,2025-02-23,11742.457
Le Lis Beaute,2025-02-24,14996.645
Le Lis Beaute,2025-02-25,19275.535
Le Lis Beaute,2025-02-26,16981.44
Le Lis Beaute,2025-02-27,12707.326
Le Lis Beaute,2025-02-28,11897.996
Le Lis Beaute,2025-03-01,9900.426
Le Lis Beaute,2025-03-02,4301.2383
Le Lis Beaute,2025-03-03,8182.6895
Le Lis Beaute,2025-03-04,5240.6953
Le Lis Beaute,2025-03-05,6831.5605
Le Lis Beaute,2025-03-06,8390.144
Le Lis Beaute,2025-03-07,9179.761
Le Lis Beaute,2025-03-08,8969.746
Le Lis Beaute,2025-03-09,5547.547
Le Lis Beaute,2025-03-10,5436.826
Le Lis Beaute,2025-03-11,6283.658
Le Lis Beaute,2025-03-12,7837.1523
Le Lis Beaute,2025-03-13,8635.256
Le Lis Beaute,2025-03-14,10000.779
Le Lis Beaute,2025-03-15,10332.554
Le Lis Beaute,2025-03-16,4540.041
Le Lis Beaute,2025-03-17,3915.4824
Le Lis Beaute,2025-03-18,6216.908
Le Lis Beaute,2025-03-19,8116.1367
Le Lis Beaute,2025-03-20,8953.94
Le Lis Beaute,2025-03-21,10419.999
Le Lis Beaute,2025-03-22,10793.001
Le Lis Beaute,2025-03-23,6616.3027
Le Lis Beaute,2025-03-24,5371.051
Le Lis Beaute,2025-03-25,6997.6484
Le Lis Beaute,2025-03-26,8567.127
Le Lis Beaute,2025-03-27,9077.112
Le Lis Beaute,2025-03-28,10703.739
Le Lis Beaute,2025-03-29,10947.616
Le Lis Beaute,2025-03-30,7609.5684
Le Lis Beaute,2025-03-31,7235.5254
Le Lis Beaute,2025-04-01,6833.8047
Le Lis Beaute,2025-04-02,8452.908
Le Lis Beaute,2025-04-03,11708.674
Le Lis Beaute,2025-04-04,15382.521
Le Lis Beaute,2025-04-05,16978.684
Le Lis Beaute,2025-04-06,7503.957
Le Lis Beaute,2025-04-07,12882.368
Le Lis Beaute,2025-04-08,12949.756
Le Lis Beaute,2025-04-09,16483.502
Le Lis Beaute,2025-04-10,19352.326
Le Lis Beaute,2025-04-11,20853.582
Le Lis Beaute,2025-04-12,20971.467
Le Lis Beaute,2025-04-13,12055.701
Le Lis Beaute,2025-04-14,15015.269
Le Lis Beaute,2025-04-15,16319.578
Le Lis Beaute,2025-04-16,17050.146
Le Lis Beaute,2025-04-17,16230.678
Le Lis Beaute,2025-04-18,8491.845
Le Lis Beaute,2025-04-19,15279.983
Le Lis Beaute,2025-04-20,5443.16
Le Lis Beaute,2025-04-21,11913.889
Le Lis Beaute,2025-04-22,12282.407
Le Lis Beaute,2025-04-23,13678.5205
Le Lis Beaute,2025-04-24,14751.999
Le Lis Beaute,2025-04-25,16647.916
Le Lis Beaute,2025-04-26,17824.889
Le Lis Beaute,2025-04-27,8118.881
Le Lis Beaute,2025-04-28,13656.362
Le Lis Beaute,2025-04-29,13326.287
Le Lis Beaute,2025-04-30,14765.992
Le Lis Beaute,2025-05-01,11661.31
Le Lis Beaute,2025-05-02,19607.014
Le Lis Beaute,2025-05-03,15469.952
Le Lis Beaute,2025-05-04,8115.498
Le Lis Beaute,2025-05-05,18310.496
Le Lis Beaute,2025-05-06,19875.559
Le Lis Beaute,2025-05-07,24269.268
Le Lis Beaute,2025-05-08,29434.8
Le Lis Beaute,2025-05-09,37282.086
Le Lis Beaute,2025-05-10,70696.484
Le Lis Beaute,2025-05-11,32284.04
Le Lis Beaute,2025-05-12,19862.75
