unique_id,ds,GRU
Le Lis Beaute,2025-01-01,16079.687
Le Lis Beaute,2025-01-02,36933.43
Le Lis Beaute,2025-01-03,41124.273
Le Lis Beaute,2025-01-04,39588.367
Le Lis Beaute,2025-01-05,20867.984
Le Lis Beaute,2025-01-06,35934.113
Le Lis Beaute,2025-01-07,33741.867
Le Lis Beaute,2025-01-08,37197.652
Le Lis Beaute,2025-01-09,34860.85
Le Lis Beaute,2025-01-10,35828.645
Le Lis Beaute,2025-01-11,35417.812
Le Lis Beaute,2025-01-12,19513.396
Le Lis Beaute,2025-01-13,30389.123
Le Lis Beaute,2025-01-14,31242.01
Le Lis Beaute,2025-01-15,31794.662
Le Lis Beaute,2025-01-16,32540.176
Le Lis Beaute,2025-01-17,33861.59
Le Lis Beaute,2025-01-18,34726.285
Le Lis Beaute,2025-01-19,16681.922
Le Lis Beaute,2025-01-20,25054.496
Le Lis Beaute,2025-01-21,28090.443
Le Lis Beaute,2025-01-22,28431.014
Le Lis Beaute,2025-01-23,28220.701
Le Lis Beaute,2025-01-24,30520.688
Le Lis Beaute,2025-01-25,32485.445
Le Lis Beaute,2025-01-26,18852.324
Le Lis Beaute,2025-01-27,23134.238
Le Lis Beaute,2025-01-28,25761.773
Le Lis Beaute,2025-01-29,26096.389
Le Lis Beaute,2025-01-30,25346.113
Le Lis Beaute,2025-01-31,27367.508
Le Lis Beaute,2025-02-01,31793.959
Le Lis Beaute,2025-02-02,20884.285
Le Lis Beaute,2025-02-03,21957.709
Le Lis Beaute,2025-02-04,23896.164
Le Lis Beaute,2025-02-05,25992.342
Le Lis Beaute,2025-02-06,26582.352
Le Lis Beaute,2025-02-07,28239.793
Le Lis Beaute,2025-02-08,29088.477
Le Lis Beaute,2025-02-09,16189.148
Le Lis Beaute,2025-02-10,20475.152
Le Lis Beaute,2025-02-11,21084.025
Le Lis Beaute,2025-02-12,20077.389
Le Lis Beaute,2025-02-13,20635.016
Le Lis Beaute,2025-02-14,25922.977
Le Lis Beaute,2025-02-15,29042.174
Le Lis Beaute,2025-02-16,15206.448
Le Lis Beaute,2025-02-17,17675.125
Le Lis Beaute,2025-02-18,18432.36
Le Lis Beaute,2025-02-19,19442.51
Le Lis Beaute,2025-02-20,19570.75
Le Lis Beaute,2025-02-21,20344.771
Le Lis Beaute,2025-02-22,22246.85
Le Lis Beaute,2025-02-23,13155.228
Le Lis Beaute,2025-02-24,17430.086
Le Lis Beaute,2025-02-25,18571.727
Le Lis Beaute,2025-02-26,16417.61
Le Lis Beaute,2025-02-27,13438.116
Le Lis Beaute,2025-02-28,12167.492
Le Lis Beaute,2025-03-01,9913.804
Le Lis Beaute,2025-03-02,2989.7715
Le Lis Beaute,2025-03-03,6523.002
Le Lis Beaute,2025-03-04,7122.6055
Le Lis Beaute,2025-03-05,8259.619
Le Lis Beaute,2025-03-06,8725.473
Le Lis Beaute,2025-03-07,9129.487
Le Lis Beaute,2025-03-08,8986.146
Le Lis Beaute,2025-03-09,4492.7773
Le Lis Beaute,2025-03-10,5414.381
Le Lis Beaute,2025-03-11,6392.7695
Le Lis Beaute,2025-03-12,8560.6875
Le Lis Beaute,2025-03-13,9181.418
Le Lis Beaute,2025-03-14,9759.321
Le Lis Beaute,2025-03-15,10501.218
Le Lis Beaute,2025-03-16,4224.6895
Le Lis Beaute,2025-03-17,5226.699
Le Lis Beaute,2025-03-18,6364.381
Le Lis Beaute,2025-03-19,8562.018
Le Lis Beaute,2025-03-20,9796.303
Le Lis Beaute,2025-03-21,10660.818
Le Lis Beaute,2025-03-22,11679.349
Le Lis Beaute,2025-03-23,6064.4004
Le Lis Beaute,2025-03-24,5890.326
Le Lis Beaute,2025-03-25,6658.5312
Le Lis Beaute,2025-03-26,8857.298
Le Lis Beaute,2025-03-27,10034.293
Le Lis Beaute,2025-03-28,10893.437
Le Lis Beaute,2025-03-29,11997.182
Le Lis Beaute,2025-03-30,9036.88
Le Lis Beaute,2025-03-31,7914.2773
Le Lis Beaute,2025-04-01,8431.402
Le Lis Beaute,2025-04-02,9082.365
Le Lis Beaute,2025-04-03,11385.362
Le Lis Beaute,2025-04-04,14708.898
Le Lis Beaute,2025-04-05,15966.949
Le Lis Beaute,2025-04-06,8702.692
Le Lis Beaute,2025-04-07,12294.268
Le Lis Beaute,2025-04-08,12091.829
Le Lis Beaute,2025-04-09,14381.104
Le Lis Beaute,2025-04-10,15997.186
Le Lis Beaute,2025-04-11,17620.398
Le Lis Beaute,2025-04-12,20484.29
Le Lis Beaute,2025-04-13,12451.763
Le Lis Beaute,2025-04-14,12731.826
Le Lis Beaute,2025-04-15,15823.155
Le Lis Beaute,2025-04-16,16260.247
Le Lis Beaute,2025-04-17,15315.86
Le Lis Beaute,2025-04-18,8878.352
Le Lis Beaute,2025-04-19,14383.657
Le Lis Beaute,2025-04-20,8298.814
Le Lis Beaute,2025-04-21,10831.204
Le Lis Beaute,2025-04-22,12055.539
Le Lis Beaute,2025-04-23,13171.664
Le Lis Beaute,2025-04-24,14360.868
Le Lis Beaute,2025-04-25,15320.633
Le Lis Beaute,2025-04-26,17025.064
Le Lis Beaute,2025-04-27,9751.214
Le Lis Beaute,2025-04-28,13490.503
Le Lis Beaute,2025-04-29,14065.655
Le Lis Beaute,2025-04-30,15100.38
Le Lis Beaute,2025-05-01,13147.809
Le Lis Beaute,2025-05-02,20013.236
Le Lis Beaute,2025-05-03,16378.429
Le Lis Beaute,2025-05-04,8688.61
Le Lis Beaute,2025-05-05,16911.861
Le Lis Beaute,2025-05-06,19136.809
Le Lis Beaute,2025-05-07,22975.582
Le Lis Beaute,2025-05-08,29885.928
Le Lis Beaute,2025-05-09,40222.1
Le Lis Beaute,2025-05-10,68648.805
Le Lis Beaute,2025-05-11,29071.215
Le Lis Beaute,2025-05-12,19957.094
Le Lis Beaute,2025-05-13,20576.535
Le Lis Beaute,2025-05-14,22786.11
Le Lis Beaute,2025-05-15,24666.936
Le Lis Beaute,2025-05-16,24372.521
Le Lis Beaute,2025-05-17,32419.537
Le Lis Beaute,2025-05-18,18287.53
Le Lis Beaute,2025-05-19,17430.965
Le Lis Beaute,2025-05-20,19297.1
Le Lis Beaute,2025-05-21,19811.717
Le Lis Beaute,2025-05-22,21833.85
Le Lis Beaute,2025-05-23,25147.441
Le Lis Beaute,2025-05-24,28461.863
Le Lis Beaute,2025-05-25,18361.295
Le Lis Beaute,2025-05-26,20268.65
Le Lis Beaute,2025-05-27,21224.674
Le Lis Beaute,2025-05-28,21496.383
Le Lis Beaute,2025-05-29,21289.11
Le Lis Beaute,2025-05-30,23322.291
Le Lis Beaute,2025-05-31,26848.494
Le Lis Beaute,2025-06-01,15152.764
Le Lis Beaute,2025-06-02,17163.32
Le Lis Beaute,2025-06-03,20298.602
Le Lis Beaute,2025-06-04,20685.27
Le Lis Beaute,2025-06-05,26885.488
Le Lis Beaute,2025-06-06,25663.64
Le Lis Beaute,2025-06-07,25202.74
Le Lis Beaute,2025-06-08,17321.818
Le Lis Beaute,2025-06-09,20609.875
Le Lis Beaute,2025-06-10,28668.988
Le Lis Beaute,2025-06-11,30478.043
Le Lis Beaute,2025-06-12,27846.547
Le Lis Beaute,2025-06-13,26479.043
Le Lis Beaute,2025-06-14,27683.828
Le Lis Beaute,2025-06-15,17134.469
Le Lis Beaute,2025-06-16,17223.328
Le Lis Beaute,2025-06-17,21221.936
Le Lis Beaute,2025-06-18,20574.418
Le Lis Beaute,2025-06-19,23065.062
Le Lis Beaute,2025-06-20,27047.662
Le Lis Beaute,2025-06-21,24917.973
Le Lis Beaute,2025-06-22,11936.273
Le Lis Beaute,2025-06-23,18921.805
Le Lis Beaute,2025-06-24,24058.242
Le Lis Beaute,2025-06-25,24060.082
Le Lis Beaute,2025-06-26,23397.592
Le Lis Beaute,2025-06-27,25602.441
Le Lis Beaute,2025-06-28,27199.219
Le Lis Beaute,2025-06-29,21218.742
Le Lis Beaute,2025-06-30,18651.129
Le Lis Beaute,2025-07-01,21411.725
Le Lis Beaute,2025-07-02,21791.424
Le Lis Beaute,2025-07-03,21214.516
Le Lis Beaute,2025-07-04,25056.344
Le Lis Beaute,2025-07-05,24940.648
Le Lis Beaute,2025-07-06,15645.899
Le Lis Beaute,2025-07-07,17012.625
Le Lis Beaute,2025-07-08,19243.117
Le Lis Beaute,2025-07-09,20351.854
Le Lis Beaute,2025-07-10,20531.113
Le Lis Beaute,2025-07-11,24161.842
Le Lis Beaute,2025-07-12,24541.215
Le Lis Beaute,2025-07-13,14100.704
Le Lis Beaute,2025-07-14,16809.836
Le Lis Beaute,2025-07-15,17935.79
Le Lis Beaute,2025-07-16,19638.242
Le Lis Beaute,2025-07-17,19890.246
Le Lis Beaute,2025-07-18,22027.969
Le Lis Beaute,2025-07-19,24413.838
Le Lis Beaute,2025-07-20,13711.094
Le Lis Beaute,2025-07-21,17366.057
Le Lis Beaute,2025-07-22,18930.926
Le Lis Beaute,2025-07-23,19598.65
Le Lis Beaute,2025-07-24,18467.074
Le Lis Beaute,2025-07-25,21197.111
Le Lis Beaute,2025-07-26,24221.166
Le Lis Beaute,2025-07-27,14333.529
Le Lis Beaute,2025-07-28,16721.338
Le Lis Beaute,2025-07-29,18339.75
Le Lis Beaute,2025-07-30,19926.146
Le Lis Beaute,2025-07-31,19390.152
Le Lis Beaute,2025-08-01,22699.033
Le Lis Beaute,2025-08-02,24879.154
Le Lis Beaute,2025-08-03,12084.974
Le Lis Beaute,2025-08-04,16055.345
Le Lis Beaute,2025-08-05,17750.12
Le Lis Beaute,2025-08-06,18983.588
Le Lis Beaute,2025-08-07,18839.96
Le Lis Beaute,2025-08-08,27625.146
Le Lis Beaute,2025-08-09,31549.037
Le Lis Beaute,2025-08-10,10433.067
Le Lis Beaute,2025-08-11,16217.842
Le Lis Beaute,2025-08-12,19209.148
Le Lis Beaute,2025-08-13,20005.062
Le Lis Beaute,2025-08-14,18859.242
Le Lis Beaute,2025-08-15,24492.88
Le Lis Beaute,2025-08-16,26510.668
Le Lis Beaute,2025-08-17,16023.105
Le Lis Beaute,2025-08-18,17368.125
Le Lis Beaute,2025-08-19,18887.402
Le Lis Beaute,2025-08-20,21742.248
Le Lis Beaute,2025-08-21,22649.824
Le Lis Beaute,2025-08-22,25148.832
Le Lis Beaute,2025-08-23,26993.045
Le Lis Beaute,2025-08-24,18880.205
Le Lis Beaute,2025-08-25,18723.143
Le Lis Beaute,2025-08-26,21538.074
Le Lis Beaute,2025-08-27,23265.047
Le Lis Beaute,2025-08-28,23384.738
Le Lis Beaute,2025-08-29,27569.611
Le Lis Beaute,2025-08-30,27449.36
Le Lis Beaute,2025-08-31,15248.501
Le Lis Beaute,2025-09-01,18468.484
Le Lis Beaute,2025-09-02,19781.434
Le Lis Beaute,2025-09-03,22719.49
Le Lis Beaute,2025-09-04,23563.703
Le Lis Beaute,2025-09-05,27271.172
Le Lis Beaute,2025-09-06,27382.133
Le Lis Beaute,2025-09-07,12146.851
Le Lis Beaute,2025-09-08,19361.7
Le Lis Beaute,2025-09-09,21631.68
Le Lis Beaute,2025-09-10,24307.46
Le Lis Beaute,2025-09-11,24356.541
Le Lis Beaute,2025-09-12,24303.502
Le Lis Beaute,2025-09-13,25943.873
Le Lis Beaute,2025-09-14,16747.47
Le Lis Beaute,2025-09-15,18573.55
Le Lis Beaute,2025-09-16,22420.908
Le Lis Beaute,2025-09-17,25195.135
Le Lis Beaute,2025-09-18,26253.771
Le Lis Beaute,2025-09-19,28884.992
Le Lis Beaute,2025-09-20,30513.434
Le Lis Beaute,2025-09-21,17279.195
Le Lis Beaute,2025-09-22,20167.873
Le Lis Beaute,2025-09-23,21533.707
Le Lis Beaute,2025-09-24,24056.691
Le Lis Beaute,2025-09-25,24423.31
Le Lis Beaute,2025-09-26,29291.36
Le Lis Beaute,2025-09-27,29641.13
Le Lis Beaute,2025-09-28,16641.176
Le Lis Beaute,2025-09-29,18541.605
Le Lis Beaute,2025-09-30,20611.744
Le Lis Beaute,2025-10-01,23039.523
Le Lis Beaute,2025-10-02,23745.498
Le Lis Beaute,2025-10-03,29878.348
Le Lis Beaute,2025-10-04,30900.93
Le Lis Beaute,2025-10-05,15356.999
Le Lis Beaute,2025-10-06,16920.93
Le Lis Beaute,2025-10-07,20764.502
Le Lis Beaute,2025-10-08,23249.658
Le Lis Beaute,2025-10-09,21152.809
Le Lis Beaute,2025-10-10,25725.91
Le Lis Beaute,2025-10-11,29784.24
Le Lis Beaute,2025-10-12,26019.941
Le Lis Beaute,2025-10-13,32151.96
Le Lis Beaute,2025-10-14,31210.53
Le Lis Beaute,2025-10-15,27999.863
Le Lis Beaute,2025-10-16,28320.727
Le Lis Beaute,2025-10-17,42998.53
Le Lis Beaute,2025-10-18,45260.9
Le Lis Beaute,2025-10-19,7538.4805
Le Lis Beaute,2025-10-20,22502.906
Le Lis Beaute,2025-10-21,26074.47
Le Lis Beaute,2025-10-22,27438.775
Le Lis Beaute,2025-10-23,27541.004
Le Lis Beaute,2025-10-24,29892.668
Le Lis Beaute,2025-10-25,34604.227
Le Lis Beaute,2025-10-26,20253.635
Le Lis Beaute,2025-10-27,19730.45
Le Lis Beaute,2025-10-28,26486.217
Le Lis Beaute,2025-10-29,28857.816
Le Lis Beaute,2025-10-30,27098.904
Le Lis Beaute,2025-10-31,32484.826
Le Lis Beaute,2025-11-01,38204.14
Le Lis Beaute,2025-11-02,28141.367
Le Lis Beaute,2025-11-03,26964.814
Le Lis Beaute,2025-11-04,24558.738
Le Lis Beaute,2025-11-05,27436.52
Le Lis Beaute,2025-11-06,31297.896
Le Lis Beaute,2025-11-07,36681.79
Le Lis Beaute,2025-11-08,54931.914
Le Lis Beaute,2025-11-09,20912.58
Le Lis Beaute,2025-11-10,37430.516
Le Lis Beaute,2025-11-11,32405.61
Le Lis Beaute,2025-11-12,38124.1
Le Lis Beaute,2025-11-13,39852.047
Le Lis Beaute,2025-11-14,37427.727
Le Lis Beaute,2025-11-15,38579.895
Le Lis Beaute,2025-11-16,24569.115
Le Lis Beaute,2025-11-17,28138.887
Le Lis Beaute,2025-11-18,37012.86
Le Lis Beaute,2025-11-19,40698.086
Le Lis Beaute,2025-11-20,44351.8
Le Lis Beaute,2025-11-21,44847.97
Le Lis Beaute,2025-11-22,51119.867
Le Lis Beaute,2025-11-23,21526.43
Le Lis Beaute,2025-11-24,31330.035
Le Lis Beaute,2025-11-25,33804.72
Le Lis Beaute,2025-11-26,46059.188
Le Lis Beaute,2025-11-27,57100.445
Le Lis Beaute,2025-11-28,63279.312
Le Lis Beaute,2025-11-29,63017.836
Le Lis Beaute,2025-11-30,39663.39
Le Lis Beaute,2025-12-01,41067.992
Le Lis Beaute,2025-12-02,48885.32
Le Lis Beaute,2025-12-03,52235.42
Le Lis Beaute,2025-12-04,53378.68
Le Lis Beaute,2025-12-05,65254.59
Le Lis Beaute,2025-12-06,79813.83
Le Lis Beaute,2025-12-07,47703.125
Le Lis Beaute,2025-12-08,63066.152
Le Lis Beaute,2025-12-09,76381.86
Le Lis Beaute,2025-12-10,86720.5
Le Lis Beaute,2025-12-11,89201.375
Le Lis Beaute,2025-12-12,97446.91
Le Lis Beaute,2025-12-13,105080.24
Le Lis Beaute,2025-12-14,76183.22
Le Lis Beaute,2025-12-15,97581.24
Le Lis Beaute,2025-12-16,117440.195
Le Lis Beaute,2025-12-17,131073.7
Le Lis Beaute,2025-12-18,141156.69
Le Lis Beaute,2025-12-19,166241.9
Le Lis Beaute,2025-12-20,156147.0
Le Lis Beaute,2025-12-21,141019.78
Le Lis Beaute,2025-12-22,162774.98
Le Lis Beaute,2025-12-23,175349.28
Le Lis Beaute,2025-12-24,170780.22
Le Lis Beaute,2025-12-25,94019.875
Le Lis Beaute,2025-12-26,29841.469
Le Lis Beaute,2025-12-27,37229.082
Le Lis Beaute,2025-12-28,23073.129
Le Lis Beaute,2025-12-29,47579.68
Le Lis Beaute,2025-12-30,41662.906
Le Lis Beaute,2025-12-31,46452.832
